step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,465,43.54,1.40,9.49,4.17,22.92,0.16,1.20,0.041,0.205,212990.0,59851.6,2,89,5.91,1.16,1.27,7.8276,297.87,93403.1,45.8245,7.7398,5462,16.6511,165,15.2478,96102.0,166.39,5.7107
10000,1,403,42.82,1.47,9.38,3.73,21.80,0.15,1.20,0.045,0.162,193883.9,44377.5,2,91,5.67,1.19,1.27,5.6306,163.32,15630.6,44.1334,9.9589,5461,16.6481,147,9.1413,54186.6,81.98,19.3000
10000,2,355,41.44,1.55,11.25,2.85,18.19,0.22,1.23,0.059,0.140,170185.0,43067.1,2,118,5.48,1.24,1.26,5.4270,54.25,11104.6,27.6521,9.4737,5461,16.6481,190,5.1624,34653.4,51.61,35.7711
20000,0,475,28.67,0.52,7.79,0.47,9.72,0.05,1.15,0.019,0.101,119081.6,62135.5,2,138,3.81,1.12,1.20,2.9219,74.41,103361.4,17.1177,8.1704,5462,7.7891,179,6.0300,38384.9,166.39,1.9717
20000,1,512,26.45,0.39,6.45,0.40,9.89,0.00,1.14,0.002,0.100,69752.1,33391.0,3,96,3.58,1.12,1.15,0.9603,66.79,16761.3,7.6697,6.2852,5461,7.7876,185,1.2710,7879.2,81.98,4.4579
20000,2,502,22.39,0.21,5.39,0.34,8.91,0.02,1.06,0.006,0.085,57002.9,26820.8,2,111,3.35,1.05,1.07,0.6976,53.76,5306.7,3.0614,5.3329,5461,7.7876,74,0.6074,3885.7,51.61,8.0131
30000,0,464,17.01,0.05,4.12,0.17,6.08,0.00,1.01,0.000,0.055,118983.9,95187.0,2,104,2.70,1.01,1.01,3.2711,33.50,121433.4,57.2893,7.4655,5462,10.1341,156,7.8909,44787.7,166.39,5.0804
30000,1,321,13.66,0.13,3.11,0.20,5.64,0.00,1.04,0.000,0.034,100633.7,69767.1,2,67,2.73,1.04,1.04,1.5332,32.30,7400.7,47.2555,8.6868,5461,10.1323,53,2.2120,13682.3,81.98,18.1089
30000,2,392,14.35,0.04,4.04,0.13,4.53,0.00,1.01,0.000,0.039,108872.1,71720.5,2,133,2.58,1.01,1.03,1.1876,38.68,404.8,28.8752,10.3064,5461,10.1323,7,0.6866,5422.7,51.61,37.8215
40000,0,376,18.99,0.03,5.00,0.12,6.09,0.00,1.02,0.000,0.048,89041.8,56504.5,2,92,2.86,1.01,1.02,1.4340,53.14,113795.2,20.9422,7.4968,5462,6.6704,57,2.1708,14166.2,166.39,2.2141
40000,1,397,18.86,0.01,5.35,0.10,5.57,0.00,1.01,0.000,0.051,71047.7,43536.0,2,94,2.80,1.01,1.01,0.9183,68.58,9222.6,6.7789,6.7866,5461,6.6692,73,0.5808,4117.4,81.98,4.7598
40000,2,448,19.59,0.19,5.68,0.03,5.21,0.00,1.09,0.000,0.057,54035.6,35118.3,2,150,2.81,1.02,1.11,0.6610,60.10,5221.2,3.7947,5.2778,5461,6.6692,87,0.3027,2192.1,51.61,8.5539
50000,0,342,25.25,0.03,7.59,0.02,6.45,0.00,1.01,0.000,0.055,103144.5,60809.7,3,95,3.22,1.01,1.01,1.1564,41.42,122034.3,52.2483,8.7981,5462,9.6352,86,2.5478,15723.3,166.39,5.6774
50000,1,310,21.00,0.01,6.20,0.06,5.81,0.00,1.00,0.000,0.043,100665.5,56953.9,3,84,3.01,1.01,1.01,0.9869,15.69,5969.7,48.6234,9.0322,5461,9.6334,57,1.6011,10591.5,81.98,19.8195
50000,2,240,17.11,0.04,4.12,0.07,6.40,0.00,1.01,0.000,0.029,95817.8,50602.5,3,89,2.82,1.01,1.02,0.7912,7.48,1249.8,31.0061,9.0460,5461,9.6334,23,0.7440,5377.3,51.61,37.0248
60000,0,439,31.21,0.69,9.75,0.07,6.33,0.15,1.22,0.043,0.084,66742.8,27166.1,3,126,3.36,1.27,1.13,0.7043,22.34,120074.0,22.8640,5.9441,5462,5.4591,42,1.3768,8012.8,166.39,2.2350
60000,1,435,32.43,0.70,10.25,0.12,6.54,0.09,1.19,0.021,0.088,57899.6,20675.6,3,113,3.68,1.22,1.16,0.5374,23.45,4572.8,8.1669,5.5850,5461,5.4581,16,0.3977,2614.1,81.98,5.0731
60000,2,385,31.15,0.29,10.84,0.09,6.02,0.11,1.08,0.023,0.076,48713.3,18406.4,3,157,3.55,1.11,1.02,0.4654,25.92,2145.6,4.1112,4.7534,5461,5.4581,18,0.2566,1704.6,51.61,8.5714
70000,0,458,30.55,0.27,9.88,0.12,6.19,0.00,1.08,0.000,0.086,120429.5,70496.4,8,114,3.34,1.06,1.09,1.3561,56.39,117906.0,46.1545,10.4048,5462,11.0981,20,2.6056,16935.3,166.39,5.6120
70000,1,508,28.49,0.14,9.26,0.04,6.19,0.00,1.05,0.000,0.091,112731.5,62422.2,7,151,3.32,1.05,1.05,1.0009,14.66,7261.8,42.7256,10.4683,5461,11.0960,27,1.2105,8606.9,81.98,19.0645
70000,2,452,28.38,0.14,9.48,0.09,5.92,0.00,1.05,0.000,0.081,112104.0,59295.6,7,216,3.29,1.05,1.06,0.9740,19.67,1901.3,27.6268,10.5637,5461,11.0960,17,0.9302,6757.1,51.61,36.3647
80000,0,453,34.80,1.15,10.99,0.36,5.68,0.07,1.32,0.024,0.094,73064.8,35840.6,3,114,3.64,1.31,1.31,0.6041,20.40,117521.6,20.8997,6.7000,5462,6.6288,90,1.0949,7101.6,166.39,2.2135
80000,1,384,37.10,0.48,13.05,0.05,5.96,0.02,1.15,0.013,0.087,69181.7,31052.7,3,116,3.79,1.14,1.18,0.4646,28.30,11196.6,7.2853,6.7123,5461,6.6276,68,0.4834,3013.1,81.98,4.6878
