step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed
10000,2648,0.782,0.724,9.48,51716,40618,3517,3114,3236,302347,1127544.9,513905.3,0.232,0.455,0.196,0.117,87,22.12,16.19,0.96,3.80,5.13,6.09,1.37,4.56,8.92,11.17,0.00,0.10,0.230,0.231,1830,0.032,0.057,0.912,0.002,0.029,241697,227503,18,0.640,0.073,0.186,7552357,0.246,2.756,0.058,4.11,69452,576,1.700,0.216,0.421,13511189,1.30,9.40,0.056,0.571,0.002,4.4,20.4,42.9,154.7,43381,0.165,0.00,0.0048,0.060,729,0.930,0.000,0.736,0.787,3.22,4.53,4.31,0.09,0.033,1.25,1.42,1.29,0.937,0.00064,1.78,72.6244,2512.34,100105.8,139882.8,11.290,115.1151,181.132,0.000,1.000,0.113,63.8,78.917,242.465,665,2619.5,58.18,24.238,179.907,6445.3,100.015,0.135,2.00,9.2936,24609.6,0.8634,0.4931,16.38,1.403,0.278,1.5005,0.0000,0.502,0.093,0.554,0.0000,6.65,1.01,3,14,36,100,74.1551,3.0856,0.6171,0.0000,0.0000,48.7444,100.00,62.4381,448.0713
20000,2248,1.081,0.474,9.84,40872,35876,510,3970,916,383881,454762.9,303348.5,0.065,0.685,0.155,0.094,173,22.53,15.74,0.64,2.86,3.03,4.84,1.77,4.17,12.07,12.73,0.01,0.14,0.128,0.177,1672,0.025,0.061,0.921,0.001,0.017,110529,95267,5,0.587,0.060,0.290,3565573,0.201,2.460,0.035,8.57,37047,534,0.790,0.265,0.340,7827215,1.19,6.76,0.101,0.648,0.006,4.4,20.7,44.7,99.3,39378,0.150,0.00,0.0017,0.073,634,0.743,0.000,0.721,0.636,3.38,4.61,4.49,0.21,0.081,1.16,1.27,1.18,0.761,0.00157,1.25,24.2291,2626.99,98470.9,139882.8,0.009,34.8210,81.219,0.000,1.000,0.071,54.5,34.260,74.551,296,1018.8,78.79,6.299,60.677,3737.6,36.880,0.133,2.00,13.4133,30153.0,1.2963,0.4404,17.52,1.390,0.394,0.4995,0.0000,0.490,0.107,0.407,0.0000,6.05,0.87,4,14,36,64,29.3855,1.3362,0.5191,0.0000,0.0000,11.3369,100.00,107.0580,260.4879
30000,3192,1.091,0.567,11.99,152988,111885,724,28886,10549,1195017,1180320.8,1227494.4,0.052,0.671,0.191,0.086,93,18.41,16.62,0.37,2.04,3.49,6.47,0.54,2.40,7.92,9.16,0.01,0.18,0.123,0.193,1945,0.023,0.056,0.918,0.000,0.026,508790,453366,9,0.572,0.243,0.113,6277780,0.195,2.512,0.043,6.23,166829,435,1.027,0.239,0.409,25239004,1.15,8.42,0.150,0.591,0.009,2.4,13.4,39.9,160.0,39322,0.150,0.00,0.0047,0.082,860,0.818,0.000,0.851,0.701,2.76,3.86,3.68,0.02,0.011,1.17,1.17,1.15,0.838,0.00228,1.84,106.1175,3787.84,104036.4,139882.8,8.079,111.9377,206.772,0.000,1.000,0.111,73.2,78.941,242.130,340,1274.6,62.08,9.184,184.095,3945.1,119.281,0.135,2.00,6.8400,21833.4,1.1945,0.5727,12.32,1.450,0.432,1.5005,0.0000,0.466,0.142,0.359,0.0000,5.76,1.18,2,10,25,80,64.0873,7.5655,0.4320,0.0000,0.0000,45.5950,100.00,73.1330,512.7170
40000,2960,0.955,0.398,14.14,64676,48711,128,14499,1570,664558,510554.8,471610.6,0.047,0.726,0.163,0.064,163,16.69,12.28,0.24,1.75,3.21,5.03,0.53,2.08,7.84,7.35,0.03,0.30,0.128,0.187,1790,0.017,0.081,0.891,0.001,0.027,155735,126217,6,0.420,0.093,0.117,1996825,0.177,2.057,0.029,13.22,63575,385,0.710,0.185,0.341,8580805,1.09,8.21,0.150,0.537,0.014,3.2,13.8,32.0,96.0,34989,0.133,0.00,0.0022,0.080,878,0.600,0.000,0.730,0.592,2.87,3.91,4.11,0.05,0.021,1.09,1.11,1.09,0.623,0.00239,2.60,28.2678,2140.36,106606.8,139882.8,0.310,28.4645,97.401,0.000,1.000,0.192,62.8,39.709,67.832,234,713.4,41.07,5.822,54.695,3190.7,37.927,0.134,2.00,7.7274,22873.2,1.1199,0.4585,11.82,1.392,0.411,0.4995,0.0000,0.378,0.134,0.156,0.0000,5.92,1.31,3,11,21,52,31.4615,1.1824,0.4615,0.0000,0.0000,11.0181,100.00,109.7249,283.0907
50000,3913,0.794,0.414,15.31,179207,129738,574,40450,7492,1114722,1202287.2,1141142.6,0.053,0.638,0.202,0.107,80,15.78,12.39,0.23,1.38,3.49,5.54,0.37,2.27,6.21,6.21,0.03,0.29,0.136,0.202,1920,0.051,0.078,0.895,0.001,0.027,489881,417469,15,0.176,0.470,0.066,4025273,0.189,2.006,0.033,7.69,211045,430,1.024,0.186,0.346,29451836,1.10,10.78,0.165,0.490,0.016,2.6,11.7,32.0,94.0,40285,0.154,0.00,0.0049,0.075,1091,0.803,0.000,0.885,0.636,2.55,3.40,3.93,0.05,0.022,1.10,1.11,1.11,0.818,0.00222,3.04,89.2274,2004.93,100182.3,139882.8,12.464,94.5697,229.533,0.000,1.000,0.097,85.4,90.700,238.792,249,882.3,47.08,8.026,178.222,3565.4,121.843,0.134,2.00,7.2821,28495.0,1.3184,0.6130,10.30,1.429,0.383,1.5005,0.0000,0.417,0.163,0.342,0.0000,6.26,1.65,2,9,16,64,74.4785,7.5288,0.5252,0.0000,0.0000,44.4195,100.00,77.6235,575.4661
60000,3027,1.039,0.387,16.97,65581,52578,366,11855,1668,426072,516679.4,364897.3,0.050,0.710,0.149,0.091,161,19.21,14.32,0.22,1.51,4.08,5.73,0.49,2.37,7.36,6.98,0.04,0.33,0.134,0.175,1539,0.052,0.098,0.881,0.000,0.021,131315,105935,9,0.369,0.056,0.115,1582980,0.181,1.965,0.030,14.45,58969,456,0.856,0.167,0.352,10002659,1.07,8.68,0.249,0.469,0.015,3.2,16.0,32.0,120.0,36790,0.140,0.00,0.0023,0.093,806,0.621,0.000,0.764,0.510,2.62,3.52,4.26,0.06,0.022,1.07,1.08,1.07,0.635,0.00205,3.36,21.7669,1912.06,103827.9,139882.8,0.788,23.6548,100.520,0.000,1.000,0.208,61.2,43.397,65.245,185,639.0,64.51,5.409,52.241,3395.8,37.307,0.134,2.00,8.3711,25339.2,1.1642,0.5522,12.15,1.492,0.417,0.4995,0.0000,0.408,0.134,0.241,0.0000,5.98,1.72,3,13,21,82,35.9277,1.2512,0.4523,0.0000,0.0000,11.0078,100.00,109.8460,318.2426
70000,3204,0.962,0.469,18.70,144773,105772,1499,32176,5149,865006,1154400.6,939704.0,0.055,0.726,0.147,0.072,83,19.40,14.22,0.45,2.47,4.29,5.46,0.46,2.23,6.61,5.21,0.05,0.37,0.150,0.180,1525,0.063,0.074,0.899,0.001,0.027,399758,336323,9,0.386,0.135,0.121,4281915,0.179,2.300,0.035,7.26,175244,368,1.086,0.187,0.328,27653519,1.16,7.25,0.255,0.489,0.024,3.3,16.2,32.0,128.0,37828,0.144,0.00,0.0054,0.100,956,0.806,0.000,0.884,0.640,2.54,3.36,4.19,0.09,0.037,1.17,1.17,1.15,0.818,0.00252,2.54,79.2168,2550.31,90963.9,139882.8,11.243,101.4970,211.112,0.000,1.000,0.021,71.8,84.280,239.397,193,635.8,56.24,8.402,179.808,4178.5,114.110,0.135,2.00,11.4989,36842.4,1.3386,0.6173,11.81,1.508,0.462,1.5005,0.0000,0.394,0.134,0.224,0.0000,5.53,1.43,3,13,17,64,71.7700,4.4332,0.4894,0.0000,0.0000,44.9857,100.00,70.8306,537.2338
80000,2889,0.915,0.381,17.45,58908,47270,604,10148,1201,382303,507477.7,331236.1,0.043,0.763,0.127,0.067,167,18.45,13.71,0.33,1.66,4.03,5.56,0.39,1.78,7.28,6.02,0.05,0.35,0.146,0.177,1619,0.058,0.099,0.875,0.000,0.025,121220,96771,9,0.252,0.150,0.106,2507119,0.150,1.997,0.029,14.97,52908,445,0.866,0.160,0.326,9318886,1.12,9.35,0.206,0.507,0.022,3.0,15.8,32.0,162.0,34754,0.133,0.00,0.0024,0.091,874,0.589,0.000,0.770,0.524,2.62,3.24,4.69,0.08,0.032,1.13,1.13,1.13,0.601,0.00215,3.56,21.2758,1629.11,106843.5,139882.8,1.017,24.7281,98.864,0.000,1.000,0.236,63.3,43.297,63.350,176,570.4,37.16,4.274,51.469,3675.3,35.917,0.136,1.99,7.9721,23031.5,1.1477,0.5490,12.03,1.419,0.462,0.4995,0.0000,0.374,0.129,0.155,0.0000,6.20,1.84,3,13,21,63,35.9979,1.0729,0.4683,0.0000,0.0000,10.8317,100.00,107.9001,310.6813
90000,3153,1.014,0.509,21.15,131141,99789,1696,24955,4437,798070,1146591.2,871678.2,0.035,0.753,0.105,0.108,83,21.85,13.91,0.33,1.72,4.92,5.55,0.19,1.55,7.19,5.63,0.05,0.36,0.164,0.168,1614,0.114,0.077,0.906,0.000,0.017,369118,303311,18,0.417,0.224,0.048,3080470,0.189,2.643,0.039,7.99,168084,398,1.092,0.184,0.349,26770566,1.13,7.73,0.307,0.486,0.021,3.6,25.9,32.0,135.0,39844,0.152,0.00,0.0051,0.093,1036,0.796,0.000,0.852,0.646,2.53,3.57,4.24,0.08,0.033,1.13,1.14,1.15,0.808,0.00256,3.31,77.3267,2898.92,87384.8,139882.8,14.694,100.5216,203.660,0.000,1.000,0.027,76.7,81.752,236.887,260,832.1,91.49,7.147,176.232,4325.2,111.726,0.136,2.00,12.5284,39502.2,1.3488,0.6034,12.64,1.610,0.433,1.5005,0.0000,0.376,0.140,0.188,0.0000,5.75,1.89,3,14,20,55,68.9297,4.7445,0.4881,0.0000,0.0000,43.6176,100.00,68.0153,522.6600
100000,2904,0.975,0.382,19.61,56826,45736,678,9359,1302,394307,508107.2,334924.2,0.007,0.773,0.066,0.154,160,19.92,12.88,0.22,1.59,4.57,5.75,0.17,1.19,7.36,5.96,0.03,0.27,0.155,0.179,1530,0.040,0.095,0.885,0.001,0.019,112811,87369,7,0.502,0.136,0.039,829151,0.168,1.991,0.029,15.01,54060,448,0.849,0.162,0.358,9236242,1.07,10.42,0.272,0.507,0.013,3.4,19.3,32.0,110.0,35751,0.136,0.00,0.0024,0.089,855,0.595,0.000,0.707,0.504,2.56,3.22,4.76,0.05,0.019,1.06,1.07,1.08,0.608,0.00222,3.65,21.8115,1677.60,104877.6,139882.8,0.546,25.5526,98.593,0.000,1.000,0.192,64.9,42.936,62.937,155,503.7,42.10,3.972,51.731,3671.0,35.931,0.135,2.00,8.5052,24699.1,1.1786,0.5416,12.31,1.530,0.404,0.4995,0.0000,0.477,0.155,0.562,0.0000,6.49,2.07,3,14,20,50,35.5497,0.9441,0.4676,0.0000,0.0000,10.9046,100.00,106.8857,297.6674
