step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,361,41.75,0.57,0.73,9.81,32.35,0.02,1.11,0.006,0.179,120369.4,27836.9,2,35,6.81,1.08,1.15,4.6480,31.69,90848.2,53.5054,1.9226,5462,8.4455,516,18.5176,62431.1,165.42,3.1457
10000,1,166,43.73,1.20,0.38,10.02,32.17,0.01,1.25,0.006,0.083,96112.0,24030.2,1,36,6.97,1.21,1.35,3.9312,33.42,23477.6,53.6722,1.6206,5461,8.4440,507,11.2894,42243.2,81.35,18.9605
10000,2,62,43.05,0.84,0.44,8.44,32.66,0.00,1.14,0.000,0.031,74115.7,21617.8,2,25,7.03,1.06,1.23,3.4999,3.25,11322.0,40.0422,0.9622,5461,8.4440,457,6.4004,25488.0,53.21,38.7978
20000,0,97,41.57,1.65,0.75,4.62,31.99,0.00,1.38,0.000,0.043,36783.4,4089.2,1,4,6.27,1.40,1.40,0.7222,8.14,111946.1,19.5816,1.2302,5462,1.5520,461,12.2863,24333.3,165.42,0.8969
20000,1,13,39.20,0.00,0.00,6.54,33.23,0.00,1.00,0.000,0.006,8388.8,407.3,1,8,6.31,1.00,1.00,0.0877,2.41,13069.9,13.4978,0.4317,5461,1.5518,366,2.7082,3056.8,81.35,5.3414
20000,2,5,43.44,0.00,0.00,5.40,37.60,0.00,1.00,0.000,0.002,4184.5,71.5,1,5,7.80,1.00,1.00,0.0272,1.30,4331.2,9.8130,0.2802,5461,1.5518,379,1.1987,796.0,53.21,8.9078
30000,0,158,32.81,1.72,0.58,8.53,22.70,0.03,1.33,0.006,0.061,64119.8,13160.2,1,19,5.66,1.45,1.28,2.2563,67.00,107597.4,55.3488,1.8159,5462,2.6484,472,13.0408,46956.4,165.42,2.6779
30000,1,41,30.75,0.00,0.32,7.51,24.98,0.00,1.00,0.000,0.015,18062.6,1154.1,1,26,5.90,1.00,1.00,0.1897,2.91,11915.5,67.0673,1.4031,5461,2.6479,571,3.6656,5738.8,81.35,20.7244
30000,2,20,34.97,1.00,0.00,6.25,26.90,0.00,1.17,0.000,0.008,8534.4,94.0,1,17,5.90,1.31,1.09,0.0303,2.80,6084.7,46.1785,0.7557,5461,2.6479,421,1.2193,1146.2,53.21,37.1464
40000,0,95,35.25,1.27,0.38,8.22,26.21,0.01,1.24,0.011,0.039,25061.6,3208.5,1,0,5.76,1.29,1.31,0.5837,38.30,118136.6,23.1720,1.0181,5462,1.0890,464,8.8029,14791.4,165.42,1.0686
40000,1,12,33.37,0.00,0.00,8.50,27.00,0.00,1.00,0.000,0.005,6443.2,78.2,1,8,6.33,1.00,1.00,0.0364,0.80,7576.8,15.6881,0.4329,5461,1.0888,474,2.2704,1289.0,81.35,5.0609
40000,2,4,28.70,0.00,0.00,6.00,24.00,0.00,1.00,0.000,0.001,3079.3,33.1,1,4,6.00,1.00,1.00,0.0169,1.28,2908.0,9.7053,0.2393,5461,1.0888,373,0.8180,385.2,53.21,7.9140
50000,0,148,33.20,1.05,0.42,10.84,23.78,0.00,1.19,0.000,0.061,48378.9,10067.7,1,10,5.99,1.23,1.27,1.7240,37.99,112797.4,60.6471,1.5628,5462,2.0088,465,10.4050,33199.0,165.42,2.8111
50000,1,43,39.21,0.77,0.86,7.12,31.23,0.00,1.17,0.000,0.019,13443.8,340.2,1,25,6.53,1.22,1.22,0.0832,2.32,8992.2,69.1973,1.1539,5461,2.0084,558,1.9524,2474.3,81.35,19.8789
50000,2,24,29.57,1.54,0.00,8.08,20.92,0.00,1.31,0.000,0.009,6620.5,117.6,1,22,5.92,1.40,1.42,0.0452,0.17,5011.8,46.5372,0.6709,5461,2.0084,477,0.8327,723.5,53.21,35.4147
60000,0,64,62.25,2.92,8.05,9.41,44.42,0.03,1.48,0.016,0.048,21799.6,1980.6,1,0,8.69,1.09,1.74,0.3807,4.61,119583.7,24.5100,0.9572,5462,1.0154,499,7.3927,12431.8,165.42,1.0889
60000,1,6,71.81,0.00,5.00,17.50,55.83,0.00,1.00,0.000,0.005,6027.9,65.8,1,5,11.50,1.00,1.00,0.0419,0.30,6632.8,16.2222,0.4350,5461,1.0152,478,1.9046,1169.2,81.35,5.1680
60000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,4004.1,33.8,0,0,-0.00,-0.00,-0.00,0.0265,0.48,2549.4,9.7244,0.3150,5461,1.0152,412,0.7195,436.6,53.21,7.7605
70000,0,84,76.41,0.86,9.64,9.27,56.61,0.00,1.16,0.000,0.073,36155.2,4856.9,1,9,9.55,1.00,1.26,0.9430,2.27,117863.8,63.9478,1.5313,5462,1.6435,522,8.2119,21194.2,165.42,2.6904
70000,1,18,81.46,0.28,7.28,16.89,60.06,0.00,1.03,0.000,0.018,11939.8,257.6,1,7,10.61,1.00,1.07,0.1005,0.39,6674.8,68.9825,1.0921,5461,1.6432,620,1.6861,1650.8,81.35,19.8793
70000,2,10,84.25,0.00,3.50,12.00,71.80,0.00,1.00,0.000,0.010,7464.6,88.8,1,10,10.90,1.00,1.00,0.0451,2.21,3698.3,47.0787,0.6613,5461,1.6432,429,0.6577,503.5,53.21,34.7452
80000,0,33,70.35,3.79,5.21,10.85,49.61,0.00,1.69,0.000,0.026,14032.9,749.0,1,2,10.09,1.15,2.18,0.1876,0.67,123057.5,28.2565,0.8517,5462,0.7682,533,4.7500,5630.9,165.42,1.0528
80000,1,3,66.28,0.00,0.00,12.00,57.00,0.00,1.00,0.000,0.002,6831.9,49.9,1,2,8.67,1.00,1.00,0.0262,0.00,4571.9,16.9928,0.5083,5461,0.7681,446,1.1798,776.7,81.35,4.7337
80000,2,1,66.28,0.00,0.00,12.00,57.00,0.00,1.00,0.000,0.001,3666.6,42.3,1,1,11.00,1.00,1.00,0.0458,0.01,1886.8,9.8111,0.3055,5461,0.7681,345,0.4055,218.4,53.21,7.3653
90000,0,51,66.56,0.78,7.45,11.71,46.41,0.00,1.17,0.000,0.039,31980.6,4845.2,1,4,9.12,1.17,1.22,1.0029,85.37,119804.8,66.9272,1.4370,5462,1.4306,681,6.8976,18600.8,165.42,2.7610
90000,1,13,70.22,0.00,2.92,14.00,55.15,0.00,1.00,0.000,0.011,10322.6,180.6,1,5,10.38,1.00,1.00,0.0503,13.31,4740.7,72.2617,1.0525,5461,1.4304,632,1.0603,907.7,81.35,19.5956
90000,2,13,65.32,0.00,6.77,9.15,49.08,0.00,1.00,0.000,0.009,6884.2,222.2,1,10,9.62,1.00,1.00,0.0892,2.24,2606.7,45.4556,0.6751,5461,1.4304,457,0.4888,597.1,53.21,32.5155
100000,0,52,54.46,2.67,2.92,7.73,38.96,0.00,1.87,0.000,0.031,15842.1,1142.5,1,1,7.62,1.48,2.00,0.2224,28.68,123837.8,28.3706,0.8359,5462,0.8181,475,4.4356,6231.2,165.42,0.9585
100000,1,4,66.28,0.00,0.00,12.00,57.00,0.00,1.00,0.000,0.004,6575.4,93.7,1,3,11.50,1.00,1.00,0.0283,0.01,4298.8,17.8047,0.4988,5461,0.8180,484,0.9908,672.9,81.35,5.0026
100000,2,6,64.55,0.00,0.00,10.33,56.33,0.00,1.00,0.000,0.004,4341.6,80.7,1,6,9.33,1.00,1.00,0.0564,0.08,2015.1,9.6005,0.3378,5461,0.8180,330,0.3440,238.8,53.21,7.0128
