step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,2636,0.9332,31514.4,929,888,912,836,26,25,26,63863,20813,5646
2000,2583,0.9191,45753.0,1851,866,930,787,27,26,25,64147,9258,1184
3000,2552,0.9275,55024.9,2744,887,891,774,29,27,25,57484,5861,1184
4000,1376,0.6933,29414.9,722,701,535,140,19,19,23,74877,13555,1277
5000,1480,0.6777,41266.5,1074,781,506,193,29,34,33,69428,10304,934
6000,1716,0.7045,50519.8,1344,889,648,179,34,42,38,63197,8602,1089
7000,1865,0.6799,43465.4,973,1084,604,177,44,47,39,68916,11249,1263
8000,1874,0.6425,43937.4,967,1056,624,194,34,45,31,69264,11657,902
9000,1734,0.7088,46534.5,1154,955,586,193,41,44,31,70207,10912,755
10000,1536,0.6699,37166.8,1059,784,538,214,46,32,35,75995,13930,707
11000,1432,0.6788,27964.8,1012,660,545,227,52,44,38,82667,18241,970
12000,1133,0.8147,16038.3,1101,540,405,188,33,38,44,90748,24015,1326
13000,797,0.8105,8712.7,1346,426,265,106,36,32,39,95596,27186,1151
14000,541,0.7930,5570.0,1277,362,132,47,22,30,18,97876,29219,1225
15000,408,0.7819,4470.0,1043,318,78,12,15,28,8,99004,30419,1385
16000,383,0.7781,5756.4,1054,313,56,14,5,30,10,98004,29898,1310
17000,567,0.6138,8084.5,740,409,96,62,16,39,41,96840,27980,1169
18000,969,0.6099,13026.1,576,568,263,138,59,93,99,94306,25882,1063
19000,1421,0.6221,17637.0,636,780,456,185,93,101,93,90782,22760,1019
20000,1635,0.6281,21943.1,675,800,584,251,97,102,105,87359,19225,816
21000,1729,0.6750,32933.6,987,838,650,241,81,76,108,79521,14309,817
22000,1826,0.6703,40611.4,1076,846,733,247,75,64,86,73573,10919,999
23000,1868,0.5776,48585.2,984,948,706,214,80,53,74,67640,8090,703
24000,2045,0.5589,52915.6,989,1073,676,296,72,64,78,63628,6164,460
25000,2001,0.5942,50795.7,1000,982,702,317,77,70,45,65343,6288,436
26000,2042,0.5798,52676.4,1067,993,702,347,67,65,67,63382,5884,574
27000,2090,0.6019,51804.5,1049,1055,684,351,78,65,80,64204,6663,657
28000,2157,0.5888,47301.3,932,1098,745,314,78,83,81,67774,8477,822
29000,2087,0.5975,47336.3,1037,1087,735,265,81,71,73,69046,9419,773
30000,2082,0.5581,41577.9,961,1003,779,300,65,63,75,73875,11222,625
31000,1844,0.6036,31326.2,894,940,629,275,85,69,66,81798,16981,768
32000,1498,0.6248,21807.7,883,801,507,190,87,61,63,88430,21696,891
33000,1151,0.6290,13838.5,856,688,309,154,78,64,85,93782,26391,1006
34000,867,0.6321,9395.9,833,550,212,105,48,95,84,96518,29744,1289
35000,595,0.6118,8650.0,958,456,102,37,25,66,36,96863,30977,1410
36000,640,0.5344,8006.9,743,477,117,46,23,79,46,97139,30660,1365
37000,774,0.4935,9749.6,624,514,147,113,31,99,94,96572,28630,977
38000,1348,0.4889,12517.2,456,757,395,196,62,118,123,94883,26181,786
39000,1546,0.4884,16108.5,472,725,581,240,81,110,120,92878,22454,460
40000,2040,0.4838,22520.0,483,872,841,327,104,109,130,89652,18262,265
41000,2447,0.4528,29449.1,519,1110,946,391,110,92,152,83669,13905,451
42000,2838,0.4327,27512.9,442,1369,1042,427,121,120,157,82400,14135,802
43000,2969,0.4587,35176.1,530,1444,1169,356,136,108,86,77624,11882,546
44000,3439,0.4216,35077.1,508,1676,1284,479,160,153,151,75362,11522,682
45000,3379,0.4315,38878.4,528,1669,1241,469,149,122,129,73169,10469,701
46000,3092,0.4447,27484.1,429,1506,1193,393,168,166,165,79167,13220,1025
47000,3149,0.3966,21731.4,329,1511,1257,381,156,138,153,83472,16079,806
48000,2866,0.4152,19283.4,332,1283,1231,352,139,151,110,86128,17873,659
49000,2503,0.4199,19135.9,335,1121,1056,326,109,105,136,88157,18811,728
50000,2542,0.4371,19144.1,383,1097,1058,387,111,150,160,89063,19388,949
51000,2200,0.4895,18947.9,450,1001,837,362,125,103,131,91026,21195,617
52000,1679,0.4592,14141.8,459,867,541,271,97,103,128,94641,24141,813
53000,1270,0.5378,9832.6,506,750,334,186,68,125,121,97482,27973,1024
54000,835,0.5784,8246.7,742,529,174,132,53,102,113,97770,30538,1397
55000,607,0.5305,7273.2,772,432,128,47,23,116,47,97583,31640,1688
56000,708,0.5071,8215.3,662,510,125,73,11,108,70,97173,31145,1604
57000,1037,0.4696,10667.1,600,594,257,186,30,193,163,95900,29315,1262
58000,1647,0.4529,9984.4,390,870,450,327,87,213,233,95643,28027,1199
59000,1878,0.4563,13136.6,341,971,547,360,101,171,203,94216,25693,804
60000,2195,0.4328,22313.6,441,1075,722,398,136,129,198,88809,19809,639
61000,2473,0.4201,36766.7,598,1159,888,426,142,131,169,79541,12960,452
62000,2747,0.4310,42325.3,623,1400,897,450,166,126,131,74131,9599,516
63000,2950,0.4325,51927.6,658,1438,984,528,148,112,114,66879,6569,328
64000,2692,0.4476,56858.1,728,1423,771,498,134,99,135,62226,5373,597
65000,2745,0.4255,57779.8,732,1461,818,466,153,141,111,59961,5243,505
66000,2923,0.4174,61188.3,698,1416,929,578,167,119,121,57953,4505,438
67000,2541,0.4581,61298.3,812,1231,811,499,122,81,96,59168,4465,437
68000,2419,0.4485,56752.4,794,1266,682,471,130,74,99,61666,5846,438
69000,2443,0.4482,51927.1,732,1244,765,434,119,106,99,66474,8315,515
70000,2330,0.4936,47215.8,742,1163,751,416,123,84,124,72002,10189,803
71000,2107,0.4770,39432.4,757,1039,630,438,108,88,141,77314,13811,769
72000,1701,0.5238,28605.4,759,858,528,315,106,127,138,84500,19446,1376
73000,1297,0.5497,17787.6,759,733,374,190,83,122,123,91377,25354,1649
74000,899,0.5562,10232.7,792,603,177,119,42,103,100,95274,29643,2288
75000,661,0.4917,8033.3,670,515,95,51,12,72,49,96279,31672,2485
