step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,314,34.09,0.89,0.85,7.69,25.08,0.00,1.18,0.000,0.124,104390.9,25243.0,1,45,5.63,1.20,1.19,4.0249,42.43,77446.2,60.3794,2.9392,5462,7.8001,197,8.2789,35908.8,193.75,4.0417
10000,1,186,34.92,0.76,0.22,5.78,28.39,0.01,1.16,0.005,0.074,92821.4,22716.3,1,67,5.73,1.18,1.12,3.6409,5.28,31355.8,46.1641,2.4190,5461,7.7987,219,6.3404,27505.8,68.47,32.4889
10000,2,145,34.22,0.87,0.25,5.11,28.61,0.01,1.14,0.007,0.058,80957.5,22089.6,1,55,5.66,1.08,1.16,3.5270,62.47,13968.2,27.4451,2.0509,5461,7.7987,104,3.9921,18374.7,37.77,51.2583
20000,0,439,32.53,0.54,0.68,7.30,21.92,0.00,1.08,0.000,0.152,170477.1,29038.5,2,89,5.47,1.07,1.07,3.1050,185.39,52743.4,12.8018,13.0957,5462,9.1438,73,5.1905,41365.3,193.75,1.2283
20000,1,357,32.18,0.80,0.37,7.63,21.41,0.00,1.15,0.000,0.124,86954.7,12136.5,2,115,5.75,1.15,1.12,1.3770,184.20,30996.4,2.8256,7.7410,5461,9.1421,34,1.2106,9711.6,68.47,6.9077
20000,2,238,30.83,0.35,0.17,7.07,21.25,0.00,1.04,0.000,0.078,56394.2,8550.0,1,114,5.71,1.04,1.04,0.9608,77.94,19233.1,0.7630,5.2881,5461,9.1421,12,0.4845,3871.1,37.77,11.0041
30000,0,383,35.21,2.00,5.85,1.54,16.74,0.01,1.44,0.005,0.114,176362.5,57023.6,3,43,4.67,1.32,1.55,5.8279,133.75,79771.4,47.9403,10.2751,5462,14.2241,301,11.2920,78962.0,193.75,3.5573
30000,1,289,31.74,1.99,6.81,1.52,12.87,0.00,1.55,0.003,0.077,140722.4,42084.0,4,69,4.46,1.37,1.68,4.5973,47.64,31535.5,35.3418,10.7320,5461,14.2215,267,5.0944,37545.8,68.47,29.9811
30000,2,210,32.57,1.64,8.83,1.52,11.41,0.00,1.38,0.000,0.057,125074.6,28318.5,2,61,4.41,1.20,1.50,2.9910,3.96,18580.7,15.2718,10.8273,5461,14.2215,230,2.6649,19076.2,37.77,46.4178
40000,0,627,23.79,1.63,4.37,0.53,8.17,0.01,1.52,0.008,0.106,83800.0,24341.0,3,103,3.46,1.48,1.55,1.0850,34.09,90567.3,22.6520,5.7013,5462,4.7590,246,5.8207,27956.1,193.75,1.2094
