step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,223,36.85,0.56,9.93,2.99,18.61,0.03,1.13,0.018,0.081,192651.6,55597.3,1,59,5.28,1.11,1.19,6.3851,18.91,54539.1,47.7380,10.1460,5462,16.1799,334,7.9662,54671.9,166.39,5.6242
10000,1,153,35.69,0.63,9.54,2.02,18.41,0.00,1.20,0.000,0.055,188020.1,55313.2,1,39,4.92,1.17,1.28,6.1115,6.61,36627.8,45.0719,10.8389,5461,16.1770,379,6.1497,42942.2,81.98,19.3082
10000,2,112,36.14,0.89,10.94,2.12,16.54,0.00,1.20,0.000,0.038,156496.4,50681.2,1,47,4.65,1.12,1.31,5.5884,8.37,39063.2,31.1298,8.6802,5461,16.1770,392,4.6717,32368.6,51.61,36.8920
20000,0,372,32.94,1.29,9.03,2.78,10.04,0.41,1.27,0.078,0.098,96235.3,39198.5,2,107,4.41,1.29,1.25,1.1395,26.06,50589.5,20.2430,7.8668,5462,6.1001,292,2.9853,18445.8,166.39,1.9896
20000,1,306,26.98,0.69,5.99,1.95,11.79,0.21,1.19,0.062,0.072,54979.5,22921.5,2,54,4.17,1.26,1.15,0.5481,15.73,48680.7,10.2763,4.8645,5461,6.0990,228,1.2297,6151.9,81.98,4.7037
20000,2,314,22.69,0.56,5.20,1.26,11.10,0.22,1.13,0.051,0.065,42903.2,15075.5,2,105,3.86,1.18,1.06,0.3550,10.35,28995.2,5.8116,3.8719,5461,6.0990,93,0.5917,2886.9,51.61,8.0143
30000,0,591,18.52,0.05,5.02,0.24,6.99,0.00,1.02,0.000,0.083,163918.4,143150.7,2,126,2.76,1.02,1.02,4.0601,207.09,68576.7,46.1627,10.9784,5462,13.9456,121,7.8905,55334.4,166.39,5.1145
30000,1,560,17.88,0.00,4.69,0.29,7.70,0.00,1.00,0.000,0.080,157386.6,135478.5,2,145,2.85,1.00,1.00,3.3669,90.22,35565.7,47.5921,11.4221,5461,13.9431,67,6.3423,44384.3,81.98,18.6858
30000,2,463,17.65,0.00,4.31,0.22,8.17,0.00,1.00,0.000,0.068,126589.0,101528.7,2,193,2.92,1.00,1.00,1.7754,35.12,22323.7,30.1302,11.0492,5461,13.9431,49,2.2306,17126.7,51.61,33.8919
40000,0,660,18.71,0.01,4.50,0.19,7.78,0.00,1.01,0.000,0.095,135533.0,62217.5,1,172,2.98,1.01,1.01,1.5660,116.38,50396.0,14.4117,11.7077,5462,8.6977,35,2.4649,18676.9,166.39,2.1129
