step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached
10000,773,0.631,0.204,8.53,10418,8272,2240,65,498,13542,369755.0,72437.3,0.364,0.347,0.135,0.154,119,46.03,12.22,3.70,11.48,0.07,0.79,6.54,2.91,50.86,12.97,0.00,0.04,0.001,0.017,148,0.591,0.144,0.850,0.000,0.006,39910,37227,1,0.962,0.038,0.934,5098780,0.359,1.021,0.008,16.91,13109,127,5.349,0.831,0.043,3326836,1.71,0.24,0.853,0.023,0.001,36.0,45.4,53.8,107.4,47282,0.180,0.00,0.0009,0.195,213,0.773,0.000,0.524,0.751,7.71,7.87,7.83,0.02,0.005,1.62,1.81,1.70,0.773,0.00303,7.16,12.0881,670.34,98403.7,140185.7,153.331,10.1435,63.082,0.000,0.971,0.280,57.2,30.258,224.017,280,755.3,37.71,22.692,13.652,320.5,8.457,0.137,1.99,48.0986,37180.3,0.8049,0.1538,61.17,0.750,0.044,1.5345,0.0000,0.369,0.038,0.023,0.0000,7.91,0.55,49,64,64,81,27.9104,0.0150,0.6145,0.0000,0.0000,60.3593,100.00,96.9553
20000,1176,0.438,0.195,10.37,7094,5733,840,105,13,16739,342422.6,64984.6,0.142,0.639,0.099,0.120,216,33.70,20.80,5.54,13.53,4.15,11.30,3.52,4.96,23.78,12.44,0.45,1.26,0.067,0.188,541,0.081,0.134,0.864,0.000,0.002,15668,14733,2,0.731,0.198,0.513,4241395,0.406,1.166,0.009,27.58,5727,1131,3.882,0.105,0.182,1442178,2.24,1.22,0.451,0.310,0.129,18.2,27.6,67.5,144.7,43506,0.166,0.00,0.0012,0.163,340,0.387,0.000,0.131,0.593,5.75,6.18,6.30,0.56,0.134,2.72,1.41,2.43,0.388,0.00354,8.94,10.1311,724.86,111777.1,140185.7,17.864,6.5934,63.709,0.000,0.954,0.338,47.6,31.057,34.874,258,822.6,66.63,2.439,8.738,384.8,6.714,0.134,2.01,20.2941,23865.9,0.6867,0.5676,36.99,0.842,0.102,0.4655,0.0000,0.497,0.069,0.624,0.0000,6.54,1.01,22,36,64,100,26.7734,0.1234,0.6667,0.0000,0.0000,13.1528,100.00,98.7334
30000,1382,0.479,0.147,11.65,19776,15361,1368,2671,170,269446,394352.3,139247.3,0.131,0.621,0.075,0.173,191,28.02,22.67,1.97,5.94,7.81,11.03,0.32,1.70,13.69,9.50,0.17,0.81,0.179,0.229,1088,0.014,0.150,0.847,0.000,0.003,26559,19216,3,0.544,0.425,0.060,2564288,0.233,0.641,0.007,29.55,11242,857,0.517,0.078,0.227,5351395,1.55,4.93,0.103,0.632,0.053,6.3,19.9,59.3,166.3,32887,0.125,0.00,0.0021,0.158,398,0.567,0.000,0.568,0.368,4.51,5.05,5.78,0.24,0.067,1.67,1.40,1.58,0.576,0.00380,17.18,6.5356,123.62,126952.7,140185.7,132.886,7.5206,81.105,0.000,0.892,0.407,38.9,38.806,194.661,282,1011.4,10.43,7.419,15.261,239.0,10.620,0.132,2.00,6.7684,9353.9,0.5160,0.3787,23.80,1.025,0.332,1.5345,0.0000,0.514,0.086,0.541,0.0000,6.60,0.72,7,21,44,92,33.2530,0.2946,0.6317,0.0000,0.0000,56.5274,100.00,103.0955
40000,1507,0.638,0.139,12.88,15979,11648,344,3589,273,228718,287975.2,127028.9,0.067,0.661,0.049,0.223,256,27.85,28.98,0.80,2.89,8.58,12.77,0.13,1.79,9.59,6.50,0.01,0.18,0.147,0.197,1019,0.046,0.151,0.843,0.000,0.006,14311,8330,3,0.599,0.056,0.009,337255,0.221,0.645,0.007,25.39,7546,748,0.555,0.055,0.288,2042012,1.33,7.90,0.123,0.668,0.005,2.8,11.8,68.6,184.3,28783,0.110,0.00,0.0020,0.148,472,0.303,0.000,0.343,0.186,3.76,4.34,5.38,0.02,0.007,1.30,1.32,1.38,0.318,0.00408,9.35,2.6639,246.25,126445.6,140185.7,23.706,2.6065,58.927,0.000,0.955,0.334,51.0,27.738,34.557,230,761.8,11.73,2.041,5.001,358.2,3.526,0.132,1.99,6.3746,9606.4,0.7361,0.4896,19.10,1.140,0.533,0.4655,0.0000,0.554,0.071,0.812,0.0000,6.79,0.62,3,14,36,100,20.8063,0.7843,0.5090,0.0000,0.0000,12.8209,100.00,103.8800
50000,1778,0.670,0.133,14.92,68133,50198,12,16369,1283,823137,530523.0,414712.9,0.094,0.683,0.047,0.176,178,16.90,15.94,0.99,3.29,3.94,7.24,0.24,1.88,8.92,7.34,0.04,0.41,0.113,0.185,1233,0.013,0.134,0.855,0.000,0.011,73713,42872,2,0.711,0.049,0.042,420021,0.206,0.567,0.006,39.95,39074,412,0.504,0.106,0.253,5340835,1.37,9.46,0.093,0.669,0.012,2.2,11.2,44.2,98.0,25070,0.096,0.00,0.0033,0.143,488,0.342,0.000,0.457,0.200,3.27,3.69,5.12,0.04,0.012,1.36,1.37,1.41,0.371,0.00705,22.75,9.7387,274.72,125470.3,140185.7,114.775,8.8364,116.628,0.000,0.918,0.387,44.6,49.518,176.506,178,530.5,12.03,8.283,18.505,324.1,13.469,0.136,2.00,6.0144,10693.6,0.7920,0.4329,14.10,1.064,0.588,1.5345,0.0000,0.583,0.081,0.898,0.0000,6.67,1.17,3,13,25,64,35.9837,0.9923,0.4393,0.0000,0.0000,55.4345,100.00,100.1532
60000,1452,0.218,0.164,11.90,17971,13674,489,3657,477,213112,277553.7,117279.0,0.064,0.705,0.021,0.209,245,25.26,23.25,9.16,12.06,6.31,9.90,0.14,1.06,11.93,7.12,1.37,1.97,0.134,0.216,979,0.049,0.167,0.829,0.000,0.004,15451,8225,3,0.512,0.003,0.043,370970,0.176,0.856,0.012,25.00,9254,691,0.550,0.082,0.251,2538825,3.04,7.60,0.034,0.629,0.365,3.9,12.0,58.4,108.9,39979,0.153,0.00,0.0016,0.156,427,0.295,0.000,0.371,0.129,4.52,4.98,6.35,1.39,0.367,4.07,1.81,3.20,0.307,0.00321,10.04,2.7000,130.83,128904.5,140185.7,23.902,2.4520,57.421,0.000,0.933,0.362,27.0,27.301,33.480,353,1625.8,14.26,1.373,4.409,286.3,3.096,0.138,2.00,5.1757,7515.1,0.6188,0.4764,27.53,0.684,0.045,0.4655,0.0000,0.634,0.048,0.990,0.0000,7.53,0.75,5,17,61,82,20.6350,1.9969,0.7665,0.0000,0.0000,12.9212,100.00,105.7731
70000,1441,0.313,0.123,11.92,18590,13801,2011,1933,856,110705,312467.3,74737.7,0.098,0.592,0.035,0.276,205,21.81,22.81,7.20,12.00,5.73,10.62,0.30,2.13,12.16,6.92,1.28,2.16,0.112,0.204,942,0.031,0.188,0.807,0.000,0.005,17875,12699,5,0.474,0.087,0.064,794234,0.203,0.641,0.007,24.75,8567,856,0.675,0.070,0.191,5333244,2.64,7.75,0.050,0.625,0.282,3.5,10.0,59.6,184.7,36590,0.140,0.00,0.0018,0.162,432,0.564,0.000,0.466,0.217,4.48,4.49,6.41,1.32,0.285,3.37,1.42,2.92,0.569,0.00191,18.40,2.6555,103.15,123246.5,140185.7,142.149,5.2267,63.201,0.000,0.916,0.334,42.0,30.284,195.410,223,950.4,11.18,4.614,11.326,234.1,7.182,0.131,2.01,9.5767,13800.0,0.9456,0.5326,25.39,0.680,0.046,1.5345,0.0000,0.589,0.066,0.918,0.0000,7.35,0.84,5,15,64,107,26.1889,1.3419,0.6364,0.0000,0.0000,54.7816,100.00,99.8221
80000,1259,0.306,0.168,11.60,9775,7036,1135,1421,365,73624,198833.4,52490.9,0.055,0.668,0.045,0.232,249,28.00,25.58,11.35,14.21,8.77,11.86,0.13,1.07,11.09,6.97,2.01,2.52,0.164,0.226,888,0.041,0.160,0.833,0.000,0.006,7905,5057,5,0.398,0.011,0.031,354923,0.186,0.905,0.012,17.40,4141,947,0.713,0.044,0.255,2791226,3.66,6.97,0.065,0.711,0.414,3.5,10.8,64.4,113.0,39461,0.151,0.00,0.0014,0.148,382,0.427,0.000,0.426,0.163,4.87,5.07,6.69,2.08,0.415,4.64,1.66,4.22,0.431,0.00184,7.10,1.5135,153.71,129880.0,140185.7,34.313,2.6258,40.749,0.000,0.930,0.352,25.6,20.092,46.767,315,1432.1,28.67,1.518,4.655,457.4,2.735,0.136,1.99,5.1108,6434.5,0.6182,0.6070,31.34,0.679,0.054,0.4655,0.0000,0.596,0.075,0.925,0.0000,7.58,0.80,5,15,68,100,16.6226,1.1450,0.7141,0.0000,0.0000,12.8068,100.00,95.8812
90000,1074,0.278,0.189,12.43,18087,12582,1447,3407,836,147782,272235.2,88554.5,0.098,0.577,0.060,0.265,201,32.17,30.25,14.50,17.88,10.02,14.92,0.17,1.16,10.38,7.11,1.95,2.58,0.154,0.228,789,0.041,0.160,0.840,0.000,0.000,19919,15078,5,0.372,0.082,0.043,737566,0.203,1.002,0.016,20.82,8698,757,0.599,0.070,0.257,4344159,4.27,6.81,0.061,0.669,0.411,3.9,12.0,76.5,144.3,37658,0.144,0.00,0.0024,0.134,307,0.533,0.000,0.483,0.295,5.37,5.33,7.08,2.20,0.411,5.32,2.14,4.95,0.540,0.00278,17.37,2.5346,48.18,131336.3,140185.7,148.626,5.7233,56.869,0.000,0.835,0.371,20.7,27.006,190.588,407,1888.4,24.10,4.470,11.762,526.8,7.030,0.133,2.00,4.4166,4743.5,0.5159,0.4948,35.06,0.670,0.041,1.5345,0.0000,0.622,0.072,0.960,0.0000,7.86,1.26,6,17,81,144,23.1402,0.8813,0.7477,0.0000,0.0000,52.8274,100.00,92.4112
100000,1317,0.397,0.217,12.53,11076,6616,975,2823,419,123828,195370.0,67298.9,0.081,0.638,0.043,0.238,236,34.17,29.73,16.84,18.80,10.96,15.25,0.20,2.15,9.03,7.04,2.00,2.45,0.172,0.233,1035,0.040,0.179,0.816,0.000,0.005,8888,5647,5,0.371,0.029,0.027,465542,0.203,0.994,0.015,16.96,4760,761,0.543,0.062,0.309,2512362,4.93,6.72,0.055,0.720,0.453,3.8,18.5,76.7,115.9,48788,0.186,0.00,0.0016,0.149,378,0.413,0.000,0.431,0.181,5.45,5.58,7.15,2.36,0.453,6.06,2.30,5.84,0.420,0.00203,7.73,1.3013,126.98,130325.2,140185.7,33.828,3.1845,40.606,0.000,0.914,0.314,24.0,19.081,45.730,464,1751.1,21.14,1.750,5.406,806.8,2.805,0.137,2.00,3.6839,4851.6,0.4422,0.4885,37.04,0.660,0.045,0.4655,0.0000,0.638,0.080,0.979,0.0000,8.02,1.24,5,23,81,121,15.7757,0.6355,0.7001,0.0000,0.0000,12.3500,100.00,89.6067
