step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,892,31.88,2.66,7.14,1.01,15.85,0.02,1.72,0.007,0.273,396100.4,160315.8,14,44,4.51,1.86,1.75,25.2805,875.48,32518.8,2.4193,1.2349,5462,27.1821,302,64.3395,345910.9,138.87,4.4622
10000,1,820,30.25,2.12,6.92,1.78,14.92,0.07,1.55,0.022,0.240,436681.2,176638.3,16,29,4.34,1.58,1.65,27.3367,588.73,30824.7,6.7390,1.3407,5461,27.1771,306,68.4267,385541.5,96.71,10.8640
10000,2,698,27.59,2.14,5.87,1.72,13.74,0.13,1.54,0.063,0.188,348509.2,123565.5,12,52,4.18,1.75,1.41,19.7077,332.71,32204.3,3.3488,1.3987,5461,27.1771,254,54.2231,295113.7,64.42,29.6517
20000,0,967,25.15,0.76,7.13,1.64,9.09,0.01,1.25,0.003,0.205,186862.6,102742.3,3,97,3.81,1.21,1.33,8.1291,1255.64,29619.8,0.0431,2.8309,5462,10.6798,86,30.4216,158958.9,138.87,1.7813
20000,1,957,24.52,0.32,7.01,1.44,8.64,0.00,1.10,0.000,0.190,106886.7,51054.3,3,88,3.62,1.06,1.12,3.7579,1014.50,37891.9,0.0273,2.7848,5461,10.6779,75,16.2549,78643.9,96.71,2.5149
20000,2,678,28.32,0.45,8.29,1.95,9.87,0.00,1.15,0.000,0.161,81033.8,36384.9,2,94,4.01,1.11,1.21,2.1953,377.48,42667.8,0.0123,3.2345,5461,10.6779,51,9.0595,48560.7,64.42,6.3434
30000,0,1330,13.93,0.67,2.75,0.25,4.42,0.01,1.32,0.004,0.123,342850.0,361082.3,4,131,2.42,1.27,1.37,22.1708,894.49,33921.1,0.4914,1.8204,5462,22.5269,84,66.7916,325759.0,138.87,4.2988
30000,1,1505,13.94,0.57,2.87,0.31,4.52,0.01,1.24,0.003,0.143,384328.0,416334.8,6,163,2.35,1.22,1.27,27.5537,1338.79,32996.4,1.5602,1.4659,5461,22.5228,69,73.9999,370334.8,96.71,10.5868
30000,2,1006,15.30,0.71,3.02,0.30,5.64,0.00,1.29,0.003,0.111,306796.6,320158.8,4,157,2.57,1.28,1.38,20.2156,496.16,40408.5,0.9938,2.2601,5461,22.5228,142,56.3295,286586.5,64.42,27.6074
40000,0,1450,13.46,0.62,1.89,0.73,5.73,0.00,1.23,0.000,0.149,239010.4,147773.0,3,154,2.61,1.18,1.30,7.1924,584.04,22456.3,1.3298,6.6983,5462,14.2817,41,24.9343,174460.5,138.87,1.6397
40000,1,1347,13.68,0.41,1.71,0.82,5.97,0.00,1.16,0.001,0.135,132830.6,80014.7,3,121,2.60,1.13,1.20,3.3295,454.15,38472.9,0.0153,5.5659,5461,14.2791,62,11.3373,76810.8,96.71,2.4168
40000,2,1054,13.25,0.24,1.80,0.72,6.21,0.00,1.10,0.000,0.110,100533.5,60151.5,3,182,2.55,1.09,1.11,2.2846,283.87,50214.3,0.0007,4.8887,5461,14.2791,65,7.4521,51514.5,64.42,6.1258
50000,0,1410,23.21,0.22,4.02,0.56,8.72,0.02,1.09,0.006,0.220,413655.6,301762.7,3,144,3.19,1.11,1.08,19.2752,595.79,32341.7,4.2035,2.1184,5462,32.1889,127,64.8385,389461.1,138.87,4.3004
50000,1,1325,25.63,0.50,4.55,1.12,8.58,0.02,1.18,0.006,0.223,427303.6,329670.4,2,137,3.40,1.20,1.18,20.1894,497.34,29064.5,8.6711,2.3349,5461,32.1830,75,63.0606,401304.0,96.71,9.9337
50000,2,1046,25.21,0.61,3.87,0.97,10.06,0.00,1.20,0.002,0.185,361848.6,263532.4,3,161,3.46,1.17,1.25,15.6406,325.99,37203.0,4.0888,3.3029,5461,32.1830,85,51.8914,330454.5,64.42,27.1371
60000,0,1125,31.13,0.52,5.91,0.78,11.25,0.01,1.16,0.003,0.238,229854.0,89081.2,3,118,3.90,1.12,1.20,7.9072,729.36,22260.3,1.2054,4.9641,5462,13.6235,75,26.8797,182198.9,138.87,1.5583
60000,1,1137,23.61,0.48,3.64,0.74,10.48,0.01,1.16,0.003,0.199,137371.0,47119.3,3,112,3.59,1.12,1.18,3.6403,383.14,34351.5,0.0370,4.8175,5461,13.6210,45,12.9860,89359.6,96.71,2.5650
60000,2,890,21.86,0.16,3.86,0.64,9.76,0.00,1.05,0.001,0.147,94771.3,33866.8,3,173,3.48,1.02,1.06,2.3305,142.42,45897.4,0.0045,4.2240,5461,13.6210,46,7.2686,52828.7,64.42,5.8922
70000,0,1389,30.60,0.49,5.81,1.03,9.72,0.02,1.16,0.005,0.271,396932.3,181783.8,2,86,3.71,1.14,1.18,22.5405,649.96,28275.9,3.9063,1.9250,5462,28.5000,91,64.1448,380400.4,138.87,3.9025
70000,1,1319,31.81,0.21,6.39,0.76,10.04,0.01,1.06,0.003,0.262,409771.6,186476.5,2,113,3.67,1.07,1.06,20.4762,1324.49,25782.6,11.3223,2.1252,5461,28.4948,101,63.0160,390937.6,96.71,10.3418
