step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed
10000,2358,0.680,0.755,11.09,40055,30242,3710,2605,2601,223043,1090255.8,432326.3,0.302,0.423,0.158,0.117,81,30.44,20.21,2.33,5.14,6.38,8.28,1.05,4.24,13.00,10.68,0.04,0.30,0.184,0.210,1923,0.008,0.050,0.939,0.000,0.011,219414,204611,26,0.476,0.226,0.130,7060778,0.254,2.787,0.063,3.73,67882,534,1.938,0.240,0.347,12101994,1.64,7.22,0.127,0.692,0.025,6.3,28.3,57.4,123.9,53674,0.205,0.00,0.0036,0.063,688,0.953,0.000,0.753,0.818,4.08,5.16,5.29,0.32,0.145,1.48,1.74,1.69,0.959,0.00055,1.85,66.6310,1872.55,98646.4,140234.7,9.134,123.4328,172.470,0.000,1.000,0.072,55.0,77.154,244.472,823,3419.9,49.25,24.033,186.994,6819.9,96.061,0.135,2.00,11.0815,26130.1,0.7598,0.4489,22.76,1.207,0.265,1.5131,0.0000,0.487,0.107,0.468,0.0000,6.94,1.49,6,22,40,117,72.3676,3.4864,0.7248,0.0000,0.0000,46.1973,100.00,61.4255,437.8337
20000,1988,1.355,0.579,14.93,22827,19155,770,3206,66,283157,383929.7,230570.8,0.078,0.774,0.095,0.053,187,33.68,18.69,0.79,2.98,6.81,8.22,0.19,1.38,12.39,11.05,0.02,0.24,0.182,0.182,1385,0.063,0.085,0.902,0.000,0.013,69837,59035,3,0.616,0.103,0.038,695791,0.185,2.637,0.042,7.74,29393,573,0.814,0.151,0.413,7360513,1.26,3.22,0.316,0.678,0.012,8.2,33.7,57.2,205.0,40109,0.153,0.00,0.0016,0.075,571,0.786,0.000,0.744,0.681,3.62,4.67,4.70,0.11,0.050,1.26,1.26,1.28,0.795,0.00201,0.99,19.5726,2768.34,107817.6,140234.7,0.103,38.7188,66.738,0.000,1.000,0.223,47.6,29.877,73.775,366,1195.6,55.19,6.752,59.943,5172.5,30.575,0.135,2.00,9.4815,18849.3,0.8324,0.4515,20.18,1.633,0.307,0.4869,0.0000,0.586,0.148,0.695,0.0000,5.46,0.66,5,21,36,100,25.6456,0.2413,0.5080,0.0000,0.0000,11.0098,100.00,102.0234,261.5062
30000,2287,1.322,0.663,33.72,94537,57093,321,36811,13,1263015,1021528.4,1137457.6,0.159,0.800,0.012,0.029,68,40.31,23.25,0.11,1.07,7.92,8.22,0.04,0.69,12.03,9.39,0.01,0.20,0.180,0.149,1125,0.057,0.057,0.934,0.000,0.010,353033,275182,7,0.647,0.289,0.007,397960,0.124,3.247,0.050,5.32,206662,301,0.901,0.197,0.334,20592466,1.04,2.03,0.582,0.412,0.002,12.0,44.0,50.0,226.0,45973,0.175,0.00,0.0037,0.069,621,0.823,0.000,0.801,0.733,3.56,4.47,4.47,0.01,0.003,1.04,1.05,1.04,0.843,0.00433,1.42,90.9140,3121.48,83415.6,140234.7,3.033,141.9655,159.301,0.000,1.000,0.010,62.6,56.151,245.187,527,1966.2,127.56,9.656,195.235,5519.2,98.973,0.134,2.00,17.9389,41026.2,1.2713,0.5666,20.10,1.997,0.017,1.5131,0.0000,0.948,0.127,0.981,0.0000,4.96,1.02,6,22,25,113,45.5909,0.6494,0.5689,0.0000,0.0000,42.8941,100.00,75.2675,416.2119
40000,1902,1.526,0.517,34.61,22200,18299,674,3605,7,205656,353253.8,187145.7,0.193,0.732,0.027,0.048,142,41.08,20.96,0.03,0.39,7.24,6.75,0.00,0.03,13.25,9.13,0.00,0.00,0.167,0.138,939,0.068,0.106,0.884,0.000,0.011,56139,44362,3,0.463,0.248,0.001,74386,0.149,2.376,0.037,6.39,37216,424,0.910,0.222,0.228,6079933,1.01,1.83,0.593,0.342,0.000,14.0,50.0,50.0,200.0,39033,0.149,0.00,0.0014,0.076,499,0.792,0.000,0.567,0.614,3.65,4.58,4.62,0.00,0.001,1.01,1.01,1.01,0.802,0.00196,0.62,16.7282,1930.17,96266.3,140234.7,0.163,40.5255,62.385,0.000,1.000,0.203,54.7,28.569,77.069,429,1466.3,57.04,8.361,61.416,4666.6,29.011,0.135,2.00,16.2844,30973.0,1.0522,0.4819,20.52,1.999,0.008,0.4869,0.0000,0.953,0.067,0.999,0.0000,5.05,0.95,7,25,25,100,24.7781,0.0579,0.5026,0.0000,0.0000,11.1826,100.00,99.8802,250.1792
50000,1964,1.595,0.664,36.06,47655,38611,2284,6673,25,371941,1098273.1,620483.2,0.152,0.742,0.030,0.076,66,38.91,18.83,0.01,0.31,7.42,6.91,0.00,0.12,12.01,7.32,0.00,0.06,0.179,0.123,796,0.057,0.071,0.917,0.000,0.012,235627,192670,14,0.448,0.313,0.002,76469,0.239,3.218,0.046,6.62,153493,486,1.668,0.216,0.230,17440143,1.01,1.06,0.735,0.258,0.001,20.0,32.0,50.0,162.0,38192,0.146,0.00,0.0047,0.076,566,0.878,0.000,0.487,0.799,3.55,4.39,4.41,0.00,0.001,1.01,1.00,1.01,0.885,0.00257,1.65,88.5226,3687.40,72351.9,140234.7,17.098,123.2726,158.957,0.000,1.000,0.011,54.3,61.521,244.820,429,1663.5,72.73,10.616,180.561,5246.9,105.465,0.134,2.00,26.6228,52287.1,1.6857,0.6030,19.45,2.000,0.005,1.5131,0.0000,0.953,0.076,0.995,0.0000,4.66,0.82,10,16,25,81,55.5693,0.9121,0.4929,0.0000,0.0000,41.9700,100.00,48.0757,419.7383
60000,2025,1.575,0.405,36.31,24881,20928,1181,2711,0,144878,463670.6,206616.0,0.146,0.759,0.041,0.054,141,32.12,9.71,0.01,0.18,4.87,4.15,0.01,0.33,11.17,5.85,0.00,0.00,0.153,0.127,517,0.149,0.112,0.880,0.000,0.009,75086,59776,9,0.871,0.078,0.002,18695,0.116,2.227,0.028,10.15,50589,417,1.426,0.256,0.162,6891188,1.00,0.55,0.814,0.186,0.000,24.0,32.0,40.0,98.0,32516,0.124,0.00,0.0020,0.088,582,0.689,0.000,0.355,0.675,3.24,4.02,4.04,0.00,0.000,1.00,1.00,1.01,0.695,0.00221,1.19,25.0925,2117.16,82808.0,140234.7,0.861,32.7442,78.696,0.000,1.000,0.107,50.5,35.246,72.915,310,980.1,74.47,7.396,56.798,3108.6,36.431,0.135,2.00,22.8377,46246.3,1.6391,0.5241,16.06,2.000,0.000,0.4869,0.0000,0.937,0.074,0.995,0.0000,4.17,0.45,12,16,20,49,30.6096,0.1561,0.4281,0.0000,0.0000,10.7851,100.00,92.4316,285.5883
70000,2413,1.383,0.463,36.37,51273,41923,3642,5320,0,234789,1121569.4,671816.2,0.160,0.737,0.056,0.047,65,31.36,8.41,0.00,0.00,4.57,4.25,0.00,0.00,11.11,5.54,0.00,0.00,0.146,0.133,567,0.208,0.102,0.891,0.000,0.007,276637,230358,9,0.718,0.245,0.000,16880,0.239,3.096,0.026,12.07,181362,501,2.861,0.245,0.219,17182011,1.00,0.55,0.826,0.174,0.000,24.0,32.0,32.0,98.0,37837,0.144,0.00,0.0042,0.107,777,0.758,0.000,0.317,0.816,3.22,3.98,3.98,0.00,0.000,1.00,1.00,1.00,0.762,0.00235,3.28,96.9082,3725.87,65015.2,140234.7,39.318,94.6684,170.650,0.000,1.000,0.027,66.6,66.612,238.877,213,608.0,109.64,9.253,150.987,2802.5,102.203,0.136,2.00,25.9886,62710.6,1.8659,0.7228,15.68,2.000,0.000,1.5131,0.0000,0.933,0.076,0.994,0.0000,4.12,0.37,12,16,16,49,59.2820,1.6718,0.4720,0.0000,0.0000,42.2468,100.00,43.6642,393.7973
80000,2114,1.451,0.380,36.67,25496,21354,1859,2582,0,116600,499499.7,231259.7,0.122,0.784,0.057,0.038,142,32.10,10.37,0.01,0.11,3.97,4.44,0.00,0.00,12.07,6.35,0.00,0.05,0.126,0.133,518,0.254,0.122,0.871,0.000,0.008,83580,65407,15,0.467,0.148,0.000,7712,0.144,2.249,0.024,15.33,56126,402,1.983,0.263,0.149,6591394,1.00,0.55,0.804,0.196,0.001,24.0,32.0,36.0,128.0,33917,0.129,0.00,0.0020,0.097,661,0.561,0.000,0.251,0.700,3.16,4.01,4.05,0.00,0.001,1.00,1.00,1.00,0.565,0.00258,2.45,29.0782,2147.99,87279.4,140234.7,4.697,24.4019,87.591,0.000,1.000,0.221,55.6,39.741,64.870,249,753.3,82.39,5.576,46.585,2724.5,34.841,0.135,2.00,19.9851,42248.5,1.4674,0.5625,16.04,2.000,0.000,0.4869,0.0000,0.930,0.075,0.997,0.0000,4.16,0.49,12,16,18,64,34.1245,0.1600,0.4470,0.0000,0.0000,10.7142,100.00,92.2163,335.2390
90000,2450,1.439,0.469,36.33,52512,42731,3701,5736,8,244353,1138145.1,699237.6,0.154,0.735,0.062,0.050,64,31.82,10.07,0.01,0.23,4.40,4.29,0.00,0.00,11.50,6.22,0.00,0.02,0.140,0.135,537,0.241,0.091,0.902,0.000,0.007,281895,228189,25,0.353,0.371,0.000,24931,0.239,3.133,0.027,14.08,186111,465,2.862,0.265,0.250,16899073,1.00,0.62,0.828,0.172,0.000,24.0,32.0,32.0,162.0,38958,0.149,0.00,0.0040,0.103,710,0.735,0.000,0.287,0.815,3.16,3.99,3.99,0.00,0.001,1.00,1.00,1.01,0.739,0.00256,3.98,97.6679,3834.18,63959.0,140234.7,41.972,88.7259,175.507,0.000,1.000,0.014,65.6,69.378,236.291,198,638.2,103.31,8.958,146.360,2738.1,101.904,0.136,2.00,25.8920,63435.4,1.8555,0.7075,15.90,2.000,0.000,1.5131,0.0000,0.920,0.092,0.994,0.0000,4.14,0.43,12,16,16,81,61.7187,1.3996,0.4453,0.0000,0.0000,41.5163,100.00,44.0884,398.7662
100000,2104,1.421,0.331,36.53,25221,20849,1866,2852,0,124045,506452.8,242818.7,0.109,0.803,0.051,0.037,142,31.04,8.70,0.00,0.00,4.03,4.20,0.00,0.11,11.49,5.36,0.00,0.00,0.128,0.128,460,0.267,0.123,0.867,0.000,0.010,85309,65592,13,0.253,0.069,0.001,2755,0.202,1.938,0.020,17.24,57043,410,1.958,0.244,0.165,6441158,1.00,0.57,0.830,0.169,0.000,24.0,32.0,32.0,128.0,32653,0.125,0.00,0.0021,0.113,653,0.533,0.000,0.262,0.708,3.11,3.96,3.95,0.00,0.000,1.00,1.00,1.00,0.537,0.00285,3.13,30.0793,2030.75,84121.0,140234.7,4.754,23.5888,88.241,0.000,1.000,0.190,55.8,39.749,61.231,193,487.0,50.68,4.673,44.078,2242.5,33.580,0.135,2.00,22.0227,46335.8,1.6446,0.5706,15.52,2.000,0.000,0.4869,0.0000,0.905,0.101,0.987,0.0000,4.09,0.36,12,16,16,64,33.4922,0.2517,0.4368,0.0000,0.0000,10.5760,100.00,90.9236,325.5735
