step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,370,22.96,0.42,4.43,0.44,20.21,0.02,1.09,0.005,0.109,127015.8,29446.3,2,56,5.18,1.11,1.09,4.4040,37.38,81447.5,49.0561,3.2426,5462,8.7727,129,10.4577,52576.2,203.14,11.8021
10000,1,274,24.70,0.40,5.75,0.31,20.33,0.03,1.04,0.011,0.083,99701.1,24874.2,2,82,5.24,1.03,1.06,3.7334,18.46,31856.2,44.2974,2.5536,5461,8.7711,122,6.3906,32422.9,63.17,37.2441
10000,2,192,19.87,0.06,2.30,0.01,20.32,0.00,1.00,0.000,0.050,81717.1,22792.4,1,77,4.95,1.00,1.00,3.4369,5.49,14188.0,24.6976,2.0888,5461,8.7711,56,3.1720,18335.9,33.67,52.0210
20000,0,440,24.71,0.16,10.50,0.02,13.82,0.04,1.02,0.009,0.123,108303.9,33145.2,1,70,4.48,1.02,1.03,1.6734,120.77,89767.1,16.9152,7.7167,5462,6.7489,140,4.7322,31963.0,203.14,4.2152
20000,1,333,25.63,0.76,10.62,0.01,13.42,0.02,1.24,0.009,0.094,59442.5,17048.5,1,88,4.41,1.21,1.33,0.4834,28.11,25841.7,5.8065,5.4248,5461,6.7476,81,0.7915,5594.9,63.17,7.7975
20000,2,292,27.62,0.61,11.79,0.00,14.16,0.08,1.10,0.017,0.089,43459.6,13314.0,1,107,4.68,1.09,1.13,0.4202,45.28,12036.0,1.2075,4.2281,5461,6.7476,38,0.2119,1542.9,33.67,11.0822
30000,0,292,25.27,0.42,7.28,0.01,15.52,0.02,1.07,0.007,0.078,114346.0,40368.0,3,42,4.59,1.09,1.08,1.9580,27.46,109494.0,50.3158,7.6308,5462,9.4166,107,6.5894,39322.8,203.14,10.5693
30000,1,286,29.53,0.80,9.55,0.01,15.66,0.05,1.09,0.014,0.085,84714.1,32507.9,3,74,4.72,1.03,1.14,0.8238,16.62,16432.3,42.2945,7.3445,5461,9.4149,64,2.0365,12435.3,63.17,32.4421
30000,2,193,29.53,0.56,9.98,0.04,15.11,0.03,1.05,0.010,0.056,93154.4,35839.2,3,93,4.72,1.04,1.04,0.6960,6.52,3253.9,14.8951,8.9270,5461,9.4149,15,0.5721,4377.7,33.67,47.7969
40000,0,386,46.95,1.41,18.87,0.00,14.28,0.03,1.30,0.010,0.153,83527.9,28757.6,4,113,5.30,1.13,1.44,1.0044,34.90,108571.9,18.8469,6.7760,5462,5.9810,105,3.0692,16417.9,203.14,4.0342
40000,1,357,41.20,1.23,16.01,0.00,13.57,0.05,1.21,0.017,0.125,59011.9,24414.3,4,73,4.96,1.14,1.33,0.4119,14.79,11671.4,4.9693,5.7031,5461,5.9799,55,0.4353,2622.0,63.17,8.1750
40000,2,340,39.55,1.58,14.80,0.00,12.64,0.03,1.27,0.012,0.114,42706.0,19488.8,4,135,4.78,1.11,1.39,0.3375,15.75,9363.2,1.5719,4.2263,5461,5.9799,102,0.1581,1054.6,33.67,11.4255
50000,0,364,41.27,1.43,16.64,0.05,13.37,0.13,1.27,0.041,0.131,78729.3,28921.2,3,73,5.17,1.21,1.29,1.2353,58.33,116496.5,51.9197,5.9054,5462,7.0966,158,4.3226,21085.2,203.14,12.3228
50000,1,265,44.80,2.26,17.77,0.01,12.34,0.17,1.46,0.053,0.099,72406.4,27798.4,3,62,5.17,1.40,1.57,0.7859,40.17,11510.4,38.0691,6.3412,5461,7.0953,88,2.3112,10055.2,63.17,33.1268
50000,2,232,34.34,1.67,12.40,0.00,11.49,0.06,1.31,0.026,0.067,69189.2,25534.1,3,68,4.76,1.20,1.36,0.5117,4.68,2866.0,20.7010,6.6386,5461,7.0953,39,0.5729,3449.9,33.67,49.3660
