step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,3076,0.9395,30711.6,922,994,1068,1014,13,7,15,26538,26451,31265
2000,3102,0.9026,53614.2,1826,980,1094,1028,11,7,16,19587,17499,23852
3000,3109,0.9186,73803.6,2729,999,1083,1027,14,9,16,13619,10323,16729
4000,2609,0.6133,42077.7,578,833,955,821,25,22,21,27566,22740,26592
5000,2902,0.6399,59948.3,858,1043,1067,792,42,25,34,22077,16303,22478
6000,2918,0.6532,62474.4,1061,952,1060,906,52,32,51,19678,15212,23358
7000,3263,0.6237,54001.3,726,964,1291,1008,53,52,62,22687,18309,25391
8000,2989,0.6547,50353.2,906,858,1294,837,51,44,62,24204,19227,26807
9000,2825,0.6949,41834.8,999,828,1016,981,55,23,52,28240,23089,29796
10000,2410,0.7320,28679.9,900,892,820,698,44,29,52,32519,30825,32204
11000,2213,0.7081,20347.0,884,815,809,589,43,52,58,36023,35883,35622
12000,1796,0.7422,13656.3,943,666,660,470,41,50,70,37794,39644,39566
13000,1344,0.7478,10121.1,850,678,399,267,44,45,47,37463,43346,43028
14000,990,0.7848,6786.1,1000,559,281,150,27,59,54,35417,46514,46580
15000,711,0.6807,4956.2,757,534,154,23,14,70,20,33754,48412,49027
16000,691,0.6252,4703.5,603,538,108,45,16,81,43,31478,49349,50678
17000,1158,0.5561,6380.0,471,786,221,151,36,84,98,29499,48149,50698
18000,1557,0.6050,6963.0,404,799,465,293,58,88,92,30162,46173,49426
19000,2090,0.6230,11791.7,469,839,725,526,65,94,105,30302,42559,46635
20000,2602,0.5465,17556.6,458,967,957,678,97,88,94,29620,37892,42668
21000,2916,0.5693,24212.6,473,1126,957,833,86,69,108,28000,33697,38546
22000,3147,0.6155,33430.5,641,1174,1071,902,81,67,66,25936,29300,33404
23000,3811,0.4999,32405.5,453,1438,1341,1032,118,102,88,26810,26331,31481
24000,4158,0.5012,24045.5,294,1332,1437,1389,110,85,110,31581,29822,32496
25000,3917,0.4276,19338.7,219,1200,1551,1166,109,97,130,33422,29723,33802
