step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
2000,0,1,961,125.1515,132.37,444.62,34.33,5,35.79,15.816,3.892,0.2591,450.656
2000,0,2,5760,770.3442,597.14,27213.01,41.49,451,21.49,9.121,9.475,0.7893,550.714
2000,10,0,2834,145.0036,164.68,42.34,23.94,20,40.10,18.230,2.674,0.1364,316.109
2000,10,1,1339,180.2617,179.30,604.19,35.01,20,37.00,16.581,3.617,0.2391,486.586
2000,10,2,5272,741.1990,600.02,21037.28,50.59,280,23.11,10.051,9.043,0.6919,563.509
2000,20,0,3278,143.8354,181.84,43.19,25.99,17,38.31,17.137,3.154,0.0957,173.734
2000,20,1,1550,181.4173,178.87,720.89,43.52,26,34.76,15.324,4.336,0.2723,432.038
2000,20,2,3617,619.8937,497.82,12045.05,56.88,233,24.38,10.432,8.354,0.6306,523.414
2000,30,0,4688,253.8913,234.45,74.40,34.87,53,34.68,14.759,3.955,0.1387,186.026
2000,30,1,2076,312.6612,305.06,847.07,56.03,57,33.51,14.107,4.263,0.3177,375.278
2000,30,2,2510,400.1007,321.06,7334.98,44.89,163,25.59,10.285,7.161,0.6213,475.099
2000,40,0,4965,292.0317,274.21,59.67,42.79,34,30.13,11.611,4.783,0.1379,111.023
2000,40,1,1492,295.1809,238.06,630.50,46.67,62,31.45,12.169,4.176,0.3833,306.686
2000,40,2,1713,390.7097,243.26,4379.80,30.04,143,23.88,8.555,6.924,0.7156,377.266
2000,50,0,4767,368.7409,294.36,27.00,41.97,59,24.55,7.829,5.813,0.1181,45.371
2000,50,1,287,116.2723,61.91,111.01,41.58,50,28.15,9.440,4.318,0.5436,247.387
2000,50,2,662,212.6894,93.96,1374.59,20.14,84,21.86,6.670,6.776,0.8259,289.474
2000,60,0,3821,124.4891,108.75,11.84,34.65,5,18.74,3.938,6.719,0.0856,13.909
2000,60,1,30,32.2895,20.74,10.32,22.63,2,18.61,3.665,6.422,0.8114,116.316
2000,60,2,4,3.1353,1.18,6.43,29.85,0,15.43,2.600,8.038,0.9608,141.888
2000,70,0,4651,43.2818,39.18,7.61,26.56,0,15.11,1.226,6.293,0.0632,2.519
2000,70,1,5,2.4280,2.25,0.94,-2.30,0,11.16,0.491,8.498,0.8467,50.293
2000,80,0,3564,7.6093,7.15,2.85,26.15,0,15.32,0.201,3.833,0.0540,0.033
3000,-60,0,2521,0.5592,63.89,50.09,-18.31,2,-14.86,0.000,29.857,0.3819,5.030
