step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept
1000,12388,8030,127547,711054,677161,572166,11341,66914,528,1,261464,5369278,167541.384,78226.866,1.0796,60585.393,0.239,0.295,0.243,0.223,0.629,0.331,375,0.0332,0.6907,0.099,16.9,46.8,85.5,42.93,4.35,7.22,2.34,29.01,7.44,1.102,0.156,0.081,0.084,18.252,0.607,0.0026,155,471,1801,8322,46,0,0.000,6570,3035,2948,6405,686,2268,9434,0.00,1.26,9525,27.9960,159212,9290,459400,2450.0,-0.0,425652,62.772,2601587.666,1.20e-14,0.00042,30.00,211411,87.379,2.290,84.077,1.012,87.383,8909,1008,2471,0.3147,0.876,1.080,1.336,1.098,0.932,1.182,37502.796,12689.440,155270.038,37957.378,34899.361,11864.677,3026.740,2750.056,0.683,0.555,0.549,0.868,0.715,0.657,6584,37629,0.8148,0.5492,0.5552,0.9999,0.0543,0.0516,0.5510,0.7345,0.8270,0.1198,0.0615,0.0351,0.0000,0.7594,0.9658,0.0000,0.6065,0.9578,0.00332,16823,0.9998,0.6757,0.7350,0.9991,0.0543,0.0516,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2087,4.9062,5.0054,0.0899,0.1812,0.1579,0.329,0.386,0.349,0.333,11051,0.1929,0.0094,0.0113,0.00223,0.00166,0.00153,23.45,28.34,28.05,252.3354,0.0379,72.3360,40.6258,22.1464,1052960,1532680,0.7046,0.0169,3940.0,252.3354,21.62,0,0,0,0,0,0,6189,17641.472,16080.702,0.9729
2000,12757,2482,78953,155453,137008,75341,1159,36399,339,0,379863,2887130,36938.928,37347.301,1.0097,13374.532,0.118,0.605,0.117,0.160,0.503,0.334,618,0.0922,0.6631,0.074,16.0,40.4,71.3,35.09,2.70,9.39,0.62,22.38,6.95,1.195,0.247,0.155,0.159,7.296,0.299,0.0042,93,553,869,19765,53,0,0.000,6607,1003,3037,8717,388,791,11578,0.00,8.85,8918,9.8987,159992,10178,421849,3208.4,-0.0,476129,20.745,2601587.666,8.77e-15,0.00135,25.34,53594,30.677,2.318,27.469,0.890,30.681,4058,2489,6210,0.2767,0.899,1.170,1.526,1.204,0.928,1.295,14449.968,14906.737,11373.735,14366.860,24572.864,12691.949,3220.477,8060.344,0.508,0.497,0.503,0.464,0.510,0.486,9530,21950,0.7434,0.3647,0.4984,0.9997,0.0431,0.0602,0.5710,0.7171,0.8525,0.1814,0.0261,0.0214,0.0000,0.4691,0.9460,0.0434,0.6221,0.9774,0.00325,5547,0.9989,0.6771,0.7529,0.9987,0.0431,0.0602,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4226,5.1699,4.9814,0.0408,0.0770,0.0661,0.094,0.111,0.108,0.102,2578,0.1008,0.0034,0.0032,0.00233,0.00092,0.00090,27.05,27.80,27.25,1547.3294,0.0917,39.4184,12.2227,8.5219,1064059,1529158,1.2439,0.0731,5927.8,1547.3294,26.00,0,0,0,0,0,0,11771,23972.770,21504.248,0.9572
3000,14368,2702,85713,163216,143628,76280,1223,34634,297,0,397094,3696159,40870.732,38111.264,1.0054,13158.909,0.055,0.747,0.084,0.114,0.523,0.323,491,0.0958,0.6762,0.064,14.7,38.5,67.4,32.49,3.06,8.05,0.50,20.88,6.72,1.189,0.219,0.224,0.231,6.642,0.316,0.0040,85,327,714,22032,66,0,0.000,7423,41,2375,11952,389,835,13144,2.75,9.67,9053,10.5086,160360,11068,393331,2820.1,-0.0,507472,15.240,2601587.666,2.86e-15,0.00281,14.43,55567,29.838,2.300,26.540,0.998,29.842,4518,3793,6057,0.3650,0.871,1.070,1.685,1.190,0.930,1.351,14327.313,16562.080,13752.274,14205.604,26071.763,12311.907,2854.878,9785.571,0.548,0.534,0.497,0.408,0.489,0.491,10605,28960,0.7476,0.4602,0.4356,0.9998,0.0347,0.0554,0.5341,0.8238,0.8704,0.2176,0.0214,0.0328,0.0000,0.0052,0.9175,0.0000,0.6260,0.9906,0.00332,6155,0.9995,0.7129,0.7677,0.9989,0.0347,0.0554,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5154,4.8424,4.8611,0.0407,0.0558,0.0502,0.113,0.091,0.104,0.070,1915,0.0707,0.0034,0.0039,0.00246,0.00103,0.00105,23.58,27.25,27.35,4191.6486,0.1121,40.8966,6.3727,8.8673,1065815,1527125,1.4721,0.1230,5393.2,4191.6486,22.38,0,0,0,0,0,0,12141,24952.356,22279.131,0.9543
4000,10846,2704,82634,152453,133473,68591,1228,34189,416,0,375675,3933955,36521.444,36129.523,0.9898,12889.220,0.050,0.793,0.059,0.099,0.528,0.331,473,0.1204,0.6837,0.057,16.0,41.2,72.3,32.67,3.92,9.57,0.44,18.74,6.54,1.239,0.239,0.294,0.300,7.049,0.309,0.0040,83,334,751,21715,85,0,0.000,6196,91,2208,8547,406,1042,9398,4.75,11.35,9535,10.7971,160873,12609,370554,2040.2,0.0,533916,15.446,2601587.666,1.84e-14,0.00381,37.93,52701,28.090,2.304,25.128,0.658,28.093,4554,2296,3996,0.3228,0.887,1.132,1.790,1.220,0.933,1.437,13233.074,13592.883,13296.819,13117.547,22996.297,10075.003,4128.638,9036.661,0.526,0.547,0.518,0.375,0.457,0.487,13445,32320,0.7273,0.3720,0.3624,0.9991,0.0303,0.0542,0.5248,0.8916,0.8895,0.2202,0.0254,0.0315,0.0000,0.8546,0.9681,0.0124,0.6378,0.9931,0.00334,4095,0.9989,0.8035,0.8047,0.9985,0.0304,0.0542,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5669,4.8725,4.9373,0.0398,0.0694,0.0550,0.073,0.059,0.064,0.074,1652,0.0840,0.0033,0.0029,0.00233,0.00094,0.00094,26.11,26.77,27.01,4098.4860,0.1072,36.7329,6.5804,8.8653,1067453,1527234,1.4202,0.1354,5132.0,4098.4860,25.42,0,0,0,0,0,0,13484,23240.303,20563.869,0.9493
5000,10780,2580,87113,169619,151325,81726,780,33522,172,0,350255,3651847,43012.115,37948.947,1.0474,15020.903,0.055,0.761,0.073,0.112,0.516,0.340,434,0.1173,0.6649,0.066,20.7,42.1,68.0,32.75,4.56,9.94,0.35,17.91,6.31,1.227,0.244,0.381,0.388,6.552,0.305,0.0039,81,325,748,16460,78,15,0.046,6204,129,1941,8710,599,1262,8919,6.00,12.44,7078,10.0017,161474,12002,348808,2551.9,-0.0,560992,15.186,2601587.666,1.52e-14,0.00036,12.68,56315,29.227,2.308,26.282,0.637,29.231,5264,2020,3496,0.2943,0.915,1.114,1.729,1.218,0.955,1.397,15116.351,15380.505,17244.869,14979.783,25808.367,11568.828,3617.916,7741.301,0.511,0.531,0.511,0.410,0.466,0.540,14804,35649,0.7129,0.2960,0.3251,0.9991,0.0363,0.0645,0.5209,0.8971,0.8339,0.2169,0.0427,0.0554,0.0000,0.0000,0.7890,0.0661,0.6335,0.9668,0.00334,5886,0.9987,0.8250,0.7472,0.9979,0.0364,0.0646,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5501,5.1819,5.0598,0.0340,0.0554,0.0438,0.063,0.064,0.054,0.059,1597,0.0636,0.0036,0.0034,0.00242,0.00106,0.00117,26.00,27.30,27.46,4284.1894,0.1246,41.5377,7.0267,8.1593,1069363,1525695,1.0887,0.1149,4743.1,4284.1894,23.03,0,0,0,0,0,0,10353,22928.044,20452.629,0.9458
6000,11600,2319,72963,130744,113796,57186,595,30329,147,0,305703,3120561,34969.482,30380.785,1.0735,9869.231,0.042,0.816,0.054,0.088,0.487,0.364,522,0.1021,0.6538,0.052,17.7,40.6,68.9,32.47,4.31,9.90,0.27,18.00,6.36,1.231,0.255,0.346,0.351,5.978,0.273,0.0042,84,350,729,12889,51,19,0.143,6363,431,1766,9403,717,959,9924,6.75,13.37,7157,9.1192,162368,13920,328928,2441.0,-0.0,588268,13.728,2601587.666,3.29e-14,0.00034,23.20,46847,24.398,2.234,21.478,0.686,24.400,4727,2469,4404,0.3191,0.889,1.070,1.871,1.199,0.945,1.425,12819.131,12384.810,13120.484,12677.497,19040.731,11051.433,2803.427,6656.695,0.495,0.480,0.480,0.351,0.457,0.479,20256,26935,0.7525,0.2489,0.2763,0.9994,0.0396,0.0688,0.5048,0.8414,0.8769,0.2440,0.0486,0.0422,0.0000,0.5828,0.9493,0.0195,0.6291,0.9521,0.00334,4632,0.9995,0.8178,0.7891,0.9987,0.0397,0.0688,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5607,5.0983,5.1214,0.0307,0.0453,0.0309,0.034,0.046,0.026,0.051,1571,0.0593,0.0036,0.0034,0.00229,0.00098,0.00109,22.35,27.72,27.70,4194.3721,0.1290,32.2920,7.3655,6.3626,1071575,1523403,0.9106,0.0715,4449.9,4194.3721,19.40,0,0,0,0,0,0,8529,20511.555,18337.087,0.9477
7000,10055,2146,72660,134353,118338,61084,609,29828,123,0,312326,3172047,36003.749,31952.304,1.0958,10561.355,0.048,0.844,0.047,0.060,0.485,0.374,307,0.1104,0.6448,0.068,20.0,40.9,68.1,31.72,4.31,9.67,0.50,17.24,6.13,1.265,0.241,0.371,0.376,5.855,0.273,0.0041,85,341,572,13395,49,18,0.093,5777,682,1789,7584,483,1211,8361,9.00,14.90,8715,10.4423,163393,14060,307291,2605.3,-0.0,611528,13.301,2601587.666,2.36e-14,0.00037,24.47,48389,24.215,2.227,21.388,0.601,24.218,4481,1926,3648,0.2786,0.904,1.123,1.887,1.227,0.931,1.488,12385.061,14530.686,12068.739,12224.060,22272.304,11314.072,2016.218,8060.659,0.484,0.505,0.475,0.332,0.487,0.499,22465,26853,0.6451,0.2794,0.3400,0.9997,0.0469,0.0669,0.5160,0.8198,0.8183,0.2238,0.0591,0.0452,0.0000,0.5535,0.9358,0.0913,0.6619,0.9508,0.00325,7534,0.9985,0.6827,0.7881,0.9986,0.0469,0.0669,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3343,5.2997,5.1963,0.0298,0.0634,0.0592,0.092,0.086,0.077,0.136,1547,0.0588,0.0026,0.0037,0.00256,0.00104,0.00104,27.39,27.11,26.89,4150.1310,0.1291,35.2479,7.0305,6.2704,1073509,1522409,1.1054,0.0862,4239.3,4150.1310,21.78,0,0,0,0,0,0,8320,21390.949,19127.531,0.9423
8000,11457,2181,83809,164667,146864,80109,749,27579,103,0,349935,3327948,41236.753,36193.651,1.0419,13406.609,0.076,0.822,0.049,0.054,0.499,0.368,219,0.0908,0.6481,0.066,21.7,40.1,65.1,31.32,3.75,9.14,0.57,17.85,6.14,1.313,0.230,0.321,0.325,5.781,0.240,0.0037,75,308,522,12508,18,20,0.276,6272,543,1641,9273,1038,840,9579,7.00,13.16,8635,10.7082,163983,14417,289040,2900.1,-0.0,630817,12.284,2601587.666,1.63e-14,0.00006,7.77,62617,27.303,2.219,24.191,0.894,27.306,4725,2042,4690,0.2482,0.926,1.156,1.968,1.259,0.937,1.531,11953.410,18936.143,14275.472,11837.686,28530.204,10986.235,1923.451,9877.356,0.490,0.515,0.500,0.401,0.491,0.525,22153,36074,0.6383,0.2692,0.2835,0.9997,0.0462,0.0700,0.5329,0.8548,0.8388,0.2126,0.0478,0.0443,0.0000,0.0000,0.8992,0.0073,0.6467,0.9425,0.00329,5884,0.9990,0.6978,0.8055,0.9989,0.0462,0.0700,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4507,5.4604,5.4575,0.0293,0.0586,0.0541,0.124,0.083,0.124,0.090,1537,0.0608,0.0024,0.0035,0.00256,0.00107,0.00115,23.93,27.26,27.45,3868.5955,0.1257,41.0857,6.3552,5.9291,1075624,1519456,1.5160,0.2016,4421.3,3868.5955,16.84,0,0,0,0,0,0,11230,22787.041,20180.963,0.9426
9000,10342,2085,77095,149299,132200,71600,604,25492,69,0,313104,3088330,37570.730,34140.675,1.0786,13033.158,0.068,0.799,0.069,0.064,0.501,0.367,228,0.0923,0.6469,0.060,22.0,40.6,65.2,31.97,4.45,9.66,0.42,17.44,6.15,1.258,0.233,0.374,0.377,6.106,0.281,0.0036,78,315,518,10724,35,18,0.313,5566,54,1606,8682,271,805,9266,7.25,13.18,9295,10.8004,164523,14258,276492,2502.9,-0.0,645317,12.082,2601587.666,0.00e0,0.00002,30.68,54906,26.111,2.264,23.218,0.629,26.114,4112,2205,4025,0.2964,0.878,1.094,1.969,1.185,0.921,1.516,11073.632,16379.621,13614.491,10970.686,26018.711,10728.714,1583.602,8795.201,0.504,0.521,0.490,0.366,0.475,0.531,23022,34329,0.6973,0.2374,0.2627,1.0000,0.0399,0.0570,0.4913,0.8308,0.7940,0.2499,0.0606,0.0507,0.0000,0.7841,0.9563,0.0000,0.7112,0.9583,0.00329,5457,0.9983,0.6441,0.7322,0.9989,0.0399,0.0570,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4165,5.2531,5.1213,0.0336,0.0610,0.0556,0.129,0.061,0.056,0.104,1733,0.0811,0.0019,0.0025,0.00246,0.00097,0.00103,25.69,27.37,27.99,4344.5363,0.1132,37.5474,6.2200,5.8617,1077695,1517909,1.8349,0.2639,4213.6,4344.5363,18.95,0,0,0,0,0,0,11130,21107.517,18634.636,0.9461
10000,8803,1759,58009,107920,95128,49516,395,22762,57,0,244294,2483275,29824.206,25915.026,1.1269,8709.586,0.057,0.824,0.069,0.050,0.483,0.381,165,0.0930,0.6408,0.053,22.0,39.9,65.2,32.20,4.27,9.64,0.46,17.83,6.32,1.238,0.238,0.373,0.376,6.159,0.282,0.0039,87,349,492,10006,33,21,0.520,4627,106,1274,7423,401,836,7566,9.00,14.32,12082,12.3909,165030,15177,269918,2047.6,-0.0,655072,10.960,2601587.666,1.54e-14,0.00202,11.37,40031,20.390,2.235,17.745,0.411,20.393,3844,1928,3031,0.3044,0.932,1.084,1.906,1.201,0.959,1.464,9688.005,11506.037,11216.754,9584.590,17732.448,9391.718,1401.514,6412.207,0.475,0.544,0.460,0.312,0.510,0.508,27914,24214,0.6167,0.2006,0.2611,1.0000,0.0457,0.0763,0.4987,0.9467,0.8320,0.2201,0.0382,0.0560,0.0000,0.1038,0.8036,0.0386,0.6711,0.9510,0.00333,4678,0.9991,0.7627,0.7601,0.9983,0.0457,0.0763,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3310,5.0141,4.9550,0.0332,0.0626,0.0543,0.089,0.089,0.061,0.105,1575,0.0936,0.0014,0.0031,0.00261,0.00084,0.00111,26.28,27.47,27.87,4414.3981,0.1076,27.7842,5.6827,5.2769,1079071,1517401,1.8338,0.2521,4025.9,4414.3981,19.36,0,0,0,0,0,0,6262,17205.440,15406.331,0.9490
