step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
100000,0,1013,21.16,0.12,4.81,0.06,9.03,0.01,1.05,0.003,0.163,196606.7,114259.5,7,103,3.34,1.03,1.04,6.0940,903.64,92680.2,0.0000,5.9669,5462,13.2454,59,21.5308,137465.4
100000,1,818,22.00,0.35,4.70,0.13,9.16,0.00,1.12,0.000,0.133,162504.4,83749.5,7,105,3.38,1.09,1.13,4.2051,462.84,12652.6,5.9108,5.9172,5461,13.2429,128,15.8546,103800.7
100000,2,454,22.45,0.11,6.02,0.00,7.05,0.00,1.04,0.000,0.069,87235.6,34299.9,5,115,3.17,1.02,1.04,0.5832,22.14,801.5,15.9149,6.9316,5461,13.2429,103,2.9590,17833.5
110000,0,1030,26.03,0.27,5.97,0.05,7.70,0.02,1.10,0.006,0.165,490786.9,316806.8,6,96,3.20,1.08,1.10,42.2776,1544.88,83296.1,0.1603,0.8729,5462,18.3441,55,78.5743,482609.3
110000,1,781,24.80,0.20,5.30,0.11,8.60,0.00,1.05,0.000,0.127,312878.8,186540.3,6,109,3.24,1.05,1.05,21.8502,794.92,10652.1,30.9214,3.0976,5461,18.3407,167,47.6456,283714.9
110000,2,310,25.54,0.02,5.62,0.04,9.70,0.00,1.01,0.000,0.054,115133.6,46100.4,7,82,3.49,1.00,1.00,1.4742,39.57,1542.9,62.0582,6.8836,5461,18.3407,174,8.1486,46929.1
120000,0,981,24.95,0.22,4.78,0.02,10.12,0.01,1.07,0.004,0.170,196997.3,111388.0,7,107,3.30,1.07,1.05,9.4853,1323.34,93108.3,0.0000,5.5241,5462,13.7880,39,21.1542,141825.2
120000,1,723,25.31,0.08,5.52,0.08,9.18,0.01,1.02,0.004,0.123,175317.7,93298.6,7,104,3.23,1.03,1.01,6.6644,939.19,9296.6,6.1954,7.2514,5461,13.7855,34,15.4842,102334.2
120000,2,487,23.57,0.03,5.61,0.01,7.54,0.01,1.02,0.002,0.073,118191.0,42641.9,6,132,2.99,1.01,1.01,0.6298,33.40,79.2,11.3343,10.9137,5461,13.7855,8,1.1496,8328.5
130000,0,1136,28.85,0.01,6.24,0.03,8.28,0.01,1.00,0.003,0.189,536565.9,364134.1,12,78,3.28,1.00,1.00,56.9855,2567.52,82418.2,0.3244,0.7410,5462,18.3690,39,85.3803,533161.5
130000,1,685,28.53,0.07,6.22,0.02,8.30,0.00,1.03,0.000,0.115,286491.4,164254.8,7,89,3.33,1.03,1.04,21.0953,891.10,7943.6,32.0966,6.5665,5461,18.3657,145,35.1167,222608.6
130000,2,440,23.51,0.06,5.28,0.02,8.26,0.00,1.02,0.000,0.069,166923.3,64113.5,3,88,3.12,1.02,1.02,1.0864,15.61,331.1,46.8032,14.9264,5461,18.3657,43,2.5641,18249.5
140000,0,937,24.12,0.06,4.85,0.11,9.55,0.01,1.02,0.004,0.156,202520.3,118833.4,12,106,3.35,1.03,1.02,11.8290,1251.63,93673.9,0.0000,5.4952,5462,14.2820,36,21.3912,147848.4
140000,1,756,25.95,0.16,5.72,0.05,8.89,0.01,1.06,0.004,0.128,177325.5,88809.5,11,105,3.40,1.05,1.04,7.3946,789.26,9654.6,5.3775,7.7029,5461,14.2794,31,14.5959,99811.5
140000,2,466,23.97,0.03,5.72,0.05,7.50,0.01,1.01,0.004,0.071,132483.0,43337.5,10,132,3.15,1.01,1.01,0.7105,51.55,132.0,9.5032,12.4983,5461,14.2794,12,1.0103,7108.3
150000,0,1054,30.01,0.02,6.09,0.05,9.02,0.00,1.01,0.000,0.184,516509.0,358262.0,17,87,3.40,1.00,1.01,58.7277,2624.00,85962.4,0.0478,0.6610,5462,18.3434,32,80.3723,514312.1
150000,1,744,28.56,0.03,5.47,0.12,9.40,0.00,1.01,0.001,0.127,336098.5,190870.2,16,94,3.37,1.01,1.01,27.8748,1312.00,8148.9,29.1977,6.9857,5461,18.3401,80,41.5859,267514.3
150000,2,507,24.92,0.09,5.40,0.05,8.25,0.00,1.03,0.000,0.080,174380.4,58118.8,11,125,3.20,1.02,1.02,0.9921,37.45,343.4,44.2911,16.2937,5461,18.3401,54,1.4768,12034.7
160000,0,910,26.56,0.08,4.78,0.10,10.99,0.00,1.03,0.002,0.166,212357.2,124745.0,12,94,3.53,1.02,1.02,14.2907,1687.98,93685.4,0.0000,5.4305,5462,14.4398,35,21.5198,158231.3
160000,1,758,26.52,0.04,5.37,0.04,9.51,0.01,1.02,0.005,0.130,187187.8,93468.9,12,110,3.33,1.02,1.01,8.9141,975.07,9331.2,4.7414,8.8809,5461,14.4371,40,13.2641,98164.8
160000,2,422,26.37,0.04,5.88,0.03,8.39,0.00,1.02,0.000,0.069,136383.7,36826.1,9,136,3.11,1.02,1.03,1.0281,88.48,131.2,9.0033,12.9898,5461,14.4371,9,0.8118,6150.5
170000,0,995,31.42,0.02,5.84,0.07,9.81,0.01,1.01,0.002,0.179,546944.1,393952.8,25,62,3.55,1.01,1.01,68.1950,2286.47,86409.5,0.0165,0.4422,5462,17.4937,14,82.9353,550671.4
170000,1,690,29.49,0.02,5.97,0.05,9.42,0.01,1.01,0.004,0.122,331539.5,206846.1,24,66,3.42,1.01,1.01,30.8340,1517.31,7502.4,29.0845,7.0925,5461,17.4905,44,39.4537,261870.4
170000,2,399,26.88,0.06,6.34,0.03,8.13,0.01,1.03,0.003,0.067,167319.3,54417.8,15,114,3.27,1.02,1.01,1.2225,61.82,140.3,44.7946,15.6163,5461,17.4905,3,1.3899,11422.9
180000,0,938,28.23,0.14,6.15,0.06,9.02,0.00,1.04,0.001,0.164,212496.9,127108.6,18,124,3.49,1.04,1.04,15.1440,1813.65,92556.2,0.0000,5.8367,5462,14.2247,40,20.7377,154392.3
180000,1,715,28.19,0.07,6.17,0.12,8.76,0.01,1.02,0.001,0.125,189579.2,95514.9,21,119,3.45,1.02,1.02,9.6044,890.21,8947.9,4.6606,9.1513,5461,14.2221,45,13.2175,97918.4
180000,2,428,25.78,0.06,5.89,0.02,8.06,0.01,1.02,0.002,0.068,135178.9,37955.1,20,156,3.11,1.01,1.02,1.0794,36.24,120.0,9.2710,12.9099,5461,14.2221,14,0.7894,6051.2
