step,pop,on_fat,fat_stock,age_mean
1000,2716,0.9194,47777.1,903
2000,2631,0.9392,53080.0,1888
3000,2626,0.9322,59443.3,2840
4000,1665,0.6967,32759.1,644
5000,1932,0.6641,49462.6,1072
6000,1932,0.7096,58211.4,1593
7000,1987,0.5924,49672.8,915
8000,2032,0.6063,54733.3,998
9000,1978,0.5607,61094.5,1130
10000,2025,0.5546,53895.4,933
11000,2014,0.5467,38164.2,813
12000,1690,0.6089,20369.8,759
13000,1011,0.7250,9023.7,863
14000,568,0.8556,4055.4,1197
15000,49,0.8980,401.9,1960
16000,9,0.4444,89.0,2185
17000,519,0.4181,4937.7,498
18000,1161,0.4772,6432.9,308
19000,1514,0.5086,12555.0,393
20000,1696,0.4664,20742.0,576
21000,1671,0.4057,12464.1,287
22000,2255,0.4333,24299.4,424
23000,2815,0.4526,36075.5,557
24000,2903,0.4506,44528.4,700
25000,2865,0.4838,49737.3,817
26000,2866,0.4738,50856.3,829
27000,3158,0.4721,49522.2,759
28000,2895,0.4439,46559.1,746
29000,2844,0.4771,44070.2,745
30000,2479,0.5087,41994.5,822
31000,2295,0.5255,36745.6,787
32000,1687,0.5679,25799.3,809
33000,1255,0.6749,14090.4,871
34000,529,0.8204,4189.7,1376
35000,54,0.8704,330.9,2029
36000,8,0.8750,15.7,2553
37000,1,1.0000,0.0,2990
