step,pop,on_fat,fat_stock,age_mean
1000,2748,0.8861,41694.1,880
2000,2646,0.8915,42914.2,1809
3000,2669,0.8764,47406.2,2669
4000,1897,0.5920,25378.5,594
5000,1889,0.6310,30790.1,1089
6000,1932,0.6418,32435.3,1565
7000,1981,0.5628,27747.4,845
8000,1914,0.6207,31411.0,1001
9000,1672,0.6549,28717.1,1352
10000,1500,0.6433,23613.6,981
11000,1271,0.7073,18588.4,1047
12000,960,0.8406,14123.5,1336
13000,602,0.8904,5326.1,1386
14000,292,0.9281,1216.7,1550
15000,15,0.8000,89.8,1335
16000,5,0.4000,76.0,863
17000,211,0.4550,1030.2,163
18000,789,0.6324,5758.7,416
19000,1222,0.6751,9450.5,647
20000,1534,0.6695,12102.4,873
21000,1637,0.6555,15508.8,993
22000,1853,0.5796,16896.6,979
23000,1976,0.5693,20600.8,987
24000,2235,0.5396,23697.7,955
25000,2335,0.5400,26212.4,957
26000,2482,0.5121,26006.9,920
27000,2589,0.5334,28072.6,856
28000,2603,0.5371,28614.6,855
29000,2451,0.5055,26007.3,784
30000,2260,0.5190,24330.6,792
31000,1988,0.5810,20644.3,798
32000,1387,0.6063,16104.7,816
33000,865,0.7052,10408.8,996
34000,375,0.8587,5027.7,1503
35000,27,0.9259,436.2,2221
36000,4,0.7500,36.8,2760
