step,pop,on_fat,fat_stock,age_mean
1000,2532,0.9336,44412.6,894
2000,2462,0.9557,46900.7,1882
3000,2413,0.9503,51714.9,2872
4000,1623,0.6907,29350.6,589
5000,1538,0.7503,42906.5,1259
6000,1707,0.7557,52711.4,1745
7000,1950,0.6103,44883.0,782
8000,2064,0.6618,48865.5,962
9000,2180,0.6505,49943.2,1133
10000,2282,0.5727,37083.0,791
11000,2314,0.5882,34156.4,708
12000,1896,0.6624,25938.5,911
13000,1452,0.6364,16488.8,912
14000,1125,0.6560,11327.5,847
15000,1022,0.5939,11156.0,873
16000,1019,0.5947,9715.2,775
17000,1351,0.5337,13010.5,650
18000,1800,0.5150,18448.6,606
19000,1968,0.5041,25092.5,647
20000,2153,0.5383,34052.4,765
21000,2406,0.5104,40251.1,766
22000,2586,0.5220,44616.1,742
23000,3053,0.5290,46933.6,729
24000,2948,0.5611,52833.5,817
25000,3317,0.5285,56872.5,771
26000,3347,0.5252,53605.6,785
27000,3260,0.5350,56734.2,827
28000,3485,0.5294,56224.7,749
29000,3351,0.5628,50515.3,755
30000,2909,0.5486,43373.5,831
31000,2467,0.5902,36760.1,839
32000,2186,0.6148,28659.7,821
33000,1590,0.6780,18720.2,962
34000,1346,0.6731,12699.4,932
35000,1092,0.6227,10558.8,904
36000,959,0.5735,11070.8,927
37000,1298,0.5508,14625.2,724
38000,1502,0.5746,15571.8,656
39000,1958,0.5501,18513.2,593
40000,2197,0.5808,25485.2,710
41000,2291,0.5591,35964.9,834
42000,2581,0.5661,41987.5,777
43000,2998,0.4953,48938.0,719
44000,3415,0.5204,49147.6,698
45000,3508,0.5334,49340.8,710
46000,3749,0.5353,52547.9,718
47000,3650,0.5225,51879.1,721
48000,3647,0.5119,51010.4,729
49000,3523,0.5302,48680.0,753
50000,3000,0.5530,38752.7,778
51000,2534,0.6018,33726.8,805
52000,2181,0.6405,28049.8,888
53000,1673,0.6294,22572.6,1009
54000,1252,0.5791,17042.8,1028
55000,982,0.6151,14147.8,1078
56000,962,0.5312,14416.8,1019
57000,1113,0.4960,18737.7,931
58000,1496,0.5207,21990.7,802
59000,1905,0.4824,26059.2,660
60000,2093,0.4931,27804.8,613
61000,2291,0.5089,29653.3,601
62000,2681,0.5009,37750.9,649
63000,2820,0.5691,43683.4,751
64000,3041,0.5732,48673.1,785
65000,3095,0.5040,48958.4,702
66000,3247,0.5393,44591.0,684
67000,3041,0.5222,48020.1,730
68000,3016,0.5849,45214.9,760
69000,2932,0.5338,41678.3,744
70000,2785,0.5214,36275.5,686
71000,2267,0.5933,29666.8,775
72000,1850,0.6270,26309.3,894
73000,1465,0.5788,20523.6,964
74000,1206,0.6194,15837.0,1043
75000,977,0.6418,10826.2,1050
76000,969,0.6130,10957.4,933
77000,1191,0.5735,13951.0,875
78000,1433,0.5534,14681.3,657
79000,1812,0.5640,19515.2,672
80000,1906,0.6411,25804.4,984
81000,2346,0.5452,31451.7,709
82000,2775,0.5632,37444.2,707
83000,3259,0.5437,43233.4,737
84000,3310,0.5502,46901.4,738
85000,3462,0.5237,49743.2,779
86000,3361,0.5442,48093.5,786
87000,3620,0.4970,47409.4,672
88000,3407,0.5330,45466.4,762
89000,3129,0.5622,41488.7,764
90000,3144,0.5627,33663.5,691
91000,2458,0.6078,28031.0,800
92000,2030,0.6049,23957.6,807
93000,1628,0.5964,20362.8,884
94000,1365,0.6330,16838.9,1037
95000,1057,0.6121,13819.6,1116
96000,1056,0.5161,13769.7,993
97000,1334,0.5420,16971.4,870
98000,1690,0.5663,20044.4,836
99000,2013,0.5594,22891.7,754
100000,2246,0.5530,28188.9,717
101000,2549,0.5057,33937.4,678
102000,3011,0.5181,43329.6,698
103000,3293,0.4980,43908.7,652
104000,3213,0.4858,44856.3,640
105000,3490,0.5298,50975.3,725
106000,4046,0.5173,49752.5,663
107000,3705,0.5050,45438.6,711
108000,3676,0.5471,43692.7,692
109000,3258,0.5258,40929.8,694
110000,2929,0.5370,34957.9,691
111000,2525,0.5952,25645.8,661
112000,1758,0.6024,22391.6,849
113000,1560,0.6237,20139.7,923
114000,1227,0.5705,16284.7,991
115000,1096,0.6277,13639.7,1119
116000,1024,0.5566,14290.6,1088
117000,1323,0.4951,16857.3,842
118000,1711,0.5289,20421.1,791
119000,2608,0.5429,23778.5,622
120000,2702,0.5285,30825.6,633
121000,3049,0.5159,35809.2,617
122000,2920,0.5024,35766.8,676
123000,3385,0.5338,41916.3,694
124000,3711,0.5252,44975.1,679
125000,4278,0.4897,47954.7,609
126000,4039,0.5197,51500.2,714
127000,3857,0.5248,45090.5,650
128000,3766,0.5292,45771.9,693
129000,3619,0.5455,42468.1,709
130000,3100,0.5716,32529.5,666
131000,2667,0.5624,29870.0,724
132000,2272,0.5748,29456.8,832
133000,1939,0.5967,19648.2,777
134000,1351,0.6144,12122.3,850
135000,1130,0.6115,11626.3,888
136000,1108,0.5749,13657.8,1008
137000,1338,0.5217,17290.3,884
138000,1816,0.5237,18822.4,677
139000,2136,0.5375,22015.5,666
140000,2458,0.5138,28421.6,650
141000,2865,0.5218,38595.8,729
142000,3163,0.5299,47582.5,770
143000,3471,0.5327,51809.7,786
144000,3894,0.4992,53796.4,700
145000,4128,0.4983,56959.9,705
146000,4370,0.5375,57957.7,735
147000,4201,0.5518,56894.8,752
148000,4058,0.5298,54566.2,763
149000,3843,0.5537,48842.2,765
150000,3328,0.5415,43440.5,773
151000,2708,0.5532,37280.9,794
152000,2097,0.5985,22248.3,727
153000,1632,0.7200,14532.5,897
154000,1399,0.7234,11346.9,1122
155000,1053,0.6344,9870.8,1056
156000,1055,0.5886,9014.7,744
157000,1370,0.5905,10708.3,671
158000,1670,0.6138,13742.1,755
159000,1959,0.6008,19966.5,769
160000,2263,0.5245,26118.2,672
161000,2557,0.5804,33358.9,716
162000,2933,0.5537,38795.4,755
163000,3087,0.5724,49179.6,844
164000,3644,0.5085,46456.9,709
165000,4137,0.4680,44322.6,562
166000,5125,0.4671,40246.2,455
167000,4963,0.4939,39099.4,484
168000,4793,0.5043,34602.3,452
169000,4495,0.4899,31829.8,434
170000,4036,0.4861,28013.0,450
171000,3281,0.5386,21118.4,418
172000,2738,0.5705,17839.1,486
173000,2012,0.5760,14819.5,655
174000,1559,0.5914,11266.2,697
175000,1190,0.5504,9561.1,730
176000,1296,0.5293,11224.6,757
177000,1474,0.5590,13305.7,692
178000,2260,0.4889,14010.9,474
179000,2599,0.4929,17692.9,444
180000,3201,0.4755,22719.4,411
181000,3891,0.4729,28908.5,440
182000,4190,0.4640,33333.2,465
183000,4743,0.4628,39340.7,475
184000,5048,0.4750,42650.2,477
185000,5701,0.4762,42762.7,446
186000,5876,0.4663,42329.8,432
187000,5792,0.4520,40612.3,436
188000,5785,0.4481,37780.8,411
189000,4982,0.4416,28469.2,341
190000,3759,0.4828,17947.4,274
191000,3141,0.4479,17142.2,314
192000,2384,0.5327,15016.3,402
193000,1825,0.5266,13693.2,549
194000,1267,0.5509,11265.9,716
195000,1153,0.5464,12744.1,958
196000,1284,0.5327,12171.3,846
197000,1524,0.5604,14251.4,771
