step,pop,on_fat,fat_stock,age_mean
1000,2767,0.8768,40065.6,865
2000,2612,0.9054,38572.0,1795
3000,2589,0.9127,39305.7,2669
4000,1977,0.6287,18597.4,547
5000,1765,0.6878,18939.6,1020
6000,1839,0.7015,21167.1,1482
7000,1892,0.6173,19573.3,812
8000,2485,0.5968,23403.7,663
9000,2515,0.6672,23321.2,939
10000,2606,0.6416,22165.5,805
11000,2110,0.5929,18344.2,783
12000,1640,0.6720,13942.5,836
13000,1222,0.6751,9727.1,827
14000,940,0.6904,6490.0,848
15000,785,0.6599,5319.8,756
16000,956,0.5785,7533.4,715
17000,1342,0.5380,12069.0,611
18000,1417,0.5900,8203.4,530
19000,1880,0.5830,12191.5,617
20000,2092,0.5736,15081.0,682
21000,2482,0.5540,18043.8,592
22000,2735,0.5656,19969.0,706
23000,3122,0.5077,22768.2,647
24000,3285,0.5260,23505.5,639
25000,3228,0.4476,17755.7,450
26000,3646,0.4926,19439.9,438
27000,3660,0.4470,20753.5,487
28000,3664,0.4915,20199.4,474
29000,3574,0.4287,17589.7,421
30000,3028,0.4924,13929.0,374
31000,2747,0.5046,13186.9,378
32000,2331,0.5294,11199.0,436
33000,1720,0.5413,8893.4,438
34000,1200,0.5375,6259.6,469
35000,1011,0.5381,5304.3,387
36000,1064,0.5009,5653.3,440
37000,1351,0.4611,7317.1,408
38000,1681,0.4866,7279.5,306
39000,1958,0.4152,6669.0,220
40000,2208,0.4180,7830.4,234
41000,2700,0.3463,7936.6,171
42000,3050,0.4115,11249.3,230
43000,3692,0.3976,12838.3,244
44000,3797,0.4511,16891.9,390
45000,3800,0.4668,24352.2,449
46000,3779,0.5157,29959.7,594
47000,3783,0.4732,28659.5,573
48000,3900,0.4736,29507.5,512
49000,3535,0.4911,28106.8,567
50000,2854,0.5273,21787.7,598
51000,2524,0.5408,16957.1,543
52000,2187,0.5327,13821.6,530
53000,1502,0.5859,10215.1,638
54000,1334,0.5457,9521.1,616
55000,1038,0.5588,7427.7,670
56000,1108,0.5190,8715.1,646
57000,1363,0.4512,11014.9,648
58000,1928,0.5207,11440.7,509
59000,2133,0.5626,11079.4,470
60000,2493,0.5463,14992.8,489
61000,3003,0.5142,19780.9,520
62000,3436,0.5140,24078.9,510
63000,3645,0.5018,26493.8,556
64000,3970,0.5043,29860.7,565
65000,3975,0.4938,32165.3,565
66000,4028,0.4990,33199.4,571
67000,3869,0.5037,31934.0,601
68000,3681,0.5162,31010.9,586
69000,3537,0.5033,26545.3,532
70000,2702,0.5496,23768.5,612
71000,2364,0.5563,16903.8,562
72000,1842,0.5961,12139.8,561
73000,1414,0.6174,7921.0,571
74000,1087,0.5925,7555.5,651
75000,912,0.5362,8008.9,804
76000,1060,0.5500,8280.2,688
77000,1477,0.5288,9214.8,556
78000,1815,0.5157,10177.4,481
79000,2074,0.5265,11127.3,447
80000,2457,0.5035,13833.5,474
81000,2913,0.4792,18980.9,494
82000,3149,0.5144,24138.8,545
83000,3320,0.4985,28602.7,583
84000,3577,0.5068,33486.2,613
85000,3886,0.4856,32103.3,560
86000,3737,0.4945,33332.2,591
87000,3637,0.4963,35762.0,613
88000,3553,0.4880,31525.5,585
89000,3114,0.5186,27220.5,608
90000,2691,0.5504,23930.6,616
91000,2327,0.5604,19195.7,644
92000,1680,0.5798,12319.4,597
93000,1257,0.5903,8199.9,561
94000,917,0.6150,6039.1,598
95000,801,0.5393,5408.0,550
96000,957,0.4702,6886.6,507
97000,1341,0.5078,9595.9,531
98000,1706,0.4953,10998.3,470
99000,2188,0.4575,15529.6,467
100000,2285,0.4578,20303.2,528
101000,2368,0.4472,24631.5,598
102000,2482,0.4565,28934.5,679
103000,2667,0.4526,31982.6,713
104000,2648,0.4354,33489.8,728
105000,2962,0.4379,34081.5,694
106000,2950,0.4380,33959.9,690
107000,2952,0.4075,33788.6,669
108000,2660,0.4248,30733.9,716
109000,2524,0.4231,29033.3,731
110000,2121,0.4686,25334.4,747
111000,1914,0.4535,22278.8,711
112000,1575,0.5162,17855.3,692
113000,1264,0.5475,13402.4,709
114000,1043,0.5772,10801.0,734
115000,932,0.5601,9243.4,749
116000,1032,0.5407,9740.8,709
117000,1317,0.5277,10771.5,624
118000,1738,0.4839,13032.0,557
119000,1946,0.4651,17047.9,574
120000,2191,0.4258,22664.7,647
121000,2357,0.4357,26645.8,749
122000,2474,0.3981,30615.2,803
123000,2703,0.4070,33776.6,797
124000,2852,0.3980,32960.2,765
125000,2814,0.4083,35649.8,801
126000,2649,0.4190,33614.8,851
127000,2573,0.4112,31659.5,817
128000,2504,0.4089,31380.1,786
129000,2265,0.4230,29889.3,856
130000,2261,0.4237,28885.4,815
131000,2107,0.4480,24526.8,795
132000,1706,0.4965,20381.9,781
133000,1411,0.5478,15112.1,809
134000,1043,0.5973,10927.3,845
135000,896,0.5502,8735.9,781
136000,1020,0.5569,9790.3,729
137000,1326,0.5302,11588.7,688
138000,1710,0.4836,14275.0,601
139000,1965,0.4794,17771.7,658
140000,2159,0.4423,22351.0,713
141000,2400,0.4171,26581.6,750
142000,2396,0.4240,30074.7,822
143000,2644,0.4134,31765.5,832
144000,2584,0.3963,32592.8,902
145000,2579,0.4087,34885.7,904
146000,2643,0.4082,35520.0,902
147000,2634,0.4009,34720.3,879
148000,2488,0.4309,33485.0,898
149000,2386,0.4007,31681.6,924
150000,2305,0.4174,27159.2,875
151000,2085,0.4547,23970.0,863
152000,1852,0.5157,21284.8,810
153000,1501,0.5476,17135.5,870
154000,1029,0.6365,13520.6,1035
155000,887,0.6122,10703.5,1055
156000,1003,0.5484,10962.2,843
157000,1264,0.5688,13311.4,781
158000,1677,0.5110,15263.1,674
159000,1955,0.4844,17873.5,678
160000,2090,0.4368,22809.9,761
161000,2404,0.4368,27216.7,818
162000,2387,0.3976,28883.3,862
163000,2507,0.4017,31800.8,907
164000,2491,0.4167,32412.6,961
165000,2494,0.3793,33490.9,957
166000,2464,0.3884,32384.6,945
167000,2407,0.3747,32539.4,968
168000,2425,0.4107,31543.8,950
169000,2256,0.4198,30248.6,931
170000,2084,0.4213,28046.3,964
171000,1977,0.4396,24139.1,931
172000,1839,0.4992,20942.5,854
173000,1509,0.5693,15936.6,844
174000,1114,0.6490,12482.0,1010
175000,837,0.7049,10383.0,1227
176000,940,0.5819,10441.7,972
177000,1197,0.5564,12681.1,816
178000,1556,0.5077,15389.7,758
179000,1869,0.4585,17624.2,731
180000,2081,0.4431,23667.0,828
181000,2300,0.4196,26727.9,853
182000,2314,0.4252,29211.3,942
183000,2301,0.3733,30732.9,975
184000,2477,0.3730,31003.8,926
185000,2576,0.3727,32559.9,946
186000,2639,0.3876,33458.1,958
187000,2612,0.3936,33203.3,952
188000,2507,0.3921,33132.8,953
189000,2461,0.4080,30702.1,935
190000,2312,0.4291,28104.8,933
191000,1992,0.4603,24711.7,972
192000,1819,0.4827,20988.5,906
193000,1427,0.5634,16980.4,934
194000,1015,0.6286,12651.2,1091
195000,797,0.6738,11238.8,1227
196000,892,0.5818,11474.2,992
197000,1298,0.5162,13042.3,758
198000,1599,0.4822,14733.2,705
199000,1756,0.4664,18662.0,807
200000,2163,0.4152,23055.6,787
201000,2311,0.3990,27442.9,850
202000,2528,0.3948,29852.2,883
203000,2592,0.3673,32242.9,929
204000,2702,0.3660,33685.3,967
205000,2673,0.3692,34626.5,935
206000,2648,0.3690,34006.3,1001
207000,2598,0.3722,33329.4,1011
208000,2626,0.3850,31710.9,921
209000,2318,0.3956,29899.5,957
210000,2211,0.4003,27385.8,948
211000,2071,0.4408,24976.3,894
212000,1941,0.5018,22233.3,894
213000,1553,0.5293,16852.0,885
214000,1072,0.6483,12211.8,1066
215000,850,0.6447,11140.3,1204
216000,893,0.6013,10845.2,1052
217000,1242,0.5217,12862.0,768
218000,1634,0.5110,15389.0,755
219000,1830,0.4530,18806.9,742
220000,2063,0.4372,22349.2,782
221000,2191,0.3893,26373.3,879
222000,2301,0.4059,29526.0,948
223000,2422,0.3910,30400.0,940
224000,2405,0.3821,32217.8,967
225000,2552,0.3444,33686.5,959
226000,2477,0.3726,33281.9,993
227000,2573,0.3634,33188.9,975
228000,2494,0.3953,31091.7,977
229000,2431,0.3813,29286.1,940
230000,2268,0.4145,28354.2,961
231000,2114,0.4399,25370.3,943
232000,1846,0.4897,21788.4,933
233000,1522,0.5368,17625.3,958
234000,1123,0.6527,13763.3,1090
235000,892,0.6043,11534.5,1053
236000,986,0.5710,11276.1,974
237000,1340,0.5321,13148.1,790
238000,1605,0.5140,15417.2,771
239000,1748,0.4502,18550.0,776
240000,2066,0.4134,24144.5,806
241000,2381,0.4099,28654.3,858
242000,2498,0.3939,31051.6,909
243000,2626,0.3740,31948.4,937
244000,2617,0.3787,32555.1,980
245000,2575,0.3887,35153.9,1027
246000,2611,0.3757,32362.2,977
247000,2565,0.3871,31641.2,964
248000,2462,0.3907,33206.9,1006
249000,2254,0.4086,31226.9,997
250000,2132,0.3996,27645.6,966
251000,2003,0.4363,24956.9,955
252000,1754,0.4926,21888.0,932
253000,1563,0.5221,17700.0,894
254000,1139,0.5935,13169.2,987
255000,927,0.6268,11245.2,1078
256000,996,0.6024,11458.0,980
257000,1286,0.5653,13686.7,815
258000,1564,0.5051,15639.5,791
259000,1812,0.4724,19277.8,796
260000,1977,0.4396,23713.1,858
261000,2253,0.4177,29109.9,905
262000,2350,0.3881,30304.4,936
263000,2435,0.4053,31291.3,976
264000,2394,0.3872,32987.6,1011
265000,2463,0.3910,33865.5,972
266000,2610,0.3828,34933.1,935
267000,2436,0.3801,33196.4,1043
268000,2698,0.3514,31929.1,902
269000,2498,0.4183,31373.8,936
270000,2315,0.4156,29791.5,1000
271000,2033,0.4319,25267.7,994
272000,1790,0.4609,22182.1,953
273000,1536,0.5391,17343.2,945
274000,1116,0.6308,12747.9,1092
275000,879,0.6451,11300.9,1217
276000,1007,0.5998,11252.5,995
277000,1200,0.5958,13438.2,886
278000,1552,0.5180,16263.6,793
279000,1844,0.4658,19751.8,796
280000,2021,0.4508,23570.9,880
281000,2449,0.4091,26698.6,848
282000,2544,0.4249,30150.2,895
283000,2567,0.3810,31812.2,1000
284000,2684,0.3823,33497.0,984
285000,2619,0.3811,33760.3,991
286000,2541,0.3908,33506.2,1040
287000,2537,0.3855,31997.7,1011
288000,2470,0.3903,32267.7,995
289000,2488,0.4019,30884.9,954
290000,2283,0.4166,27490.6,962
291000,1898,0.4283,24411.8,1036
292000,1810,0.4630,21820.2,932
293000,1448,0.5366,17644.4,979
294000,1138,0.6977,14087.8,1065
295000,847,0.6470,11571.3,1302
296000,868,0.5565,11743.1,1056
297000,1252,0.5455,13808.9,807
298000,1499,0.5537,17233.6,888
299000,1875,0.4603,20210.5,820
300000,2017,0.4393,23721.1,836
