step,pop,on_fat,fat_stock,age_mean
1000,2913,0.8235,19019.5,848
2000,3171,0.7862,22129.5,1522
3000,3276,0.7436,23748.4,2101
4000,2492,0.5381,16000.9,637
5000,2818,0.5412,19157.9,852
6000,3246,0.5330,19289.9,891
7000,3079,0.5213,17632.3,742
8000,3208,0.5156,17447.5,687
9000,2946,0.5183,16809.6,707
10000,2564,0.5257,14506.7,725
11000,2194,0.6007,13733.3,737
12000,1637,0.6243,12043.5,881
13000,1103,0.6473,7728.4,900
14000,527,0.7230,2561.3,945
15000,53,0.7547,339.3,1473
16000,26,0.3462,215.5,1048
17000,645,0.3659,5490.1,399
18000,1435,0.6007,6238.0,386
19000,1826,0.5991,9206.5,583
20000,2419,0.5804,12867.6,762
21000,2708,0.5207,15133.8,692
22000,3287,0.4688,17361.7,641
23000,3988,0.4674,21473.0,684
24000,4470,0.4631,21587.3,672
25000,4546,0.4850,21542.8,671
26000,4172,0.4739,21780.5,751
27000,3817,0.4734,21148.8,780
28000,3485,0.5110,19716.4,763
29000,3387,0.5211,18072.5,665
30000,2949,0.5443,15505.4,681
31000,2153,0.5620,12094.6,662
32000,1452,0.6687,8868.8,802
33000,911,0.7475,4881.6,915
34000,461,0.8308,2146.8,1222
35000,72,0.7778,359.7,1440
36000,23,0.7391,100.7,1853
37000,588,0.3793,4683.2,356
38000,1548,0.5032,8967.0,414
39000,2059,0.5372,10861.2,537
40000,2795,0.5220,15202.6,632
41000,3121,0.4848,16629.0,601
42000,3497,0.4658,19635.3,596
43000,3754,0.4499,20856.8,642
44000,3894,0.4384,22097.5,697
45000,4058,0.4399,22360.5,693
46000,4022,0.4408,22944.1,759
47000,3984,0.4601,22460.1,707
48000,3882,0.4518,22577.5,722
49000,3815,0.4661,20594.3,647
50000,3027,0.5094,15424.7,614
51000,2250,0.5316,12537.3,644
52000,1687,0.5477,9735.3,628
53000,1019,0.6124,6358.6,636
54000,497,0.7465,2660.4,838
55000,67,0.8657,675.4,2017
56000,8,0.3750,54.6,2194
57000,468,0.4060,6248.7,537
58000,881,0.3927,21460.2,980
59000,1817,0.5058,35334.6,1030
60000,3044,0.4954,18545.2,556
61000,3750,0.4789,18618.5,500
62000,3977,0.4740,22365.3,621
63000,4172,0.4710,23242.0,647
64000,4646,0.4430,25620.5,604
65000,4947,0.4512,27156.8,604
66000,5032,0.4756,27063.5,636
67000,4713,0.4632,23598.7,593
68000,4399,0.4587,23098.9,560
69000,4151,0.4693,22586.6,576
70000,3396,0.4971,19773.5,628
71000,2522,0.5543,11496.2,539
72000,1776,0.6627,9143.5,638
73000,1145,0.7476,5870.7,972
74000,620,0.8597,2718.2,1293
75000,63,0.8889,413.4,1855
76000,14,0.4286,157.0,1814
77000,549,0.4299,4113.3,300
78000,1159,0.4702,15007.3,621
79000,2104,0.5219,27012.5,852
80000,3586,0.5078,20733.6,583
81000,3811,0.5209,16180.8,461
82000,4403,0.4960,20430.9,555
83000,4511,0.5085,22071.6,614
84000,5044,0.4958,23992.5,585
85000,5302,0.4885,25707.6,641
86000,5350,0.4789,26484.7,626
87000,4874,0.5105,22846.2,637
88000,4412,0.5202,20558.9,659
89000,3782,0.5418,17346.1,640
90000,3101,0.5892,14033.8,647
91000,2411,0.6732,11162.3,808
92000,1644,0.6910,8254.6,886
93000,1011,0.7211,4904.0,970
94000,533,0.8011,2091.2,1084
95000,75,0.8667,635.4,1505
96000,26,0.3077,307.1,1805
97000,550,0.4309,6384.4,512
98000,1510,0.4377,15668.5,563
99000,2039,0.5993,9915.7,515
100000,2447,0.5946,13206.4,721
