step,pop,on_fat,fat_stock,age_mean
1000,2633,0.8762,34160.6,865
2000,2561,0.9051,32446.8,1775
3000,2622,0.8825,34302.3,2596
4000,1493,0.6001,19323.2,633
5000,1515,0.6317,21616.5,1009
6000,1567,0.6458,24148.7,1322
7000,1639,0.6028,25476.6,930
8000,1654,0.6131,27950.2,999
9000,1620,0.6074,30041.3,1100
10000,1413,0.6341,23239.9,1042
11000,1245,0.6562,19067.3,1027
12000,1062,0.6874,16431.9,1167
13000,903,0.7497,10754.8,1153
14000,597,0.8174,7617.7,1301
15000,482,0.7510,7384.8,1194
16000,473,0.6871,9254.8,1085
17000,584,0.6301,12456.3,919
18000,740,0.5838,16340.4,930
19000,794,0.5680,18403.9,1002
20000,954,0.5765,21259.2,946
21000,1041,0.5735,23759.4,1008
22000,1138,0.5650,27064.0,1075
23000,1210,0.5198,29743.7,1029
24000,1244,0.5096,30394.2,1061
25000,1243,0.5414,32429.9,1080
26000,1309,0.5218,30875.6,1041
27000,1213,0.5317,30813.3,1150
28000,1267,0.5225,29422.4,1078
29000,1200,0.5392,25482.4,1000
30000,1182,0.5795,25348.5,1074
31000,1089,0.5647,22246.1,1007
32000,1026,0.6511,17991.5,1070
33000,892,0.6738,13567.7,1007
34000,698,0.7178,9186.1,1134
35000,555,0.7730,5994.9,1213
36000,598,0.6839,5557.5,1005
37000,714,0.5896,8132.5,847
38000,976,0.6086,10804.8,826
39000,1320,0.5606,14917.6,826
40000,1471,0.5765,17282.9,882
41000,1790,0.5397,20020.2,850
42000,2283,0.5283,22539.6,842
43000,2650,0.5053,25211.6,807
44000,2927,0.5050,25299.7,755
45000,2914,0.5357,26578.7,785
46000,3089,0.5193,26581.7,763
47000,3300,0.5100,26746.0,705
48000,3154,0.5533,24953.0,738
49000,2999,0.5475,24063.3,674
50000,2617,0.5911,20227.0,717
51000,2279,0.6139,17865.8,727
52000,1590,0.6522,13878.3,840
53000,1305,0.6866,9956.5,885
54000,883,0.7452,7982.7,1060
55000,707,0.6931,5681.0,1053
56000,753,0.6866,6142.1,904
57000,976,0.6117,8084.5,692
