step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied
10000,2606,3.245,0.634,9.06,36427,28897,3226,355,2804,43442,955297.7,331449.3,0.338,0.373,0.132,0.157,68,20.37,17.15,1.00,4.19,1.06,4.57,2.72,8.20,17.34,13.55,0.02,0.24,0.034,0.123,1076,0.044,0.102,0.870,0.001,0.028,148564,143848,17,0.469,0.165,0.271,6517121,0.262,3.021,0.051,4.95,45655,316,7.630,0.400,0.224,9378259,1.25,12.60,0.058,0.096,0.012,5.4,13.6,42.7,136.3,57632,0.220,0.00,0.0021,0.039,516,0.953,0.000,0.767,0.757,3.90,5.53,4.82,0.03,0.015,1.27,1.26,1.26,0.954,0.00023,1.50,67.6255,2613.95,98094.2,140234.7,53.911,135.8343,148.609,709.543,0.997,0.319,60.6,60.627,235.488,674,3486.4,108.15,23.147,181.697,4033.7,80.993,0.135,2.00,8.5056,22165.5,0.7293,0.3033,22.12,0.935,0.111,1.4775,0.0000,0.453,0.113,0.272,0.0000,8.26,1.12,6,15,49,100,58.1008,1.9412,0.6416,0.4265,0.9850
20000,2092,2.664,0.471,9.89,29703,25715,1017,2575,910,114982,406844.1,137373.5,0.183,0.552,0.101,0.164,177,21.26,21.07,0.51,2.57,5.53,11.83,3.20,8.48,11.81,8.61,0.03,0.38,0.118,0.211,1158,0.029,0.159,0.822,0.000,0.019,51604,46402,3,0.694,0.160,0.236,3240728,0.231,2.624,0.033,12.96,19336,517,1.195,0.171,0.246,6338289,1.16,12.70,0.061,0.383,0.007,3.9,12.4,56.1,149.8,44014,0.168,0.00,0.0016,0.068,445,0.707,0.000,0.773,0.471,3.75,5.01,4.88,0.04,0.010,1.13,1.20,1.17,0.711,0.00104,2.57,16.3857,1813.04,110931.5,140234.7,23.380,26.7066,75.523,370.942,0.816,0.354,46.7,34.236,72.756,381,1487.7,132.38,5.882,46.698,3752.1,27.807,0.133,2.00,7.2089,15081.0,0.7925,0.4408,21.04,0.986,0.200,0.5225,0.0000,0.452,0.087,0.273,0.0000,8.09,1.08,5,14,52,121,31.2853,0.7814,0.5736,0.5508,0.9931
30000,3028,1.676,0.464,9.39,94799,67264,904,19723,5972,653282,1000921.1,695229.4,0.111,0.522,0.150,0.217,115,16.86,17.80,0.75,3.28,3.94,7.85,0.33,2.02,7.97,7.35,0.01,0.15,0.126,0.216,1624,0.028,0.109,0.864,0.000,0.027,251045,226096,5,0.395,0.403,0.066,4301992,0.246,2.233,0.034,13.23,84237,415,1.064,0.175,0.354,15554496,1.25,14.66,0.065,0.509,0.003,2.8,9.8,46.1,164.6,39350,0.150,0.00,0.0041,0.067,512,0.808,0.000,0.863,0.629,2.93,3.97,4.11,0.09,0.035,1.19,1.33,1.27,0.820,0.00154,5.17,78.4248,2568.44,112542.1,140234.7,82.033,92.0903,167.355,607.973,0.948,0.354,62.7,62.935,224.601,312,1198.6,47.05,7.411,141.632,3348.2,89.742,0.135,2.00,4.6001,13929.0,0.7819,0.4897,13.00,1.131,0.410,1.4775,0.0000,0.501,0.131,0.395,0.0000,7.60,1.42,3,10,25,77,55.8427,2.4250,0.4924,0.5905,0.9864
40000,2208,1.718,0.560,14.50,56966,42632,70,13774,1310,579044,462692.4,344343.7,0.083,0.637,0.109,0.170,180,17.57,12.66,0.27,1.61,4.64,6.32,0.10,1.23,7.66,9.15,0.00,0.05,0.207,0.238,1384,0.089,0.090,0.877,0.002,0.030,83285,65194,3,0.337,0.510,0.018,680452,0.223,2.357,0.046,17.83,32156,396,0.595,0.160,0.390,7153182,1.11,11.47,0.156,0.626,0.003,3.0,15.6,32.0,97.8,27977,0.107,0.00,0.0027,0.091,308,0.552,0.000,0.730,0.365,2.94,3.54,4.58,0.03,0.013,1.11,1.12,1.13,0.574,0.00292,3.43,17.2998,2282.70,118609.8,140234.7,20.175,23.0725,95.784,343.917,0.998,0.366,46.1,39.543,68.671,598,2767.3,75.16,5.506,44.181,3807.3,28.759,0.135,2.00,3.5464,7830.4,0.6570,0.4295,12.67,1.384,0.466,0.5225,0.0000,0.536,0.214,0.420,0.0000,6.81,2.27,3,12,23,83,32.6463,0.4398,0.4180,0.5496,0.9908
50000,2854,2.174,0.539,16.23,120877,81200,656,33551,4824,1100571,965554.9,819770.7,0.067,0.641,0.102,0.190,104,18.45,13.25,0.28,1.56,4.99,6.59,0.23,2.34,7.26,8.09,0.01,0.17,0.181,0.215,1303,0.176,0.088,0.890,0.002,0.020,268754,236200,19,0.325,0.236,0.022,806633,0.237,2.927,0.039,11.85,102898,301,0.745,0.196,0.397,20749496,1.11,10.16,0.247,0.461,0.005,3.2,15.2,32.0,115.8,36417,0.139,0.00,0.0047,0.084,532,0.789,0.000,0.871,0.563,3.10,3.55,4.53,0.02,0.008,1.12,1.10,1.13,0.810,0.00276,3.32,65.2413,2478.74,102297.3,140234.7,82.691,89.1784,178.448,686.056,0.987,0.329,59.9,65.248,231.767,451,1767.2,136.32,9.675,144.210,4220.3,86.814,0.134,2.00,7.6341,21787.7,1.0368,0.4567,12.76,1.372,0.483,1.4775,0.0000,0.496,0.173,0.437,0.0000,6.51,2.00,3,13,21,100,55.9812,1.3986,0.5273,0.4951,0.9838
60000,2493,1.279,0.452,17.78,45842,36270,652,7974,1307,383265,464524.4,274087.0,0.059,0.670,0.093,0.179,178,18.59,13.41,0.07,1.05,5.07,6.99,0.09,1.19,7.91,7.55,0.02,0.29,0.179,0.223,1147,0.178,0.116,0.852,0.001,0.031,67550,54912,8,0.659,0.010,0.009,200585,0.226,2.156,0.038,18.02,28406,449,0.715,0.170,0.330,8241491,1.02,14.58,0.268,0.454,0.006,3.8,14.0,32.0,84.0,32736,0.125,0.00,0.0024,0.080,352,0.610,0.000,0.704,0.376,3.30,3.24,6.03,0.03,0.008,1.02,1.02,1.02,0.624,0.00227,3.95,14.7383,1359.96,113669.0,140234.7,20.624,21.3050,95.315,340.007,0.999,0.358,53.8,40.870,66.667,438,2279.2,71.98,4.597,43.022,3489.2,28.662,0.134,2.00,6.0139,14992.8,0.7808,0.5085,13.13,1.347,0.468,0.5225,0.0000,0.521,0.134,0.611,0.0000,8.03,2.86,4,13,24,76,34.6906,0.5207,0.5463,0.4662,0.9912
70000,2702,1.731,0.476,18.94,112363,81526,1488,22236,6904,625040,959899.0,586909.6,0.097,0.559,0.138,0.206,103,18.97,14.12,0.23,1.42,5.46,6.77,0.08,0.96,6.79,7.28,0.01,0.25,0.178,0.208,1160,0.235,0.104,0.879,0.001,0.017,219149,187190,13,0.224,0.384,0.013,342688,0.260,2.231,0.037,8.29,87929,383,0.939,0.210,0.352,18811862,1.08,13.16,0.320,0.405,0.004,2.7,17.1,32.0,112.1,33897,0.129,0.00,0.0052,0.088,486,0.815,0.000,0.837,0.497,3.05,3.42,4.41,0.02,0.009,1.06,1.07,1.11,0.828,0.00167,2.13,55.0371,1554.25,102913.7,140234.7,81.847,87.9806,180.757,771.512,0.996,0.330,58.4,69.037,236.585,432,1828.6,48.01,7.881,149.801,4167.7,89.703,0.135,2.00,8.7966,23768.5,1.1155,0.5198,12.55,1.388,0.515,1.4775,0.0000,0.468,0.165,0.413,0.0000,7.11,2.62,3,14,19,89,62.4600,2.0729,0.5496,0.5863,0.9893
80000,2457,1.434,0.441,17.19,44634,35877,618,7112,1272,335969,439772.2,227421.3,0.073,0.633,0.123,0.171,177,18.25,12.67,0.23,1.41,4.77,6.54,0.12,1.76,7.73,7.96,0.01,0.21,0.173,0.215,1154,0.167,0.113,0.863,0.000,0.024,61714,48159,8,0.643,0.142,0.015,275471,0.205,2.212,0.036,15.55,26785,395,0.677,0.218,0.336,7017818,1.09,13.06,0.252,0.473,0.003,3.2,15.3,32.0,98.2,31553,0.120,0.00,0.0023,0.090,375,0.592,0.000,0.698,0.327,3.23,3.15,5.64,0.01,0.004,1.07,1.08,1.13,0.606,0.00194,3.27,12.5200,1651.05,114700.9,140234.7,23.499,20.6031,90.050,406.158,0.999,0.360,49.3,39.418,70.248,422,2121.9,90.84,4.807,43.288,3171.2,28.688,0.132,2.00,5.6302,13833.5,0.7961,0.4814,12.84,1.352,0.477,0.5225,0.0000,0.502,0.127,0.576,0.0000,7.48,2.64,3,13,20,102,34.2856,0.3701,0.5035,0.5234,0.9924
90000,2691,1.769,0.483,20.02,98335,71452,1441,21009,4199,651094,922932.4,583148.7,0.077,0.589,0.130,0.204,108,21.02,13.19,0.44,2.54,5.86,6.44,0.14,1.82,6.99,7.74,0.02,0.25,0.201,0.209,1171,0.233,0.094,0.884,0.002,0.019,195187,165542,14,0.441,0.083,0.016,477203,0.260,2.275,0.039,9.04,75567,375,0.896,0.227,0.379,18365416,1.15,10.32,0.337,0.447,0.009,4.0,23.0,32.0,127.7,36154,0.138,0.00,0.0049,0.089,440,0.806,0.000,0.838,0.508,3.15,3.53,4.79,0.03,0.011,1.14,1.14,1.21,0.820,0.00191,2.48,52.0094,1802.58,102431.9,140234.7,84.900,88.0747,172.811,733.678,0.974,0.331,62.8,65.388,234.696,380,1666.9,54.19,7.634,145.651,4103.1,85.064,0.135,2.00,8.8928,23930.6,0.9948,0.5317,13.44,1.492,0.501,1.4775,0.0000,0.486,0.170,0.455,0.0000,6.60,2.56,4,15,22,98,58.5026,1.7468,0.5504,0.5050,0.9882
100000,2285,3.100,0.346,21.49,38806,30746,539,7157,770,335728,446679.8,232169.9,0.060,0.687,0.116,0.136,188,21.72,13.80,0.20,1.92,5.01,6.11,0.07,1.19,8.68,7.27,0.00,0.10,0.159,0.176,1008,0.154,0.139,0.849,0.000,0.012,49291,35695,8,0.436,0.019,0.015,230177,0.202,1.877,0.027,18.82,22916,419,0.692,0.189,0.324,6408040,1.07,9.98,0.404,0.418,0.001,3.9,24.0,32.0,200.0,31924,0.122,0.00,0.0023,0.091,454,0.539,0.000,0.653,0.294,3.32,3.30,5.25,0.00,0.002,1.05,1.07,1.11,0.553,0.00269,4.63,10.8823,1388.62,106134.3,140234.7,21.826,19.7992,90.410,354.767,0.870,0.341,52.6,39.731,64.344,290,1092.3,53.40,4.898,40.344,2725.0,25.910,0.134,2.01,8.8854,20303.2,1.0680,0.5228,13.97,1.480,0.544,0.5225,0.0000,0.303,0.214,0.281,0.0000,6.67,2.76,4,16,22,100,33.2756,0.3058,0.4578,0.4229,0.9916
