step,pop,on_fat,fat_stock,age_mean
1000,2693,0.9324,41115.1,892
2000,2595,0.9576,43172.1,1880
3000,2614,0.9541,47712.2,2802
4000,1530,0.7516,26165.7,642
5000,1572,0.7640,36242.3,1223
6000,1627,0.7720,45930.4,1739
7000,1720,0.6297,49464.7,939
8000,1738,0.6398,48394.2,1010
9000,1587,0.6957,49722.4,1350
10000,1416,0.6518,39810.0,1032
11000,1168,0.6712,32587.9,1052
12000,1103,0.6881,28195.0,1114
13000,837,0.7372,20080.0,1121
14000,733,0.7258,15040.4,1082
15000,580,0.6466,12915.1,1046
16000,616,0.6136,13834.5,996
17000,865,0.5306,16411.1,865
18000,1304,0.4992,20748.6,765
19000,1396,0.5358,23227.0,703
20000,1538,0.5312,32583.3,797
21000,1676,0.5101,37412.5,876
22000,1985,0.4821,34267.6,621
23000,1754,0.5034,34489.9,741
24000,2047,0.4958,39496.3,725
25000,2091,0.4806,38151.1,750
26000,2256,0.4535,38960.0,688
27000,2565,0.4616,44988.7,729
28000,2541,0.4896,36788.5,641
29000,2427,0.5315,38916.7,755
30000,2310,0.5675,38393.5,807
31000,2062,0.5417,34098.3,817
32000,1798,0.5857,25705.7,832
33000,1576,0.6250,16040.8,794
34000,1391,0.6319,12266.2,805
35000,1130,0.5885,8912.0,735
36000,1292,0.5209,9420.9,604
37000,1525,0.5456,9264.2,545
38000,1878,0.5186,13516.1,500
39000,1860,0.5366,20254.5,604
40000,2118,0.5104,27025.0,655
41000,2510,0.4665,34050.6,624
42000,2842,0.4736,36054.3,597
43000,3078,0.4860,42865.5,608
44000,3204,0.4713,47209.4,689
45000,3443,0.4830,51616.9,701
46000,3572,0.4779,49665.2,688
47000,3481,0.4772,50792.2,691
48000,3549,0.4900,46854.3,648
49000,3528,0.4929,44715.6,645
50000,3070,0.5202,40375.4,714
51000,2950,0.5034,34724.9,642
52000,2208,0.5394,24460.9,627
53000,1789,0.5405,16813.1,611
54000,1387,0.5379,10706.1,566
55000,1127,0.5404,9058.1,626
56000,1207,0.5236,9588.1,568
57000,1644,0.4592,12636.3,509
58000,2197,0.4647,13285.2,391
59000,2304,0.4566,18961.0,458
60000,2784,0.4458,27849.5,509
61000,3089,0.4578,34893.7,573
62000,3276,0.4609,37541.1,582
63000,3689,0.4424,44639.9,594
64000,3879,0.4540,47928.8,625
65000,3827,0.4463,49340.9,647
66000,4015,0.4538,48500.3,615
67000,4249,0.4538,44752.6,601
68000,4164,0.4741,43630.9,600
69000,3844,0.4909,41449.3,632
70000,3344,0.4779,35224.5,610
71000,2969,0.4658,31790.6,633
72000,2652,0.5189,27058.8,634
73000,2109,0.5111,19303.0,687
74000,1523,0.5358,14097.3,797
75000,1249,0.5645,12663.3,919
76000,1326,0.4819,11731.0,765
77000,1557,0.5016,11645.5,569
78000,1937,0.5059,15655.4,523
79000,2353,0.4785,20468.8,514
80000,2610,0.4897,27502.9,550
81000,3108,0.4836,35728.2,580
82000,3323,0.4815,42239.1,618
83000,3419,0.4773,41039.0,604
84000,3806,0.4469,44840.9,558
85000,3747,0.4713,45502.4,597
86000,3920,0.4648,46657.5,584
87000,3695,0.4725,46741.9,599
88000,3563,0.4917,43650.2,610
89000,3332,0.4817,43963.1,664
90000,3179,0.4715,39501.4,624
91000,2662,0.5083,33402.5,656
92000,2043,0.5394,24450.1,693
93000,1713,0.5458,18499.1,707
94000,1297,0.5536,11566.4,675
95000,1015,0.5852,9145.4,722
96000,959,0.5589,8549.7,723
97000,1306,0.4426,10303.2,514
98000,1638,0.4792,14590.8,514
99000,1955,0.4742,20346.9,560
100000,2157,0.4817,26321.9,602
101000,2499,0.4538,35549.2,601
102000,2487,0.4568,44906.3,739
103000,2948,0.4576,48187.7,659
104000,2884,0.4320,47817.2,687
105000,3072,0.4310,51711.6,674
106000,3300,0.4439,53289.4,635
107000,3066,0.4442,51143.1,659
108000,2955,0.4690,50582.7,707
109000,2558,0.4816,47165.2,746
110000,2313,0.4864,39846.8,708
111000,2275,0.5134,34800.5,692
112000,2024,0.5040,26696.6,689
113000,1383,0.5206,19067.0,803
114000,1234,0.5381,13523.0,728
115000,1096,0.5374,10385.5,739
116000,1004,0.5468,9986.5,829
117000,1268,0.5465,11076.3,653
118000,1723,0.4579,15115.6,573
119000,2063,0.4576,18402.0,518
120000,2377,0.4409,26782.1,551
121000,2513,0.4314,37095.7,630
122000,2743,0.4254,44772.2,646
123000,2862,0.4354,50088.3,679
124000,3014,0.4151,50655.0,649
125000,2972,0.4482,52927.8,722
126000,2942,0.4276,53395.8,718
127000,2812,0.4442,53070.1,726
128000,2843,0.4182,51620.5,712
129000,2729,0.4536,49234.9,712
130000,2524,0.4497,42257.1,692
131000,2098,0.4838,36834.6,796
132000,1902,0.4968,25760.7,684
133000,1600,0.5525,18875.6,695
134000,1203,0.5877,11383.5,738
135000,981,0.5688,9285.4,805
136000,1057,0.5128,9717.1,707
137000,1326,0.5113,11970.5,629
138000,1497,0.5244,14199.5,676
139000,2019,0.4438,17632.7,545
140000,2442,0.4373,25521.7,504
141000,2233,0.4357,37115.8,657
142000,2547,0.4158,44550.2,658
143000,2793,0.3870,50030.0,646
144000,2949,0.4296,56729.2,715
145000,2830,0.4233,54370.9,734
146000,2767,0.4297,55189.3,754
147000,2786,0.4117,52562.3,686
148000,2655,0.4456,54080.4,758
149000,2455,0.4591,49834.3,789
150000,2495,0.4341,43239.0,727
151000,1967,0.4789,35191.2,781
152000,1944,0.4650,31333.9,733
153000,1519,0.5484,20459.4,726
154000,1036,0.6033,12739.1,868
155000,935,0.5936,8706.9,783
156000,1021,0.5485,9971.1,772
157000,1265,0.5399,11310.8,667
158000,1562,0.5096,14419.2,657
159000,1836,0.4564,20088.3,655
160000,2053,0.4462,24568.4,589
161000,2211,0.4265,37273.2,677
162000,2424,0.4262,45482.6,692
163000,2817,0.4093,51193.4,660
164000,2682,0.4448,53400.7,757
165000,2832,0.4040,53002.9,701
166000,3011,0.4105,54521.4,698
167000,3029,0.4417,54264.1,683
168000,2827,0.4450,51687.3,714
169000,2549,0.4100,48094.1,740
170000,2095,0.4764,43750.4,814
171000,1969,0.4652,35654.1,769
172000,1785,0.4868,27020.2,719
173000,1522,0.5066,17346.8,689
174000,1004,0.5687,10828.1,844
175000,890,0.5674,8085.3,814
176000,1030,0.5757,9559.7,775
177000,1230,0.5382,11354.1,664
178000,1467,0.4533,13972.8,640
179000,2074,0.4465,20964.5,557
180000,2156,0.4494,25128.9,576
181000,2140,0.4308,34814.3,699
182000,2558,0.4144,45462.8,674
183000,2709,0.4463,50235.3,714
184000,2772,0.4365,52981.4,738
185000,2642,0.4122,53608.1,778
186000,2663,0.4104,51816.2,710
187000,2826,0.4038,53861.0,692
188000,2582,0.4466,53404.5,771
189000,2330,0.4549,49516.0,822
190000,2166,0.4631,45054.3,829
191000,1961,0.4814,35267.6,776
192000,1600,0.5162,25189.8,765
193000,1342,0.5604,17700.4,756
194000,1127,0.5386,12411.4,809
195000,931,0.5908,8792.0,861
196000,1034,0.5522,8825.6,738
197000,1220,0.5074,11490.7,701
198000,1505,0.5302,13835.1,660
199000,1942,0.4634,18285.8,574
200000,2243,0.4552,27941.9,601
201000,2331,0.4393,38469.7,712
202000,2579,0.4296,44567.6,669
203000,2817,0.4068,50996.5,687
204000,2765,0.4141,54334.3,766
205000,2828,0.4088,54417.3,741
206000,2821,0.4176,56264.7,754
207000,2842,0.4043,55578.9,724
208000,2622,0.4428,53937.2,799
209000,2473,0.4541,52148.8,864
210000,2236,0.4758,46827.6,879
211000,2163,0.4970,38313.9,793
212000,1917,0.4877,29387.1,744
213000,1187,0.5754,19425.5,944
214000,1146,0.5969,12471.3,809
215000,947,0.5755,10083.1,929
216000,1087,0.5639,10696.0,805
217000,1179,0.5386,11160.7,706
218000,1525,0.5023,15175.9,691
219000,1913,0.4579,19234.4,583
220000,2061,0.4362,27302.7,625
221000,2536,0.4286,38550.2,640
222000,2449,0.4173,43110.0,701
223000,2472,0.4223,50172.8,774
224000,2780,0.4061,52941.6,711
225000,3038,0.4128,57939.4,726
226000,2802,0.4072,60210.1,837
227000,2703,0.4432,56224.7,802
228000,2306,0.4245,52658.0,857
229000,2245,0.4263,50479.5,833
230000,2253,0.4239,48223.6,790
231000,2087,0.4782,41086.8,804
232000,1932,0.4953,30940.8,729
233000,1502,0.5200,19327.3,717
234000,1167,0.5767,12262.7,760
235000,927,0.5750,9092.4,902
236000,999,0.5566,10631.3,837
237000,1284,0.4852,12517.1,729
