step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,2130,1.366,0.047,9.49,69387,66330,89,2,2273,2300,1165652.0,72017.7,0.016,0.494,0.023,0.467,444,7.83,2.50,0.05,1.32,0.00,0.02,0.02,0.44,7.75,1.98,0.00,0.00,0.000,0.001,148,0.158,0.262,0.735,0.000,0.003,46453,38370,1,0.601,0.399,0.004,620024,0.135,0.066,0.000,107.19,30992,92,31.312,0.500,0.000,1417350,1.01,15.45,0.000,0.000,0.000,6,8,9,63,16670,0.064,0.46,0.0071,0.078,714,0.139,0.000,0.210,0.256,2.82,1.74,6.66,0.00,0.000,1.01,1.02,1.02,0.139,0.00443,55.91,10.6987,10.93,135664.3,139737.2,0.281,3.4995,117.259,848.221,0.995,0.460,54.3,58.624
20000,2082,1.401,0.044,9.49,52909,50874,393,0,1690,8,1056230.1,11003.4,0.000,0.428,0.002,0.569,484,8.01,2.33,0.03,0.58,0.00,0.00,0.06,1.05,7.92,1.91,0.00,0.00,0.000,0.000,136,0.126,0.244,0.752,0.000,0.004,9190,4122,3,0.622,0.003,0.010,113660,0.088,0.064,0.000,107.16,17662,0,1375.425,0.000,0.000,768605,1.01,15.06,0.000,0.000,0.000,6,8,10,48,16682,0.064,0.00,0.0064,0.085,715,0.084,0.000,0.153,0.000,2.88,1.67,7.07,0.00,0.000,1.00,1.01,1.01,0.084,0.00311,56.41,1.2179,11.14,135703.6,139737.1,0.264,0.1175,107.050,581.741,0.994,0.457,53.1,53.525
30000,2100,1.425,0.041,9.42,48478,46240,492,0,1728,1,1038751.9,10823.0,0.000,0.406,0.001,0.593,491,8.23,1.66,0.03,0.66,0.00,0.00,0.02,0.44,8.18,1.50,0.00,0.00,0.000,0.000,122,0.364,0.247,0.747,0.000,0.007,7126,2405,3,0.540,0.000,0.008,142993,0.087,0.074,0.000,106.41,16463,0,10823.017,0.000,0.001,603369,1.01,14.78,0.000,0.000,0.000,6,9,9,35,17286,0.066,0.00,0.0060,0.075,713,0.071,0.000,0.127,0.000,2.92,1.86,6.93,0.00,0.000,1.00,1.01,1.03,0.071,0.00303,57.18,1.2009,16.90,135668.3,139737.2,0.248,0.1178,106.294,576.480,0.996,0.457,53.6,53.147
40000,2053,1.433,0.041,9.32,44772,42530,689,0,1600,2,1025962.3,10712.5,0.000,0.356,0.000,0.644,489,8.25,1.69,0.03,0.55,0.00,0.00,0.02,0.44,8.20,1.50,0.00,0.00,0.000,0.000,117,0.279,0.243,0.755,0.000,0.002,5807,2500,3,0.644,0.060,0.007,132001,0.086,0.093,0.000,106.13,14183,0,5356.253,0.000,0.000,384962,1.01,14.56,0.000,0.000,0.000,7,8,9,36,16931,0.065,0.00,0.0061,0.076,694,0.052,0.000,0.098,0.000,2.92,1.99,6.81,0.00,0.000,1.00,1.01,1.01,0.052,0.00285,57.46,1.1844,9.16,135725.4,139737.3,0.249,0.1137,106.024,576.410,0.995,0.457,52.8,53.012
50000,2048,1.478,0.040,9.36,45410,42909,680,0,1826,3,1025262.8,10951.0,0.000,0.347,0.000,0.653,481,8.22,1.55,0.01,0.18,0.00,0.00,0.02,0.31,8.20,1.43,0.00,0.00,0.000,0.000,109,0.371,0.231,0.765,0.000,0.004,5939,2747,5,0.649,0.000,0.007,128062,0.089,0.072,0.000,106.05,13428,0,3650.326,0.000,0.000,379366,1.00,14.43,0.000,0.000,0.000,7,8,9,35,16835,0.064,0.00,0.0061,0.078,686,0.052,0.000,0.098,0.000,2.92,2.02,6.89,0.00,0.000,1.00,1.00,1.00,0.052,0.00276,57.55,1.2181,17.22,135657.8,139737.4,0.246,0.1221,105.916,576.526,0.995,0.457,52.2,52.958
60000,2041,1.449,0.044,9.48,46400,43995,667,0,1745,0,1025336.2,10984.0,0.000,0.348,0.000,0.652,465,8.08,1.54,0.02,0.46,0.00,0.09,0.04,0.61,8.01,1.40,0.00,0.00,0.000,0.015,126,0.398,0.240,0.756,0.000,0.004,6128,2986,3,0.583,0.000,0.010,120326,0.094,0.125,0.000,105.68,13399,0,10984.022,0.000,0.000,401794,1.01,14.48,0.000,0.000,0.000,7,8,9,37,16482,0.063,0.00,0.0063,0.073,672,0.055,0.000,0.100,0.000,2.95,2.02,6.99,0.00,0.000,1.00,1.01,1.01,0.055,0.00274,57.90,1.2189,14.03,135681.1,139737.5,0.260,0.1206,105.557,578.586,0.994,0.457,51.9,52.779
70000,2056,1.396,0.042,9.47,46984,44784,604,0,1581,1,1024322.7,10686.7,0.000,0.350,0.001,0.650,459,8.04,1.60,0.02,0.47,0.00,0.02,0.04,0.80,7.98,1.20,0.00,0.02,0.000,0.003,123,0.401,0.247,0.752,0.000,0.001,6160,3133,3,0.557,0.000,0.006,108151,0.103,0.090,0.000,105.26,13485,0,10686.729,0.000,0.000,416856,1.01,14.53,0.000,0.000,0.000,7,8,9,46,16533,0.063,0.00,0.0062,0.067,671,0.057,0.000,0.102,0.000,2.97,2.04,7.02,0.00,0.000,1.00,1.01,1.01,0.057,0.00270,58.31,1.1860,16.14,135787.9,139737.6,0.262,0.1170,105.157,577.163,0.994,0.457,52.1,52.579
80000,2060,1.432,0.041,9.61,47341,44989,673,0,1675,0,1023150.2,10953.3,0.000,0.349,0.001,0.650,471,8.01,1.54,0.05,0.82,0.00,0.00,0.02,0.33,7.94,1.12,0.00,0.00,0.000,0.000,117,0.404,0.234,0.762,0.000,0.004,6062,2880,3,0.535,0.000,0.007,139893,0.084,0.082,0.000,105.15,14187,0,10953.315,0.000,0.000,423706,1.01,14.51,0.000,0.000,0.000,7,8,9,38,16510,0.063,0.00,0.0063,0.066,687,0.058,0.000,0.101,0.000,2.98,2.04,7.00,0.00,0.000,1.00,1.02,1.02,0.058,0.00268,58.45,1.2180,10.91,135731.2,139737.7,0.238,0.1230,105.023,573.421,0.995,0.457,52.2,52.512
90000,2081,1.396,0.041,9.77,47956,45752,617,0,1566,0,1022954.7,10771.4,0.000,0.346,0.001,0.653,400,7.93,1.57,0.03,0.51,0.00,0.07,0.02,0.61,7.88,1.30,0.00,0.00,0.000,0.006,129,0.363,0.226,0.768,0.000,0.005,5992,3080,3,0.442,0.000,0.006,155807,0.087,0.087,0.000,104.99,14135,0,10771.380,0.000,0.000,414059,1.01,14.61,0.000,0.000,0.000,7,8,9,36,16511,0.063,0.00,0.0062,0.072,677,0.057,0.000,0.102,0.000,2.97,2.07,7.01,0.00,0.000,1.00,1.01,1.01,0.057,0.00262,58.62,1.1983,12.27,135775.6,139737.7,0.225,0.1208,104.875,570.117,0.995,0.457,52.4,52.438
100000,2104,1.377,0.040,10.15,48838,46553,664,0,1598,0,1020229.9,10958.3,0.000,0.337,0.001,0.663,405,7.77,1.61,0.02,0.40,0.00,0.00,0.04,0.76,7.71,1.35,0.00,0.00,0.000,0.000,129,0.297,0.230,0.768,0.000,0.002,5811,3046,3,0.477,0.000,0.013,188496,0.081,0.068,0.000,104.89,15957,0,10958.344,0.000,0.000,397675,1.00,14.93,0.000,0.000,0.000,7,8,9,36,16351,0.062,0.00,0.0063,0.067,695,0.056,0.000,0.098,0.000,2.94,2.03,6.86,0.00,0.000,1.00,1.01,1.01,0.056,0.00251,58.70,1.2248,11.13,135812.8,139737.7,0.250,0.1288,104.766,570.274,0.995,0.456,52.5,52.383
