step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,1709,1.394,0.065,4.70,73608,70195,25,3,3172,1400,1004525.4,69803.7,0.025,0.433,0.094,0.448,549,7.51,2.72,0.01,0.37,0.01,0.38,0.01,0.56,7.47,2.54,0.00,0.00,0.001,0.024,59,0.458,0.247,0.745,0.000,0.008,45186,40380,1,1.000,0.000,0.001,323074,0.182,0.076,0.000,88.29,19041,71,49.860,0.667,0.000,1407387,1.00,17.03,0.000,0.001,0.000,6,6,10,55,12834,0.049,0.39,0.0079,0.092,710,0.180,0.000,0.184,0.227,2.72,2.40,5.31,0.00,0.000,1.00,1.00,1.01,0.180,0.00344,46.39,10.7802,26.57,3392.8,140227.3,28.762,3.7938,98.152,368.226,0.625,0.000,133127.9,84.839
20000,1737,1.398,0.061,4.79,52730,50098,112,1,2491,37,850068.6,12231.1,0.010,0.452,0.229,0.308,667,7.25,1.85,0.02,0.53,0.01,0.32,0.02,0.40,7.20,1.56,0.00,0.00,0.001,0.028,42,0.528,0.255,0.742,0.000,0.003,9435,6165,2,0.565,0.000,0.002,24587,0.286,0.068,0.000,85.12,8909,472,330.571,0.000,0.000,938163,1.01,16.54,0.000,0.001,0.000,6,8,8,39,12593,0.048,0.00,0.0068,0.086,738,0.119,0.000,0.128,0.000,2.65,1.92,5.82,0.00,0.000,1.01,1.01,1.02,0.119,0.00286,43.35,1.4240,17.72,2725.2,140227.4,35.373,0.2021,84.917,237.265,0.609,0.000,133828.9,84.847
30000,1741,1.365,0.058,5.64,47345,44587,234,1,2519,47,848620.4,11223.7,0.009,0.446,0.181,0.364,669,6.98,2.80,0.04,0.94,0.01,0.22,0.01,0.58,6.92,2.22,0.00,0.00,0.000,0.009,44,0.489,0.242,0.755,0.000,0.003,8046,4632,2,0.638,0.000,0.001,20332,0.306,0.068,0.000,85.06,9043,197,238.802,0.000,0.001,703284,1.01,17.61,0.001,0.000,0.000,6,6,8,64,12155,0.046,0.00,0.0070,0.087,746,0.089,0.000,0.120,0.000,2.54,2.27,4.92,0.00,0.000,1.01,1.01,1.02,0.089,0.00280,42.05,1.3118,23.03,2461.6,140227.4,36.726,0.1896,84.884,204.937,0.600,0.000,134196.5,84.847
40000,1712,1.423,0.055,6.64,41836,39816,362,0,1687,36,843685.1,9786.8,0.008,0.485,0.091,0.416,681,7.05,1.61,0.02,0.58,0.00,0.10,0.02,0.72,7.01,1.39,0.00,0.00,0.000,0.007,56,0.384,0.237,0.759,0.000,0.004,6651,3527,2,0.775,0.159,0.001,20028,0.240,0.060,0.000,85.02,10279,0,271.854,0.000,0.000,462270,1.01,17.76,0.000,0.001,0.000,6,7,8,36,12062,0.046,0.00,0.0070,0.082,742,0.054,0.000,0.113,0.000,2.52,2.45,4.69,0.00,0.000,1.01,1.01,1.02,0.054,0.00323,41.27,1.1300,14.76,2304.0,140227.6,37.554,0.1527,84.862,188.729,0.594,0.000,134344.3,84.847
50000,1726,1.410,0.052,6.57,38936,37202,450,0,1270,16,844455.9,8981.3,0.011,0.471,0.152,0.366,672,7.32,2.34,0.04,1.05,0.00,0.08,0.02,0.67,7.25,1.66,0.00,0.00,0.000,0.006,58,0.402,0.251,0.748,0.000,0.001,5430,2947,3,0.570,0.000,0.002,22457,0.211,0.059,0.000,84.95,9169,0,561.328,0.000,0.000,388543,1.01,17.11,0.000,0.000,0.000,6,7,8,60,12627,0.048,0.00,0.0068,0.088,749,0.048,0.000,0.114,0.000,2.62,1.80,5.67,0.00,0.000,1.00,1.01,1.01,0.048,0.00318,41.80,1.0334,14.71,2661.8,140227.6,37.097,0.1354,84.816,192.364,0.607,0.000,134031.7,84.847
60000,1707,1.393,0.054,6.28,41230,39622,359,1,1267,20,850717.5,9051.0,0.014,0.407,0.322,0.256,678,7.40,2.10,0.01,0.23,0.01,0.27,0.00,0.19,7.37,1.92,0.00,0.00,0.002,0.044,59,0.600,0.261,0.737,0.000,0.002,5754,3123,2,0.726,0.057,0.001,20073,0.195,0.065,0.000,84.95,8500,351,452.552,0.000,0.000,516666,1.00,16.09,0.000,0.000,0.000,6,8,8,54,12625,0.048,0.00,0.0068,0.091,729,0.073,0.000,0.123,0.000,2.71,1.33,6.79,0.00,0.000,1.00,1.00,1.00,0.073,0.00273,43.51,1.0456,16.02,3039.2,140227.6,35.378,0.1406,84.812,225.464,0.621,0.000,133679.9,84.847
70000,1708,1.401,0.055,6.19,42323,40588,338,0,1396,3,852675.4,9089.3,0.015,0.367,0.448,0.170,664,7.26,1.47,0.02,0.38,0.01,0.20,0.01,0.31,7.22,1.37,0.00,0.00,0.001,0.035,45,0.590,0.249,0.748,0.000,0.003,6003,4071,2,0.838,0.029,0.002,20701,0.191,0.066,0.000,84.96,7891,0,3029.779,0.000,0.001,597463,1.01,16.01,0.000,0.000,0.000,6,8,8,29,12403,0.047,0.00,0.0069,0.093,730,0.093,0.000,0.124,0.000,2.80,1.19,7.23,0.00,0.001,1.01,1.01,1.01,0.093,0.00246,45.17,1.0534,12.64,3392.6,140227.6,33.712,0.1447,84.808,247.162,0.640,0.000,133291.4,84.847
80000,1765,1.345,0.053,6.32,41999,40071,375,0,1496,12,852968.1,8887.8,0.015,0.363,0.464,0.158,624,6.83,1.55,0.00,0.13,0.03,0.61,0.00,0.00,6.80,1.33,0.00,0.00,0.002,0.035,43,0.388,0.252,0.745,0.000,0.003,6426,4763,3,0.805,0.000,0.000,18556,0.185,0.068,0.000,84.97,7960,0,740.648,0.000,0.000,641574,1.00,16.89,0.000,0.001,0.000,6,6,8,36,12053,0.046,0.00,0.0071,0.078,735,0.100,0.000,0.118,0.000,2.77,1.22,7.11,0.00,0.001,1.00,1.00,1.00,0.100,0.00228,46.04,1.0335,16.72,3575.9,140227.6,32.831,0.1444,84.835,261.694,0.641,0.000,133164.9,84.847
90000,1794,1.387,0.053,6.65,40025,37751,461,0,1784,6,851747.9,8706.4,0.013,0.380,0.398,0.209,612,6.49,1.82,0.01,0.40,0.03,0.64,0.00,0.02,6.44,1.52,0.00,0.00,0.001,0.032,52,0.455,0.266,0.728,0.000,0.006,6683,4403,2,0.667,0.004,0.001,15926,0.193,0.062,0.000,85.02,8597,0,1451.063,0.000,0.000,622580,1.00,18.02,0.000,0.000,0.000,6,6,8,46,11637,0.044,0.00,0.0074,0.096,764,0.090,0.000,0.110,0.000,2.70,1.37,6.57,0.00,0.001,1.00,1.01,1.00,0.091,0.00226,45.77,1.0120,12.60,3276.0,140227.6,33.050,0.1418,84.867,251.635,0.641,0.000,133360.6,84.847
100000,1808,1.379,0.053,6.96,38633,36181,547,0,1891,12,851907.5,8671.6,0.011,0.390,0.339,0.260,618,6.35,1.81,0.02,0.60,0.01,0.21,0.02,0.54,6.30,1.50,0.00,0.00,0.000,0.012,52,0.383,0.253,0.744,0.000,0.003,6540,3972,2,0.528,0.000,0.001,14222,0.201,0.063,0.000,85.04,9041,0,722.635,0.000,0.000,562419,1.01,18.66,0.000,0.001,0.000,6,6,8,38,11480,0.044,0.00,0.0075,0.090,781,0.079,0.000,0.107,0.000,2.62,1.50,6.00,0.00,0.000,1.01,1.01,1.01,0.079,0.00228,45.28,1.0118,16.51,2769.5,140227.5,33.513,0.1445,84.897,237.915,0.620,0.000,133861.6,84.847
110000,1826,1.376,0.052,7.36,36965,34241,686,0,2020,6,850950.8,8740.9,0.008,0.411,0.253,0.328,637,6.31,1.94,0.02,0.38,0.01,0.34,0.00,0.07,6.27,1.74,0.00,0.00,0.001,0.026,54,0.423,0.258,0.735,0.000,0.006,5969,3659,2,0.641,0.000,0.001,12051,0.212,0.062,0.000,85.05,9817,0,1456.813,0.000,0.001,452372,1.01,19.18,0.000,0.000,0.000,6,6,8,47,11517,0.044,0.00,0.0074,0.099,786,0.060,0.000,0.112,0.000,2.54,1.68,5.29,0.00,0.001,1.01,1.01,1.01,0.060,0.00241,43.84,1.0183,17.64,2232.6,140227.4,34.957,0.1442,84.901,201.597,0.594,0.000,134393.9,84.847
120000,1816,1.327,0.050,7.52,36083,33195,809,1,2088,21,849816.8,8943.8,0.006,0.423,0.194,0.377,525,6.36,2.48,0.02,0.51,0.02,0.59,0.00,0.07,6.32,2.00,0.00,0.00,0.001,0.017,54,0.456,0.248,0.750,0.000,0.002,5777,3770,2,0.716,0.000,0.001,11502,0.235,0.055,0.000,85.01,10367,279,425.896,0.000,0.001,380995,1.01,19.47,0.000,0.001,0.000,6,6,7,52,11557,0.044,0.00,0.0074,0.100,789,0.049,0.000,0.114,0.000,2.50,1.78,4.93,0.00,0.000,1.00,1.01,1.01,0.049,0.00251,42.75,1.0393,9.40,2106.5,140227.3,36.087,0.1460,84.873,179.232,0.584,0.000,134655.0,84.847
