step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,1943,1.500,0.069,2.01,79185,76068,20,5,2645,1730,1170286.1,75078.0,0.019,0.372,0.073,0.536,474,9.78,4.49,0.04,1.05,0.00,0.09,0.10,2.19,9.65,3.76,0.00,0.00,0.001,0.023,49,0.344,0.262,0.733,0.000,0.005,49190,46023,1,1.000,0.000,0.002,407909,0.164,0.085,0.000,106.89,18777,26,43.398,0.800,0.000,1496355,1.01,14.30,0.003,0.000,0.000,6,10,13,64,19012,0.073,0.42,0.0062,0.056,660,0.200,0.000,0.209,0.216,3.24,1.98,7.82,0.00,0.000,1.01,1.01,1.01,0.200,0.00363,54.73,11.3273,28.49,135690.2,140228.0,1.797,3.8125,116.657,384.639,0.917,0.399,106.3,116.647
20000,2102,1.332,0.076,2.01,81728,78616,12,0,2941,4,1029803.1,19699.9,0.003,0.431,0.012,0.554,524,6.28,3.12,0.00,0.18,0.01,0.34,0.00,0.00,6.27,3.00,0.00,0.00,0.000,0.009,25,0.961,0.204,0.791,0.000,0.006,30307,30307,1,1.000,0.000,0.000,31849,0.289,0.090,0.000,102.14,7790,0,4924.963,0.000,0.000,1972379,1.00,17.82,0.001,0.000,0.000,6,6,6,64,13208,0.050,0.00,0.0078,0.053,664,0.211,0.000,0.225,0.002,3.15,2.03,7.94,0.00,0.000,1.00,1.00,1.00,0.211,0.00244,59.29,2.2361,24.37,135827.5,140228.0,2.406,0.2644,101.888,76.384,0.888,0.397,97.6,101.889
30000,2165,1.334,0.073,2.01,83433,80379,13,0,2978,0,1014097.5,18498.1,0.002,0.433,0.006,0.559,527,6.34,3.60,0.00,0.00,0.01,0.28,0.17,2.96,6.16,1.92,0.00,0.00,0.001,0.030,29,0.963,0.226,0.768,0.000,0.006,32101,32101,1,1.000,0.000,0.004,33462,0.287,0.086,0.000,100.41,7536,0,18498.131,0.000,0.001,2029318,1.00,17.78,0.002,0.000,0.000,6,6,6,64,13716,0.052,0.00,0.0076,0.055,701,0.210,0.000,0.229,0.002,3.15,2.04,7.96,0.00,0.000,1.00,1.00,1.00,0.210,0.00212,60.53,2.1066,22.26,135763.0,140227.8,2.898,0.2549,100.151,63.247,0.895,0.397,101.1,100.151
40000,2149,1.306,0.074,2.00,82965,80043,11,0,2927,0,1013459.9,18280.2,0.002,0.431,0.006,0.561,527,6.20,2.89,0.00,0.02,0.01,0.26,0.03,1.11,6.17,2.61,0.00,0.00,0.001,0.022,24,0.970,0.226,0.770,0.000,0.004,31927,31927,1,1.000,0.000,0.001,32221,0.284,0.092,0.000,100.39,7242,0,18280.201,0.000,0.000,2015436,1.00,17.89,0.002,0.000,0.000,6,6,6,64,13323,0.051,0.00,0.0076,0.053,698,0.209,0.000,0.228,0.002,3.12,2.02,7.95,0.00,0.000,1.00,1.00,1.00,0.209,0.00212,60.61,2.0811,28.23,135835.5,140227.7,2.842,0.2506,100.144,63.669,0.905,0.397,99.7,100.144
50000,2177,1.298,0.073,2.00,83337,80339,10,0,2960,2,1014268.2,18293.1,0.002,0.434,0.006,0.558,529,6.25,3.04,0.00,0.00,0.00,0.06,0.06,1.52,6.19,2.49,0.00,0.00,0.000,0.009,21,0.967,0.230,0.765,0.000,0.005,32159,32159,1,1.000,0.000,0.002,31823,0.269,0.088,0.000,100.42,7208,0,9146.570,0.000,0.001,2052447,1.00,17.82,0.002,0.000,0.000,6,6,6,64,13608,0.052,0.00,0.0075,0.058,680,0.211,0.000,0.229,0.002,3.15,2.01,7.98,0.00,0.000,1.00,1.00,1.00,0.211,0.00210,60.54,2.0842,25.62,135837.2,140227.6,2.876,0.2531,100.166,63.559,0.896,0.397,100.9,100.166
60000,2149,1.332,0.073,2.00,83193,80245,9,0,2967,6,1013696.9,18158.8,0.002,0.430,0.006,0.561,520,6.23,2.73,0.01,0.37,0.00,0.15,0.06,1.70,6.15,1.72,0.00,0.00,0.000,0.022,20,0.957,0.222,0.774,0.000,0.004,31562,31562,1,1.000,0.000,0.001,32145,0.265,0.088,0.000,100.41,6934,0,3026.473,0.000,0.000,2017581,1.00,17.81,0.002,0.000,0.000,6,6,6,64,13385,0.051,0.00,0.0077,0.058,699,0.210,0.000,0.229,0.002,3.16,2.02,7.95,0.00,0.000,1.00,1.00,1.00,0.210,0.00212,60.57,2.0681,30.14,135794.9,140227.6,2.857,0.2500,100.159,63.612,0.887,0.397,100.1,100.159
70000,2178,1.299,0.074,2.01,83020,80164,8,0,2819,10,1013632.8,18158.0,0.002,0.429,0.006,0.563,500,6.28,3.25,0.00,0.04,0.01,0.32,0.05,1.59,6.22,2.81,0.00,0.00,0.001,0.031,25,0.959,0.218,0.775,0.000,0.008,31680,31680,1,1.000,0.000,0.001,33412,0.283,0.087,0.000,100.41,6894,0,1815.799,0.000,0.000,1993973,1.00,17.82,0.001,0.000,0.000,6,6,6,64,13679,0.052,0.00,0.0075,0.062,701,0.208,0.000,0.229,0.002,3.18,2.03,7.94,0.00,0.000,1.00,1.00,1.00,0.208,0.00209,60.58,2.0639,15.60,135809.8,140227.6,2.845,0.2478,100.168,63.874,0.903,0.397,101.2,100.168
80000,2136,1.318,0.075,2.01,82895,80132,10,0,2795,6,1013483.4,17946.0,0.002,0.430,0.006,0.562,523,6.33,3.41,0.04,1.42,0.01,0.46,0.04,1.21,6.24,2.89,0.00,0.00,0.000,0.017,27,0.963,0.233,0.765,0.000,0.003,32019,32019,1,1.000,0.000,0.001,33603,0.283,0.090,0.000,100.38,6815,0,2990.994,0.000,0.000,2012605,1.01,17.79,0.002,0.000,0.000,6,6,6,64,13511,0.052,0.00,0.0076,0.060,677,0.209,0.000,0.229,0.002,3.16,2.05,7.95,0.00,0.000,1.02,1.02,1.01,0.209,0.00213,60.64,2.0429,26.42,135809.4,140227.8,2.822,0.2454,100.133,63.961,0.892,0.397,100.0,100.133
90000,2166,1.316,0.073,2.01,82913,80041,7,0,2835,4,1013040.4,17996.6,0.002,0.429,0.006,0.563,511,6.29,3.34,0.02,0.85,0.00,0.14,0.06,1.83,6.21,2.64,0.00,0.00,0.000,0.015,30,0.959,0.219,0.775,0.000,0.006,31769,31769,1,1.000,0.000,0.001,34232,0.267,0.086,0.000,100.34,6893,0,4499.155,0.000,0.000,1981648,1.00,17.82,0.001,0.000,0.000,6,6,6,64,13624,0.052,0.00,0.0075,0.055,699,0.207,0.000,0.228,0.002,3.15,2.03,7.95,0.00,0.000,1.00,1.01,1.01,0.207,0.00210,60.61,2.0475,21.99,135811.0,140227.6,2.894,0.2465,100.093,63.707,0.894,0.397,101.0,100.093
100000,2176,1.304,0.077,2.01,82809,80083,9,0,2707,1,1013118.9,17793.0,0.002,0.429,0.006,0.563,429,6.28,3.38,0.04,1.42,0.02,0.52,0.03,1.05,6.19,2.82,0.00,0.00,0.001,0.030,29,0.965,0.228,0.767,0.000,0.005,31650,31650,1,1.000,0.000,0.001,32776,0.278,0.093,0.000,100.35,6810,0,17793.016,0.000,0.000,1998845,1.01,17.85,0.002,0.000,0.000,6,6,6,64,13664,0.052,0.00,0.0075,0.063,705,0.208,0.000,0.228,0.002,3.14,2.04,7.93,0.00,0.000,1.01,1.01,1.01,0.208,0.00208,60.63,2.0228,24.77,135746.8,140227.5,2.857,0.2414,100.104,63.169,0.903,0.397,101.3,100.104
