step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,677,7.95,0.00,0.01,0.00,7.94,0.00,1.00,0.000,0.062,409257.7,25412.9,1,41,3.09,1.00,1.00,3.8418,11.73,97261.2,0.0003,35.7122,5462,9.0860
10000,1,696,7.94,0.00,0.01,0.00,7.93,0.00,1.00,0.000,0.063,403548.8,25508.6,1,58,3.17,1.00,1.00,3.7883,8.61,30163.1,0.0830,35.1509,5461,20.1994
10000,2,720,8.00,0.06,0.05,0.02,7.88,0.00,1.02,0.000,0.066,412814.6,25237.3,1,49,3.02,1.02,1.02,3.8024,12.77,8149.3,0.0658,36.1775,5461,29.1042
20000,0,669,8.32,0.07,0.03,0.00,8.23,0.00,1.01,0.000,0.064,351341.7,7062.8,1,39,3.36,1.02,1.00,0.8053,4.00,99881.8,0.0000,34.3347,5462,7.9510
20000,1,679,8.50,0.14,0.01,0.00,8.35,0.00,1.03,0.000,0.065,349267.5,6841.1,1,45,3.42,1.05,1.01,0.7806,7.64,29280.5,0.1062,34.0739,5461,17.6763
20000,2,654,8.19,0.00,0.01,0.00,8.18,0.00,1.00,0.000,0.061,349028.8,6923.7,1,37,3.44,1.00,1.00,0.7894,6.41,6576.3,0.1127,34.0606,5461,25.4687
30000,0,655,8.26,0.00,0.00,0.06,8.20,0.00,1.00,0.000,0.062,346662.2,6720.7,1,44,3.47,1.00,1.00,0.7665,7.81,100748.0,0.0000,33.8387,5462,7.8639
30000,1,660,8.33,0.00,0.01,0.00,8.32,0.00,1.00,0.000,0.063,346223.8,6775.0,1,49,3.44,1.00,1.00,0.7724,8.58,28950.0,0.0997,33.7863,5461,17.4827
30000,2,660,8.07,0.00,0.00,0.08,7.99,0.00,1.00,0.000,0.061,345627.3,6381.3,1,44,3.36,1.00,1.00,0.7262,6.52,6045.6,0.1215,33.7241,5461,25.1898
40000,0,664,8.56,0.00,0.04,0.17,8.35,0.00,1.00,0.000,0.065,346310.6,6689.7,1,37,3.50,1.00,1.00,0.7632,9.60,100890.5,0.0000,33.7966,5462,7.8541
40000,1,666,8.25,0.00,0.02,0.00,8.22,0.00,1.00,0.000,0.063,345669.8,6477.5,1,48,3.46,1.00,1.00,0.7382,12.77,28864.9,0.0909,33.7219,5461,17.4608
40000,2,655,8.25,0.00,0.00,0.07,8.18,0.00,1.00,0.000,0.062,345427.2,6512.8,1,39,3.44,1.00,1.00,0.7432,11.60,5905.6,0.1196,33.7112,5461,25.1582
50000,0,664,8.27,0.00,0.07,0.08,8.12,0.00,1.00,0.000,0.063,346716.0,6574.6,1,52,3.44,1.00,1.00,0.7484,6.60,100876.1,0.0000,33.8462,5462,7.8646
50000,1,661,8.24,0.00,0.00,0.06,8.17,0.00,1.00,0.000,0.063,346108.4,6604.0,1,44,3.44,1.00,1.00,0.7510,9.45,28903.2,0.0893,33.7890,5461,17.4843
50000,2,671,8.12,0.00,0.00,0.00,8.12,0.00,1.00,0.000,0.062,345477.8,6598.7,1,46,3.41,1.00,1.00,0.7513,5.14,6027.6,0.1225,33.7061,5461,25.1921
60000,0,645,8.12,0.02,0.00,0.00,8.10,0.00,1.01,0.000,0.060,347145.3,6489.8,1,55,3.48,1.01,1.01,0.7372,9.45,100870.5,0.0000,33.9031,5462,7.8859
60000,1,653,8.22,0.03,0.00,0.00,8.19,0.00,1.01,0.000,0.062,347077.9,6492.6,1,45,3.37,1.01,1.01,0.7376,9.62,28866.3,0.0891,33.8832,5461,17.5316
60000,2,637,8.19,0.04,0.02,0.00,8.13,0.00,1.02,0.000,0.059,346604.3,6522.5,1,44,3.38,1.02,1.02,0.7437,13.74,5915.8,0.1240,33.8512,5461,25.2603
70000,0,662,8.40,0.00,0.01,0.20,8.19,0.00,1.00,0.000,0.063,349355.5,6469.2,1,42,3.48,1.00,1.00,0.7355,11.89,100593.7,0.0000,34.1747,5462,7.9535
70000,1,679,8.32,0.00,0.00,0.20,8.12,0.00,1.00,0.000,0.064,348994.5,6417.7,1,58,3.44,1.00,1.00,0.7309,6.87,28955.3,0.1009,34.1455,5461,17.6819
70000,2,682,8.22,0.07,0.02,0.03,8.11,0.00,1.03,0.000,0.065,349296.8,6384.2,1,56,3.39,1.02,1.02,0.7242,9.39,6151.5,0.1384,34.1635,5461,25.4768
80000,0,673,8.22,0.00,0.04,0.05,8.13,0.00,1.00,0.000,0.064,350819.5,6427.5,1,50,3.40,1.00,1.00,0.7286,6.40,100526.4,0.0000,34.2865,5462,7.9640
80000,1,685,8.19,0.00,0.04,0.00,8.15,0.00,1.00,0.000,0.064,349595.6,6393.0,1,67,3.41,1.00,1.00,0.7264,10.35,28955.6,0.0999,34.1992,5461,17.7052
80000,2,656,8.34,0.11,0.03,0.00,8.19,0.00,1.04,0.000,0.063,348736.7,6395.9,1,57,3.39,1.04,1.04,0.7283,13.66,6208.6,0.1399,34.1356,5461,25.5104
90000,0,676,8.31,0.03,0.00,0.00,8.28,0.00,1.01,0.000,0.064,349975.6,6434.7,1,67,3.44,1.01,1.01,0.7322,8.15,100590.0,0.0000,34.2224,5462,7.9587
90000,1,660,8.36,0.00,0.02,0.09,8.25,0.00,1.00,0.000,0.063,349549.7,6403.8,1,61,3.37,1.00,1.00,0.7282,10.73,28927.0,0.0999,34.1758,5461,17.6934
90000,2,680,8.23,0.03,0.01,0.07,8.12,0.00,1.01,0.000,0.064,349192.2,6233.7,1,42,3.37,1.00,1.01,0.7076,10.39,6087.4,0.1394,34.1620,5461,25.4934
100000,0,666,8.56,0.06,0.04,0.00,8.45,0.00,1.01,0.000,0.065,350312.2,6373.0,1,45,3.42,1.01,1.01,0.7232,10.33,100613.4,0.0000,34.2367,5462,7.9622
100000,1,669,8.25,0.05,0.03,0.12,8.06,0.00,1.02,0.000,0.063,349507.2,6377.4,1,50,3.37,1.02,1.02,0.7237,8.77,28976.5,0.0976,34.1807,5461,17.7011
100000,2,653,8.21,0.06,0.02,0.04,8.08,0.00,1.01,0.000,0.061,349138.3,6161.1,1,48,3.45,1.01,1.01,0.6984,7.87,6152.6,0.1529,34.1588,5461,25.5045
110000,0,677,8.27,0.01,0.01,0.02,8.22,0.00,1.00,0.000,0.064,350174.1,6423.4,1,56,3.41,1.00,1.00,0.7299,10.72,100739.7,0.0000,34.2176,5462,7.9666
110000,1,675,8.20,0.05,0.04,0.01,8.10,0.00,1.01,0.000,0.063,349919.6,6305.1,1,55,3.40,1.00,1.01,0.7160,8.46,28908.7,0.1033,34.2171,5461,17.7110
110000,2,649,8.36,0.00,0.04,0.00,8.33,0.00,1.00,0.000,0.062,349694.5,6293.8,1,55,3.49,1.00,1.00,0.7136,8.93,6056.1,0.1467,34.2188,5461,25.5187
120000,0,668,8.15,0.04,0.03,0.00,8.08,0.00,1.02,0.000,0.062,350365.8,6292.2,1,59,3.39,1.02,1.02,0.7148,12.05,100548.0,0.0000,34.2968,5462,7.9726
120000,1,692,8.21,0.01,0.02,0.07,8.11,0.00,1.00,0.000,0.065,349574.5,6310.9,1,58,3.36,1.00,1.00,0.7161,6.02,28998.8,0.0923,34.1964,5461,17.7244
120000,2,660,8.49,0.11,0.03,0.08,8.27,0.00,1.03,0.000,0.064,349961.7,6200.3,1,44,3.43,1.04,1.03,0.7028,6.27,6108.0,0.1532,34.2355,5461,25.5380
130000,0,661,8.35,0.10,0.00,0.07,8.18,0.00,1.03,0.000,0.063,350208.8,6417.4,1,57,3.45,1.03,1.03,0.7279,7.72,100610.5,0.0000,34.2645,5462,7.9512
130000,1,672,8.08,0.06,0.00,0.00,8.02,0.00,1.02,0.000,0.062,348364.2,6254.6,1,52,3.39,1.02,1.01,0.7100,10.32,28959.4,0.1046,34.0784,5461,17.6766
130000,2,670,8.22,0.00,0.00,0.00,8.21,0.00,1.00,0.000,0.063,348878.5,6330.7,1,49,3.41,1.00,1.00,0.7199,7.35,6173.5,0.1345,34.0991,5461,25.4692
140000,0,678,8.24,0.09,0.00,0.00,8.15,0.00,1.03,0.000,0.063,349925.4,6308.2,1,76,3.41,1.03,1.02,0.7156,9.64,100510.7,0.0000,34.2444,5462,7.9584
140000,1,650,8.05,0.00,0.00,0.00,8.05,0.00,1.00,0.000,0.060,348816.7,6238.3,1,51,3.41,1.00,1.00,0.7076,6.80,28969.6,0.0991,34.1294,5461,17.6926
140000,2,668,8.19,0.08,0.00,0.01,8.09,0.00,1.02,0.000,0.063,349440.9,6307.8,1,60,3.39,1.03,1.00,0.7172,6.85,6163.8,0.1452,34.1775,5461,25.4922
150000,0,684,8.05,0.01,0.01,0.00,8.03,0.00,1.00,0.001,0.063,350336.1,6402.3,1,59,3.40,1.00,1.00,0.7263,10.99,100501.5,0.0000,34.2542,5462,7.9570
150000,1,654,8.10,0.04,0.00,0.00,8.06,0.00,1.02,0.000,0.060,349034.2,6260.6,1,51,3.36,1.02,1.02,0.7127,7.83,28959.6,0.1018,34.1415,5461,17.6897
150000,2,683,8.29,0.13,0.00,0.01,8.15,0.00,1.04,0.000,0.065,348705.8,6207.3,1,48,3.46,1.04,1.04,0.7048,10.52,6244.7,0.1482,34.1237,5461,25.4880
160000,0,665,8.31,0.00,0.03,0.08,8.20,0.00,1.00,0.000,0.063,351305.2,6383.0,1,59,3.42,1.00,1.00,0.7252,7.99,100537.9,0.0000,34.3502,5462,7.9737
160000,1,653,8.18,0.04,0.00,0.06,8.08,0.00,1.01,0.000,0.061,349811.1,6267.6,1,65,3.40,1.01,1.00,0.7106,8.05,29024.3,0.1044,34.1974,5461,17.7266
160000,2,666,8.27,0.06,0.08,0.06,8.07,0.00,1.01,0.000,0.063,349605.2,6307.0,1,45,3.47,1.00,1.02,0.7168,9.66,6198.3,0.1475,34.1871,5461,25.5413
170000,0,662,8.26,0.00,0.03,0.00,8.23,0.00,1.00,0.000,0.063,349763.4,6305.7,1,52,3.47,1.00,1.00,0.7162,7.38,100693.4,0.0000,34.1867,5462,7.9507
170000,1,670,8.22,0.03,0.01,0.11,8.07,0.00,1.00,0.000,0.063,349408.0,6214.4,1,51,3.39,1.00,1.01,0.7063,8.55,28903.7,0.0975,34.1865,5461,17.6757
170000,2,664,8.16,0.00,0.00,0.00,8.16,0.00,1.00,0.000,0.062,348762.8,6313.0,1,51,3.41,1.00,1.00,0.7159,8.63,6075.5,0.1359,34.0792,5461,25.4678
180000,0,689,8.41,0.07,0.02,0.09,8.22,0.00,1.03,0.000,0.066,349083.3,6161.4,1,53,3.37,1.02,1.02,0.6991,8.47,100769.9,0.0000,34.1340,5462,7.9561
180000,1,683,8.21,0.08,0.00,0.08,8.05,0.00,1.03,0.000,0.065,349270.0,6249.5,1,48,3.38,1.03,1.03,0.7077,5.40,28864.4,0.0973,34.1653,5461,17.6875
