step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,660,8.70,0.04,0.00,0.00,8.66,0.00,1.01,0.000,0.066,409645.5,22100.5,1,69,3.01,1.00,1.01,3.4146,5.72,98039.9,0.0002,34.9766,5462,10.2970
10000,1,653,9.29,0.01,0.00,0.02,9.26,0.00,1.00,0.000,0.069,408323.2,21785.0,1,45,3.21,1.00,1.00,3.3259,3.36,35092.9,0.0249,34.7718,5461,19.0386
10000,2,631,9.41,0.00,0.00,0.00,9.41,0.00,1.00,0.000,0.068,408029.8,22470.4,1,45,3.23,1.00,1.00,3.4027,4.77,2934.0,0.0715,34.7152,5461,27.9410
20000,0,683,8.39,0.07,0.02,0.00,8.31,0.00,1.01,0.000,0.066,363136.4,4081.5,1,53,2.99,1.00,1.01,0.4571,7.17,98666.9,0.0000,35.1902,5462,9.3946
20000,1,645,8.55,0.03,0.01,0.00,8.52,0.00,1.01,0.000,0.063,358636.2,3943.4,1,47,3.09,1.00,1.01,0.4394,4.80,34536.1,0.0375,34.7887,5461,17.3701
20000,2,668,8.90,0.00,0.00,0.00,8.90,0.00,1.00,0.000,0.068,357766.0,3932.1,1,50,3.22,1.00,1.00,0.4382,4.99,2929.5,0.0702,34.6673,5461,25.4923
30000,0,682,7.89,0.03,0.04,0.02,7.81,0.00,1.01,0.000,0.062,363296.5,4214.6,1,48,3.01,1.00,1.01,0.4721,2.27,98645.1,0.0000,35.1330,5462,9.3627
30000,1,674,7.86,0.04,0.01,0.00,7.82,0.00,1.01,0.000,0.060,358772.4,4096.5,1,46,3.07,1.00,1.01,0.4593,4.59,34543.7,0.0451,34.7497,5461,17.3110
30000,2,669,8.12,0.03,0.01,0.00,8.08,0.00,1.01,0.000,0.062,356071.4,3945.5,1,50,3.22,1.00,1.01,0.4424,4.16,2928.6,0.0730,34.4263,5461,25.4056
40000,0,695,7.84,0.04,0.01,0.00,7.79,0.00,1.01,0.000,0.062,357466.6,3978.3,1,39,3.16,1.00,1.01,0.4478,2.79,99028.6,0.0000,34.5715,5462,9.2602
40000,1,687,7.89,0.03,0.00,0.00,7.85,0.00,1.01,0.000,0.062,355684.2,3937.5,1,52,3.21,1.00,1.01,0.4428,3.98,34383.0,0.0485,34.3876,5461,17.1216
40000,2,694,7.93,0.00,0.00,0.00,7.92,0.00,1.00,0.000,0.064,353813.6,3873.7,1,42,3.22,1.01,1.01,0.4353,5.46,2807.1,0.0797,34.1966,5461,25.1276
50000,0,697,7.76,0.02,0.00,0.00,7.74,0.00,1.01,0.000,0.062,354577.0,3766.8,1,66,3.23,1.00,1.01,0.4252,5.58,99247.8,0.0000,34.2658,5462,9.2090
50000,1,672,7.78,0.02,0.00,0.00,7.76,0.00,1.01,0.000,0.060,353946.7,3844.4,1,42,3.22,1.00,1.01,0.4342,7.23,34241.5,0.0489,34.2259,5461,17.0270
50000,2,676,7.78,0.03,0.00,0.00,7.75,0.00,1.01,0.000,0.061,352555.1,3808.7,1,51,3.21,1.00,1.01,0.4284,4.11,2760.3,0.0784,34.1003,5461,24.9888
60000,0,664,7.72,0.00,0.00,0.00,7.72,0.00,1.00,0.000,0.058,352429.3,3660.4,1,53,3.23,1.00,1.00,0.4139,6.34,99370.1,0.0000,34.0904,5462,9.1675
60000,1,677,7.69,0.00,0.00,0.00,7.69,0.00,1.00,0.000,0.060,351454.1,3696.0,1,51,3.25,1.00,1.00,0.4187,6.27,34206.4,0.0414,34.0267,5461,16.9501
60000,2,688,7.64,0.00,0.00,0.00,7.64,0.00,1.00,0.000,0.060,351361.2,3748.9,1,56,3.27,1.00,1.00,0.4240,4.38,2688.4,0.0789,34.0143,5461,24.8759
70000,0,678,7.59,0.03,0.00,0.00,7.57,0.00,1.01,0.000,0.059,350959.4,3713.8,1,55,3.19,1.00,1.01,0.4223,7.48,99424.9,0.0000,33.9674,5462,9.1333
70000,1,672,7.65,0.00,0.00,0.00,7.65,0.00,1.00,0.000,0.059,350602.8,3735.1,1,47,3.21,1.00,1.00,0.4248,4.03,34210.4,0.0371,33.9154,5461,16.8869
70000,2,667,7.64,0.00,0.00,0.00,7.64,0.00,1.00,0.000,0.058,349558.2,3709.5,1,41,3.28,1.00,1.00,0.4221,4.06,2708.2,0.0707,33.8696,5461,24.7832
80000,0,666,7.64,0.00,0.00,0.00,7.64,0.00,1.00,0.000,0.058,350797.0,3685.6,1,52,3.24,1.00,1.00,0.4174,3.87,99442.7,0.0000,33.9696,5462,9.1310
80000,1,671,7.75,0.00,0.00,0.01,7.74,0.00,1.00,0.000,0.059,350776.6,3642.1,1,56,3.25,1.00,1.00,0.4127,4.44,34170.7,0.0387,33.9465,5461,16.8827
80000,2,675,7.59,0.00,0.00,0.00,7.58,0.00,1.00,0.000,0.059,349334.2,3682.0,1,43,3.25,1.00,1.00,0.4193,4.55,2687.5,0.0715,33.8184,5461,24.7770
90000,0,677,7.54,0.00,0.00,0.00,7.54,0.00,1.00,0.000,0.059,350786.6,3696.7,1,52,3.26,1.00,1.00,0.4190,5.00,99452.0,0.0000,33.9553,5462,9.1264
90000,1,667,7.62,0.01,0.00,0.00,7.61,0.00,1.00,0.000,0.058,350063.2,3641.6,1,57,3.20,1.00,1.00,0.4122,4.43,34203.0,0.0357,33.9157,5461,16.8742
90000,2,685,7.46,0.00,0.00,0.00,7.46,0.00,1.00,0.000,0.058,349095.9,3663.1,1,63,3.22,1.00,1.00,0.4171,7.14,2689.4,0.0674,33.8026,5461,24.7645
100000,0,681,7.65,0.01,0.00,0.02,7.62,0.00,1.00,0.000,0.060,351047.7,3657.3,1,52,3.21,1.00,1.00,0.4144,5.55,99417.5,0.0000,33.9556,5462,9.1248
100000,1,697,7.62,0.01,0.00,0.00,7.61,0.00,1.00,0.000,0.061,350330.0,3750.9,1,51,3.25,1.00,1.00,0.4268,5.69,34204.1,0.0369,33.9006,5461,16.8713
100000,2,671,7.50,0.02,0.00,0.00,7.48,0.00,1.01,0.000,0.058,348918.8,3652.5,1,53,3.20,1.00,1.01,0.4154,3.87,2725.0,0.0707,33.8070,5461,24.7603
110000,0,680,7.56,0.02,0.00,0.00,7.54,0.00,1.01,0.000,0.058,350821.2,3687.5,1,62,3.20,1.00,1.01,0.4185,6.06,99435.4,0.0000,33.9595,5462,9.1351
