step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,2067,1.427,0.061,7.91,62453,59830,129,4,1928,2214,1134711.5,67426.1,0.027,0.360,0.297,0.316,430,8.31,2.60,0.05,0.88,0.00,0.00,0.10,1.54,8.16,1.97,0.00,0.00,0.000,0.000,110,0.282,0.222,0.775,0.000,0.004,39651,33471,3,0.484,0.005,0.008,1073359,0.137,0.146,0.000,103.21,24926,51,30.454,0.750,0.000,1165387,1.02,15.06,0.000,0.000,0.000,7,8,10,59,17186,0.066,0.43,0.0067,0.049,682,0.165,0.000,0.154,0.257,2.91,2.36,6.17,0.00,0.000,1.01,1.02,1.02,0.165,0.00333,59.99,10.3771,19.51,135878.4,140221.0,0.209,3.6363,113.164,775.440,0.996,0.427,52.9,56.577
20000,2286,1.311,0.044,8.00,47519,45094,1029,0,1177,0,1050410.8,10767.0,0.001,0.295,0.339,0.365,473,6.84,1.80,0.07,1.16,0.00,0.09,0.02,0.39,6.75,1.06,0.00,0.00,0.000,0.021,51,0.369,0.222,0.775,0.000,0.003,5365,4263,2,0.996,0.000,0.003,93265,0.145,0.064,0.000,108.10,12706,0,10766.976,0.000,0.000,189215,1.02,18.35,0.000,0.000,0.000,6,7,8,50,15629,0.060,0.00,0.0068,0.062,766,0.029,0.000,0.049,0.000,2.46,2.53,4.32,0.00,0.000,1.01,1.02,1.02,0.029,0.00205,55.59,1.2185,15.87,136129.3,140220.9,0.153,0.1419,107.979,497.649,0.996,0.428,54.5,53.989
30000,2319,1.286,0.043,7.99,44928,42234,1638,0,1023,0,1071152.4,10261.8,0.001,0.299,0.404,0.297,473,6.78,1.78,0.09,0.98,0.00,0.06,0.02,0.90,6.66,0.93,0.00,0.00,0.000,0.021,52,0.499,0.227,0.769,0.000,0.004,5120,4680,1,1.000,0.000,0.004,72438,0.126,0.066,0.000,109.53,11917,0,10261.810,0.000,0.001,91476,1.03,18.52,0.000,0.000,0.000,6,7,7,55,15712,0.060,0.00,0.0069,0.065,783,0.013,0.000,0.036,0.000,2.42,2.15,4.60,0.00,0.000,1.02,1.03,1.03,0.013,0.00198,54.20,1.1670,14.36,136169.9,140220.8,0.115,0.1408,109.393,503.406,0.997,0.428,54.9,54.696
40000,2252,1.297,0.044,7.99,43652,41009,1636,0,1074,0,1079371.2,10377.7,0.001,0.315,0.432,0.253,490,7.06,1.78,0.06,0.97,0.01,0.44,0.02,0.81,6.97,0.96,0.00,0.00,0.000,0.021,46,0.763,0.221,0.778,0.000,0.002,5260,4901,1,1.000,0.000,0.002,37052,0.133,0.069,0.000,109.70,10721,0,10377.656,0.000,0.000,105390,1.02,17.99,0.000,0.000,0.000,6,7,7,55,15908,0.061,0.00,0.0069,0.064,754,0.015,0.000,0.038,0.000,2.49,2.12,4.89,0.00,0.000,1.02,1.02,1.02,0.015,0.00219,54.03,1.1813,19.52,136212.9,140220.7,0.112,0.1429,109.557,505.058,0.997,0.429,54.4,54.778
50000,2267,1.287,0.043,8.00,42705,39982,1634,0,1074,3,1081299.8,10323.5,0.001,0.325,0.435,0.240,494,7.06,1.40,0.06,0.86,0.00,0.00,0.01,0.59,6.98,0.80,0.00,0.00,0.000,0.000,46,0.842,0.223,0.773,0.000,0.004,5330,5219,1,1.000,0.000,0.001,23031,0.154,0.061,0.000,109.73,9755,0,3441.150,0.000,0.000,109880,1.02,17.97,0.000,0.000,0.000,7,7,7,40,15996,0.061,0.00,0.0068,0.065,746,0.015,0.000,0.038,0.000,2.46,2.09,4.93,0.00,0.000,1.02,1.02,1.02,0.015,0.00227,54.00,1.1742,13.85,136230.9,140220.5,0.108,0.1422,109.587,504.703,0.996,0.429,54.9,54.793
60000,2290,1.262,0.042,8.00,42446,39722,1650,0,1051,2,1081252.6,10229.0,0.001,0.327,0.435,0.238,475,7.06,1.56,0.09,1.24,0.00,0.00,0.02,0.63,6.96,0.72,0.00,0.00,0.000,0.000,42,0.813,0.238,0.759,0.000,0.002,5233,5083,1,1.000,0.000,0.001,16436,0.179,0.060,0.000,109.73,10425,0,5114.489,0.000,0.000,112611,1.03,17.99,0.000,0.000,0.000,7,7,7,47,16168,0.062,0.00,0.0068,0.063,758,0.015,0.000,0.038,0.000,2.45,2.10,4.91,0.00,0.000,1.03,1.03,1.04,0.015,0.00225,54.00,1.1649,14.97,136261.4,140220.4,0.110,0.1418,109.589,504.486,0.998,0.429,55.4,54.794
70000,2263,1.300,0.042,8.00,42670,39939,1651,0,1107,0,1081119.2,10342.7,0.001,0.327,0.435,0.238,474,7.11,1.68,0.10,1.19,0.00,0.15,0.01,0.21,7.00,0.88,0.00,0.00,0.000,0.009,51,0.839,0.228,0.770,0.000,0.003,5352,5137,1,1.000,0.000,0.001,16813,0.183,0.059,0.000,109.73,11119,0,10342.680,0.000,0.000,112223,1.03,17.94,0.000,0.000,0.000,7,7,7,43,16079,0.061,0.00,0.0068,0.064,762,0.015,0.000,0.038,0.000,2.45,2.09,4.94,0.00,0.000,1.03,1.04,1.03,0.015,0.00228,54.00,1.1777,15.47,136210.8,140220.2,0.111,0.1432,109.582,504.846,0.997,0.428,54.9,54.791
80000,2257,1.291,0.042,8.00,42327,39535,1668,0,1130,0,1081464.0,10317.0,0.001,0.327,0.435,0.238,490,7.05,1.07,0.04,0.46,0.00,0.00,0.00,0.00,7.00,0.92,0.00,0.00,0.000,0.000,45,0.830,0.217,0.781,0.000,0.002,5051,4720,1,1.000,0.000,0.000,17117,0.168,0.060,0.000,109.73,11583,0,10317.045,0.000,0.000,111707,1.02,17.96,0.000,0.000,0.000,7,7,7,28,15907,0.061,0.00,0.0068,0.055,749,0.015,0.000,0.038,0.000,2.46,2.09,4.93,0.00,0.000,1.01,1.01,1.02,0.015,0.00229,54.00,1.1750,12.89,136247.8,140220.0,0.110,0.1434,109.592,504.999,0.998,0.428,54.5,54.796
90000,2262,1.291,0.041,7.99,42704,39881,1639,0,1179,0,1081265.0,10411.4,0.001,0.325,0.437,0.238,415,7.04,1.07,0.06,0.67,0.00,0.11,0.00,0.09,6.98,0.68,0.00,0.00,0.000,0.007,40,0.844,0.220,0.778,0.000,0.003,5326,4933,1,1.000,0.000,0.001,17955,0.163,0.056,0.000,109.74,12036,0,10411.388,0.000,0.000,111953,1.02,17.98,0.000,0.000,0.000,7,7,7,30,15922,0.061,0.00,0.0069,0.064,751,0.015,0.000,0.038,0.000,2.44,2.08,4.93,0.00,0.000,1.01,1.02,1.02,0.015,0.00227,53.98,1.1870,11.77,136255.6,140219.9,0.111,0.1459,109.599,504.972,0.997,0.429,54.7,54.800
100000,2290,1.288,0.041,8.00,42548,39714,1661,0,1145,0,1081396.5,10311.6,0.001,0.326,0.436,0.238,433,7.07,1.32,0.07,0.95,0.00,0.05,0.00,0.17,7.00,0.90,0.00,0.00,0.000,0.005,51,0.839,0.219,0.778,0.000,0.003,5044,4572,1,1.000,0.000,0.001,14864,0.171,0.062,0.000,109.74,12229,0,10311.555,0.000,0.000,111877,1.02,17.95,0.000,0.000,0.000,7,7,7,36,16201,0.062,0.00,0.0067,0.066,757,0.015,0.000,0.038,0.000,2.46,2.09,4.93,0.00,0.000,1.02,1.02,1.03,0.015,0.00225,53.99,1.1747,14.21,136211.6,140219.7,0.109,0.1431,109.595,504.738,0.997,0.429,55.3,54.798
