step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,3,962,9.9,0.0,0.0,0.0,9.9,0.0,1.01,13.1,51,541,33.82,0.29,220,333,409,0.0,1.00,1.00,1.01,3.51,2.49,7.94,35.6
5000,1,457,6.7,0.0,0.0,0.0,6.7,0.0,1.01,19.0,25,769,39.81,0.31,54,212,191,0.0,1.01,1.01,1.01,2.42,3.08,3.43,37.6
5000,2,20,8.6,0.0,0.0,0.0,8.6,0.0,1.00,13.1,5,656,39.09,0.34,2,5,13,0.0,1.00,1.00,1.00,3.40,2.05,7.40,44.1
6000,3,1126,9.8,0.0,0.0,0.0,9.7,0.0,1.00,13.3,60,583,35.68,0.32,269,409,448,0.0,1.00,1.00,1.00,3.52,2.40,7.95,35.2
6000,1,313,6.8,0.0,0.0,0.0,6.7,0.0,1.00,18.9,22,789,40.55,0.33,33,125,155,0.0,1.00,1.00,1.00,2.38,3.06,3.48,40.0
6000,2,34,8.9,0.0,0.0,0.0,8.9,0.0,1.00,12.3,3,590,35.00,0.37,3,11,20,0.0,1.00,1.00,1.00,3.06,2.03,7.82,43.0
7000,3,1231,9.5,0.0,0.0,0.0,9.5,0.0,1.00,13.7,56,605,35.99,0.32,280,464,487,0.0,1.00,1.00,1.00,3.52,2.25,7.94,35.4
7000,1,230,6.8,0.1,0.0,0.0,6.8,0.0,1.02,18.9,14,735,37.43,0.33,22,91,117,0.0,1.03,1.03,1.02,2.43,3.01,3.57,39.5
7000,2,30,9.0,0.0,0.0,0.0,9.0,0.0,1.00,12.0,1,763,43.97,0.46,6,13,11,0.0,1.00,1.00,1.00,3.07,2.00,8.00,36.4
7000,10,13,6.5,0.0,0.0,0.0,6.5,0.0,1.00,18.9,3,840,39.78,0.42,5,5,3,0.0,1.00,1.00,1.00,2.69,3.00,3.54,27.8
8000,3,1321,9.1,0.0,0.0,0.0,9.1,0.0,1.00,14.0,53,618,36.18,0.36,289,506,526,0.0,1.00,1.00,1.00,3.49,2.14,7.95,35.5
8000,1,156,7.4,0.0,0.0,0.0,7.4,0.0,1.01,18.4,13,744,37.64,0.33,17,50,89,0.0,1.00,1.01,1.01,2.50,3.03,3.77,41.3
8000,2,20,9.1,0.0,0.0,0.0,9.1,0.0,1.00,11.9,2,822,46.94,0.40,3,8,9,0.0,1.00,1.00,1.00,3.35,2.05,8.00,36.7
8000,10,7,6.6,0.0,0.0,0.0,6.6,0.0,1.00,18.9,2,983,46.58,0.67,3,2,2,0.0,1.00,1.00,1.00,2.43,3.00,3.57,32.4
9000,3,1373,9.1,0.0,0.0,0.0,9.1,0.0,1.00,14.0,55,637,36.75,0.35,301,528,544,0.0,1.00,1.00,1.00,3.45,2.14,7.95,35.5
9000,1,109,7.9,0.2,0.0,0.2,7.5,0.0,1.03,18.1,14,811,41.27,0.40,14,30,65,0.0,1.00,1.06,1.03,2.51,3.06,3.94,42.6
9000,2,18,9.2,0.0,0.0,0.0,9.2,0.0,1.00,11.9,2,667,37.93,0.38,1,7,10,0.0,1.00,1.00,1.00,3.44,2.33,8.00,39.0
10000,3,1417,9.1,0.0,0.1,0.0,9.1,0.0,1.00,14.0,54,664,38.21,0.38,309,540,568,0.0,1.00,1.00,1.00,3.46,2.09,7.99,35.6
10000,1,71,8.3,0.0,0.0,0.0,8.3,0.0,1.00,17.1,9,625,33.28,0.40,14,11,46,0.0,1.00,1.00,1.00,2.54,3.03,4.44,42.6
10000,2,17,9.0,0.0,0.0,0.0,9.0,0.0,1.00,12.0,1,1207,67.53,0.69,2,6,9,0.0,1.00,1.00,1.00,3.35,2.00,8.00,37.9
11000,3,1472,9.2,0.0,0.0,0.0,9.1,0.0,1.01,14.0,67,655,37.77,0.40,321,564,587,0.0,1.00,1.01,1.02,3.47,2.11,7.93,35.7
11000,1,34,7.9,0.0,0.0,0.0,7.9,0.0,1.00,17.4,6,797,41.48,0.39,5,4,25,0.0,1.00,1.00,1.00,2.44,2.94,4.35,43.5
11000,2,9,9.0,0.0,0.0,0.0,9.0,0.0,1.00,12.0,1,1580,88.68,0.77,1,4,4,0.0,1.00,1.00,1.00,3.33,2.00,8.00,41.2
12000,3,1471,9.0,0.0,0.1,0.0,8.9,0.0,1.00,14.1,44,661,37.57,0.39,325,554,592,0.0,1.00,1.00,1.00,3.45,2.06,7.94,35.6
12000,1,34,8.3,0.0,0.0,0.0,8.3,0.0,1.00,17.1,7,634,33.41,0.33,6,4,24,0.0,1.00,1.00,1.00,2.62,2.97,4.59,42.0
13000,3,1462,9.0,0.0,0.0,0.0,8.9,0.0,1.00,14.0,48,698,39.62,0.40,307,555,600,0.0,1.00,1.00,1.00,3.43,2.07,7.92,35.8
13000,1,36,8.5,0.0,0.0,0.2,8.4,0.0,1.00,16.9,6,638,35.03,0.38,6,1,29,0.0,1.00,1.00,1.00,2.50,2.89,4.67,45.4
14000,3,1473,9.0,0.0,0.0,0.0,8.9,0.0,1.00,14.0,49,694,39.18,0.40,325,559,589,0.0,1.00,1.00,1.00,3.42,2.08,7.92,35.5
14000,1,40,8.5,0.0,0.0,0.0,8.5,0.0,1.00,17.0,6,606,32.92,0.29,5,8,27,0.0,1.00,1.00,1.00,2.72,2.90,4.62,43.9
15000,3,1507,9.0,0.0,0.0,0.0,9.0,0.0,1.00,14.0,53,693,39.14,0.41,340,568,599,0.0,1.00,1.00,1.00,3.45,2.09,7.90,35.5
15000,1,22,8.0,0.0,0.0,0.0,8.0,0.0,1.00,17.7,6,649,33.91,0.42,5,3,14,0.0,1.00,1.00,1.00,2.23,3.00,4.14,41.5
16000,3,1507,9.0,0.0,0.0,0.0,9.0,0.0,1.00,13.9,58,676,38.07,0.40,338,574,595,0.0,1.00,1.00,1.00,3.43,2.10,7.95,35.5
16000,1,17,7.5,0.0,0.0,0.0,7.5,0.0,1.00,18.5,5,624,32.43,0.20,3,1,13,0.0,1.00,1.00,1.00,2.18,2.88,3.88,40.5
17000,3,1493,9.1,0.0,0.0,0.0,9.1,0.0,1.00,13.8,45,693,39.01,0.41,332,562,599,0.0,1.00,1.00,1.00,3.39,2.07,7.96,35.7
17000,1,16,7.9,0.0,0.0,0.0,7.9,0.0,1.00,17.9,3,875,46.41,0.27,2,3,11,0.0,1.00,1.00,1.00,2.44,3.00,4.06,39.1
18000,3,1514,9.1,0.0,0.1,0.0,9.1,0.0,1.00,13.8,55,692,38.97,0.41,330,562,622,0.0,1.00,1.00,1.00,3.39,2.10,7.95,35.8
18000,1,12,8.0,0.0,0.0,0.0,8.0,0.0,1.00,17.7,5,453,23.33,0.19,3,4,5,0.0,1.00,1.00,1.00,2.75,3.00,4.17,38.2
19000,3,1531,9.0,0.0,0.1,0.0,9.0,0.0,1.00,13.9,61,693,38.76,0.41,345,578,608,0.0,1.00,1.00,1.00,3.41,2.11,7.94,35.5
19000,1,7,7.9,0.0,0.0,0.0,7.9,0.0,1.00,18.3,4,655,33.14,0.49,1,2,4,0.0,1.00,1.00,1.00,2.86,3.71,4.00,42.8
20000,3,1537,9.0,0.0,0.0,0.0,9.0,0.0,1.00,14.0,54,706,39.38,0.41,343,572,622,0.0,1.00,1.00,1.00,3.39,2.10,7.94,35.5
21000,3,1522,9.0,0.0,0.1,0.0,8.9,0.0,1.00,14.0,59,728,40.65,0.43,345,567,610,0.0,1.00,1.00,1.01,3.37,2.09,7.94,35.7
22000,3,1550,9.0,0.0,0.0,0.0,9.0,0.0,1.00,13.8,51,732,40.87,0.42,339,576,635,0.0,1.00,1.00,1.01,3.39,2.09,7.94,35.7
23000,3,1508,9.0,0.0,0.0,0.0,9.0,0.0,1.00,13.9,49,729,40.73,0.43,338,573,597,0.0,1.00,1.00,1.00,3.38,2.08,7.96,35.5
24000,3,1520,9.0,0.0,0.0,0.0,9.0,0.0,1.00,13.8,44,747,41.74,0.44,346,558,616,0.0,1.00,1.00,1.00,3.41,2.06,7.97,35.5
25000,3,1513,8.9,0.0,0.0,0.0,8.9,0.0,1.00,14.0,59,729,40.59,0.43,339,568,606,0.0,1.00,1.00,1.00,3.37,2.07,7.90,35.6
26000,3,1542,9.0,0.0,0.0,0.0,9.0,0.0,1.00,13.8,51,716,39.97,0.42,335,585,622,0.0,1.00,1.00,1.00,3.37,2.06,7.95,35.8
27000,3,1534,9.0,0.0,0.0,0.0,8.9,0.0,1.00,13.9,48,722,40.19,0.44,348,565,621,0.0,1.00,1.00,1.00,3.41,2.05,7.96,35.7
