step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,1357,1.449,0.055,8.35,45895,43990,154,0,1831,2385,880867.9,67933.9,0.023,0.563,0.390,0.023,521,8.35,2.31,0.03,0.17,0.03,0.81,0.02,0.19,8.27,2.10,0.00,0.00,0.001,0.026,88,0.337,0.247,0.749,0.000,0.004,40957,35737,2,0.586,0.000,0.009,709851,0.132,0.061,0.000,75.87,21630,0,28.484,0.000,0.000,808454,1.01,15.72,0.000,0.000,0.000,5,8,10,43,11331,0.043,0.48,0.0078,0.104,647,0.102,0.000,0.191,0.342,2.85,2.96,5.21,0.00,0.000,1.01,1.01,1.03,0.102,0.00613,39.97,10.4021,15.61,1647.6,139737.5,47.518,3.6129,85.926,259.210,0.411,0.000,134990.6,72.427
20000,1401,1.396,0.047,8.02,27749,25633,384,0,1688,1,723050.0,7070.4,0.000,0.564,0.434,0.001,596,8.16,2.52,0.00,0.06,0.05,1.12,0.06,1.15,8.05,2.13,0.00,0.00,0.002,0.038,93,0.347,0.253,0.743,0.000,0.004,4349,3067,3,0.998,0.000,0.011,152706,0.072,0.054,0.000,72.58,8843,0,7070.383,0.000,0.000,291224,1.00,14.77,0.000,0.000,0.000,7,8,10,39,11435,0.044,0.00,0.0064,0.105,668,0.037,0.000,0.114,0.000,2.97,1.48,7.30,0.00,0.001,1.00,1.00,1.00,0.037,0.00425,38.55,0.8613,16.17,1719.3,139737.6,52.714,0.1542,72.441,168.085,0.416,0.000,135057.3,72.434
30000,1439,1.412,0.045,8.03,26965,24600,477,0,1850,0,722754.0,7122.7,0.000,0.550,0.449,0.000,561,7.59,1.95,0.03,0.81,0.00,0.06,0.02,0.55,7.54,1.58,0.00,0.00,0.000,0.004,84,0.334,0.257,0.739,0.000,0.003,4252,2944,1,1.000,0.000,0.004,69890,0.084,0.051,0.000,72.59,8918,0,7122.682,0.000,0.000,362937,1.01,15.42,0.000,0.000,0.000,6,7,9,48,10926,0.042,0.00,0.0067,0.105,685,0.047,0.000,0.099,0.000,2.95,1.38,7.64,0.00,0.000,1.01,1.01,1.01,0.047,0.00396,39.82,0.8689,14.96,1775.1,139737.7,51.431,0.1568,72.426,175.109,0.421,0.000,134975.0,72.434
40000,1440,1.398,0.045,8.05,27375,24883,616,0,1875,3,722223.9,7197.0,0.000,0.514,0.485,0.001,566,7.32,1.90,0.00,0.00,0.02,0.41,0.03,0.61,7.27,1.69,0.00,0.00,0.001,0.026,83,0.444,0.224,0.776,0.000,0.000,4451,2938,1,1.000,0.000,0.003,39633,0.115,0.081,0.000,72.59,8866,0,2399.001,0.000,0.000,390174,1.00,15.77,0.000,0.000,0.000,6,7,9,38,10537,0.040,0.00,0.0069,0.117,690,0.052,0.000,0.091,0.000,2.97,1.33,7.77,0.00,0.000,1.00,1.00,1.00,0.052,0.00361,40.71,0.8806,14.40,1838.0,139737.8,50.537,0.1610,72.430,180.767,0.425,0.000,134935.3,72.434
50000,1447,1.395,0.046,8.06,28059,25519,643,0,1890,1,724545.4,7328.8,0.000,0.475,0.524,0.001,566,7.40,2.21,0.00,0.03,0.00,0.08,0.05,1.56,7.34,1.74,0.00,0.00,0.000,0.005,66,0.328,0.228,0.768,0.000,0.003,4105,2415,1,0.928,0.072,0.003,49285,0.099,0.102,0.000,72.60,8813,0,7328.798,0.000,0.000,370134,1.00,15.67,0.000,0.000,0.000,6,7,10,57,10707,0.041,0.01,0.0068,0.118,684,0.053,0.000,0.089,0.000,2.97,1.34,7.80,0.00,0.000,1.00,1.00,1.00,0.053,0.00334,41.23,0.8958,15.59,1845.1,139737.8,49.999,0.1628,72.431,183.448,0.427,0.000,134904.2,72.434
60000,1431,1.385,0.050,8.12,28342,25975,581,0,1802,2,724193.4,7275.1,0.000,0.464,0.534,0.002,571,7.49,1.99,0.02,0.63,0.01,0.26,0.00,0.04,7.47,1.92,0.00,0.00,0.000,0.013,58,0.399,0.244,0.755,0.000,0.001,4009,2122,1,1.000,0.000,0.001,61780,0.101,0.163,0.000,72.59,9067,0,3637.532,0.000,0.000,356028,1.01,15.35,0.000,0.000,0.000,6,7,9,34,10724,0.041,0.04,0.0068,0.103,668,0.053,0.000,0.087,0.000,2.98,1.35,7.88,0.00,0.000,1.01,1.01,1.01,0.053,0.00330,41.35,0.8849,20.16,1846.3,139737.8,49.864,0.1569,72.432,185.602,0.428,0.000,134884.2,72.434
70000,1427,1.408,0.050,8.14,28094,25790,552,0,1756,1,724533.2,7255.6,0.000,0.460,0.538,0.002,546,7.81,3.02,0.00,0.06,0.04,1.08,0.04,0.82,7.72,2.43,0.00,0.00,0.001,0.025,81,0.291,0.235,0.761,0.000,0.004,3843,2006,1,1.000,0.000,0.006,56040,0.107,0.195,0.001,72.58,8807,0,7255.587,0.000,0.000,327257,1.00,14.93,0.000,0.000,0.000,6,7,9,55,11150,0.043,0.09,0.0066,0.116,662,0.049,0.000,0.085,0.000,3.04,1.49,7.88,0.00,0.000,1.00,1.00,1.00,0.049,0.00334,41.44,0.8794,14.30,1907.2,139737.8,49.725,0.1544,72.423,188.121,0.431,0.000,134777.8,72.434
80000,1418,1.396,0.050,8.14,27688,25291,574,0,1832,0,726885.6,7261.5,0.000,0.451,0.547,0.002,541,7.83,2.37,0.00,0.08,0.01,0.37,0.06,1.61,7.77,1.80,0.00,0.00,0.000,0.013,65,0.305,0.233,0.763,0.000,0.004,3533,2031,1,1.000,0.000,0.005,60252,0.106,0.188,0.001,72.59,8877,0,7261.460,0.000,0.000,290876,1.00,14.66,0.001,0.000,0.000,6,8,9,64,11109,0.042,0.09,0.0066,0.109,666,0.045,0.000,0.080,0.000,3.03,1.54,7.88,0.00,0.001,1.00,1.00,1.00,0.045,0.00337,41.69,0.8844,14.01,1913.5,139737.8,49.468,0.1583,72.437,191.673,0.432,0.000,134807.7,72.434
90000,1443,1.419,0.045,8.07,26816,24376,642,0,1773,0,726343.8,7141.7,0.000,0.445,0.554,0.001,548,7.88,2.20,0.00,0.00,0.01,0.45,0.01,0.21,7.86,2.19,0.00,0.00,0.001,0.027,61,0.375,0.248,0.748,0.000,0.003,3198,1906,2,0.988,0.000,0.001,53301,0.112,0.098,0.000,72.58,8576,0,7141.742,0.000,0.000,271018,1.00,14.53,0.000,0.000,0.000,6,8,9,49,11373,0.043,0.09,0.0064,0.115,658,0.043,0.000,0.080,0.000,3.07,1.58,7.88,0.00,0.000,1.00,1.00,1.00,0.043,0.00330,41.73,0.8677,13.69,1944.9,139737.9,49.441,0.1535,72.431,191.836,0.428,0.000,134777.4,72.434
100000,1393,1.445,0.048,8.07,26146,23782,686,0,1728,0,728026.8,7079.1,0.000,0.436,0.563,0.000,550,8.17,1.93,0.00,0.03,0.01,0.27,0.03,0.57,8.13,1.93,0.00,0.00,0.001,0.020,70,0.434,0.258,0.741,0.000,0.001,2957,1793,2,0.999,0.000,0.004,45794,0.107,0.118,0.000,72.59,8382,0,7079.051,0.000,0.000,252044,1.00,14.01,0.000,0.000,0.000,6,9,9,25,11380,0.043,0.01,0.0064,0.116,641,0.041,0.000,0.075,0.000,3.12,1.74,7.89,0.00,0.000,1.00,1.00,1.00,0.041,0.00342,42.05,0.8636,18.83,1928.5,139738.0,49.195,0.1552,72.435,194.529,0.429,0.000,134787.7,72.434
