step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,644,9.60,0.03,0.00,0.03,9.54,0.00,1.01,0.000,0.071,398085.2,22842.3,2,52,3.34,1.00,1.01,3.5450,9.19,110809.3,0.0000,33.8170,5462,36.8001
10000,1,618,9.87,0.00,0.00,0.01,9.86,0.00,1.00,0.000,0.070,399284.7,23645.0,2,33,3.44,1.00,1.00,3.6083,4.69,25139.6,0.0869,33.8748,5461,36.7934
10000,2,607,9.91,0.00,0.00,0.01,9.90,0.00,1.00,0.000,0.068,386338.9,22364.7,1,44,3.38,1.00,1.00,3.4345,5.48,146.4,1.9029,32.7888,5461,36.7934
20000,0,638,9.88,0.03,0.00,0.07,9.78,0.00,1.01,0.000,0.072,353324.3,5320.5,2,52,3.48,1.00,1.01,0.5969,8.72,111166.7,0.0000,34.2545,5462,33.6723
20000,1,633,9.67,0.00,0.01,0.04,9.62,0.00,1.00,0.000,0.070,351398.2,5016.5,2,37,3.44,1.00,1.00,0.5609,3.97,24833.1,0.1653,34.0769,5461,33.6661
20000,2,612,9.31,0.00,0.00,0.01,9.29,0.00,1.00,0.000,0.065,336675.1,4656.4,2,41,3.41,1.00,1.00,0.5234,4.47,141.2,2.1250,32.8505,5461,33.6661
30000,0,645,8.55,0.00,0.00,0.10,8.45,0.00,1.00,0.000,0.063,348148.8,4297.4,2,68,3.48,1.00,1.00,0.4836,3.26,111371.6,0.0000,33.9701,5462,33.4486
30000,1,644,8.39,0.00,0.00,0.09,8.30,0.00,1.00,0.000,0.061,346839.8,4163.5,2,75,3.44,1.00,1.00,0.4693,4.62,24927.2,0.1616,33.8314,5461,33.4425
30000,2,627,8.14,0.00,0.00,0.00,8.13,0.00,1.00,0.000,0.059,333535.7,3454.0,2,64,3.40,1.00,1.00,0.3921,7.21,143.1,2.0885,32.6557,5461,33.4425
40000,0,649,8.39,0.00,0.00,0.02,8.37,0.00,1.00,0.000,0.063,348304.8,3517.2,2,79,3.35,1.00,1.00,0.3994,3.19,111284.4,0.0000,33.9775,5462,33.4562
40000,1,647,8.17,0.01,0.00,0.00,8.16,0.00,1.00,0.000,0.060,347515.5,3500.6,2,70,3.40,1.00,1.00,0.3965,7.03,24987.0,0.1504,33.8441,5461,33.4500
40000,2,635,8.20,0.00,0.00,0.07,8.13,0.00,1.00,0.000,0.060,334605.8,3071.0,2,72,3.37,1.00,1.00,0.3499,3.08,138.1,1.9641,32.6750,5461,33.4500
50000,0,655,8.14,0.00,0.00,0.00,8.14,0.00,1.00,0.000,0.061,348505.1,3541.8,2,67,3.45,1.00,1.00,0.4013,4.53,111328.6,0.0000,33.9116,5462,33.3740
50000,1,645,8.09,0.01,0.00,0.00,8.08,0.00,1.00,0.000,0.059,346947.6,3619.3,2,59,3.39,1.00,1.00,0.4075,3.26,24960.9,0.1446,33.7457,5461,33.3678
50000,2,631,8.35,0.02,0.00,0.01,8.32,0.00,1.00,0.000,0.061,334405.7,3287.8,2,63,3.43,1.00,1.00,0.3742,4.53,126.8,1.9479,32.5899,5461,33.3678
60000,0,665,8.29,0.00,0.00,0.10,8.19,0.00,1.00,0.000,0.062,347030.5,3766.9,2,61,3.50,1.00,1.00,0.4237,5.14,111360.0,0.0000,33.7490,5462,33.2219
60000,1,643,8.10,0.00,0.00,0.00,8.10,0.00,1.00,0.000,0.060,345772.5,3767.4,2,55,3.41,1.00,1.00,0.4244,5.61,24935.1,0.1451,33.6191,5461,33.2159
60000,2,638,8.21,0.00,0.00,0.02,8.19,0.00,1.00,0.000,0.060,333016.9,3478.8,2,53,3.45,1.00,1.00,0.3931,2.28,138.8,1.9287,32.4237,5461,33.2159
70000,0,658,8.14,0.01,0.00,0.00,8.13,0.00,1.00,0.000,0.061,346421.1,3821.2,1,63,3.40,1.00,1.00,0.4279,2.95,111366.2,0.0000,33.6305,5462,33.0831
70000,1,644,8.24,0.00,0.00,0.01,8.24,0.00,1.00,0.000,0.062,344508.2,3940.6,2,55,3.48,1.00,1.00,0.4418,4.22,24959.2,0.1523,33.4657,5461,33.0771
