step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
110000,0,731,6.30,0.00,0.01,0.01,6.28,0.00,1.00,0.000,0.053,353579.1,6237.4,1,52,3.16,1.00,1.00,0.7097,5.06,115971.8,0.0000,34.2309,5462,33.3996
110000,1,717,6.24,0.00,0.00,0.04,6.20,0.00,1.00,0.000,0.051,348531.3,6111.6,1,72,3.15,1.00,1.00,0.6929,6.91,19642.5,0.5001,33.7637,5461,33.3935
110000,2,679,6.18,0.00,0.00,0.00,6.17,0.00,1.00,0.000,0.048,333617.4,5756.2,1,28,3.18,1.00,1.00,0.6552,8.84,212.2,2.3373,32.4316,5461,33.3935
120000,0,702,7.10,0.00,0.00,0.09,7.01,0.00,1.00,0.000,0.057,353322.3,6211.8,1,52,3.20,1.00,1.00,0.7024,8.96,116015.0,0.0000,34.3973,5462,33.5446
120000,1,717,6.74,0.00,0.00,0.01,6.73,0.00,1.00,0.000,0.055,348290.2,6167.5,1,55,3.20,1.00,1.00,0.6977,7.22,19601.6,0.4749,33.9133,5461,33.5385
120000,2,686,6.95,0.06,0.05,0.16,6.68,0.00,1.01,0.000,0.055,334133.2,5822.9,1,36,3.21,1.00,1.02,0.6616,4.94,203.1,2.2316,32.5531,5461,33.5385
130000,0,691,7.11,0.00,0.00,0.09,7.02,0.00,1.00,0.000,0.057,356430.3,6307.8,1,49,3.21,1.00,1.00,0.7077,9.89,116062.7,0.0000,34.6646,5462,33.8587
130000,1,700,7.26,0.00,0.04,0.14,7.08,0.00,1.00,0.000,0.058,351278.6,6074.4,1,66,3.22,1.00,1.00,0.6796,5.63,19596.5,0.4834,34.2136,5461,33.8525
130000,2,666,7.23,0.07,0.03,0.01,7.12,0.00,1.02,0.000,0.055,337578.7,5504.1,1,45,3.22,1.00,1.02,0.6182,4.68,181.9,2.2420,32.9001,5461,33.8525
140000,0,739,7.17,0.10,0.05,0.15,6.87,0.00,1.03,0.000,0.061,356338.1,6364.0,1,53,3.25,1.02,1.04,0.7127,8.92,116015.1,0.0000,34.6819,5462,33.8975
