step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,1863,1.369,0.051,9.85,61080,57953,239,0,2508,1975,1074835.1,66178.0,0.021,0.450,0.502,0.027,472,7.37,2.37,0.01,0.25,0.02,0.62,0.02,0.43,7.31,2.18,0.00,0.00,0.001,0.023,113,0.316,0.215,0.779,0.000,0.006,41456,34623,3,0.661,0.290,0.004,313275,0.152,0.067,0.000,95.70,29088,0,33.508,0.000,0.000,957961,1.00,17.84,0.000,0.000,0.000,6,7,10,63,13727,0.052,0.45,0.0079,0.075,728,0.106,0.000,0.195,0.272,2.71,2.06,5.21,0.00,0.001,1.00,1.00,1.00,0.106,0.00363,50.52,10.1927,20.27,3965.2,140074.4,17.171,3.5748,105.764,538.206,0.702,0.000,132450.5,92.519
20000,1868,1.379,0.045,9.66,47505,44496,535,1,2468,23,925333.2,10704.3,0.002,0.357,0.638,0.003,535,7.52,1.79,0.06,1.10,0.00,0.07,0.02,0.36,7.44,1.51,0.00,0.00,0.000,0.005,108,0.177,0.224,0.773,0.000,0.003,5001,2608,5,0.961,0.001,0.004,61664,0.085,0.060,0.000,92.69,16656,286,465.404,0.000,0.000,239712,1.03,17.52,0.000,0.000,0.000,6,8,9,37,14045,0.054,0.00,0.0067,0.079,711,0.036,0.000,0.127,0.000,2.70,2.01,5.48,0.00,0.000,1.01,1.02,1.04,0.036,0.00254,48.33,1.2536,14.94,4161.3,140074.3,22.817,0.1837,92.515,401.564,0.713,0.000,132316.6,92.528
30000,1854,1.399,0.043,9.52,45327,42524,507,0,2310,7,926088.6,10619.1,0.001,0.354,0.641,0.003,538,7.93,2.22,0.07,1.11,0.00,0.08,0.01,0.21,7.85,1.74,0.00,0.00,0.000,0.009,110,0.201,0.208,0.788,0.000,0.004,4475,2247,1,1.000,0.000,0.003,60165,0.077,0.064,0.000,92.63,15769,0,1517.011,0.000,0.000,235375,1.02,16.55,0.000,0.000,0.000,6,8,9,44,14710,0.056,0.00,0.0064,0.084,684,0.036,0.000,0.112,0.000,2.95,1.97,6.31,0.00,0.000,1.00,1.02,1.02,0.036,0.00264,50.30,1.2406,19.21,4939.4,140074.4,20.908,0.1782,92.452,448.577,0.738,0.000,131549.9,92.528
40000,1833,1.402,0.040,8.96,45194,42289,559,0,2367,4,925750.2,10791.8,0.001,0.354,0.642,0.003,539,7.89,1.82,0.04,0.83,0.01,0.22,0.01,0.35,7.83,1.55,0.00,0.05,0.000,0.009,99,0.395,0.214,0.782,0.000,0.003,4299,2224,1,0.975,0.025,0.004,61328,0.072,0.053,0.000,92.56,14261,0,2697.958,0.000,0.000,272049,1.01,16.21,0.000,0.000,0.001,6,8,9,30,14468,0.055,0.00,0.0065,0.068,683,0.042,0.000,0.110,0.000,3.08,1.93,7.03,0.00,0.001,1.01,1.02,1.02,0.042,0.00265,52.72,1.2598,14.01,6412.8,140074.5,18.558,0.1809,92.388,495.450,0.775,0.000,130149.9,92.528
50000,1823,1.402,0.041,8.54,46361,43291,544,0,2536,2,926994.2,11022.8,0.001,0.349,0.648,0.002,530,8.06,1.94,0.06,1.18,0.00,0.12,0.00,0.02,7.99,1.53,0.00,0.02,0.000,0.007,95,0.549,0.208,0.789,0.000,0.002,3936,2621,2,0.818,0.179,0.001,61984,0.062,0.058,0.000,92.47,11871,0,5511.400,0.000,0.000,285420,1.02,15.77,0.000,0.000,0.001,7,8,9,37,14688,0.056,0.00,0.0064,0.057,661,0.045,0.000,0.110,0.000,3.26,1.99,7.46,0.00,0.001,1.00,1.02,1.03,0.045,0.00266,55.63,1.2915,18.67,8879.4,140074.6,15.736,0.1886,92.281,549.040,0.803,0.000,127676.5,92.528
60000,1805,1.400,0.041,8.32,47170,44090,492,0,2606,0,929626.8,11095.9,0.001,0.350,0.648,0.001,537,7.99,1.98,0.03,0.66,0.01,0.38,0.00,0.00,7.95,1.67,0.00,0.00,0.000,0.008,81,0.641,0.200,0.796,0.000,0.004,4087,3277,1,0.847,0.153,0.000,21336,0.089,0.058,0.000,92.62,10291,0,11095.902,0.000,0.000,295259,1.01,15.87,0.000,0.000,0.000,7,8,8,45,14414,0.055,0.00,0.0065,0.059,652,0.046,0.000,0.111,0.000,3.29,2.01,7.61,0.00,0.000,1.00,1.01,1.01,0.046,0.00269,57.18,1.3010,23.05,9848.8,140074.7,14.033,0.1908,92.434,585.762,0.817,0.000,126735.5,92.528
70000,1824,1.347,0.039,8.27,47679,44445,486,0,2729,1,930665.0,11220.0,0.001,0.349,0.649,0.001,505,7.95,1.43,0.01,0.25,0.00,0.00,0.00,0.05,7.94,1.38,0.00,0.00,0.000,0.000,82,0.700,0.209,0.789,0.000,0.002,4065,3470,3,0.876,0.000,0.001,16040,0.081,0.055,0.000,92.67,9238,0,11219.973,0.000,0.000,298555,1.01,15.92,0.000,0.000,0.000,7,8,8,27,14506,0.055,0.00,0.0064,0.057,668,0.046,0.000,0.111,0.000,3.32,2.01,7.64,0.00,0.000,1.00,1.01,1.01,0.046,0.00265,57.87,1.3171,17.49,10416.7,140074.9,13.300,0.1954,92.482,597.300,0.824,0.000,126266.9,92.528
80000,1806,1.366,0.041,8.26,47475,44189,507,0,2797,0,931178.1,11315.6,0.001,0.348,0.650,0.001,531,7.94,1.46,0.01,0.29,0.00,0.16,0.00,0.12,7.92,1.36,0.00,0.00,0.000,0.015,70,0.734,0.192,0.802,0.000,0.006,4004,3424,1,0.883,0.117,0.002,15468,0.101,0.057,0.000,92.74,9224,0,11315.639,0.000,0.000,290218,1.00,15.91,0.000,0.000,0.000,7,8,8,30,14340,0.055,0.00,0.0065,0.051,662,0.045,0.000,0.109,0.000,3.35,2.01,7.67,0.00,0.000,1.00,1.01,1.01,0.045,0.00269,57.95,1.3305,16.31,10292.9,140075.0,13.150,0.1988,92.538,599.582,0.823,0.000,126363.1,92.528
90000,1824,1.396,0.040,8.26,47530,44349,492,0,2671,0,931332.4,11201.4,0.001,0.350,0.649,0.001,535,7.98,1.63,0.02,0.63,0.01,0.20,0.00,0.00,7.95,1.36,0.00,0.00,0.000,0.015,80,0.730,0.206,0.791,0.000,0.004,3978,3397,1,0.884,0.116,0.000,14801,0.091,0.059,0.000,92.73,8961,0,11201.428,0.000,0.000,289678,1.01,15.90,0.000,0.000,0.000,7,8,8,36,14562,0.056,0.00,0.0064,0.053,673,0.045,0.000,0.110,0.000,3.34,2.03,7.67,0.00,0.001,1.00,1.01,1.01,0.045,0.00268,58.00,1.3148,21.71,10212.1,140075.1,13.110,0.1939,92.529,599.225,0.823,0.000,126370.6,92.528
100000,1844,1.355,0.039,8.20,47138,43947,489,0,2682,0,931806.2,11184.4,0.001,0.352,0.646,0.001,443,8.14,1.87,0.03,0.86,0.00,0.12,0.00,0.15,8.10,1.65,0.00,0.00,0.000,0.005,81,0.772,0.219,0.778,0.000,0.003,4006,3407,2,0.916,0.000,0.001,12506,0.090,0.054,0.000,92.73,9274,0,11184.399,0.000,0.000,300776,1.01,15.80,0.000,0.000,0.000,7,8,8,36,15007,0.057,0.00,0.0062,0.060,666,0.047,0.000,0.110,0.000,3.40,2.03,7.73,0.00,0.000,1.01,1.01,1.01,0.047,0.00267,57.98,1.3128,16.83,10133.9,140075.2,13.131,0.1947,92.541,597.032,0.825,0.000,126496.6,92.528
