step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
110000,2224,1.323,0.044,7.00,61330,57596,279,0,3454,3,1027142.1,11910.9,0.000,0.335,0.664,0.002,470,6.25,1.21,0.03,0.53,0.01,0.15,0.00,0.11,6.21,0.99,0.00,0.00,0.001,0.013,52,0.842,0.266,0.729,0.000,0.005,9190,9175,1,1.000,0.000,0.001,24008,0.102,0.080,0.000,102.45,7992,0,3970.292,0.000,0.000,885753,1.01,17.57,0.000,0.000,0.000,6,6,8,28,13898,0.053,0.00,0.0074,0.045,714,0.118,0.000,0.128,0.000,2.89,1.06,7.88,0.00,0.000,1.00,1.01,1.01,0.118,0.00183,59.38,1.3431,12.85,136022.0,140074.3,2.009,0.1514,102.294,44.963,0.892,0.400,102.9,102.294
120000,2209,1.298,0.046,7.01,61319,57600,274,0,3460,0,1026764.7,11928.9,0.000,0.336,0.662,0.002,468,6.20,0.97,0.01,0.34,0.00,0.13,0.00,0.12,6.18,0.92,0.00,0.00,0.001,0.023,40,0.864,0.244,0.752,0.000,0.004,9176,9175,1,1.000,0.000,0.001,31769,0.086,0.080,0.000,102.47,8786,0,11928.853,0.000,0.000,898345,1.00,17.65,0.000,0.000,0.000,6,6,7,20,13685,0.052,0.00,0.0075,0.050,726,0.119,0.000,0.128,0.000,2.89,1.05,7.90,0.00,0.000,1.00,1.01,1.01,0.119,0.00185,59.37,1.3456,18.16,136082.5,140074.3,2.000,0.1518,102.326,44.836,0.900,0.401,101.9,102.326
130000,2194,1.320,0.045,7.02,61306,57639,288,0,3394,5,1026716.9,11834.3,0.000,0.335,0.663,0.002,485,6.26,1.27,0.02,0.49,0.01,0.15,0.00,0.13,6.23,1.08,0.00,0.00,0.000,0.014,55,0.848,0.247,0.751,0.000,0.002,9086,9084,1,1.000,0.000,0.000,25010,0.092,0.076,0.000,102.46,8551,0,2366.854,0.000,0.000,888557,1.01,17.57,0.000,0.000,0.000,6,6,8,28,13732,0.052,0.00,0.0075,0.047,701,0.118,0.000,0.128,0.000,2.90,1.07,7.88,0.00,0.000,1.00,1.01,1.01,0.118,0.00186,59.37,1.3336,14.50,136066.0,140074.2,2.008,0.1502,102.307,45.279,0.893,0.401,101.5,102.307
140000,2200,1.321,0.046,7.01,61497,57761,283,0,3447,0,1026893.6,11894.8,0.000,0.336,0.662,0.002,483,6.20,1.06,0.01,0.25,0.02,0.35,0.01,0.25,6.16,0.98,0.00,0.00,0.001,0.025,53,0.860,0.255,0.741,0.000,0.004,9060,9058,1,1.000,0.000,0.002,26803,0.091,0.071,0.000,102.46,8836,0,11894.818,0.000,0.000,904472,1.00,17.64,0.000,0.000,0.000,6,6,7,17,13648,0.052,0.00,0.0076,0.046,719,0.120,0.000,0.128,0.000,2.89,1.07,7.88,0.00,0.000,1.00,1.00,1.01,0.120,0.00186,59.36,1.3420,18.31,136042.9,140074.1,2.016,0.1518,102.306,45.315,0.881,0.400,101.8,102.306
150000,2220,1.307,0.044,7.01,61036,57326,250,0,3440,6,1026737.7,11779.2,0.000,0.334,0.665,0.002,480,6.26,1.40,0.02,0.47,0.01,0.18,0.00,0.02,6.23,1.20,0.00,0.00,0.000,0.013,50,0.839,0.249,0.749,0.000,0.002,8942,8941,1,1.000,0.000,0.000,24407,0.091,0.068,0.000,102.43,8609,0,1963.202,0.000,0.000,891507,1.01,17.58,0.000,0.000,0.000,6,6,7,32,13895,0.053,0.00,0.0074,0.041,724,0.119,0.000,0.127,0.000,2.89,1.08,7.86,0.00,0.001,1.00,1.01,1.01,0.119,0.00183,59.40,1.3276,15.03,136068.0,140074.0,2.005,0.1497,102.284,45.271,0.896,0.401,102.9,102.284
160000,2189,1.321,0.047,7.01,61237,57485,287,0,3496,1,1026909.9,11899.9,0.000,0.335,0.664,0.002,460,6.23,1.23,0.02,0.39,0.00,0.04,0.00,0.11,6.21,1.08,0.00,0.00,0.000,0.003,49,0.848,0.245,0.751,0.000,0.004,9097,9095,1,1.000,0.000,0.001,21204,0.094,0.091,0.000,102.46,8812,0,11899.852,0.000,0.000,893624,1.01,17.62,0.000,0.000,0.000,6,6,7,27,13627,0.052,0.00,0.0076,0.050,715,0.119,0.000,0.128,0.000,2.89,1.07,7.87,0.00,0.000,1.00,1.00,1.01,0.119,0.00186,59.38,1.3427,16.98,136033.4,140074.0,1.998,0.1521,102.302,45.035,0.887,0.401,101.3,102.302
170000,2202,1.331,0.045,7.01,61008,57315,242,0,3438,0,1026902.8,11748.2,0.000,0.333,0.665,0.002,476,6.26,1.19,0.01,0.39,0.01,0.22,0.00,0.00,6.24,1.08,0.00,0.00,0.000,0.013,50,0.834,0.250,0.748,0.000,0.002,8977,8975,1,1.000,0.000,0.000,21572,0.095,0.082,0.000,102.42,8793,0,11748.169,0.000,0.000,883423,1.00,17.56,0.000,0.000,0.000,6,6,8,26,13776,0.053,0.00,0.0075,0.049,707,0.118,0.000,0.127,0.000,2.91,1.08,7.88,0.00,0.000,1.00,1.00,1.00,0.118,0.00184,59.42,1.3232,9.26,136025.8,140073.9,2.001,0.1487,102.272,44.931,0.893,0.401,101.9,102.272
180000,2236,1.297,0.045,7.03,61097,57353,292,0,3418,0,1026755.1,11772.6,0.000,0.334,0.665,0.002,479,6.18,1.04,0.01,0.35,0.00,0.08,0.00,0.00,6.16,0.92,0.00,0.00,0.000,0.008,44,0.847,0.250,0.745,0.000,0.004,9032,9031,1,1.000,0.000,0.000,23597,0.100,0.080,0.000,102.43,8780,0,11772.566,0.000,0.000,888627,1.00,17.69,0.000,0.000,0.000,6,6,7,30,13816,0.053,0.00,0.0074,0.049,727,0.119,0.000,0.127,0.000,2.88,1.05,7.89,0.00,0.000,1.00,1.00,1.01,0.119,0.00181,59.43,1.3276,10.42,136055.8,140073.8,1.984,0.1499,102.280,45.125,0.899,0.401,103.2,102.280
190000,2204,1.304,0.046,7.10,60678,57049,244,0,3417,3,1026163.2,11644.0,0.000,0.335,0.663,0.002,458,6.15,1.45,0.02,0.37,0.00,0.21,0.01,0.24,6.12,1.23,0.00,0.00,0.000,0.011,55,0.789,0.245,0.752,0.000,0.004,9223,9220,1,1.000,0.000,0.002,24501,0.101,0.082,0.000,102.41,9100,0,3881.318,0.000,0.000,895799,1.00,17.81,0.000,0.000,0.000,5,6,6,32,13555,0.052,0.00,0.0076,0.044,715,0.119,0.000,0.126,0.000,2.90,1.07,7.87,0.00,0.000,1.00,1.01,1.01,0.119,0.00183,59.46,1.3138,18.64,136074.6,140073.8,1.970,0.1484,102.263,45.343,0.893,0.401,101.7,102.263
200000,2240,1.292,0.046,7.26,60311,56440,302,0,3533,0,1025129.3,11656.5,0.000,0.343,0.655,0.002,462,5.99,1.41,0.01,0.37,0.00,0.11,0.00,0.12,5.97,1.24,0.00,0.00,0.001,0.016,50,0.642,0.246,0.751,0.000,0.003,9554,9547,1,1.000,0.000,0.002,21483,0.084,0.084,0.000,102.34,10070,0,11656.525,0.000,0.000,929878,1.00,18.08,0.000,0.000,0.000,5,6,7,33,13424,0.051,0.00,0.0077,0.049,729,0.120,0.000,0.123,0.000,2.89,1.07,7.87,0.00,0.000,1.00,1.00,1.00,0.120,0.00181,59.55,1.3177,17.08,136060.1,140073.7,1.948,0.1518,102.186,46.006,0.906,0.400,102.5,102.186
