step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,2122,1.416,0.052,6.83,72046,68234,132,0,2995,2241,1165910.6,74343.9,0.018,0.534,0.254,0.193,478,7.63,1.67,0.03,0.50,0.01,0.13,0.00,0.00,7.60,1.69,0.00,0.00,0.001,0.020,82,0.462,0.231,0.764,0.000,0.005,45768,40222,1,1.000,0.000,0.000,409951,0.163,0.076,0.000,106.70,25181,0,33.174,0.000,0.000,1275473,1.01,15.30,0.000,0.000,0.000,6,8,9,25,16186,0.062,0.46,0.0072,0.104,683,0.114,0.000,0.161,0.253,2.72,1.30,7.06,0.00,0.000,1.01,1.01,1.02,0.114,0.00434,55.08,11.0120,14.93,135453.5,139737.8,1.600,3.5760,116.684,303.219,0.912,0.434,107.8,116.673
20000,2044,1.364,0.045,6.00,54779,51784,295,0,2778,1,1050201.0,12539.9,0.001,0.482,0.435,0.082,535,8.20,1.79,0.07,1.14,0.02,0.41,0.00,0.04,8.11,1.38,0.00,0.00,0.001,0.025,68,0.862,0.227,0.768,0.000,0.005,8564,6537,1,1.000,0.000,0.000,9163,0.172,0.062,0.000,106.61,14744,0,12539.887,0.000,0.000,723785,1.02,14.02,0.000,0.000,0.000,8,8,8,38,16768,0.064,0.00,0.0063,0.078,677,0.072,0.000,0.154,0.000,2.93,1.13,7.90,0.01,0.001,1.02,1.02,1.03,0.072,0.00361,55.63,1.4299,22.12,135764.9,139737.9,1.602,0.1749,106.465,46.030,0.898,0.432,105.5,106.465
30000,2039,1.380,0.045,5.63,57139,54244,273,0,2627,1,1041633.9,13180.3,0.001,0.424,0.510,0.065,544,8.15,1.24,0.05,0.94,0.01,0.37,0.00,0.00,8.08,1.02,0.00,0.00,0.001,0.033,48,0.921,0.213,0.782,0.000,0.005,6025,5825,1,1.000,0.000,0.000,7975,0.120,0.059,0.000,105.70,11974,0,13180.324,0.000,0.000,707714,1.02,13.96,0.000,0.000,0.000,8,8,8,36,16622,0.063,0.00,0.0063,0.058,662,0.081,0.000,0.151,0.000,2.93,1.08,7.95,0.00,0.000,1.01,1.02,1.02,0.081,0.00318,56.43,1.4993,16.78,135756.8,139738.0,1.704,0.1813,105.522,41.664,0.898,0.432,104.8,105.522
40000,2051,1.386,0.044,5.58,58369,55408,236,0,2713,1,1040629.4,13738.6,0.002,0.408,0.526,0.064,547,8.19,1.45,0.09,1.18,0.01,0.29,0.00,0.00,8.09,1.31,0.00,0.00,0.001,0.029,45,0.917,0.222,0.770,0.000,0.008,5953,5750,1,1.000,0.000,0.000,7433,0.147,0.055,0.000,105.51,13327,0,13738.562,0.000,0.000,649720,1.04,13.95,0.000,0.000,0.000,8,8,8,35,16799,0.064,0.00,0.0063,0.078,661,0.077,0.000,0.156,0.000,2.92,1.09,7.95,0.00,0.001,1.03,1.03,1.09,0.077,0.00306,56.61,1.5600,14.62,135739.2,139738.0,1.720,0.1859,105.322,41.520,0.896,0.432,105.2,105.322
50000,2050,1.374,0.045,5.58,59073,56083,229,0,2762,1,1040827.9,13910.6,0.002,0.402,0.534,0.062,537,8.16,1.14,0.06,0.90,0.02,0.44,0.00,0.00,8.07,1.07,0.00,0.00,0.002,0.044,54,0.896,0.221,0.770,0.000,0.009,6186,5529,1,1.000,0.000,0.000,6954,0.160,0.059,0.000,105.46,13834,0,13910.586,0.000,0.000,629842,1.03,13.95,0.000,0.000,0.000,8,8,8,28,16721,0.064,0.00,0.0063,0.069,673,0.076,0.000,0.159,0.000,2.93,1.10,7.95,0.00,0.000,1.02,1.02,1.05,0.076,0.00303,56.66,1.5797,15.89,135751.6,139738.1,1.720,0.1880,105.273,41.822,0.896,0.432,105.2,105.273
60000,2037,1.366,0.044,5.60,58261,55313,242,0,2719,0,1039043.0,13781.8,0.002,0.396,0.540,0.062,540,8.26,1.91,0.13,1.97,0.02,0.46,0.00,0.04,8.11,1.10,0.00,0.00,0.001,0.031,49,0.879,0.207,0.784,0.000,0.008,5626,4509,1,1.000,0.000,0.000,8041,0.150,0.057,0.000,105.20,14505,0,13781.753,0.000,0.000,599169,1.05,13.87,0.000,0.000,0.000,8,8,9,64,16835,0.064,0.00,0.0063,0.061,676,0.074,0.000,0.156,0.000,2.96,1.12,7.97,0.00,0.001,1.04,1.04,1.08,0.074,0.00302,56.86,1.5644,16.61,135799.0,139738.2,1.783,0.1857,105.014,42.105,0.899,0.433,104.7,105.014
70000,2078,1.335,0.044,5.61,58830,55860,246,0,2683,0,1039663.1,13761.0,0.002,0.399,0.537,0.062,505,8.26,2.46,0.14,2.00,0.02,0.50,0.00,0.00,8.11,1.32,0.00,0.00,0.001,0.026,54,0.914,0.215,0.779,0.000,0.006,5866,4551,1,1.000,0.000,0.000,9343,0.131,0.061,0.000,105.36,14768,0,13760.992,0.000,0.000,609918,1.05,13.93,0.000,0.000,0.000,8,8,8,64,17174,0.066,0.00,0.0062,0.066,669,0.074,0.000,0.157,0.000,2.94,1.10,7.96,0.00,0.000,1.03,1.05,1.07,0.074,0.00297,56.73,1.5623,19.15,135798.7,139738.3,1.751,0.1854,105.171,42.129,0.917,0.432,106.6,105.171
80000,2074,1.346,0.043,5.60,58699,55823,242,0,2638,1,1040287.2,13725.1,0.002,0.398,0.536,0.064,526,8.26,1.60,0.06,0.83,0.03,0.70,0.00,0.00,8.17,1.25,0.00,0.00,0.001,0.031,51,0.894,0.230,0.768,0.000,0.003,5843,4475,1,1.000,0.000,0.000,8003,0.136,0.065,0.000,105.38,14738,0,13725.134,0.000,0.000,622983,1.02,13.89,0.000,0.000,0.000,8,8,8,40,17125,0.065,0.00,0.0061,0.077,675,0.076,0.000,0.157,0.000,2.95,1.11,7.96,0.00,0.000,1.01,1.02,1.04,0.076,0.00297,56.74,1.5585,25.41,135784.3,139738.3,1.723,0.1849,105.195,41.225,0.917,0.431,106.7,105.195
90000,2033,1.369,0.046,5.66,58759,55825,222,0,2753,4,1039866.3,13781.5,0.002,0.397,0.535,0.067,529,8.12,1.40,0.05,0.68,0.04,0.98,0.00,0.02,8.03,1.10,0.00,0.00,0.002,0.038,46,0.919,0.210,0.782,0.000,0.008,5971,4292,1,1.000,0.000,0.000,7617,0.162,0.062,0.000,105.38,15190,0,3445.369,0.000,0.000,613395,1.02,14.01,0.000,0.000,0.000,8,8,8,45,16503,0.063,0.00,0.0064,0.074,668,0.075,0.000,0.156,0.000,2.90,1.08,7.94,0.00,0.000,1.01,1.02,1.04,0.075,0.00302,56.73,1.5657,21.33,135765.4,139738.4,1.727,0.1875,105.193,40.749,0.900,0.432,103.9,105.193
100000,2058,1.358,0.045,5.69,58730,55722,220,0,2763,3,1040562.9,13658.8,0.001,0.399,0.531,0.069,437,8.20,2.12,0.11,1.47,0.04,0.72,0.01,0.25,8.05,1.42,0.00,0.00,0.003,0.047,60,0.901,0.228,0.765,0.000,0.007,6100,4045,1,1.000,0.000,0.001,7808,0.145,0.060,0.000,105.51,15267,0,4552.938,0.000,0.000,629069,1.04,14.00,0.000,0.000,0.000,8,8,8,48,16879,0.064,0.00,0.0063,0.069,667,0.076,0.000,0.154,0.000,2.94,1.10,7.96,0.00,0.001,1.02,1.03,1.05,0.076,0.00298,56.64,1.5532,19.43,135768.3,139738.5,1.690,0.1870,105.322,41.760,0.901,0.432,105.9,105.322
