step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,327,8.38,0.00,0.01,0.00,8.38,0.00,1.00,0.000,0.031,250543.0,19868.2,4,136,3.40,1.00,1.00,3.2099,2.66,284.3,21.0013,20.5258,5462,13.8896
10000,1,557,8.93,0.03,0.08,0.00,8.83,0.00,1.01,0.000,0.057,360995.8,21982.3,3,13,3.43,1.00,1.01,3.4084,5.59,694.2,5.7269,30.8003,5461,27.5794
10000,2,623,9.61,0.00,0.06,0.00,9.54,0.00,1.00,0.000,0.069,400828.2,22021.9,3,55,3.40,1.00,1.00,3.3755,3.51,1332.0,0.2587,34.3904,5461,40.8687
20000,0,343,7.33,0.00,0.01,0.00,7.32,0.00,1.00,0.000,0.029,171717.6,1462.0,1,105,3.41,1.00,1.00,0.1919,4.71,273.4,26.4724,17.0518,5462,13.8910
20000,1,573,8.83,0.00,0.00,0.00,8.83,0.00,1.00,0.000,0.058,316519.0,3101.5,2,20,3.37,1.00,1.00,0.3579,5.85,694.3,4.8422,31.0598,5461,27.5821
20000,2,624,9.97,0.00,0.01,0.00,9.96,0.00,1.00,0.000,0.071,353846.3,4289.2,2,31,3.40,1.00,1.00,0.4855,5.95,1318.3,0.1050,34.3863,5461,40.8727
30000,0,349,7.21,0.00,0.06,0.00,7.15,0.00,1.00,0.000,0.029,171012.5,1523.6,1,103,3.31,1.00,1.00,0.1995,3.72,262.5,26.3934,16.9905,5462,13.8910
30000,1,581,8.94,0.05,0.00,0.00,8.89,0.00,1.02,0.000,0.059,316234.9,3230.9,1,20,3.38,1.02,1.02,0.3723,3.87,689.9,4.7453,31.0948,5461,27.5821
30000,2,602,9.78,0.00,0.05,0.00,9.73,0.00,1.00,0.000,0.068,354023.9,4274.0,1,41,3.38,1.00,1.00,0.4835,6.43,1309.2,0.1011,34.4157,5461,40.8727
40000,0,334,7.25,0.00,0.01,0.00,7.25,0.00,1.00,0.000,0.028,171094.9,1435.2,1,108,3.38,1.00,1.00,0.1895,4.29,243.5,26.3576,16.9949,5462,13.8910
40000,1,582,8.77,0.00,0.01,0.00,8.75,0.00,1.00,0.000,0.058,316595.4,3219.3,1,19,3.39,1.00,1.00,0.3710,6.55,710.8,4.6865,31.0914,5461,27.5821
40000,2,630,9.82,0.03,0.04,0.00,9.75,0.00,1.01,0.000,0.071,353924.2,4216.4,1,35,3.41,1.01,1.01,0.4743,3.74,1315.1,0.0873,34.4064,5461,40.8727
50000,0,338,7.45,0.00,0.01,0.00,7.44,0.00,1.00,0.000,0.029,171247.3,1542.2,1,94,3.32,1.00,1.00,0.2026,6.87,258.2,26.4115,17.0056,5462,13.8910
50000,1,582,8.89,0.02,0.05,0.00,8.82,0.00,1.01,0.002,0.059,316945.0,3096.3,1,20,3.39,1.01,1.01,0.3552,4.69,721.6,4.5908,31.1254,5461,27.5821
50000,2,625,9.67,0.00,0.00,0.02,9.64,0.00,1.00,0.000,0.069,353600.8,4252.0,1,53,3.34,1.00,1.00,0.4805,4.54,1335.5,0.0725,34.3592,5461,40.8727
60000,0,335,7.22,0.00,0.00,0.00,7.22,0.00,1.00,0.000,0.028,171630.5,1537.3,1,111,3.32,1.00,1.00,0.2004,3.55,267.6,26.3727,17.0491,5462,13.8910
60000,1,578,8.81,0.00,0.00,0.00,8.81,0.00,1.00,0.000,0.058,317227.1,3031.0,1,14,3.35,1.00,1.00,0.3489,5.05,787.4,4.5751,31.1413,5461,27.5821
60000,2,633,9.58,0.00,0.01,0.01,9.55,0.00,1.00,0.000,0.069,352867.7,4154.0,1,34,3.37,1.00,1.00,0.4683,4.62,1335.4,0.0726,34.2935,5461,40.8727
70000,0,337,7.23,0.00,0.00,0.00,7.23,0.00,1.00,0.000,0.027,173595.3,1530.2,1,105,3.38,1.00,1.00,0.2005,4.81,308.7,25.9817,17.2226,5462,13.8910
70000,1,590,8.28,0.00,0.00,0.02,8.26,0.00,1.00,0.000,0.057,317376.4,2995.8,1,15,3.36,1.00,1.00,0.3451,4.28,828.6,4.3989,31.1260,5461,27.5821
70000,2,626,9.35,0.01,0.01,0.02,9.31,0.00,1.00,0.000,0.067,351228.2,3982.0,1,36,3.39,1.00,1.00,0.4482,5.80,1347.6,0.0708,34.1306,5461,40.8727
80000,0,350,7.18,0.01,0.08,0.00,7.09,0.00,1.00,0.000,0.029,175041.3,1496.3,1,104,3.31,1.00,1.00,0.1978,8.71,328.6,25.7461,17.3647,5462,13.8910
80000,1,593,8.32,0.00,0.02,0.01,8.28,0.00,1.00,0.000,0.056,317638.0,3000.9,1,10,3.37,1.00,1.00,0.3447,4.20,854.1,4.3168,31.0957,5461,27.5821
80000,2,625,8.92,0.00,0.00,0.00,8.91,0.00,1.00,0.000,0.064,350424.8,3837.9,1,38,3.37,1.00,1.00,0.4325,2.32,1377.0,0.0695,34.0193,5461,40.8727
90000,0,349,7.20,0.00,0.00,0.01,7.19,0.00,1.00,0.000,0.029,176876.8,1493.0,1,115,3.30,1.00,1.00,0.1971,4.72,342.9,25.4663,17.5354,5462,13.8910
90000,1,609,8.39,0.00,0.04,0.00,8.35,0.00,1.00,0.000,0.058,317896.9,2838.9,1,17,3.36,1.00,1.00,0.3256,2.69,893.6,4.2374,31.1303,5461,27.5821
90000,2,650,8.56,0.00,0.04,0.01,8.51,0.00,1.00,0.000,0.064,348742.9,3650.1,1,53,3.35,1.00,1.00,0.4115,4.81,1407.6,0.0699,33.8079,5461,40.8727
100000,0,359,7.23,0.01,0.00,0.00,7.21,0.00,1.00,0.000,0.030,178243.4,1577.7,1,116,3.31,1.00,1.00,0.2077,4.07,362.8,25.2791,17.6590,5462,13.8910
100000,1,586,8.03,0.00,0.00,0.00,8.03,0.00,1.00,0.000,0.054,318569.9,2785.2,1,16,3.29,1.00,1.00,0.3193,1.77,908.1,4.0809,31.1426,5461,27.5821
100000,2,653,8.45,0.00,0.02,0.00,8.43,0.00,1.00,0.000,0.063,347409.2,3500.5,1,45,3.38,1.00,1.00,0.3949,6.00,1427.1,0.0694,33.6744,5461,40.8727
110000,0,360,7.30,0.00,0.07,0.00,7.23,0.00,1.00,0.000,0.030,179219.2,1541.3,1,116,3.37,1.00,1.00,0.2017,3.96,375.8,25.0842,17.7531,5462,13.8910
110000,1,610,8.20,0.03,0.04,0.01,8.12,0.00,1.01,0.000,0.057,318648.5,2757.9,1,21,3.34,1.01,1.01,0.3163,2.19,943.4,4.0125,31.1424,5461,27.5821
110000,2,643,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.061,346611.8,3489.1,1,43,3.34,1.00,1.00,0.3934,3.01,1435.8,0.0679,33.5775,5461,40.8727
120000,0,361,7.43,0.00,0.00,0.01,7.42,0.00,1.00,0.000,0.030,178960.4,1632.9,1,135,3.30,1.00,1.00,0.2133,3.49,377.1,25.2622,17.7299,5462,13.8910
120000,1,605,8.05,0.00,0.00,0.00,8.05,0.00,1.00,0.000,0.056,318594.9,2701.2,1,17,3.37,1.00,1.00,0.3107,5.61,923.0,4.0356,31.1481,5461,27.5821
120000,2,636,8.37,0.00,0.00,0.03,8.34,0.00,1.00,0.000,0.061,346931.5,3432.1,1,46,3.38,1.00,1.00,0.3885,7.46,1433.8,0.0680,33.6050,5461,40.8727
130000,0,354,7.40,0.00,0.00,0.00,7.40,0.00,1.00,0.000,0.029,179342.5,1557.3,1,121,3.40,1.00,1.00,0.2033,3.62,371.0,25.1951,17.7697,5462,13.8910
130000,1,611,8.18,0.01,0.00,0.02,8.15,0.00,1.00,0.000,0.057,318681.2,2740.8,1,13,3.33,1.00,1.00,0.3142,5.51,956.1,4.0456,31.1344,5461,27.5821
130000,2,654,8.41,0.00,0.01,0.00,8.40,0.00,1.00,0.000,0.063,346288.3,3422.0,1,48,3.39,1.00,1.00,0.3861,4.81,1436.2,0.0694,33.5706,5461,40.8727
140000,0,338,7.51,0.01,0.01,0.00,7.49,0.00,1.00,0.000,0.029,179777.0,1619.6,1,113,3.28,1.00,1.00,0.2115,4.97,391.8,25.1689,17.8016,5462,13.8910
140000,1,603,8.27,0.00,0.11,0.02,8.14,0.00,1.00,0.000,0.057,318611.4,2661.4,1,18,3.45,1.00,1.00,0.3048,4.13,935.9,4.0186,31.1428,5461,27.5821
140000,2,658,8.47,0.00,0.03,0.00,8.44,0.00,1.00,0.000,0.064,346046.9,3366.9,1,42,3.34,1.00,1.00,0.3794,6.57,1436.9,0.0695,33.5322,5461,40.8727
150000,0,367,7.33,0.00,0.00,0.00,7.33,0.00,1.00,0.000,0.031,179483.0,1556.4,1,120,3.31,1.00,1.00,0.2033,3.33,375.3,25.1993,17.7842,5462,13.8910
150000,1,597,8.08,0.00,0.00,0.04,8.04,0.00,1.00,0.000,0.055,318939.7,2700.4,1,16,3.38,1.00,1.00,0.3102,4.31,935.2,4.0401,31.1405,5461,27.5821
150000,2,663,8.35,0.00,0.01,0.03,8.32,0.00,1.00,0.000,0.063,346344.8,3389.5,1,33,3.37,1.00,1.00,0.3824,3.42,1435.7,0.0706,33.5546,5461,40.8727
160000,0,353,7.20,0.00,0.00,0.04,7.16,0.00,1.00,0.000,0.030,179202.9,1551.0,1,134,3.31,1.00,1.00,0.2035,4.84,378.2,25.1790,17.7534,5462,13.8910
160000,1,617,8.17,0.00,0.01,0.00,8.15,0.00,1.00,0.000,0.057,318670.0,2710.5,1,13,3.30,1.00,1.00,0.3111,2.94,925.6,4.1093,31.1454,5461,27.5821
160000,2,651,8.43,0.00,0.05,0.00,8.38,0.00,1.00,0.000,0.063,346649.5,3423.6,1,40,3.34,1.00,1.00,0.3870,4.13,1447.2,0.0698,33.5795,5461,40.8727
170000,0,349,7.54,0.00,0.00,0.00,7.54,0.00,1.00,0.000,0.030,179286.1,1599.4,1,126,3.31,1.00,1.00,0.2090,4.69,372.2,25.3738,17.7473,5462,13.8910
170000,1,607,8.21,0.00,0.01,0.02,8.18,0.00,1.00,0.000,0.057,318263.3,2639.1,1,18,3.37,1.00,1.00,0.3025,2.80,928.6,4.1929,31.1348,5461,27.5821
170000,2,643,8.45,0.00,0.01,0.09,8.35,0.00,1.00,0.000,0.062,346960.1,3403.3,1,46,3.40,1.00,1.00,0.3843,5.17,1407.4,0.0682,33.5996,5461,40.8727
180000,0,362,7.36,0.00,0.01,0.00,7.35,0.00,1.00,0.000,0.030,179481.8,1623.0,1,122,3.33,1.00,1.00,0.2121,3.28,381.4,25.3041,17.7612,5462,13.8910
180000,1,604,8.22,0.00,0.00,0.01,8.21,0.00,1.00,0.000,0.057,318306.9,2676.9,1,19,3.32,1.00,1.00,0.3075,6.84,933.1,4.1152,31.1225,5461,27.5821
