step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,1869,1.550,0.046,7.24,59866,57017,141,3,2341,1486,1117052.5,68788.4,0.035,0.334,0.112,0.519,454,9.79,1.89,0.01,0.46,0.00,0.00,0.02,0.24,9.76,1.85,0.00,0.00,0.000,0.000,75,0.752,0.184,0.811,0.000,0.005,36716,32613,2,0.927,0.000,0.012,1754590,0.082,0.068,0.000,100.48,21041,10,46.291,1.000,0.000,761572,1.00,12.54,0.000,0.000,0.000,8,10,10,32,18299,0.070,0.42,0.0061,0.045,607,0.126,0.000,0.174,0.264,3.38,2.02,7.77,0.00,0.000,1.00,1.00,1.01,0.126,0.00385,60.95,10.5878,19.35,136095.4,140220.9,1.990,3.7033,110.397,331.401,0.899,0.387,100.9,110.387
20000,1883,1.534,0.044,7.27,52411,49434,253,0,2710,3,1011831.9,14989.8,0.002,0.289,0.052,0.657,494,9.62,2.92,0.01,0.25,0.00,0.12,0.04,0.63,9.57,2.71,0.00,0.00,0.000,0.006,95,0.613,0.222,0.772,0.000,0.006,4226,3744,2,0.909,0.000,0.007,96365,0.106,0.062,0.000,101.18,9154,0,4996.591,0.000,0.001,294612,1.00,13.01,0.000,0.000,0.000,8,10,10,60,18117,0.069,0.00,0.0056,0.047,612,0.054,0.000,0.158,0.000,3.44,2.11,7.82,0.00,0.000,1.00,1.00,1.00,0.054,0.00266,60.37,1.6812,17.16,136141.0,140220.8,2.290,0.1820,101.005,46.432,0.897,0.385,102.2,101.005
30000,1916,1.420,0.039,7.25,43164,40619,484,0,2028,1,1009427.7,11914.3,0.001,0.432,0.079,0.488,510,8.36,2.52,0.00,0.00,0.00,0.00,0.07,1.38,8.29,1.84,0.00,0.00,0.000,0.000,61,0.675,0.225,0.773,0.000,0.002,5683,4783,2,0.921,0.000,0.005,92964,0.141,0.053,0.000,100.46,9698,0,11914.332,0.000,0.000,621060,1.00,15.48,0.001,0.001,0.000,8,8,10,64,16019,0.061,0.00,0.0064,0.075,627,0.076,0.000,0.135,0.000,3.44,2.06,7.94,0.00,0.000,1.00,1.00,1.00,0.076,0.00340,61.13,1.3450,15.08,136442.0,140220.8,2.250,0.1537,100.333,43.452,0.904,0.387,100.1,100.334
40000,1931,1.407,0.041,7.28,37660,35133,694,0,1818,0,1008305.7,10088.7,0.000,0.518,0.046,0.436,536,8.25,2.46,0.00,0.14,0.00,0.00,0.03,0.90,8.22,1.97,0.00,0.00,0.000,0.000,54,0.859,0.226,0.772,0.000,0.003,6997,6540,2,0.967,0.000,0.003,73799,0.161,0.052,0.000,100.50,7553,0,10088.667,0.000,0.000,813524,1.00,15.70,0.000,0.000,0.000,8,8,8,62,15939,0.061,0.00,0.0064,0.077,635,0.081,0.000,0.121,0.000,3.37,2.07,7.95,0.00,0.000,1.00,1.00,1.00,0.081,0.00386,61.23,1.1459,13.30,136409.4,140220.9,2.115,0.1372,100.356,42.843,0.902,0.387,100.6,100.356
50000,1931,1.426,0.039,7.51,39477,36852,677,0,1948,0,1006993.9,10448.9,0.001,0.493,0.023,0.483,528,8.19,1.64,0.01,0.20,0.00,0.00,0.01,0.10,8.18,1.55,0.00,0.00,0.000,0.000,61,0.890,0.242,0.756,0.000,0.002,6927,6586,2,0.973,0.000,0.003,73137,0.152,0.050,0.000,100.25,8594,0,10448.866,0.000,0.000,745449,1.00,15.72,0.000,0.000,0.000,8,8,8,40,15818,0.060,0.00,0.0064,0.065,631,0.078,0.000,0.124,0.000,3.43,2.07,7.96,0.00,0.000,1.00,1.00,1.00,0.078,0.00370,61.50,1.1830,12.33,136416.3,140221.1,2.092,0.1382,100.110,43.656,0.892,0.385,99.9,100.110
60000,1946,1.417,0.037,7.73,42062,39412,595,0,2040,0,1004408.1,11012.6,0.001,0.444,0.020,0.536,507,8.20,2.07,0.00,0.00,0.00,0.00,0.04,1.26,8.16,1.58,0.00,0.00,0.000,0.000,52,0.905,0.233,0.765,0.000,0.003,6503,6108,2,0.987,0.000,0.003,76256,0.134,0.051,0.000,99.79,9327,0,11012.564,0.000,0.000,636495,1.00,15.79,0.001,0.000,0.000,8,8,8,64,15960,0.061,0.00,0.0063,0.060,638,0.074,0.000,0.124,0.000,3.45,2.07,7.96,0.00,0.000,1.00,1.00,1.00,0.074,0.00333,61.97,1.2412,13.03,136433.9,140221.3,2.074,0.1398,99.654,43.037,0.900,0.386,99.9,99.654
70000,1918,1.415,0.039,7.86,44176,41679,507,0,2018,0,1001338.8,11232.0,0.001,0.408,0.004,0.586,479,8.19,2.22,0.01,0.20,0.00,0.00,0.00,0.09,8.18,2.10,0.00,0.00,0.000,0.000,47,0.913,0.226,0.771,0.000,0.003,6301,6021,2,0.998,0.000,0.002,66468,0.131,0.051,0.000,99.37,9471,0,11231.965,0.000,0.000,563840,1.00,15.85,0.000,0.000,0.000,8,8,8,58,15712,0.060,0.00,0.0064,0.062,616,0.071,0.000,0.126,0.000,3.45,2.08,7.96,0.00,0.000,1.00,1.00,1.00,0.071,0.00312,62.39,1.2603,12.93,136462.0,140221.4,2.080,0.1371,99.237,44.092,0.898,0.386,98.7,99.237
80000,1932,1.399,0.037,7.94,45022,42412,489,0,2107,0,1000782.1,11455.4,0.001,0.394,0.001,0.604,504,8.18,2.17,0.00,0.00,0.00,0.00,0.02,0.48,8.16,2.02,0.00,0.00,0.000,0.000,48,0.927,0.220,0.777,0.000,0.003,6140,5956,1,1.000,0.000,0.003,67884,0.124,0.050,0.000,99.23,9480,0,11455.381,0.000,0.000,535587,1.00,15.85,0.000,0.000,0.000,8,8,8,63,15800,0.060,0.00,0.0064,0.051,625,0.070,0.000,0.127,0.000,3.43,2.07,7.94,0.00,0.000,1.00,1.00,1.00,0.070,0.00300,62.54,1.2831,11.47,136500.9,140221.6,2.069,0.1376,99.099,44.268,0.905,0.386,98.9,99.099
90000,1931,1.404,0.038,7.84,45072,42546,454,0,2073,0,999825.0,11443.9,0.001,0.390,0.001,0.608,481,8.19,1.89,0.00,0.00,0.00,0.00,0.02,0.42,8.17,1.74,0.00,0.00,0.000,0.000,54,0.897,0.219,0.776,0.000,0.005,5985,5868,1,1.000,0.000,0.003,66761,0.122,0.048,0.000,99.20,9457,0,11443.932,0.000,0.000,524917,1.00,15.80,0.000,0.000,0.000,8,8,8,49,15811,0.060,0.00,0.0063,0.066,622,0.069,0.000,0.126,0.000,3.44,2.08,7.96,0.00,0.000,1.00,1.00,1.00,0.069,0.00298,62.55,1.2811,8.53,136472.3,140221.7,2.092,0.1370,99.055,44.110,0.901,0.386,99.1,99.055
100000,1945,1.356,0.038,7.85,44601,41981,451,0,2155,0,1000574.2,11376.4,0.001,0.400,0.001,0.598,403,8.27,2.45,0.00,0.11,0.00,0.02,0.04,0.73,8.23,2.23,0.00,0.00,0.000,0.005,58,0.914,0.217,0.778,0.000,0.004,6155,5930,1,1.000,0.000,0.007,66054,0.130,0.050,0.000,99.29,10064,0,11376.427,0.000,0.001,544736,1.00,15.79,0.000,0.000,0.000,8,8,8,47,16085,0.061,0.00,0.0063,0.056,645,0.070,0.000,0.126,0.000,3.48,2.10,7.95,0.00,0.000,1.00,1.00,1.00,0.070,0.00302,62.46,1.2768,14.09,136545.8,140221.9,2.095,0.1386,99.154,44.134,0.919,0.387,100.4,99.154
