step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,671,8.68,0.14,0.01,0.00,8.53,0.00,1.04,0.000,0.067,410552.6,22641.6,2,40,3.01,1.03,1.04,3.4996,10.56,111158.3,0.0000,34.9160,5462,37.8576
10000,1,676,8.27,0.02,0.01,0.00,8.24,0.00,1.01,0.000,0.064,408489.6,22967.2,2,44,2.92,1.00,1.01,3.4679,8.11,24555.8,0.1614,34.7976,5461,37.8507
10000,2,660,8.16,0.00,0.00,0.00,8.16,0.00,1.00,0.000,0.062,397670.5,23040.9,2,52,2.90,1.00,1.00,3.4865,8.56,132.1,1.7768,33.8524,5461,37.8507
20000,0,693,8.33,0.07,0.01,0.00,8.25,0.00,1.02,0.000,0.066,365846.9,4909.6,2,38,2.96,1.00,1.02,0.5503,3.30,112012.4,0.0000,35.3131,5462,34.9149
20000,1,687,8.22,0.02,0.05,0.01,8.14,0.00,1.00,0.000,0.064,365982.7,5668.7,2,61,2.92,1.00,1.00,0.6408,4.62,23784.8,0.2731,35.3658,5461,34.9085
20000,2,675,8.31,0.08,0.02,0.00,8.21,0.00,1.02,0.000,0.065,353188.2,5310.7,2,58,2.91,1.00,1.03,0.6051,6.00,147.2,1.9437,34.2525,5461,34.9085
30000,0,704,7.97,0.02,0.01,0.01,7.93,0.00,1.01,0.000,0.064,366388.0,4415.7,2,58,2.90,1.00,1.01,0.4940,2.83,111871.1,0.0000,35.3660,5462,34.8827
30000,1,684,8.37,0.03,0.00,0.01,8.33,0.00,1.01,0.000,0.065,364940.8,4609.8,2,45,2.98,1.01,1.01,0.5158,4.74,23966.1,0.2505,35.2479,5461,34.8763
30000,2,680,8.07,0.02,0.01,0.00,8.04,0.00,1.01,0.000,0.063,352465.0,4824.6,2,48,2.95,1.00,1.01,0.5471,5.83,131.8,1.8975,34.1916,5461,34.8763
40000,0,708,8.06,0.02,0.05,0.01,7.98,0.00,1.01,0.000,0.065,365949.8,4219.5,1,62,2.94,1.00,1.01,0.4729,5.51,111679.9,0.0000,35.3053,5462,34.7135
