step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,713,7.97,0.02,0.00,0.03,7.92,0.00,1.01,0.000,0.065,415424.8,24321.7,1,86,2.83,1.00,1.01,3.6034,3.99,94645.0,0.0004,35.8158,5462,8.7944
10000,1,703,7.80,0.04,0.00,0.03,7.72,0.00,1.01,0.000,0.063,413904.0,23910.7,1,80,2.89,1.01,1.01,3.5408,2.35,35969.5,0.2251,35.6392,5461,18.2145
10000,2,714,7.71,0.09,0.00,0.01,7.61,0.00,1.03,0.000,0.063,414659.5,23827.0,1,64,2.74,1.02,1.03,3.5545,4.59,5049.9,0.0550,35.7319,5461,31.6153
20000,0,681,8.33,0.01,0.00,0.04,8.27,0.00,1.00,0.000,0.065,369515.6,3730.5,3,71,2.95,1.00,1.00,0.4118,2.48,95219.0,0.0000,35.7615,5462,8.0294
20000,1,686,8.02,0.05,0.00,0.08,7.89,0.00,1.01,0.000,0.063,367710.8,3684.1,3,105,2.86,1.00,1.02,0.4078,4.14,35555.1,0.1984,35.5898,5461,16.6302
20000,2,715,7.70,0.03,0.00,0.07,7.60,0.00,1.01,0.000,0.063,369762.3,3590.6,3,81,2.85,1.01,1.01,0.3983,4.51,4929.6,0.0660,35.8122,5461,28.8654
30000,0,696,8.43,0.03,0.00,0.03,8.37,0.00,1.02,0.000,0.067,366837.8,3537.9,3,88,2.92,1.01,1.01,0.3909,6.66,95307.2,0.0000,35.4839,5462,7.9727
30000,1,691,8.28,0.05,0.00,0.02,8.21,0.00,1.01,0.000,0.065,365899.8,3640.6,3,70,2.94,1.00,1.02,0.4038,6.96,35464.4,0.1889,35.4114,5461,16.5127
30000,2,713,7.99,0.02,0.00,0.02,7.95,0.00,1.01,0.000,0.066,367220.7,3646.1,2,47,2.90,1.00,1.01,0.4062,3.28,4896.6,0.0595,35.5197,5461,28.6614
40000,0,667,8.27,0.00,0.00,0.03,8.24,0.00,1.00,0.000,0.063,366977.5,3538.6,3,69,2.93,1.00,1.00,0.3899,2.85,95354.5,0.0000,35.4735,5462,7.9524
