step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,316,6.78,0.00,0.00,0.00,6.78,0.00,1.00,0.000,0.024,236332.8,20820.2,1,93,2.53,1.00,1.00,3.3550,6.33,131.4,25.1800,19.0045,5462,13.2017
10000,1,683,6.94,0.00,0.03,0.03,6.87,0.00,1.00,0.000,0.054,391626.4,24068.1,1,65,2.52,1.00,1.00,3.6432,10.16,1231.5,3.5698,33.6947,5461,29.3493
10000,2,710,8.39,0.03,0.01,0.00,8.35,0.00,1.01,0.000,0.068,411971.2,24980.2,1,62,2.99,1.01,1.01,3.7820,10.08,2030.0,0.0125,35.5941,5461,42.2878
20000,0,318,6.81,0.00,0.00,0.00,6.81,0.00,1.00,0.000,0.025,156806.7,1758.4,2,98,2.60,1.00,1.00,0.2295,4.61,92.8,31.0336,15.5319,5462,13.2030
20000,1,681,7.32,0.05,0.03,0.01,7.22,0.00,1.02,0.000,0.057,344972.0,4718.6,2,51,2.63,1.02,1.01,0.5407,7.64,1016.2,4.3371,33.5903,5461,29.3523
20000,2,738,7.38,0.00,0.01,0.03,7.34,0.00,1.00,0.000,0.062,371217.8,5757.3,2,65,2.69,1.00,1.00,0.6538,5.47,1616.2,0.0019,35.9939,5461,42.2920
30000,0,310,6.60,0.00,0.00,0.00,6.60,0.00,1.00,0.000,0.023,150559.2,1677.8,2,113,2.50,1.00,1.00,0.2244,6.09,62.6,32.0104,14.9078,5462,13.2030
30000,1,685,7.00,0.02,0.01,0.04,6.93,0.00,1.01,0.000,0.055,344145.3,4360.4,2,39,2.56,1.00,1.01,0.4991,8.40,930.1,4.7130,33.5154,5461,29.3523
30000,2,746,7.13,0.06,0.00,0.00,7.06,0.00,1.02,0.000,0.061,377770.8,5187.2,2,82,2.53,1.01,1.02,0.5884,8.54,1468.9,0.0022,36.6400,5461,42.2920
40000,0,292,7.14,0.00,0.00,0.00,7.14,0.00,1.00,0.000,0.024,146487.8,1472.8,2,113,2.72,1.00,1.00,0.1932,3.98,55.4,32.5346,14.5193,5462,13.2030
40000,1,678,7.18,0.04,0.00,0.04,7.10,0.00,1.02,0.000,0.055,344377.2,3817.4,2,27,2.53,1.01,1.01,0.4325,3.82,851.2,5.0173,33.5177,5461,29.3523
40000,2,742,6.89,0.00,0.01,0.00,6.88,0.00,1.00,0.000,0.059,381403.6,4497.4,2,92,2.43,1.00,1.00,0.5043,6.96,1397.4,0.0025,36.9787,5461,42.2920
50000,0,293,7.13,0.00,0.00,0.00,7.13,0.00,1.00,0.000,0.024,146946.0,1174.7,3,125,2.64,1.00,1.00,0.1566,4.32,66.7,32.3700,14.5571,5462,13.2030
50000,1,684,7.36,0.07,0.00,0.00,7.30,0.00,1.02,0.000,0.057,343897.0,3574.0,3,27,2.64,1.01,1.02,0.4040,4.42,1005.5,4.7250,33.4417,5461,29.3523
50000,2,749,7.34,0.04,0.01,0.05,7.25,0.00,1.01,0.000,0.063,381911.2,4233.2,2,89,2.59,1.00,1.01,0.4728,5.97,1589.5,0.0025,36.9481,5461,42.2920
60000,0,307,7.42,0.00,0.00,0.00,7.41,0.00,1.00,0.000,0.026,153040.1,1204.9,2,133,2.80,1.00,1.00,0.1600,4.45,123.1,31.3316,15.1822,5462,13.2030
60000,1,671,7.58,0.02,0.02,0.00,7.54,0.00,1.00,0.000,0.058,345267.3,3661.5,2,23,2.71,1.00,1.01,0.4155,6.24,1169.8,4.0455,33.5053,5461,29.3523
60000,2,729,7.22,0.00,0.01,0.01,7.20,0.00,1.00,0.000,0.060,375084.1,4185.3,2,68,2.68,1.00,1.00,0.4702,5.33,1746.3,0.0012,36.2626,5461,42.2920
70000,0,310,7.39,0.06,0.03,0.04,7.27,0.00,1.03,0.000,0.026,157646.8,1168.9,2,123,2.90,1.02,1.03,0.1556,4.04,134.2,30.2645,15.6169,5462,13.2030
70000,1,668,7.39,0.00,0.00,0.00,7.39,0.00,1.00,0.000,0.057,345427.7,3656.2,2,36,2.79,1.00,1.00,0.4163,4.11,1325.6,3.4468,33.5229,5461,29.3523
70000,2,730,7.09,0.02,0.01,0.01,7.05,0.00,1.01,0.000,0.059,370547.9,4265.1,2,51,2.78,1.00,1.01,0.4815,4.49,1932.8,0.0008,35.8169,5461,42.2920
