step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
110000,0,773,7.19,0.11,0.00,0.00,7.07,0.00,1.03,0.000,0.063,375034.2,3478.8,1,75,2.48,1.01,1.03,0.3958,2.42,100617.2,0.0000,36.5879,5462,9.2407
110000,1,779,7.04,0.07,0.00,0.00,6.97,0.00,1.02,0.000,0.063,374823.5,3428.1,1,72,2.46,1.02,1.02,0.3908,4.41,32779.3,0.0370,36.5518,5461,18.3486
110000,2,753,7.03,0.07,0.00,0.00,6.97,0.00,1.02,0.000,0.061,374829.5,3374.9,1,99,2.44,1.02,1.02,0.3835,5.32,2898.7,0.0716,36.5528,5461,27.1900
120000,0,753,7.07,0.12,0.00,0.00,6.95,0.00,1.04,0.000,0.060,375295.7,3388.8,1,68,2.45,1.03,1.04,0.3859,3.01,100570.0,0.0000,36.5996,5462,9.2403
120000,1,748,7.03,0.07,0.00,0.00,6.96,0.00,1.03,0.000,0.061,374856.8,3403.2,1,58,2.44,1.02,1.02,0.3879,7.45,32745.2,0.0389,36.5576,5461,18.3477
120000,2,755,7.04,0.02,0.01,0.00,7.01,0.00,1.01,0.000,0.061,374670.5,3462.8,1,92,2.45,1.01,1.01,0.3947,5.18,2917.7,0.0717,36.5452,5461,27.1887
130000,0,769,7.11,0.11,0.00,0.02,6.98,0.00,1.03,0.000,0.063,375350.7,3455.8,1,93,2.42,1.03,1.03,0.3934,3.57,100603.9,0.0000,36.6080,5462,9.2440
130000,1,750,6.99,0.04,0.00,0.00,6.95,0.00,1.01,0.000,0.060,374906.8,3353.3,1,64,2.44,1.01,1.01,0.3822,7.48,32744.3,0.0390,36.5662,5461,18.3550
130000,2,761,7.08,0.11,0.00,0.00,6.97,0.00,1.04,0.000,0.062,374830.9,3382.3,1,85,2.46,1.04,1.04,0.3849,5.75,2903.0,0.0710,36.5621,5461,27.1995
140000,0,762,7.24,0.21,0.00,0.04,6.99,0.00,1.05,0.000,0.063,375322.6,3481.4,1,75,2.43,1.04,1.06,0.3963,4.02,100613.0,0.0000,36.5963,5462,9.2432
140000,1,747,7.06,0.08,0.00,0.00,6.98,0.00,1.03,0.000,0.061,375170.0,3390.5,1,74,2.41,1.02,1.03,0.3853,4.24,32727.0,0.0367,36.5783,5461,18.3534
140000,2,774,6.99,0.05,0.00,0.00,6.94,0.00,1.02,0.000,0.062,374729.2,3416.8,1,81,2.43,1.02,1.02,0.3888,3.96,2899.7,0.0761,36.5560,5461,27.1971
150000,0,753,7.07,0.10,0.00,0.00,6.97,0.00,1.03,0.000,0.060,375363.6,3343.4,1,79,2.45,1.02,1.03,0.3804,6.19,100575.0,0.0000,36.6072,5462,9.2445
150000,1,763,7.04,0.07,0.00,0.00,6.97,0.00,1.02,0.000,0.062,374984.8,3427.9,1,77,2.48,1.02,1.02,0.3909,6.50,32738.4,0.0363,36.5761,5461,18.3559
150000,2,747,7.19,0.17,0.00,0.07,6.95,0.00,1.05,0.000,0.061,374753.4,3343.5,1,84,2.45,1.04,1.05,0.3799,5.30,2888.2,0.0709,36.5620,5461,27.2009
