step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land
1000,11843,8131,136723,800160,764642,651285,12152,58271,3395,0,342733,5467047,182628.325,76669.558,0.3263,69678.907,0.236,0.300,0.243,0.221,0.640,0.319,1285,0.0341,0.6882,0.099,7.3,42.8,88.1,40.61,4.09,5.05,2.22,29.25,7.50,1.096,0.146,0.056,0.061,20.876,0.619,0.0024,133,444,1807,23694,73,0,0.000,6208,3937,3096,4810,705,4298,6840,0.00,0.77,11800,33.4017,66429,9860,539668,3161.6,-0.0,452414,57.235,2631002.543,3.20e-14,0.00093,30.00,234233,122.641,2.265,119.195,1.182,122.642,9498,609,1736,0.3409,0.858,1.071,1.376,1.093,0.920,1.174,37105.111,12344.791,179021.541,37660.589,35625.102,5642.923,791.336,556.392,0.682,0.571,0.561,0.867,0.726,0.669,7318,58064,0.7000,0.6195,0.5666,0.9998,0.0512,0.0543,0.5644,0.7206,0.8280,0.1126,0.0750,0.0318,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17395,0.9998,0.7169,0.7520,0.9991,0.0512,0.0543,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0570,5.1028,4.9915,0.1111,0.1761,0.1538,0.329,0.361,0.308,0.371,11731,0.1744,0.0093,0.0116,0.00232,0.00166,0.00149,23.79,28.01,28.07,625.9881,0.0293,72.4949,35.3862,21.8490,1082277,1531584,0.5912,0.0056,16727.5,625.9881,21.62
2000,11856,3907,54216,129561,120423,74419,926,19287,1736,0,215830,2680539,40360.647,18309.802,0.3292,13868.968,0.167,0.529,0.144,0.160,0.610,0.308,713,0.0372,0.6542,0.086,15.6,40.0,75.9,37.77,3.48,6.85,1.08,26.36,7.28,1.100,0.165,0.212,0.225,11.985,0.372,0.0025,118,949,1000,14716,60,0,0.000,6040,1564,3821,6471,537,1389,9930,0.00,3.62,12614,14.0157,66438,9965,498558,3322.8,-0.0,499961,20.251,2631002.543,1.19e-14,0.00068,25.34,40024,30.795,2.053,28.100,0.642,30.795,4876,2205,4775,0.3103,0.904,1.059,1.384,1.126,0.927,1.154,15025.963,12425.065,17614.599,14947.274,21667.741,3173.927,686.344,580.563,0.631,0.566,0.613,0.592,0.573,0.572,13005,21094,0.6781,0.5627,0.6605,0.9998,0.0545,0.0564,0.5447,0.8153,0.8637,0.1693,0.0340,0.0255,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,9013,0.9990,0.5667,0.6575,0.9983,0.0545,0.0564,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3294,4.5947,4.8302,0.0653,0.1069,0.0895,0.166,0.195,0.195,0.166,3073,0.1059,0.0021,0.0023,0.00252,0.00100,0.00073,27.35,26.10,26.21,5668.5895,0.0406,36.8980,12.6219,7.6290,1091793,1527928,1.0616,0.0479,25838.4,5668.5895,26.00
3000,12344,5472,52823,141828,131457,88224,781,16897,1976,0,268054,3796595,48471.668,17737.110,0.2717,13184.542,0.117,0.648,0.119,0.116,0.665,0.246,952,0.0506,0.6517,0.073,18.9,41.3,69.7,36.77,4.33,9.68,0.88,21.88,7.04,1.104,0.229,0.359,0.380,18.718,0.342,0.0021,107,433,1126,15024,137,0,0.000,7289,55,2205,10084,279,1732,10333,0.25,5.21,13499,15.4415,66276,13130,466827,2782.3,-0.0,531207,16.494,2631002.543,1.96e-14,0.00103,14.43,43982,34.578,2.223,31.796,0.559,34.579,6035,2114,4195,0.3035,0.918,1.059,1.376,1.130,0.942,1.149,11698.161,12547.051,30203.864,11661.903,19790.443,1918.612,977.357,1656.599,0.787,0.497,0.595,0.756,0.507,0.532,16420,24995,0.7737,0.5709,0.4993,0.9996,0.0482,0.0552,0.5530,0.8250,0.9108,0.1817,0.0678,0.0355,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,6933,0.9990,0.7042,0.7269,0.9971,0.0482,0.0552,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2940,4.6306,4.6581,0.0926,0.0830,0.0706,0.132,0.129,0.123,0.142,1534,0.0856,0.0054,0.0029,0.00226,0.00087,0.00074,22.21,26.12,27.00,16144.0910,0.0504,31.7796,7.3848,9.1093,1086995,1526973,1.3760,0.0946,24180.4,16144.0910,22.38
4000,12310,5990,58044,152429,140732,93602,783,15815,2054,6,286582,4508282,55821.198,20169.297,0.2849,15065.522,0.093,0.706,0.111,0.090,0.671,0.237,1258,0.0617,0.6412,0.064,20.3,41.8,69.2,37.24,4.36,10.22,0.76,21.90,7.04,1.102,0.237,0.386,0.409,26.537,0.365,0.0018,91,415,2081,15652,250,0,0.000,7490,77,1988,10245,203,1816,10291,0.50,5.69,14562,16.3761,66170,11635,436229,2619.2,-0.0,556037,17.133,2631002.543,4.07e-15,0.00039,37.93,48948,39.422,2.192,36.696,0.534,39.423,6076,2422,3812,0.3223,0.913,1.048,1.376,1.119,0.947,1.171,15761.301,16001.509,30515.461,15610.131,24761.128,2241.767,1242.345,1619.664,0.822,0.525,0.574,0.738,0.497,0.585,15049,32849,0.7654,0.4279,0.4619,0.9993,0.0457,0.0656,0.5523,0.8912,0.8908,0.1896,0.0396,0.0350,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,6169,0.9993,0.7736,0.7919,0.9976,0.0457,0.0656,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2042,4.4827,4.5656,0.1262,0.0770,0.0669,0.122,0.123,0.149,0.095,1185,0.0590,0.0045,0.0038,0.00220,0.00100,0.00090,27.74,27.03,27.05,15723.8314,0.0549,40.7667,7.5253,9.6076,1082671,1525422,1.3944,0.1084,23267.9,15723.8314,25.42
5000,13278,6281,50537,124815,115263,73862,416,13352,1591,19,245910,4340052,48327.528,16797.588,0.2954,12258.137,0.103,0.717,0.101,0.080,0.702,0.214,1106,0.0487,0.6295,0.064,20.4,41.3,74.0,38.91,4.25,9.34,1.24,24.08,7.13,1.083,0.214,0.385,0.415,31.755,0.366,0.0017,90,409,4155,13717,520,22,0.056,8201,171,2078,11029,281,2038,10959,0.75,5.17,17583,18.4312,65896,13446,412616,3059.5,-0.0,576367,15.607,2631002.543,6.73e-15,0.00121,12.68,39275,35.900,2.302,32.888,0.710,35.900,6534,2943,3801,0.3482,0.889,1.049,1.323,1.130,0.914,1.134,14247.689,12747.518,26974.202,14175.340,19436.124,1899.572,1139.846,1500.033,0.836,0.576,0.588,0.701,0.505,0.560,18837,28388,0.7303,0.3225,0.3713,0.9990,0.0415,0.0730,0.5801,0.7821,0.8782,0.1793,0.0349,0.0358,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,5401,0.9996,0.6697,0.7407,0.9984,0.0415,0.0732,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3056,4.5765,4.5854,0.1497,0.1057,0.0957,0.180,0.198,0.184,0.169,818,0.0425,0.0044,0.0027,0.00239,0.00090,0.00082,26.27,27.81,27.72,14091.9886,0.0507,34.0178,7.3325,8.2747,1078971,1522990,0.9135,0.0794,23654.7,14091.9886,23.03
6000,14475,7293,60241,150511,138201,89678,592,14759,2060,34,334511,4865584,54470.745,21855.385,0.3101,15372.876,0.114,0.706,0.110,0.070,0.702,0.212,1592,0.0504,0.6332,0.064,19.8,41.8,77.9,37.34,4.47,9.45,0.85,22.56,6.91,1.132,0.223,0.372,0.412,33.261,0.377,0.0016,84,379,8880,13825,1463,27,0.763,9203,258,2258,11959,1361,2445,10669,0.50,4.96,14147,19.4012,65605,14629,387709,3587.2,-0.0,605165,18.087,2631002.543,2.92e-14,0.00002,23.20,47778,39.978,2.247,37.015,0.716,39.979,8444,2104,3927,0.2809,0.948,1.093,1.397,1.148,0.960,1.190,13058.489,13199.483,36666.310,12947.063,20230.247,3315.195,1034.783,2132.531,0.813,0.559,0.586,0.703,0.483,0.540,22948,35978,0.6306,0.3753,0.3961,0.9992,0.0446,0.0687,0.5847,0.8787,0.8996,0.1681,0.0404,0.0330,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,5114,0.9992,0.7531,0.7626,0.9983,0.0446,0.0690,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2800,4.6219,4.6772,0.1577,0.0838,0.0711,0.151,0.121,0.156,0.117,1099,0.0538,0.0043,0.0025,0.00231,0.00092,0.00088,23.53,26.81,26.60,13527.4820,0.0615,33.6013,9.9402,8.1469,1075772,1522252,0.4166,0.0244,23989.7,13527.4820,19.40
7000,14591,6777,59377,162148,150574,101517,1254,16395,1615,81,246899,4937580,58656.610,24090.647,0.3886,18094.407,0.118,0.693,0.109,0.080,0.693,0.231,1284,0.0454,0.6300,0.070,17.7,41.8,81.6,39.02,4.54,7.55,0.90,26.04,7.40,1.123,0.177,0.366,0.418,31.019,0.338,0.0017,97,480,14837,12182,3583,28,0.641,8912,746,1381,12464,849,2368,11374,0.50,5.28,12667,17.6233,65357,11656,358099,5924.1,-0.0,640092,19.616,2631002.543,1.15e-14,0.00022,24.47,51756,34.784,1.881,32.172,0.732,34.785,7840,2255,4496,0.2848,0.908,1.089,1.393,1.138,0.938,1.191,15513.234,16009.202,37257.206,15318.655,24175.156,3335.418,760.474,1900.348,0.806,0.527,0.587,0.746,0.525,0.565,23021,32782,0.6491,0.2271,0.2578,0.9994,0.0503,0.0660,0.5807,0.8053,0.8412,0.1907,0.0271,0.0220,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,7225,0.9988,0.7707,0.6716,0.9974,0.0503,0.0661,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2581,4.5176,4.6380,0.1550,0.0816,0.0639,0.108,0.129,0.111,0.140,1163,0.0489,0.0045,0.0035,0.00235,0.00094,0.00076,27.52,27.85,27.85,14808.4980,0.0601,40.1285,10.9757,8.6408,1078945,1520593,0.2803,0.0102,22791.8,14808.4980,21.78
8000,11929,5421,55220,138182,126957,82144,818,13045,1659,203,259173,4439440,45834.597,22483.504,0.3762,16388.935,0.096,0.747,0.102,0.054,0.668,0.253,1346,0.0534,0.6404,0.055,18.0,41.8,76.3,35.66,5.45,7.98,0.66,21.57,6.96,1.152,0.189,0.406,0.462,28.636,0.336,0.0016,82,476,14665,13086,4559,29,0.514,7534,691,1135,10103,1006,1931,8992,0.75,5.04,13484,16.7029,65033,14254,335300,3486.7,-0.0,671319,16.474,2631002.543,6.55e-15,0.00001,7.77,44557,31.894,1.978,29.374,0.542,31.895,7148,1401,3380,0.2300,0.952,1.101,1.475,1.158,0.959,1.219,10362.521,12090.066,33149.895,10276.683,18796.953,3818.631,1027.621,1248.317,0.787,0.493,0.565,0.728,0.437,0.515,23955,38204,0.6596,0.2312,0.2717,0.9998,0.0526,0.0725,0.5713,0.9000,0.9459,0.2167,0.0409,0.0345,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,3729,0.9992,0.8160,0.8461,0.9981,0.0526,0.0725,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3328,4.6458,4.5478,0.1422,0.0814,0.0635,0.099,0.113,0.109,0.079,1042,0.0589,0.0050,0.0043,0.00232,0.00087,0.00077,24.13,26.68,27.16,14170.0718,0.0553,29.4179,9.7306,6.7435,1086283,1520816,0.5706,0.0905,22563.7,14170.0718,16.84
9000,10853,5409,50692,124569,115735,73153,724,11841,1102,190,175134,3943477,43723.901,18240.112,0.3831,14046.405,0.112,0.710,0.118,0.061,0.687,0.243,642,0.0448,0.6368,0.055,18.4,41.4,72.3,34.83,5.60,8.14,0.82,20.27,6.87,1.134,0.195,0.468,0.523,28.447,0.363,0.0016,79,419,10620,9683,3288,28,0.589,7145,74,1660,9119,251,2317,8285,0.75,4.77,17680,19.0309,64847,16630,321899,3464.9,0.0,689287,15.154,2631002.543,2.83e-15,0.00099,30.68,40219,25.623,1.843,23.249,0.531,25.623,6984,1467,2402,0.2756,0.924,1.089,1.464,1.155,0.939,1.194,9541.762,12925.672,28943.295,9481.928,19345.083,2677.383,585.333,930.990,0.803,0.522,0.542,0.721,0.404,0.539,28679,34520,0.7160,0.1522,0.2381,0.9998,0.0434,0.0730,0.5982,0.9702,0.8541,0.2191,0.0565,0.0372,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2934,0.9992,0.8474,0.7865,0.9973,0.0434,0.0730,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3587,4.5122,4.5236,0.1417,0.0928,0.0784,0.137,0.146,0.157,0.097,1181,0.0838,0.0028,0.0045,0.00218,0.00093,0.00090,24.79,27.61,27.10,14099.5215,0.0446,29.1778,9.0626,6.0916,1089312,1520213,1.1533,0.1638,22543.0,14099.5215,18.95
10000,11460,5874,49406,123557,114427,73575,576,10975,1025,144,176785,4166127,45151.887,16397.290,0.3785,12214.695,0.113,0.748,0.076,0.063,0.705,0.230,555,0.0399,0.6377,0.057,19.9,41.2,70.2,34.78,5.08,8.06,0.86,20.78,6.85,1.150,0.191,0.456,0.508,28.135,0.385,0.0015,73,400,9055,10070,2895,30,0.658,7495,81,1813,9566,383,1970,9107,1.00,4.88,21521,21.9044,64709,17146,312255,4014.8,-0.0,703018,14.031,2631002.543,9.73e-15,0.00703,11.37,40557,25.885,1.890,23.451,0.544,25.919,6987,1722,2751,0.2373,0.957,1.101,1.464,1.190,0.956,1.172,10061.296,11626.982,30973.969,10031.319,16361.294,2665.423,591.254,925.919,0.814,0.529,0.548,0.716,0.467,0.510,35375,33071,0.7357,0.2088,0.2366,0.9998,0.0467,0.0794,0.6028,0.9949,0.8708,0.2141,0.0382,0.0376,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,2514,0.9993,0.8422,0.7620,0.9979,0.0467,0.0794,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3986,4.7041,4.5412,0.1386,0.1021,0.0773,0.103,0.173,0.173,0.056,1070,0.0762,0.0029,0.0035,0.00227,0.00075,0.00073,27.06,27.68,27.72,15166.9080,0.0402,26.7446,8.4939,5.5373,1089690,1518901,1.5433,0.1699,21692.6,15166.9080,19.36
