step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat
10000,1459,0.797,0.795,8.61,30233,22643,3604,428,3519,66271,1000705.7,334990.4,0.329,0.338,0.155,0.178,88,44.61,30.54,2.83,7.09,4.47,9.38,2.34,6.19,28.39,20.62,0.24,1.07,0.083,0.167,768,0.137,0.060,0.930,0.000,0.010,180102,171283,24,0.247,0.169,0.202,4802449,0.275,2.968,0.063,6.11,55161,545,5.055,0.411,0.168,7953300,1.64,5.82,0.278,0.273,0.060,8.3,37.2,89.9,163.6,55484,0.212,0.00,0.0024,0.067,226,0.959,0.000,0.676,0.833,5.27,6.81,6.36,0.36,0.098,1.75,1.51,1.67,0.961,0.00069,1.93,62.9114,1677.94,95028.7,140064.9,77.704,103.4331,150.861,656.031,0.982,0.303,55.8,68.504,234.250,1093,5213.2,80.76,24.258,156.326,5606.9,84.376,0.134,2.00,20.2116,29488.7,0.6705,0.4214,38.03,1.082,0.210,1.4775,0.0000,0.507,0.145,0.602,0.0000,8.00,0.00,8,37,64,64,64.8627,2.6371,0.7300
20000,2032,0.885,0.436,10.93,24490,19926,1023,1294,1674,164616,431612.8,149429.4,0.111,0.594,0.229,0.066,192,27.85,22.22,4.27,8.19,4.02,9.56,0.33,2.34,14.00,10.62,0.79,1.85,0.076,0.173,1217,0.018,0.106,0.873,0.000,0.022,57990,51000,3,0.794,0.009,0.073,1884203,0.183,2.307,0.032,13.22,21474,684,0.908,0.159,0.260,5000313,2.15,9.55,0.030,0.424,0.172,5.2,20.9,62.1,117.1,45961,0.175,0.00,0.0015,0.105,350,0.659,0.000,0.757,0.595,4.46,5.26,6.28,0.81,0.174,2.33,1.56,2.43,0.666,0.00175,2.50,15.9266,1997.51,104232.6,140064.9,19.665,28.1924,76.911,310.372,0.924,0.347,49.8,36.180,72.333,280,1152.6,53.91,6.122,50.227,3528.7,29.731,0.134,2.00,12.6510,25706.7,0.9184,0.3976,22.62,1.073,0.120,0.5225,0.0000,0.392,0.133,0.222,0.0000,8.00,0.00,5,18,49,64,32.0975,0.5222,0.5704
30000,3082,0.681,0.468,9.76,100673,71895,2194,9434,16100,345287,984738.4,527201.6,0.078,0.543,0.330,0.049,131,20.59,23.67,3.43,7.78,3.46,8.16,0.15,1.21,8.24,7.94,0.58,1.57,0.107,0.174,1546,0.034,0.079,0.883,0.004,0.034,288197,263098,14,0.443,0.348,0.031,1351851,0.090,2.332,0.037,9.86,100937,575,1.527,0.229,0.278,17729788,1.96,14.95,0.031,0.503,0.137,3.2,10.1,61.5,123.1,47039,0.179,0.00,0.0039,0.095,551,0.830,0.000,0.916,0.653,3.29,4.36,4.42,0.60,0.142,2.10,1.42,2.24,0.836,0.00117,3.46,59.0580,1359.69,100660.4,140064.9,78.170,87.2084,162.157,694.336,0.977,0.330,65.6,72.874,230.409,394,1683.9,53.13,6.601,150.575,4346.1,91.331,0.134,2.00,9.1829,28301.7,1.2692,0.6380,15.26,1.188,0.168,1.4775,0.0000,0.350,0.129,0.175,0.0000,8.00,0.00,3,8,42,64,61.9853,7.2953,0.6019
40000,2209,0.741,0.458,9.13,38569,30398,1271,3652,4121,201286,451122.7,176044.6,0.053,0.627,0.285,0.035,202,25.48,23.38,3.58,8.51,4.94,9.65,0.37,2.27,11.01,8.84,0.50,1.44,0.103,0.187,1217,0.070,0.094,0.880,0.001,0.026,72943,62588,5,0.593,0.101,0.062,915266,0.117,2.328,0.035,15.19,25534,732,0.875,0.164,0.281,8114510,2.03,11.18,0.031,0.498,0.129,4.2,16.4,63.7,133.7,43952,0.168,0.00,0.0019,0.093,378,0.668,0.000,0.846,0.491,3.96,4.39,6.28,0.54,0.134,2.17,1.44,2.35,0.674,0.00182,3.63,13.7283,1564.26,104752.7,140064.9,19.094,23.6478,84.762,303.069,0.950,0.346,45.4,39.652,68.905,336,1340.0,48.94,4.445,47.703,4289.2,30.264,0.137,1.99,11.3164,24997.9,1.0589,0.5029,19.90,1.113,0.168,0.5225,0.0000,0.308,0.148,0.142,0.0000,8.00,0.00,4,16,45,64,34.3690,1.2512,0.5944
50000,3667,0.659,0.452,12.61,150152,105411,1033,20150,22100,593104,936888.8,667645.1,0.070,0.635,0.259,0.035,123,14.08,14.12,0.65,3.70,2.42,3.88,0.03,0.57,5.62,7.30,0.03,0.37,0.164,0.181,1543,0.080,0.076,0.888,0.004,0.033,299375,264977,7,0.657,0.064,0.006,1270128,0.136,2.118,0.035,9.20,103301,505,1.126,0.202,0.365,23291370,1.22,18.59,0.002,0.557,0.010,3.3,11.6,30.8,171.5,31969,0.122,0.00,0.0045,0.118,644,0.793,0.000,0.913,0.502,2.42,3.71,3.32,0.04,0.013,1.20,1.21,1.27,0.806,0.00142,2.57,50.0407,1344.40,106404.2,140064.9,78.321,85.6639,179.846,727.114,0.985,0.341,75.1,75.674,234.097,409,1467.0,42.18,8.050,151.970,4255.4,89.822,0.135,2.00,6.2001,22735.8,1.2823,0.7072,8.72,1.639,0.415,1.4775,0.0000,0.264,0.057,0.013,0.0000,8.00,0.00,2,6,19,64,64.2618,6.1934,0.5612
60000,2274,0.850,0.360,9.79,50223,39392,763,6085,5376,275365,464137.1,226743.4,0.051,0.674,0.255,0.020,201,26.00,23.86,2.23,6.08,4.28,8.77,0.11,1.44,12.35,11.28,0.50,1.54,0.086,0.162,1174,0.045,0.113,0.858,0.000,0.029,87115,74773,4,0.582,0.029,0.014,510782,0.097,2.109,0.026,15.53,31336,594,0.823,0.155,0.286,8765284,1.62,11.14,0.024,0.474,0.113,4.1,17.3,64.8,125.7,43144,0.165,0.00,0.0017,0.101,397,0.640,0.000,0.832,0.442,3.93,4.42,6.20,0.52,0.119,1.70,1.30,1.82,0.649,0.00217,3.22,14.1493,1548.38,106204.1,140064.9,21.152,20.4673,89.379,329.771,0.972,0.352,52.5,40.751,70.649,288,1223.4,55.17,5.262,45.707,2844.7,31.195,0.135,2.00,10.9020,24791.2,0.9960,0.5228,18.97,1.211,0.334,0.5225,0.0000,0.290,0.114,0.127,0.0000,8.00,0.00,4,15,43,64,34.6905,1.1332,0.5655
70000,3489,0.675,0.438,13.85,160502,114586,1283,17773,25645,522785,1043129.3,677104.1,0.074,0.610,0.288,0.028,120,18.06,20.47,1.88,5.79,2.31,5.73,0.04,0.61,7.98,7.91,0.36,1.28,0.083,0.143,1768,0.020,0.068,0.895,0.003,0.035,340850,296511,7,0.352,0.154,0.007,269304,0.182,2.464,0.031,10.93,130900,501,1.295,0.222,0.325,22670379,1.56,16.16,0.005,0.526,0.090,3.3,11.8,46.0,155.9,42584,0.162,0.00,0.0037,0.093,606,0.776,0.000,0.899,0.533,2.99,4.21,4.08,0.38,0.094,1.63,1.27,1.75,0.787,0.00148,3.36,57.7391,2094.21,98646.4,140064.9,77.236,78.5749,189.513,776.114,0.987,0.320,75.4,82.139,231.692,365,1477.3,82.31,7.247,150.539,3294.8,96.968,0.135,2.00,8.7575,30554.9,1.3581,0.7008,12.21,1.426,0.443,1.4775,0.0000,0.431,0.207,0.394,0.0000,8.00,0.00,3,7,30,64,68.7377,8.2415,0.5884
80000,2225,0.734,0.399,8.31,43241,34144,1282,4032,5047,196587,459191.0,186414.3,0.055,0.650,0.272,0.022,206,25.89,26.46,3.41,7.38,4.66,10.15,0.27,2.83,11.96,10.19,0.80,1.85,0.074,0.158,1018,0.077,0.099,0.877,0.000,0.024,78512,66561,5,0.739,0.005,0.022,244488,0.162,2.211,0.029,16.12,28959,697,0.948,0.142,0.266,8611181,1.88,10.99,0.021,0.403,0.185,3.9,14.0,71.8,139.4,45171,0.172,0.00,0.0017,0.100,361,0.652,0.000,0.821,0.467,4.08,4.10,6.68,0.85,0.187,2.10,1.34,2.09,0.659,0.00185,4.12,14.1083,1274.72,105784.2,140064.9,20.613,20.7448,87.367,317.022,0.930,0.351,46.4,40.851,67.746,302,1322.2,50.83,4.037,44.764,3640.9,30.185,0.134,2.00,11.1931,24904.7,1.0298,0.5432,20.30,1.041,0.104,0.5225,0.0000,0.302,0.130,0.101,0.0000,8.00,0.00,4,14,52,64,35.5326,1.1999,0.6144
90000,2796,0.628,0.407,8.05,96458,64348,2089,9982,19468,334238,965350.7,531121.2,0.052,0.528,0.384,0.036,137,24.19,27.40,3.40,7.60,4.91,11.26,0.19,1.52,10.51,9.77,0.76,1.84,0.077,0.169,1248,0.027,0.085,0.894,0.001,0.020,295906,275346,4,0.701,0.085,0.033,911324,0.204,2.159,0.031,9.53,92470,623,1.589,0.207,0.280,16760298,1.93,12.69,0.029,0.420,0.166,3.1,12.0,74.2,125.9,53180,0.203,0.00,0.0033,0.086,444,0.829,0.000,0.901,0.676,3.79,3.99,5.94,0.81,0.170,2.10,1.34,2.23,0.834,0.00127,3.48,59.2979,1237.79,100158.2,140064.9,80.206,87.3606,154.022,682.416,0.973,0.330,63.8,70.461,230.559,282,1187.2,37.14,5.388,148.854,3983.1,89.529,0.135,2.00,10.7516,30061.4,1.1822,0.6660,19.02,1.018,0.125,1.4775,0.0000,0.310,0.112,0.058,0.0000,8.00,0.00,3,12,51,64,57.2676,9.6422,0.6313
100000,2281,0.694,0.374,8.05,38778,29170,1314,4480,4329,217813,446992.5,188327.6,0.054,0.650,0.273,0.022,208,26.05,27.94,4.08,7.98,5.26,11.35,0.19,1.84,10.89,8.82,0.95,2.01,0.073,0.152,1014,0.119,0.107,0.869,0.000,0.023,74661,64713,7,0.344,0.128,0.025,751406,0.163,2.142,0.029,16.58,24389,781,0.865,0.114,0.318,7913243,2.13,11.27,0.039,0.439,0.207,3.7,12.5,76.9,121.4,46559,0.178,0.00,0.0018,0.089,443,0.637,0.000,0.823,0.500,4.01,3.89,6.79,1.00,0.210,2.33,1.35,2.53,0.643,0.00199,4.49,13.8242,1241.01,108994.4,140064.9,19.926,22.4333,84.136,290.229,0.948,0.362,47.2,39.651,66.535,250,1095.8,79.60,3.413,44.618,3497.4,28.467,0.135,1.99,9.6997,22124.9,0.9958,0.5175,20.41,1.007,0.107,0.5225,0.0000,0.315,0.111,0.101,0.0000,8.00,0.00,4,14,53,64,33.1520,1.9565,0.5975
