step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat
10000,2715,2.396,0.818,22.81,282078,233396,22,41672,5734,2820837,1213924.5,2481367.2,0.127,0.709,0.069,0.095,54,27.56,13.94,0.19,1.42,3.09,4.66,0.10,1.01,13.27,8.02,0.01,0.10,0.091,0.133,1045,0.177,0.024,0.961,0.000,0.015,609091,443051,8,0.264,0.399,0.030,1851521,0.158,2.991,0.064,23.63,256711,132,0.880,0.354,0.693,19954014,1.07,4.59,0.512,0.272,0.003,8.0,32.0,50.0,128.0,45219,0.172,0.00,0.0034,0.078,468,0.715,0.000,0.764,0.549,3.37,4.20,4.26,0.01,0.007,1.05,1.08,1.07,0.756,0.00861,2.21,254.2925,7861.65,88763.6,140234.7,71.143,154.2106,244.658,550.513,0.985,0.295,17.3,23.378,235.971,838,3156.9,119.79,38.254,145.080,1965.2,94.165,0.135,2.00,11.0701,30055.3,0.9381,0.4386,16.66,1.634,0.516,1.4775,0.0000,0.331,0.278,0.363,0.0000,5.36,1.72,7,16,25,75,0.0000,0.0000,0.0000
20000,3923,1.971,0.686,7.58,146592,137879,4,4735,2766,322969,480684.8,921484.8,0.029,0.725,0.018,0.228,131,18.05,14.55,0.10,1.02,3.15,7.51,0.12,1.24,11.78,6.60,0.00,0.00,0.088,0.194,1341,0.026,0.035,0.932,0.001,0.032,170221,127771,2,0.881,0.117,0.021,690397,0.137,2.059,0.050,16.19,73464,117,2.853,0.383,0.820,9347912,1.03,10.59,0.002,0.203,0.000,6.2,13.4,43.9,125.1,59386,0.227,0.00,0.0010,0.042,357,0.650,0.000,0.769,0.228,3.49,3.31,6.51,0.01,0.002,1.02,1.03,1.04,0.659,0.00254,1.24,117.1601,8824.32,91153.3,140234.7,26.612,48.0397,119.511,202.536,0.879,0.305,15.2,9.956,80.555,293,627.4,50.02,12.325,41.564,1234.1,32.914,0.135,2.00,7.3121,28685.5,0.8001,0.4484,15.14,1.131,0.184,0.5225,0.0000,0.463,0.074,0.303,0.0000,7.50,0.86,6,12,32,81,0.0000,0.0000,0.0000
30000,3323,1.949,0.664,12.34,296783,232084,1,59038,6260,2788907,1042953.4,2333584.0,0.034,0.747,0.029,0.190,74,18.92,14.22,0.43,1.84,2.37,5.21,0.05,0.50,9.90,7.00,0.08,0.46,0.073,0.144,1585,0.022,0.029,0.943,0.000,0.029,561496,421262,4,0.554,0.190,0.018,1376896,0.117,2.255,0.045,23.85,238836,130,0.837,0.348,0.698,19014587,1.17,8.12,0.166,0.395,0.030,5.1,15.2,36.0,128.0,42353,0.162,0.00,0.0032,0.060,531,0.664,0.000,0.782,0.491,2.90,3.41,4.58,0.08,0.033,1.16,1.17,1.19,0.706,0.00799,3.39,208.4314,7346.87,99747.3,140234.7,85.332,127.6491,218.637,348.459,0.973,0.323,20.0,26.554,233.236,416,1014.8,44.63,17.602,129.495,2014.8,85.558,0.134,2.00,6.5763,21853.1,0.9969,0.4595,12.75,1.379,0.437,1.4775,0.0000,0.512,0.130,0.654,0.0000,5.98,1.30,4,12,23,64,0.0000,0.0000,0.0000
40000,2466,2.252,0.723,8.01,181527,167576,0,11558,3250,634395,498013.0,1121951.4,0.016,0.679,0.016,0.288,141,26.11,22.36,0.74,2.89,6.11,8.96,0.04,0.63,10.38,8.18,0.10,0.59,0.148,0.197,1401,0.066,0.030,0.951,0.000,0.019,214977,163816,2,0.768,0.216,0.007,324216,0.152,2.026,0.055,16.57,82529,138,1.769,0.323,0.719,9432310,1.23,6.73,0.099,0.494,0.034,5.1,16.3,60.7,123.3,42575,0.162,0.00,0.0019,0.067,446,0.591,0.000,0.755,0.240,3.46,4.02,5.36,0.15,0.045,1.20,1.22,1.26,0.607,0.00465,1.57,123.9301,6788.18,109282.7,140234.7,24.781,48.7454,130.519,197.712,0.977,0.345,26.4,11.470,80.052,602,1818.1,32.84,10.752,42.690,2701.6,34.747,0.135,2.00,4.9602,12231.8,0.6538,0.4684,17.26,1.346,0.281,0.5225,0.0000,0.585,0.062,0.916,0.0000,6.30,0.69,4,13,36,72,0.0000,0.0000,0.0000
50000,2524,2.129,0.624,14.86,296931,232728,1,57928,6216,2391556,1019723.4,2258629.0,0.047,0.686,0.037,0.229,73,23.47,16.02,0.33,1.68,3.64,6.18,0.07,0.85,10.86,7.79,0.00,0.09,0.099,0.153,1156,0.028,0.029,0.959,0.000,0.011,578119,434223,2,0.487,0.249,0.024,807144,0.122,1.962,0.047,22.07,244323,140,0.944,0.343,0.651,18013199,1.12,6.57,0.245,0.377,0.001,6.0,20.0,50.0,200.0,37597,0.143,0.00,0.0037,0.074,465,0.650,0.000,0.813,0.504,3.20,3.65,4.73,0.01,0.007,1.08,1.14,1.15,0.689,0.00959,3.35,200.3136,5640.54,103094.1,140234.7,87.211,126.6724,211.133,332.108,0.965,0.335,22.0,24.214,233.040,541,1642.5,32.27,15.458,129.438,2457.8,85.085,0.135,2.00,8.0556,20332.4,0.9563,0.5304,14.90,1.488,0.426,1.4775,0.0000,0.755,0.181,0.948,0.0000,5.80,1.26,5,15,25,100,0.0000,0.0000,0.0000
60000,4230,1.790,0.479,7.33,160100,148183,0,6688,3523,406674,501929.7,955982.1,0.024,0.661,0.016,0.299,145,16.01,7.23,0.10,0.95,0.21,1.42,0.15,0.88,13.35,5.74,0.00,0.02,0.009,0.064,885,0.087,0.036,0.944,0.000,0.020,177082,133869,3,0.308,0.392,0.057,811397,0.147,1.656,0.037,17.10,74935,118,2.351,0.376,0.812,7561730,1.03,8.83,0.004,0.026,0.000,8.8,14.8,23.6,92.0,58426,0.223,0.00,0.0009,0.033,381,0.549,0.000,0.697,0.203,3.27,2.94,6.18,0.00,0.001,1.02,1.04,1.04,0.562,0.00289,1.53,114.6228,6487.91,87334.3,140234.7,25.386,44.8940,123.191,211.726,0.890,0.294,7.3,12.225,80.166,167,336.7,30.74,12.003,41.593,658.9,34.240,0.135,2.00,8.5402,36125.2,0.8383,0.4497,13.81,1.155,0.121,0.5225,0.0000,0.607,0.058,0.957,0.0000,6.73,0.63,8,13,20,64,0.0000,0.0000,0.0000
70000,3214,1.917,0.753,13.33,380520,312353,1,57085,12097,1931247,1016838.5,2591655.8,0.055,0.659,0.020,0.265,67,18.57,12.47,0.40,1.71,2.61,5.08,0.07,0.71,9.30,6.95,0.00,0.06,0.091,0.161,1650,0.030,0.035,0.946,0.000,0.020,698327,560269,11,0.217,0.434,0.021,1254319,0.147,2.853,0.050,18.86,265911,120,1.342,0.423,0.717,25973550,1.16,7.84,0.146,0.436,0.002,4.9,16.0,32.0,127.9,39763,0.152,0.00,0.0034,0.063,529,0.740,0.000,0.851,0.470,2.82,3.27,4.57,0.02,0.010,1.09,1.19,1.19,0.766,0.00559,4.12,277.8043,8430.25,101140.3,140234.7,93.926,127.4281,262.386,296.203,0.972,0.328,19.2,17.979,230.964,376,948.6,94.78,11.343,125.167,2513.8,89.423,0.135,2.00,6.0320,19387.0,0.9819,0.5263,12.37,1.425,0.407,1.4775,0.0000,0.582,0.141,0.760,0.0000,5.83,1.25,4,12,20,64,0.0000,0.0000,0.0000
80000,2335,2.289,0.588,7.35,167856,152002,1,12542,4190,622232,503026.7,1066265.1,0.032,0.670,0.011,0.286,142,26.36,24.62,0.42,2.36,5.11,12.44,0.30,1.60,12.73,9.13,0.02,0.24,0.083,0.173,953,0.152,0.036,0.944,0.000,0.019,193757,144205,1,0.977,0.023,0.053,640693,0.130,1.881,0.044,17.12,78390,129,1.714,0.348,0.618,7755231,1.15,7.56,0.094,0.362,0.006,7.3,16.4,63.6,319.6,43323,0.165,0.00,0.0017,0.050,508,0.538,0.000,0.642,0.239,3.54,3.57,5.74,0.07,0.018,1.09,1.16,1.20,0.555,0.00555,1.61,116.4735,5769.09,111124.8,140234.7,24.390,47.6609,125.136,211.172,0.984,0.351,28.1,12.950,80.247,421,1185.1,31.96,11.525,42.493,2227.6,34.335,0.135,2.00,5.5098,12865.4,0.6376,0.4745,18.55,1.317,0.225,0.5225,0.0000,0.623,0.057,0.970,0.0000,6.52,0.65,6,13,41,169,0.0000,0.0000,0.0000
90000,2484,2.360,0.657,14.88,239138,191170,3,43312,4504,1986276,994893.6,2019767.6,0.048,0.755,0.018,0.179,79,27.36,19.55,0.21,1.55,4.06,6.11,0.05,0.70,12.44,8.02,0.01,0.12,0.098,0.137,1043,0.048,0.039,0.942,0.000,0.019,467279,352142,3,0.541,0.282,0.011,1053042,0.084,2.521,0.047,21.69,205197,148,1.017,0.324,0.687,15781072,1.07,5.69,0.290,0.346,0.004,7.3,22.0,50.0,189.0,41642,0.159,0.00,0.0032,0.067,445,0.636,0.000,0.684,0.511,3.38,3.74,5.01,0.05,0.017,1.06,1.08,1.08,0.670,0.00993,3.32,185.0622,6872.08,94206.7,140234.7,85.960,126.4298,191.993,334.527,0.970,0.314,21.0,24.663,233.362,420,1313.6,75.10,15.678,131.090,2149.1,81.577,0.135,2.00,11.2812,28022.5,1.0859,0.5223,16.76,1.536,0.408,1.4775,0.0000,0.775,0.164,0.997,0.0000,5.77,1.10,6,16,30,100,0.0000,0.0000,0.0000
100000,2520,2.361,0.563,6.93,151804,137890,26,10337,3515,585304,493840.9,1019812.8,0.030,0.648,0.012,0.310,150,27.08,19.08,0.50,2.52,3.41,6.49,0.06,0.61,15.65,9.41,0.02,0.27,0.080,0.148,1176,0.073,0.037,0.952,0.000,0.011,179568,142235,1,0.876,0.124,0.013,131592,0.188,1.847,0.043,16.48,65794,121,1.742,0.354,0.690,7071057,1.16,6.85,0.111,0.375,0.007,8.3,19.8,55.7,112.2,49437,0.189,0.00,0.0013,0.061,442,0.554,0.000,0.630,0.261,3.77,3.97,5.78,0.05,0.017,1.08,1.18,1.21,0.570,0.00479,1.43,115.6038,5953.70,106439.0,140234.7,25.624,47.7166,119.496,211.627,0.972,0.341,20.9,12.066,80.707,480,1431.2,44.79,11.523,42.082,1397.7,34.016,0.135,2.00,6.8411,17239.5,0.6751,0.4400,19.62,1.307,0.159,0.5225,0.0000,0.591,0.062,0.908,0.0000,6.55,0.64,6,16,36,64,0.0000,0.0000,0.0000
