step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
100000,0,718,26.29,0.32,4.68,0.38,10.66,0.07,1.13,0.038,0.131,194413.1,115806.2,16,91,3.15,1.16,1.14,9.9381,939.44,92302.8,0.0002,6.3971,5462,13.7527,69,20.2827,130861.9
100000,1,592,27.50,0.24,5.71,0.17,9.55,0.05,1.10,0.032,0.107,176048.8,99244.2,16,80,3.18,1.11,1.09,7.5260,528.54,9325.6,5.5939,8.1972,5461,13.7502,85,14.3585,94006.6
100000,2,382,27.57,0.21,6.42,0.29,9.08,0.23,1.05,0.094,0.070,123433.9,59845.8,16,107,3.12,1.09,1.02,1.1617,20.93,282.0,11.2730,11.5230,5461,13.7502,42,1.1183,7992.0
110000,0,835,33.26,0.33,7.11,0.06,9.22,0.13,1.13,0.065,0.160,456522.8,260875.3,24,80,3.14,1.17,1.09,42.2756,1950.64,80735.2,0.6735,1.2234,5462,16.4727,107,83.2575,446324.6
110000,1,509,31.14,0.18,6.54,0.44,10.08,0.09,1.06,0.049,0.100,253393.7,141258.8,18,80,3.32,1.07,1.04,17.3558,750.50,7841.8,34.1386,6.2984,5461,16.4697,134,34.5543,192271.9
110000,2,428,22.85,0.20,4.38,0.32,9.07,0.10,1.06,0.058,0.069,151291.9,74481.1,16,90,3.12,1.07,1.04,1.5993,76.67,268.9,52.0301,13.5172,5461,16.4697,20,2.3855,16862.6
120000,0,789,25.59,0.28,4.90,0.41,9.30,0.08,1.09,0.041,0.134,188692.7,107315.7,15,87,3.18,1.11,1.08,10.0507,915.73,93665.4,0.0000,5.6212,5462,13.2273,57,21.6273,132407.0
120000,1,680,24.58,0.21,5.02,0.36,8.44,0.14,1.07,0.074,0.110,164523.8,85894.8,15,97,3.06,1.09,1.04,5.9508,641.37,9708.1,5.7728,7.8814,5461,13.2249,60,13.9915,85491.9
120000,2,354,23.30,0.20,4.41,0.08,9.04,0.12,1.05,0.062,0.055,119429.1,54399.2,14,98,2.99,1.09,1.02,1.3123,113.27,257.7,12.0688,11.0223,5461,13.2249,43,1.2842,9104.2
130000,0,910,30.35,0.14,5.94,0.07,9.42,0.01,1.05,0.011,0.162,465736.9,283288.0,27,81,3.25,1.05,1.04,46.5193,2337.91,77880.0,0.5757,1.0097,5462,15.8605,45,84.4943,459471.7
130000,1,598,27.18,0.05,6.28,0.12,8.03,0.02,1.02,0.007,0.098,246990.6,145259.5,21,93,3.07,1.02,1.01,17.2834,832.74,7137.2,35.4611,5.8317,5461,15.8576,105,33.0728,190202.9
130000,2,375,24.17,0.09,5.07,0.58,8.90,0.01,1.03,0.005,0.063,144478.5,65281.8,15,91,3.18,1.02,1.02,1.4982,328.64,619.6,53.4427,12.8459,5461,15.8576,79,2.4170,16801.6
140000,0,779,26.11,0.18,4.90,0.23,9.99,0.00,1.08,0.001,0.136,190112.5,113796.0,15,74,3.25,1.07,1.07,10.5154,1023.83,90815.1,0.0000,5.7248,5462,12.7834,58,21.2158,133241.2
140000,1,705,26.41,0.17,5.84,0.28,8.65,0.01,1.05,0.004,0.121,166550.0,87642.1,16,109,3.26,1.04,1.04,7.0020,742.46,9626.4,5.9321,7.1973,5461,12.7810,40,14.9281,94418.9
140000,2,357,23.07,0.15,4.74,0.40,8.83,0.00,1.06,0.000,0.058,108666.0,44759.3,13,100,3.11,1.03,1.05,1.4323,29.51,550.2,13.7893,9.6289,5461,12.7810,47,1.9808,12522.1
150000,0,768,30.32,0.17,6.77,0.12,8.60,0.00,1.07,0.000,0.138,450695.3,268839.0,19,102,3.34,1.06,1.06,43.8850,1457.93,79429.8,0.9307,1.1341,5462,15.2968,128,84.6024,443521.4
150000,1,625,28.27,0.05,6.43,0.04,8.29,0.01,1.02,0.010,0.106,253346.4,139802.2,19,116,3.01,1.02,1.01,18.1691,597.31,6425.2,36.0183,6.0356,5461,15.2940,111,33.4955,194246.4
150000,2,388,24.93,0.05,5.18,0.43,8.46,0.00,1.02,0.003,0.063,136089.4,61981.0,17,111,2.97,1.03,1.02,1.7756,111.98,840.4,53.3076,11.7915,5461,15.2940,84,2.8155,18851.6
160000,0,830,25.48,0.44,5.20,0.53,8.59,0.01,1.16,0.006,0.140,198155.7,111226.9,20,98,3.10,1.14,1.19,11.1332,1485.47,91636.6,0.0000,5.6298,5462,12.8100,65,23.0370,141937.6
160000,1,560,27.15,0.23,5.67,0.43,8.78,0.00,1.08,0.004,0.097,155133.7,77714.3,18,85,3.07,1.05,1.10,5.8783,645.13,9393.7,6.1291,7.2471,5461,12.8076,48,13.3277,82663.2
