step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat
10000,2681,2.552,0.968,21.90,419124,328224,24,68507,21105,2835321,1183908.0,2692286.8,0.058,0.807,0.061,0.074,34,32.06,21.08,0.22,1.54,3.82,7.57,0.06,0.86,13.90,10.19,0.00,0.04,0.091,0.162,1515,0.046,0.023,0.935,0.001,0.041,676767,516036,6,0.662,0.079,0.009,1395058,0.185,2.159,0.083,25.18,275258,102,0.950,0.447,0.645,33407212,1.07,29.64,0.001,0.283,0.000,8.9,28.6,54.0,190.0,48272,0.184,0.00,0.0032,0.077,305,0.799,0.001,0.838,0.393,4.09,5.27,6.68,0.01,0.002,1.07,1.06,1.09,0.827,0.00737,2.66,279.9221,7695.02,92590.3,139882.8,76.157,152.7519,283.293,544.216,0.969,0.287,14.6,19.759,234.015,1291,5052.6,41.07,40.210,138.070,2540.8,92.850,0.136,2.00,8.5247,22854.7,0.7865,0.4613,18.01,1.756,0.419,1.4775,0.0000,0.853,0.237,0.786,0.0000,13.18,3.06,6,17,29,95,0.0000,0.0000,0.0000
20000,3899,1.867,0.532,5.56,143960,133485,4,4681,4572,300914,500123.5,898112.9,0.073,0.673,0.034,0.221,115,16.12,9.16,0.45,2.36,0.25,2.08,0.14,1.14,13.77,5.86,0.01,0.12,0.009,0.059,769,0.186,0.023,0.957,0.000,0.020,162467,136199,1,1.000,0.000,0.032,1875684,0.205,1.685,0.038,16.83,55622,108,2.985,0.388,0.823,8945389,1.09,11.06,0.004,0.045,0.002,7.9,15.6,22.3,100.7,56917,0.217,0.00,0.0009,0.039,334,0.683,0.000,0.707,0.213,3.94,3.42,7.34,0.01,0.005,1.03,1.11,1.12,0.691,0.00224,1.39,118.2537,6615.53,82518.8,139882.8,24.373,50.1022,120.367,179.755,0.849,0.255,6.9,8.736,80.052,267,634.3,32.92,12.833,43.018,1064.0,33.894,0.135,2.00,10.2856,40103.5,0.9352,0.4136,14.60,1.075,0.065,0.5225,0.0000,0.401,0.042,0.016,0.0000,7.93,0.51,8,15,20,69,0.0000,0.0000,0.0000
30000,3202,1.792,0.696,12.12,363177,289204,14,58924,15732,2073712,1062740.9,2660929.0,0.089,0.663,0.049,0.199,76,17.17,12.73,0.49,2.24,2.74,5.13,0.06,0.95,8.62,7.22,0.01,0.09,0.105,0.171,1424,0.095,0.029,0.946,0.000,0.025,742287,625311,2,0.644,0.295,0.011,2074385,0.143,2.345,0.046,16.50,224681,153,1.283,0.309,0.661,26504409,1.18,11.16,0.054,0.468,0.004,4.4,14.6,32.0,136.0,38164,0.146,0.00,0.0038,0.078,603,0.747,0.000,0.823,0.523,2.95,3.16,4.91,0.03,0.014,1.12,1.20,1.22,0.776,0.00540,4.15,274.5787,6631.90,104615.1,139882.8,77.127,145.7183,256.136,304.919,0.971,0.326,20.5,17.281,230.933,451,1156.9,39.14,9.167,144.293,3095.2,97.651,0.134,2.00,5.3134,17013.4,0.9422,0.6037,11.92,1.392,0.447,1.4775,0.0000,0.565,0.227,0.348,0.0000,6.71,1.74,4,11,20,64,0.0000,0.0000,0.0000
40000,4368,1.778,0.537,5.89,179092,164295,3,8625,5003,464868,521524.9,1063897.1,0.089,0.669,0.038,0.203,139,15.15,9.52,0.24,1.77,0.65,4.09,0.23,2.03,12.30,5.51,0.00,0.00,0.020,0.098,911,0.044,0.030,0.948,0.000,0.021,207366,172610,1,0.996,0.004,0.031,453530,0.198,1.602,0.038,16.11,74122,136,2.289,0.338,0.818,10222287,1.06,11.62,0.004,0.095,0.000,7.9,14.4,21.4,103.1,58569,0.223,0.00,0.0010,0.041,469,0.628,0.000,0.706,0.223,3.64,2.99,7.28,0.00,0.001,1.02,1.09,1.08,0.642,0.00240,2.04,124.1606,6916.99,84024.2,139882.8,21.496,49.5278,132.712,188.338,0.890,0.259,8.6,10.489,78.695,184,429.7,27.01,9.703,45.970,1071.0,37.462,0.136,2.00,8.6915,37964.5,0.9339,0.5069,13.41,1.113,0.074,0.5225,0.0000,0.383,0.041,0.008,0.0000,7.91,0.60,7,13,19,81,0.0000,0.0000,0.0000
50000,3982,1.710,0.713,16.22,427793,344108,1,65382,18688,2004904,1059295.5,2737817.2,0.089,0.656,0.082,0.173,63,15.29,10.26,0.28,1.77,2.28,3.98,0.06,0.83,7.46,6.15,0.00,0.07,0.113,0.166,1941,0.019,0.028,0.942,0.001,0.029,783066,638698,3,0.473,0.519,0.014,1719388,0.165,2.396,0.048,16.38,276435,146,1.366,0.350,0.711,30560042,1.09,9.47,0.005,0.486,0.001,4.0,14.0,26.0,94.0,40122,0.153,0.00,0.0036,0.077,666,0.752,0.001,0.870,0.465,2.68,3.35,4.17,0.01,0.003,1.03,1.11,1.11,0.778,0.00441,4.45,288.5134,7437.08,99462.4,139882.8,78.618,142.9983,283.144,314.524,0.951,0.308,19.4,17.544,230.855,395,1003.1,51.11,8.695,142.620,2731.3,99.973,0.135,2.00,5.1960,20690.3,1.0533,0.6573,10.08,1.528,0.462,1.4775,0.0000,0.436,0.155,0.216,0.0000,6.02,1.86,3,10,17,68,0.0000,0.0000,0.0000
60000,2520,2.266,0.590,7.97,185151,168564,0,13543,4506,755412,534429.0,1173265.5,0.058,0.704,0.088,0.150,126,24.94,25.29,0.39,2.10,3.66,9.43,0.14,1.01,14.55,9.22,0.05,0.50,0.061,0.137,1112,0.062,0.036,0.944,0.000,0.019,224006,169916,1,0.797,0.203,0.044,419631,0.173,2.134,0.042,16.60,89790,135,1.553,0.329,0.684,9494440,1.11,9.43,0.031,0.302,0.012,6.5,16.1,62.3,169.6,47195,0.180,0.00,0.0015,0.055,365,0.567,0.000,0.727,0.244,3.98,4.41,6.65,0.06,0.014,1.07,1.13,1.12,0.588,0.00529,2.07,123.0547,6299.72,103549.0,139882.8,19.526,51.0993,136.029,194.177,0.939,0.318,16.5,13.322,78.470,326,783.0,90.35,9.432,47.415,2081.6,38.156,0.133,2.00,7.8115,19684.9,0.7409,0.4938,18.73,1.191,0.266,0.5225,0.0000,0.400,0.070,0.099,0.0000,7.79,0.77,6,15,38,95,0.0000,0.0000,0.0000
70000,5257,1.418,0.603,17.74,379739,300662,0,62138,14202,2328260,1073433.1,2570838.2,0.059,0.677,0.118,0.146,70,9.76,7.16,0.28,1.35,1.09,1.87,0.01,0.15,5.62,6.07,0.00,0.06,0.133,0.158,2124,0.160,0.026,0.926,0.003,0.045,690920,532862,2,0.453,0.536,0.004,490524,0.172,1.903,0.038,17.40,258655,139,1.104,0.371,0.721,23504370,1.10,11.50,0.006,0.403,0.002,3.9,8.0,19.2,83.1,36758,0.140,0.00,0.0036,0.101,911,0.674,0.001,0.834,0.464,2.38,3.58,3.33,0.01,0.004,1.06,1.13,1.12,0.709,0.00435,4.52,249.8693,6393.61,94962.1,139882.8,72.998,140.8042,253.989,339.487,0.959,0.285,17.3,22.891,230.461,268,564.4,33.73,9.078,147.152,2429.7,100.284,0.135,2.00,5.0489,26542.1,1.4460,0.5804,6.99,1.555,0.462,1.4775,0.0000,0.426,0.144,0.189,0.0000,5.99,1.93,2,4,16,64,0.0000,0.0000,0.0000
80000,3736,1.843,0.580,7.24,213712,203038,2,7547,4646,507104,542098.4,1192508.1,0.026,0.739,0.106,0.130,123,16.59,14.40,0.28,1.87,1.54,5.97,0.02,0.43,12.13,7.44,0.00,0.03,0.063,0.165,1161,0.066,0.029,0.948,0.003,0.020,237362,165354,1,0.819,0.181,0.008,227209,0.155,1.855,0.042,16.40,95124,109,2.352,0.522,0.786,12094307,1.07,12.69,0.007,0.203,0.001,5.9,14.2,26.9,127.4,52200,0.199,0.00,0.0012,0.046,491,0.567,0.000,0.749,0.166,3.53,4.10,6.31,0.04,0.011,1.04,1.11,1.08,0.586,0.00333,2.14,135.6299,7127.11,92172.2,139882.8,20.363,50.3724,150.813,206.350,0.939,0.283,11.3,12.459,78.912,202,451.4,42.89,9.301,46.711,1549.4,39.448,0.135,2.00,8.0466,30062.1,0.8642,0.5609,13.97,1.164,0.161,0.5225,0.0000,0.411,0.061,0.084,0.0000,8.12,0.55,5,13,22,81,0.0000,0.0000,0.0000
90000,7043,1.384,0.651,20.46,685753,586469,8,77581,18388,1940504,945105.1,2642841.5,0.045,0.741,0.104,0.111,47,9.64,6.77,0.30,1.49,0.78,1.07,0.03,0.36,5.48,6.07,0.01,0.11,0.119,0.159,2357,0.140,0.022,0.934,0.004,0.040,900226,666883,5,0.343,0.228,0.011,1246123,0.117,2.289,0.040,16.13,401540,94,1.362,0.596,0.816,42354253,1.12,11.00,0.000,0.367,0.004,4.0,8.0,17.8,77.8,46416,0.177,0.00,0.0024,0.092,1169,0.690,0.000,0.854,0.250,2.30,3.90,2.69,0.01,0.008,1.09,1.18,1.12,0.723,0.00231,5.26,272.7918,8287.26,70617.1,139882.8,79.744,138.6513,321.459,317.337,0.973,0.219,19.9,16.260,230.765,269,574.4,121.18,7.139,140.932,1359.5,93.605,0.135,2.00,6.7409,47476.3,1.8890,0.7327,6.59,1.660,0.441,1.4775,0.0000,0.694,0.251,0.615,0.0000,5.72,2.05,3,4,15,56,0.0000,0.0000,0.0000
100000,4488,1.758,0.518,7.09,254781,243216,49,8570,5501,428410,541617.1,1301568.5,0.022,0.702,0.149,0.127,104,15.36,8.46,0.20,1.43,0.43,3.27,0.03,0.53,12.99,5.37,0.00,0.08,0.011,0.071,875,0.129,0.037,0.944,0.000,0.019,277204,191296,3,0.941,0.026,0.008,334863,0.183,1.858,0.038,15.58,115908,76,3.038,0.683,0.837,13027408,1.06,12.06,0.001,0.050,0.001,7.8,14.3,22.5,90.1,61268,0.234,0.00,0.0009,0.044,527,0.558,0.000,0.799,0.142,3.46,3.49,6.46,0.01,0.003,1.02,1.08,1.07,0.578,0.00263,2.02,152.1965,7063.71,83476.2,139882.8,21.491,51.5571,164.919,203.531,0.916,0.257,9.9,11.826,79.314,125,276.7,68.11,8.665,46.513,874.6,40.545,0.136,2.00,8.6081,38633.0,0.8708,0.6145,13.65,1.104,0.077,0.5225,0.0000,0.389,0.045,0.028,0.0000,7.94,0.45,7,13,20,64,0.0000,0.0000,0.0000
