step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat
10000,2640,2.123,1.007,23.09,420969,330797,2,69466,19516,3178534,1180863.6,2808668.0,0.034,0.847,0.058,0.062,39,27.04,23.75,0.35,2.22,5.03,6.36,0.33,2.52,9.57,11.17,0.00,0.08,0.210,0.191,1833,0.044,0.019,0.895,0.004,0.083,643188,517709,4,0.152,0.803,0.058,2638941,0.124,2.181,0.079,24.87,243158,106,0.884,0.443,0.633,35205437,1.09,24.63,0.001,0.524,0.002,6.0,18.9,55.1,204.0,40347,0.154,0.00,0.0047,0.065,661,0.814,0.001,0.762,0.356,3.42,4.29,5.03,0.03,0.016,1.07,1.11,1.10,0.847,0.00850,2.63,270.5380,6054.42,104583.8,140196.6,69.326,158.1405,289.244,580.897,0.995,0.327,25.0,22.426,233.163,1324,5219.6,30.53,40.952,145.235,4534.5,92.076,0.135,2.00,4.5649,12051.4,0.6312,0.4635,15.28,1.801,0.374,1.4775,0.0000,0.226,0.157,0.056,0.0000,10.64,2.04,4,11,31,102,0.0000,0.0000,0.0000
20000,3773,1.834,0.554,5.26,146328,136511,1,4349,4334,480167,504798.2,1000263.9,0.047,0.693,0.132,0.129,122,14.33,7.22,0.07,0.63,0.14,1.27,0.04,0.82,13.57,6.39,0.00,0.02,0.006,0.049,644,0.067,0.010,0.968,0.000,0.022,183388,148830,1,0.948,0.052,0.006,456224,0.160,1.576,0.038,16.10,61697,101,2.083,0.469,0.811,10588970,1.02,15.85,0.001,0.021,0.000,7.1,14.1,23.1,79.0,52134,0.199,0.00,0.0010,0.023,213,0.749,0.000,0.810,0.255,4.74,5.36,8.51,0.00,0.001,1.01,1.03,1.03,0.765,0.00219,1.47,122.2374,6662.31,80206.2,140196.6,23.343,50.0941,125.677,202.081,0.745,0.263,3.3,8.264,80.209,401,949.7,25.87,12.733,44.697,953.2,35.111,0.134,2.00,11.3708,42901.9,1.0006,0.3839,13.82,1.030,0.078,0.5225,0.0000,0.361,0.056,0.002,0.0000,9.27,0.83,7,14,22,69,0.0000,0.0000,0.0000
30000,2926,1.963,0.925,19.75,464544,372609,61,59730,32991,1966997,924910.2,2592557.2,0.027,0.762,0.084,0.127,41,21.55,18.23,0.44,1.97,3.37,5.93,0.81,2.89,8.78,10.33,0.00,0.00,0.137,0.177,2000,0.028,0.015,0.931,0.003,0.051,737223,661903,3,0.413,0.244,0.245,1821528,0.086,2.076,0.064,18.15,251146,103,1.318,0.502,0.693,45433416,1.12,30.60,0.001,0.578,0.000,6.0,18.0,39.3,270.0,39217,0.150,0.00,0.0036,0.060,507,0.840,0.001,0.873,0.374,4.19,9.18,5.23,0.00,0.001,1.14,1.12,1.12,0.870,0.00407,6.05,276.6384,6892.41,101565.5,140196.6,92.410,133.8353,278.455,306.669,0.965,0.322,16.4,11.912,224.062,1053,3381.8,27.11,12.895,125.463,4122.4,83.162,0.136,2.00,5.6207,16446.1,0.9416,0.5761,13.40,1.706,0.422,1.4775,0.0000,0.416,0.111,0.165,0.0000,12.50,2.21,3,11,28,135,0.0000,0.0000,0.0000
40000,2807,2.079,0.542,6.39,122641,114896,39,2772,5053,362274,485117.3,961870.6,0.060,0.686,0.103,0.151,106,17.37,7.86,0.12,0.96,0.27,2.37,0.01,0.26,15.88,6.75,0.00,0.02,0.011,0.070,556,0.059,0.007,0.978,0.000,0.014,192211,172352,1,1.000,0.000,0.001,1204836,0.127,1.821,0.035,14.08,63837,127,2.655,0.475,0.810,11839843,1.03,17.56,0.001,0.041,0.000,9.9,15.9,25.8,103.1,45670,0.174,0.00,0.0011,0.010,112,0.823,0.000,0.799,0.382,7.14,9.69,9.69,0.01,0.002,1.03,1.02,1.04,0.841,0.00183,2.18,119.2555,6204.63,74688.3,140196.6,24.009,51.5983,115.873,185.145,0.622,0.249,1.6,5.134,74.882,315,858.4,42.72,9.521,45.342,1263.9,35.120,0.135,2.00,17.7487,49820.5,1.2593,0.4967,16.27,1.063,0.058,0.5225,0.0000,0.301,0.044,0.005,0.0000,10.06,0.61,9,15,24,81,0.0000,0.0000,0.0000
50000,2444,1.930,0.948,11.48,270451,229507,857,24534,15916,483201,767970.8,2253732.0,0.071,0.591,0.098,0.240,76,21.08,16.43,0.09,0.82,2.12,3.53,0.41,3.13,10.51,11.45,0.00,0.07,0.123,0.134,1557,0.035,0.013,0.949,0.003,0.034,633166,622551,1,0.731,0.269,0.047,192735,0.087,2.139,0.073,11.56,166892,100,4.664,0.582,0.618,38429655,1.03,22.86,0.001,0.532,0.002,5.9,17.0,39.8,156.4,32098,0.122,0.00,0.0030,0.077,354,0.921,0.000,0.851,0.575,4.30,9.23,4.03,0.02,0.005,1.02,1.06,1.02,0.931,0.00134,7.81,305.3807,4878.50,106440.5,140196.6,135.002,99.1670,247.935,209.401,0.969,0.301,12.3,3.268,204.857,1406,5707.9,28.35,5.740,87.696,4194.9,75.085,0.135,2.00,5.0984,12460.4,0.8745,0.6944,13.13,1.794,0.349,1.4775,0.0000,0.556,0.162,0.686,0.0000,10.65,2.07,3,9,29,107,0.0000,0.0000,0.0000
60000,2822,2.143,0.568,6.31,134073,126181,3,3671,3840,353149,482872.1,969669.7,0.062,0.697,0.090,0.150,130,17.75,7.78,0.06,0.84,0.55,2.70,0.01,0.26,15.94,6.53,0.00,0.00,0.025,0.083,580,0.157,0.006,0.978,0.001,0.015,188558,164403,1,1.000,0.000,0.001,804512,0.127,1.789,0.037,15.43,58648,92,2.746,0.567,0.791,12106156,1.02,17.26,0.000,0.054,0.000,8.5,18.0,23.1,85.6,46743,0.178,0.00,0.0011,0.012,117,0.770,0.000,0.778,0.315,7.21,9.67,9.44,0.00,0.002,1.02,1.02,1.02,0.790,0.00209,2.41,116.7450,6532.47,74225.5,140196.6,24.156,49.9281,119.936,193.052,0.637,0.246,1.7,5.898,75.717,424,1036.6,30.70,10.556,43.620,1141.0,33.420,0.136,2.00,17.5829,49619.0,1.2265,0.5686,16.56,1.068,0.060,0.5225,0.0000,0.306,0.043,0.000,0.0000,10.10,0.52,8,17,22,81,0.0000,0.0000,0.0000
70000,4235,1.807,0.578,6.71,190203,172108,916,425,15341,34987,784181.1,2061073.2,0.084,0.570,0.123,0.223,95,13.09,6.04,0.02,0.26,0.26,1.47,0.00,0.00,11.39,5.42,0.00,0.00,0.021,0.072,640,0.112,0.003,0.986,0.001,0.011,564727,561743,1,1.000,0.000,0.000,24748,0.261,2.128,0.033,9.90,120076,140,58.910,0.722,0.928,36824853,1.01,23.77,0.000,0.080,0.000,7.1,12.6,18.4,85.7,49454,0.189,0.00,0.0016,0.008,170,0.963,0.000,0.881,0.665,6.30,9.93,9.78,0.00,0.001,1.01,1.01,1.01,0.964,0.00038,8.79,302.0488,7608.21,28332.1,140196.6,136.633,90.4525,236.007,177.352,0.571,0.088,1.7,1.606,199.292,315,661.8,51.13,4.541,86.744,514.4,77.086,0.134,2.00,22.1101,93636.2,2.2982,1.4161,11.68,1.128,0.073,1.4775,0.0000,0.323,0.066,0.009,0.0000,10.21,0.55,6,11,16,85,0.0000,0.0000,0.0000
80000,3420,1.945,0.461,6.53,125577,120060,227,166,5939,35810,430251.5,1179173.0,0.107,0.649,0.099,0.145,141,15.79,6.30,0.08,0.68,0.28,1.38,0.01,0.44,13.72,5.53,0.00,0.10,0.019,0.067,596,0.184,0.004,0.983,0.000,0.013,215701,211980,1,1.000,0.000,0.001,21445,0.260,1.358,0.029,10.68,50789,118,32.929,0.675,0.846,20852613,1.02,20.62,0.000,0.097,0.000,10.2,15.8,22.7,95.0,48195,0.184,0.00,0.0009,0.017,110,0.934,0.000,0.812,0.428,6.88,9.88,9.70,0.00,0.004,1.01,1.02,1.02,0.935,0.00056,2.92,162.6127,5217.98,70632.5,140196.6,32.934,52.0859,141.095,169.197,0.599,0.237,1.6,1.906,70.436,343,867.6,20.24,5.958,39.084,841.0,33.819,0.135,2.00,15.8713,54279.7,1.3143,1.0928,14.09,1.121,0.086,0.5225,0.0000,0.339,0.068,0.025,0.0000,10.05,0.59,9,14,21,88,0.0000,0.0000,0.0000
90000,6330,1.576,0.607,9.78,326700,290925,497,10857,21511,319320,722719.2,2326554.5,0.099,0.623,0.111,0.167,70,10.89,6.14,0.09,0.92,0.66,1.65,0.00,0.10,7.09,5.16,0.00,0.00,0.074,0.119,2090,0.069,0.002,0.980,0.002,0.016,695234,688433,1,0.996,0.004,0.001,52223,0.242,1.680,0.039,9.63,181644,169,7.286,0.494,0.928,55789450,1.03,26.36,0.000,0.377,0.000,5.3,10.2,16.2,96.4,49652,0.189,0.00,0.0016,0.007,247,0.965,0.000,0.830,0.532,4.77,9.48,8.48,0.00,0.001,1.04,1.04,1.03,0.967,0.00029,8.95,332.5346,7745.05,47105.4,140196.6,135.243,93.6893,301.696,186.208,0.603,0.156,2.2,1.834,201.654,358,727.4,35.50,4.211,88.248,810.5,77.828,0.134,2.00,11.3408,71787.1,2.0072,1.7561,7.84,1.497,0.340,1.4775,0.0000,0.619,0.254,0.572,0.0000,9.96,1.05,3,6,14,86,0.0000,0.0000,0.0000
100000,3531,1.917,0.494,6.19,180283,164673,14,8703,9692,253924,449117.5,1290408.0,0.098,0.616,0.138,0.148,115,14.98,5.58,0.07,0.89,0.21,1.30,0.01,0.27,13.56,4.90,0.00,0.00,0.015,0.074,458,0.282,0.005,0.979,0.000,0.016,260389,251409,1,1.000,0.000,0.003,40250,0.243,1.541,0.031,12.28,76258,132,5.082,0.483,0.826,19636802,1.02,20.68,0.000,0.058,0.000,10.5,14.7,18.9,71.3,48892,0.187,0.00,0.0009,0.014,151,0.893,0.000,0.832,0.320,7.01,9.80,9.72,0.00,0.001,1.02,1.02,1.02,0.902,0.00081,3.03,153.3066,6012.46,70412.7,140196.6,29.282,52.7739,148.892,177.434,0.615,0.236,1.8,2.856,71.751,294,646.9,32.09,7.124,41.019,844.1,34.081,0.134,2.00,15.2550,53865.4,1.2939,1.0308,13.85,1.078,0.056,0.5225,0.0000,0.310,0.041,0.000,0.0000,10.02,0.34,10,14,18,64,0.0000,0.0000,0.0000
