step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat
10000,1961,0.677,0.733,7.54,39434,30227,3526,590,4560,74250,1023284.1,400571.4,0.315,0.337,0.171,0.177,94,26.53,20.66,1.74,5.85,3.41,7.36,2.45,6.99,17.89,13.76,0.04,0.38,0.092,0.188,943,0.029,0.048,0.938,0.000,0.013,232059,224674,29,0.355,0.016,0.163,4814734,0.260,2.773,0.060,5.58,66945,528,5.395,0.332,0.247,9209458,1.40,9.40,0.155,0.204,0.015,4.4,22.0,54.5,140.5,49996,0.191,0.00,0.0029,0.038,216,0.963,0.000,0.718,0.831,4.46,5.89,5.51,0.10,0.037,1.39,1.42,1.40,0.965,0.00036,1.80,70.2214,1959.60,94868.2,140185.7,81.884,98.4617,152.742,701.557,0.994,0.321,52.6,69.409,236.192,973,4922.4,66.89,23.999,152.802,4677.3,87.170,0.134,2.00,15.7482,30882.3,0.8956,0.4487,25.50,1.013,0.157,1.4775,0.0000,0.456,0.100,0.249,0.0000,7.88,1.25,4,23,49,81,65.2049,3.4942,0.6930
20000,2117,0.935,0.464,8.08,22497,18750,1473,800,1318,74163,367462.8,124559.3,0.214,0.472,0.181,0.134,179,21.89,17.65,1.21,4.83,4.42,7.93,0.44,2.68,14.69,9.98,0.04,0.40,0.143,0.228,1205,0.031,0.095,0.885,0.001,0.019,67661,64356,7,0.809,0.000,0.045,1416725,0.266,2.486,0.035,8.28,20394,468,1.680,0.270,0.270,5076527,1.24,9.15,0.084,0.390,0.015,4.9,15.5,42.4,124.1,43963,0.168,0.00,0.0012,0.084,289,0.827,0.000,0.716,0.676,4.18,5.27,5.78,0.13,0.037,1.18,1.32,1.24,0.832,0.00063,1.44,16.1411,2582.07,101499.4,140185.7,24.805,29.7461,63.919,317.563,0.921,0.345,55.5,30.288,78.695,382,1685.0,87.27,5.994,51.091,2854.6,28.390,0.135,2.00,13.2808,28115.5,0.9170,0.4374,20.77,0.998,0.194,0.5225,0.0000,0.467,0.087,0.281,0.0000,7.70,1.23,5,16,41,96,28.0599,0.8863,0.5394
30000,2893,0.849,0.501,9.72,91269,67195,1336,12722,9240,472783,948647.8,645213.4,0.172,0.543,0.164,0.122,133,21.01,18.50,1.78,3.74,3.98,6.01,0.04,0.62,8.39,7.20,0.57,1.31,0.119,0.170,1887,0.013,0.074,0.905,0.001,0.021,298543,271085,9,0.423,0.155,0.011,303776,0.185,2.459,0.037,9.06,100552,507,1.365,0.227,0.318,16351092,1.60,10.34,0.116,0.558,0.179,2.9,13.8,46.4,135.7,41069,0.157,0.00,0.0039,0.076,544,0.865,0.000,0.893,0.697,3.12,4.21,4.22,0.62,0.200,1.61,1.31,1.82,0.875,0.00107,2.42,66.5398,2459.54,95543.2,140185.7,82.171,92.7080,151.554,630.040,0.921,0.315,63.4,64.177,232.583,359,1511.6,65.12,7.319,148.421,3748.6,88.432,0.134,2.00,11.3042,32703.1,1.2967,0.6717,14.20,1.211,0.358,1.4775,0.0000,0.580,0.150,0.617,0.0000,6.73,1.50,3,12,26,67,54.0183,7.0664,0.5790
40000,2235,0.963,0.450,10.61,46454,37043,645,6702,2722,362704,483891.8,280057.2,0.093,0.666,0.100,0.141,206,20.96,18.09,1.63,4.08,3.76,5.78,0.02,0.37,9.04,7.82,0.49,1.19,0.115,0.172,1485,0.015,0.081,0.894,0.000,0.025,91499,76167,4,0.583,0.021,0.004,168297,0.144,2.207,0.033,18.52,34132,547,0.772,0.153,0.321,8270011,1.60,10.44,0.100,0.577,0.160,3.0,14.4,47.5,136.3,32295,0.123,0.00,0.0024,0.119,323,0.629,0.000,0.801,0.517,3.18,3.92,4.80,0.52,0.165,1.61,1.30,1.85,0.640,0.00225,3.84,17.7812,1674.10,108056.2,140185.7,17.333,23.8790,93.376,261.630,0.913,0.357,49.4,41.808,65.511,315,1238.0,44.15,5.267,45.919,3971.5,30.089,0.134,2.00,9.6759,21625.7,1.0923,0.5039,14.45,1.212,0.442,0.5225,0.0000,0.579,0.196,0.501,0.0000,6.90,1.57,3,13,25,85,35.6418,1.1446,0.4922
50000,2816,1.016,0.592,13.83,90941,64377,1138,16160,8685,568476,955440.9,719991.2,0.102,0.585,0.124,0.188,134,19.50,15.27,1.18,3.41,3.51,4.67,0.04,0.73,7.28,6.79,0.24,0.84,0.140,0.168,1767,0.017,0.075,0.904,0.000,0.021,290406,254593,12,0.395,0.342,0.007,221585,0.183,2.929,0.040,12.53,109988,496,1.267,0.219,0.397,16329074,1.45,8.48,0.151,0.611,0.088,2.9,16.0,35.8,126.0,33843,0.129,0.00,0.0047,0.098,396,0.809,0.000,0.868,0.691,2.61,3.64,4.08,0.29,0.102,1.46,1.32,1.57,0.820,0.00178,5.11,66.6080,3441.19,98002.4,140185.7,72.169,101.4576,154.277,554.211,0.891,0.325,59.3,62.329,220.047,340,1263.5,73.50,5.629,152.265,4432.1,85.392,0.135,2.00,10.1075,28462.7,1.4042,0.7308,12.02,1.481,0.530,1.4775,0.0000,0.650,0.188,0.690,0.0000,5.89,1.90,3,12,23,72,50.5906,6.7361,0.4822
60000,2750,0.823,0.404,9.82,50577,39136,503,8523,2481,393911,506146.7,323414.8,0.080,0.675,0.099,0.145,201,19.92,17.54,2.24,4.47,3.25,5.59,0.08,0.90,8.07,6.52,0.59,1.22,0.093,0.158,1533,0.028,0.117,0.861,0.000,0.021,96159,77983,7,0.415,0.142,0.017,312312,0.143,2.411,0.026,22.26,38064,581,0.821,0.142,0.324,8384528,1.84,11.83,0.101,0.542,0.210,3.0,13.1,46.5,104.2,37547,0.143,0.00,0.0023,0.101,536,0.580,0.000,0.701,0.498,3.06,3.86,4.52,0.60,0.212,1.89,1.39,2.14,0.592,0.00227,5.98,17.9111,1904.61,103880.2,140185.7,13.680,23.5668,98.463,229.354,0.839,0.344,57.3,42.975,57.661,159,454.5,75.21,3.658,43.693,3633.1,28.364,0.134,2.00,9.5507,26264.4,1.1409,0.5720,13.65,1.159,0.375,0.5225,0.0000,0.566,0.113,0.670,0.0000,7.10,1.66,3,12,25,61,34.8759,1.8625,0.5084
70000,3034,0.731,0.443,9.77,130400,91153,1252,22356,15355,642654,1050710.1,738649.1,0.146,0.563,0.107,0.184,131,18.64,17.76,1.95,3.93,3.29,5.80,0.08,1.20,7.19,6.61,0.67,1.35,0.090,0.148,1750,0.025,0.092,0.883,0.000,0.024,313438,268348,16,0.482,0.108,0.012,637857,0.184,2.509,0.030,18.29,112404,494,1.149,0.197,0.322,18119779,1.76,12.63,0.090,0.552,0.219,2.5,11.5,44.1,136.3,37981,0.145,0.00,0.0048,0.087,566,0.741,0.000,0.840,0.591,2.84,3.58,4.22,0.68,0.224,1.77,1.32,2.08,0.753,0.00224,9.60,60.1496,1898.42,97196.1,140185.7,63.020,90.8395,183.735,588.117,0.910,0.327,67.5,77.937,210.310,184,611.3,90.96,4.633,151.153,4258.7,89.778,0.134,2.00,10.6485,32307.7,1.3963,0.7038,12.52,1.175,0.384,1.4775,0.0000,0.574,0.121,0.782,0.0000,7.01,1.70,3,10,25,77,60.2072,10.9372,0.5603
80000,2390,0.923,0.404,8.73,47746,36791,621,7634,3344,349162,509268.4,284889.5,0.117,0.675,0.066,0.142,208,23.07,21.35,2.33,4.57,4.42,7.66,0.41,2.19,9.79,7.64,0.72,1.44,0.097,0.163,1508,0.015,0.111,0.868,0.000,0.021,82503,66649,4,0.347,0.282,0.076,630552,0.195,2.589,0.026,23.08,29429,648,0.816,0.108,0.295,8470328,1.76,10.73,0.107,0.552,0.221,3.4,14.4,59.3,122.3,40510,0.155,0.00,0.0022,0.094,490,0.587,0.000,0.697,0.461,3.57,3.91,5.61,0.73,0.222,1.83,1.36,2.02,0.597,0.00263,6.78,15.4994,1954.94,103157.4,140185.7,13.053,21.8555,99.182,230.878,0.841,0.345,57.8,44.517,56.038,161,493.8,114.35,2.790,42.691,3616.8,28.021,0.138,2.00,11.3160,27045.2,1.0491,0.5779,16.95,1.071,0.340,0.5225,0.0000,0.533,0.083,0.628,0.0000,7.37,1.21,4,15,36,64,35.8814,2.3463,0.5238
90000,2934,0.798,0.502,8.96,100433,72822,1623,13056,12388,483039,1005781.2,626867.3,0.148,0.572,0.088,0.192,139,21.86,20.61,2.85,5.06,4.12,6.94,0.12,1.33,7.69,6.81,0.76,1.45,0.103,0.165,1889,0.013,0.081,0.906,0.000,0.013,279905,250465,11,0.190,0.104,0.023,1390307,0.212,2.777,0.034,14.37,91260,566,1.298,0.191,0.336,17177104,1.96,11.43,0.089,0.571,0.243,2.5,12.9,52.6,130.4,43360,0.165,0.00,0.0045,0.087,587,0.782,0.000,0.859,0.647,3.24,3.78,4.84,0.78,0.246,2.07,1.43,2.29,0.790,0.00164,8.17,60.5512,2529.70,94122.6,140185.7,67.573,93.6033,166.601,601.158,0.943,0.297,61.5,71.817,215.268,238,937.7,75.85,4.049,151.949,4391.0,88.930,0.135,2.00,11.6381,34146.2,1.3432,0.7011,14.78,1.127,0.341,1.4775,0.0000,0.542,0.082,0.724,0.0000,7.11,1.37,3,12,32,76,57.5504,9.4572,0.5808
100000,2382,0.712,0.384,9.53,43242,33109,847,6817,3021,328500,480840.3,253534.8,0.095,0.678,0.079,0.148,202,21.70,20.28,4.02,7.12,3.62,6.74,0.19,1.48,9.86,8.03,0.77,1.49,0.089,0.168,1528,0.012,0.124,0.857,0.000,0.019,77501,63717,7,0.310,0.049,0.028,373006,0.217,2.208,0.026,20.48,28120,650,0.772,0.111,0.307,8990241,2.24,10.53,0.066,0.511,0.243,3.1,12.8,53.3,126.0,42120,0.161,0.00,0.0020,0.075,486,0.638,0.000,0.703,0.478,3.64,4.11,5.44,0.81,0.251,2.47,1.58,2.53,0.647,0.00221,6.21,15.2452,1427.23,105154.3,140185.7,14.898,23.6518,93.371,278.109,0.890,0.355,52.4,41.951,59.759,226,854.0,61.66,3.106,44.017,3554.1,27.871,0.134,2.01,10.8986,25960.4,0.9809,0.5317,17.68,0.922,0.170,0.5225,0.0000,0.504,0.064,0.571,0.0000,7.34,0.96,4,15,36,81,34.4799,2.2170,0.5882
