step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat
10000,1567,0.664,0.874,7.64,28628,21521,3712,212,3036,25990,1033230.1,274810.1,0.324,0.331,0.169,0.176,83,34.85,23.53,3.42,7.53,2.57,6.58,4.95,9.59,23.48,17.17,0.01,0.23,0.081,0.165,612,0.077,0.049,0.937,0.000,0.013,171891,166070,27,0.533,0.080,0.319,5565146,0.252,2.888,0.072,4.81,50526,139,10.574,0.783,0.149,7748349,1.64,6.26,0.201,0.112,0.004,8.6,30.3,65.8,145.1,53942,0.206,0.00,0.0028,0.038,240,0.973,0.000,0.665,0.835,5.02,6.58,6.36,0.08,0.026,1.62,1.70,1.63,0.974,0.00029,1.79,51.8074,1122.28,109536.2,140064.9,58.154,112.5092,143.683,716.252,0.989,0.367,56.0,80.566,236.034,1213,6198.2,46.34,24.180,177.315,6511.3,88.865,0.134,2.00,8.9472,14020.2,0.3387,0.2060,34.42,0.988,0.148,1.4775,0.0000,0.509,0.123,0.549,0.0000,8.00,0.00,9,30,64,64,57.5065,22.6154,0.7492
20000,2190,0.827,0.384,7.75,20178,16754,1466,83,1252,7966,326049.8,60317.4,0.180,0.471,0.220,0.129,143,18.42,12.85,0.40,2.56,1.20,5.41,3.65,8.58,14.73,7.82,0.01,0.14,0.030,0.122,719,0.114,0.144,0.830,0.002,0.024,51567,50343,3,0.920,0.003,0.284,4097080,0.261,2.042,0.027,6.92,16146,460,7.572,0.410,0.177,4329129,1.11,10.81,0.037,0.055,0.003,6.2,14.1,33.6,104.5,43751,0.167,0.00,0.0010,0.069,371,0.826,0.000,0.800,0.623,3.84,6.01,4.64,0.02,0.005,1.11,1.14,1.10,0.826,0.00033,0.97,9.4305,1362.12,116728.7,140064.9,22.977,33.2813,52.453,310.479,0.968,0.384,70.9,29.100,81.126,393,1498.9,36.76,6.714,54.738,2945.7,25.393,0.133,2.00,6.5565,14358.7,0.4574,0.2629,19.98,0.992,0.102,0.5225,0.0000,0.458,0.055,0.224,0.0000,8.00,0.00,7,15,38,64,22.4236,5.9451,0.5434
30000,2525,0.882,0.294,8.51,113590,93074,1518,2564,16099,85352,1258423.6,447750.8,0.110,0.438,0.363,0.089,134,18.18,20.16,0.83,3.37,2.46,8.19,1.00,3.93,12.14,8.45,0.05,0.44,0.044,0.135,888,0.042,0.137,0.835,0.000,0.028,407247,391394,2,0.865,0.131,0.117,4957444,0.263,2.025,0.017,16.51,125772,535,5.246,0.276,0.199,11623488,1.18,14.07,0.030,0.189,0.015,3.3,12.6,43.3,144.8,41471,0.158,0.00,0.0041,0.072,523,0.722,0.000,0.896,0.724,3.39,4.70,4.36,0.10,0.026,1.16,1.19,1.21,0.724,0.00110,7.88,66.9285,1239.60,112932.6,140064.9,56.040,73.1732,162.860,849.589,0.918,0.368,92.0,104.590,220.251,119,343.1,56.43,6.468,161.630,2668.8,114.102,0.134,2.00,7.5549,19076.1,0.6315,0.4325,16.42,1.013,0.143,1.4775,0.0000,0.446,0.066,0.179,0.0000,8.00,0.00,3,12,37,64,52.9205,48.8859,0.4788
40000,1934,0.942,0.423,9.14,31592,26138,879,2986,2180,157855,534118.2,131670.6,0.073,0.609,0.239,0.079,210,25.06,21.63,1.03,3.41,5.99,11.07,0.88,3.02,13.19,8.00,0.06,0.47,0.134,0.220,1143,0.021,0.133,0.843,0.001,0.023,64772,56602,4,0.537,0.284,0.099,2102554,0.210,2.326,0.029,26.61,23735,730,0.834,0.133,0.265,4426239,1.25,9.98,0.034,0.435,0.021,5.4,18.3,57.8,150.9,40802,0.156,0.00,0.0021,0.084,418,0.453,0.000,0.736,0.541,4.14,4.99,6.18,0.13,0.046,1.20,1.31,1.26,0.460,0.00268,7.46,10.5664,1429.24,115108.0,140064.9,11.642,16.7387,85.425,273.297,0.918,0.381,62.5,49.991,52.852,279,1069.9,46.77,2.622,39.907,3948.4,27.119,0.133,2.00,7.8478,15177.7,0.5141,0.4247,21.10,1.080,0.163,0.5225,0.0000,0.435,0.062,0.146,0.0000,8.00,0.00,5,18,43,64,29.3385,15.4594,0.5491
50000,2708,0.829,0.317,9.65,111855,88024,1537,4732,16788,163496,1137837.2,408702.4,0.127,0.463,0.276,0.134,143,19.42,18.47,0.81,2.93,3.35,7.82,0.34,2.11,11.43,8.57,0.01,0.20,0.092,0.182,1338,0.016,0.116,0.857,0.001,0.026,340286,321999,10,0.269,0.356,0.038,1442227,0.251,1.885,0.021,11.38,117094,511,2.500,0.249,0.261,12101235,1.21,13.27,0.017,0.330,0.005,4.2,13.2,42.3,142.4,43122,0.164,0.00,0.0037,0.081,563,0.746,0.000,0.877,0.674,3.51,4.41,5.08,0.03,0.011,1.16,1.26,1.22,0.750,0.00099,4.85,55.8202,1238.60,113807.9,140064.9,67.797,74.4340,152.287,845.370,0.967,0.358,91.2,94.859,228.381,244,876.8,41.20,5.944,158.038,2638.6,105.781,0.135,2.00,6.5273,17676.0,0.5796,0.4493,15.92,1.116,0.198,1.4775,0.0000,0.435,0.076,0.187,0.0000,8.00,0.00,4,12,32,64,49.1544,43.0143,0.5421
60000,2499,0.743,0.377,10.40,35731,29442,1065,2843,2590,159373,501864.1,130975.6,0.123,0.594,0.189,0.095,216,19.41,14.55,1.21,4.01,4.60,7.24,0.04,0.76,9.56,6.43,0.02,0.27,0.160,0.211,1400,0.032,0.136,0.846,0.000,0.019,71786,61858,7,0.423,0.042,0.005,377484,0.236,2.075,0.028,19.84,27897,671,0.822,0.147,0.285,6683999,1.40,12.18,0.001,0.443,0.005,4.4,15.1,36.5,99.8,38510,0.147,0.00,0.0021,0.087,501,0.610,0.000,0.738,0.522,3.54,4.27,5.80,0.07,0.032,1.35,1.43,1.45,0.616,0.00145,5.26,10.9487,958.28,117410.6,140064.9,15.273,18.5395,80.421,302.441,0.957,0.381,67.3,46.903,61.895,257,1097.3,42.19,3.094,45.241,3768.4,30.720,0.136,2.00,5.4353,13582.8,0.4955,0.3929,15.41,1.137,0.332,0.5225,0.0000,0.383,0.071,0.060,0.0000,8.00,0.00,5,15,26,64,27.8873,15.3802,0.5758
70000,3263,0.750,0.334,12.54,125768,101655,1593,7787,13969,281167,1099280.9,375602.0,0.157,0.547,0.167,0.130,135,14.82,12.84,0.62,2.98,2.18,4.44,0.06,0.62,7.10,5.71,0.01,0.15,0.118,0.157,1584,0.027,0.098,0.879,0.001,0.022,303800,276465,10,0.660,0.165,0.021,398044,0.272,1.733,0.026,9.65,120268,488,1.336,0.222,0.290,18660093,1.21,17.02,0.001,0.513,0.007,4.0,11.8,28.3,146.0,32519,0.124,0.00,0.0047,0.111,617,0.811,0.000,0.890,0.589,2.73,4.32,3.48,0.05,0.025,1.18,1.24,1.24,0.818,0.00087,3.71,41.1242,903.50,115272.0,140064.9,66.366,74.9790,160.239,880.653,0.984,0.366,86.3,96.797,232.332,315,1303.9,35.04,7.620,162.342,2874.5,103.688,0.134,2.00,4.8501,15825.9,0.7483,0.4712,9.97,1.464,0.373,1.4775,0.0000,0.475,0.088,0.423,0.0000,8.00,0.00,3,8,19,64,51.1283,42.8278,0.5176
80000,2555,0.833,0.266,12.29,46553,39944,442,3626,3249,202750,541691.4,150773.8,0.099,0.666,0.134,0.101,217,16.65,14.76,0.96,3.33,2.34,5.65,0.04,0.56,11.06,6.93,0.00,0.10,0.072,0.149,1307,0.030,0.138,0.829,0.001,0.032,74766,61300,7,0.422,0.039,0.008,205754,0.259,1.865,0.016,27.30,33109,679,0.744,0.099,0.270,6456710,1.31,13.03,0.000,0.404,0.002,3.8,12.9,34.1,143.5,36783,0.140,0.00,0.0019,0.081,561,0.484,0.000,0.652,0.411,3.39,3.56,6.07,0.06,0.025,1.26,1.34,1.34,0.493,0.00208,7.24,8.6130,1036.55,117644.0,140064.9,13.819,12.9371,89.834,303.065,0.898,0.379,82.8,51.858,53.745,116,406.3,49.32,3.687,37.262,2482.6,27.075,0.134,2.00,5.8708,14999.9,0.5557,0.4541,14.40,1.049,0.428,0.5225,0.0000,0.413,0.108,0.222,0.0000,8.00,0.00,4,14,24,59,29.9773,16.5601,0.4658
90000,3022,0.708,0.323,12.68,136933,109558,1518,6127,19263,242826,1189053.2,439347.1,0.091,0.509,0.234,0.166,135,16.95,16.79,1.09,4.08,2.48,5.30,0.17,1.40,9.09,6.99,0.01,0.20,0.087,0.162,1613,0.014,0.112,0.862,0.000,0.026,386576,358041,19,0.175,0.373,0.025,900342,0.333,1.912,0.024,13.40,152334,444,1.809,0.267,0.278,16449375,1.34,14.38,0.000,0.399,0.006,3.5,12.2,35.4,197.2,38773,0.148,0.00,0.0043,0.083,585,0.762,0.000,0.867,0.649,3.14,3.95,5.01,0.10,0.045,1.31,1.40,1.35,0.767,0.00115,6.08,55.4039,1102.55,116224.8,140064.9,63.547,68.1671,165.966,899.427,0.971,0.373,84.2,104.134,225.616,251,1043.3,43.31,6.005,159.043,2810.5,111.054,0.135,2.00,5.0621,15297.6,0.5763,0.3793,12.83,1.194,0.431,1.4775,0.0000,0.426,0.112,0.250,0.0000,8.00,0.00,3,11,24,64,52.4585,48.2068,0.5430
100000,2513,0.766,0.316,10.95,41849,35125,866,2953,3414,148107,534028.6,123056.1,0.046,0.646,0.211,0.097,222,15.98,16.11,0.85,3.25,3.15,6.77,0.08,0.89,9.00,6.11,0.03,0.32,0.089,0.172,1182,0.064,0.138,0.835,0.000,0.027,74472,65090,6,0.422,0.033,0.014,220011,0.253,2.008,0.021,26.98,29782,690,0.831,0.108,0.277,5726562,1.28,13.56,0.001,0.445,0.013,3.2,10.0,38.8,152.2,32891,0.125,0.00,0.0024,0.088,508,0.458,0.000,0.719,0.470,3.31,3.30,6.04,0.11,0.037,1.22,1.29,1.33,0.464,0.00178,7.51,9.3203,993.20,120066.7,140064.9,13.582,13.9708,84.100,290.169,0.895,0.388,73.5,50.930,52.587,144,552.9,36.33,2.557,37.540,3258.4,26.661,0.136,1.99,4.7823,12017.9,0.5359,0.4134,13.09,1.059,0.466,0.5225,0.0000,0.404,0.105,0.240,0.0000,8.00,0.00,4,11,24,64,27.5093,18.9509,0.4970
