step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat
10000,2074,0.797,0.595,9.74,37859,28787,3657,343,4428,45319,1063843.0,386770.5,0.333,0.324,0.177,0.166,95,27.78,20.53,1.82,5.34,3.18,6.80,1.69,6.23,19.23,13.07,0.03,0.35,0.096,0.185,1035,0.027,0.064,0.916,0.000,0.020,233165,224992,30,0.161,0.351,0.142,5104105,0.256,2.725,0.046,6.04,72795,338,8.534,0.536,0.217,8572210,1.37,7.79,0.117,0.171,0.011,4.9,25.1,52.6,125.0,53767,0.205,0.00,0.0027,0.040,272,0.954,0.000,0.686,0.839,4.51,5.86,5.68,0.12,0.041,1.32,1.47,1.36,0.955,0.00039,2.33,72.3482,2330.43,91096.2,140185.7,91.816,111.6065,156.137,728.312,0.959,0.290,62.1,71.503,259.999,602,2989.7,69.86,24.182,167.956,3973.2,90.992,0.134,2.00,17.5843,36469.9,0.9108,0.3590,25.92,1.036,0.147,1.6366,0.0000,0.511,0.125,0.506,0.0000,7.55,1.23,5,24,49,100,66.2635,4.4282,0.6528
20000,2318,0.946,0.461,13.54,28426,23268,779,2629,1506,132523,336415.4,131526.2,0.106,0.629,0.101,0.164,239,22.05,15.54,0.18,1.54,6.45,7.81,0.25,1.55,9.87,8.99,0.00,0.00,0.235,0.249,1536,0.031,0.101,0.874,0.001,0.025,56658,50232,1,0.786,0.214,0.055,987043,0.177,2.255,0.032,12.79,23113,512,0.992,0.195,0.327,5482378,1.05,8.91,0.009,0.530,0.000,4.3,19.2,43.6,92.8,38857,0.148,0.00,0.0015,0.107,394,0.684,0.000,0.796,0.527,3.73,4.24,5.76,0.04,0.016,1.03,1.07,1.05,0.690,0.00106,2.60,12.5524,1709.27,108796.9,140185.7,12.152,16.6867,63.144,242.425,0.857,0.361,45.3,29.872,44.939,309,1034.1,46.36,3.269,32.001,4161.3,20.879,0.135,2.00,8.8725,20566.5,0.8719,0.4628,16.76,1.271,0.185,0.3634,0.0000,0.648,0.066,0.972,0.0000,7.16,0.86,4,15,31,64,26.8641,0.5546,0.5384
30000,3489,0.701,0.588,14.75,82341,58470,2114,10849,9737,353070,990392.8,587178.1,0.135,0.520,0.080,0.264,125,17.17,15.85,0.37,2.29,4.10,5.60,0.31,2.08,6.04,6.53,0.00,0.11,0.196,0.203,2114,0.013,0.059,0.913,0.002,0.026,278465,251654,21,0.588,0.207,0.064,2207010,0.205,2.603,0.046,9.84,113715,683,1.663,0.190,0.369,19218698,1.10,10.76,0.001,0.543,0.001,3.3,12.4,35.4,190.3,37748,0.144,0.00,0.0047,0.094,465,0.900,0.000,0.914,0.707,2.82,3.92,4.09,0.08,0.037,1.06,1.15,1.10,0.906,0.00071,3.70,64.4857,2247.51,93978.6,140185.7,96.261,97.7932,161.335,662.537,0.986,0.300,62.9,68.908,254.875,563,2432.7,49.87,6.653,158.342,4587.7,93.600,0.134,2.00,9.4222,32874.1,1.5166,0.8017,10.82,1.541,0.290,1.6366,0.0000,0.509,0.108,0.446,0.0000,6.61,0.94,2,8,22,78,57.1206,9.3130,0.6019
40000,2357,0.726,0.397,13.10,26840,22602,763,2817,1790,136964,314281.1,139491.8,0.081,0.641,0.099,0.179,233,24.46,18.65,0.79,3.05,4.83,7.77,0.20,1.73,10.53,8.90,0.00,0.06,0.140,0.199,1502,0.036,0.088,0.889,0.001,0.022,48506,41475,2,0.620,0.016,0.027,830214,0.166,2.098,0.029,11.93,20849,754,1.018,0.140,0.291,7152439,1.23,11.34,0.004,0.502,0.003,5.6,20.7,47.0,177.0,38537,0.147,0.00,0.0013,0.087,433,0.746,0.000,0.826,0.469,3.79,4.44,6.37,0.28,0.110,1.14,1.33,1.24,0.752,0.00118,2.56,9.2032,1081.73,102750.3,140185.7,13.965,15.8676,61.138,215.659,0.904,0.350,48.4,28.017,45.659,335,1369.6,46.90,3.042,31.082,3561.7,19.585,0.134,2.00,11.8897,28023.9,1.1140,0.6503,16.35,1.389,0.270,0.3634,0.0000,0.571,0.063,0.918,0.0000,8.11,1.03,4,15,29,97,24.3996,0.8392,0.6300
50000,3961,0.713,0.525,19.94,129174,90553,1756,19389,15872,525628,1015323.6,685832.0,0.141,0.511,0.118,0.230,115,16.34,14.41,0.14,1.32,4.03,5.84,0.06,0.76,4.95,5.89,0.00,0.02,0.199,0.193,2169,0.044,0.073,0.877,0.004,0.047,279192,240584,4,0.660,0.166,0.013,697061,0.294,2.136,0.043,10.35,126215,603,1.305,0.201,0.375,21674809,1.05,16.07,0.000,0.507,0.001,3.8,13.5,33.0,153.2,36341,0.139,0.00,0.0052,0.090,608,0.855,0.000,0.898,0.541,2.40,3.23,3.62,0.01,0.005,1.04,1.06,1.05,0.865,0.00104,3.87,54.4692,1588.82,100387.4,140185.7,92.474,90.8101,191.635,750.078,0.987,0.325,70.7,80.757,255.365,522,2327.7,46.31,6.724,161.450,4330.8,97.021,0.135,2.00,6.8178,27005.2,1.3545,0.8090,9.17,1.791,0.277,1.6366,0.0000,0.582,0.080,0.868,0.0000,7.37,0.93,2,7,19,67,67.3923,9.2584,0.5526
60000,2663,0.603,0.160,13.13,29056,24073,626,3690,1965,104469,322816.3,113430.3,0.218,0.566,0.118,0.098,242,18.15,9.77,0.18,1.40,0.65,3.21,0.03,0.72,15.57,8.04,0.00,0.00,0.024,0.114,677,0.236,0.086,0.885,0.000,0.029,41689,35562,0,0.000,1.000,0.004,100290,0.265,1.393,0.011,16.67,20334,559,1.086,0.196,0.211,4174542,1.05,16.85,0.000,0.054,0.000,7.9,16.5,30.3,91.2,43748,0.167,0.00,0.0008,0.117,621,0.561,0.000,0.585,0.338,3.63,3.43,6.66,0.01,0.003,1.02,1.07,1.06,0.568,0.00117,4.69,8.0593,1055.78,91233.5,140185.7,13.469,13.1056,60.713,190.778,0.935,0.299,82.9,27.357,35.936,30,87.8,44.08,2.623,24.712,1149.8,15.456,0.134,2.00,16.4013,43676.8,1.1689,0.6481,16.43,1.101,0.071,0.3634,0.0000,0.610,0.042,0.986,0.0000,9.21,0.67,7,15,28,72,23.1983,1.0418,0.5287
70000,3377,0.663,0.495,13.63,139905,103824,2742,8575,24050,252866,1116450.8,578448.5,0.151,0.351,0.300,0.198,128,17.47,14.95,0.11,1.04,5.12,7.49,0.10,1.21,7.18,6.95,0.00,0.05,0.184,0.241,1929,0.010,0.092,0.879,0.001,0.028,345624,318084,2,0.503,0.496,0.017,511086,0.265,2.460,0.040,12.69,134023,683,2.288,0.181,0.305,12816939,1.03,15.45,0.008,0.440,0.001,3.0,12.5,37.0,122.3,42251,0.161,0.00,0.0046,0.089,549,0.759,0.000,0.855,0.597,3.07,3.66,4.66,0.03,0.009,1.02,1.05,1.04,0.765,0.00079,7.55,64.6745,1980.70,95518.5,140185.7,97.146,70.7343,199.465,905.832,0.996,0.308,66.2,93.144,250.228,429,2082.6,102.20,4.926,150.762,3789.6,105.860,0.135,2.00,9.7938,33073.6,1.3219,0.7978,12.51,1.316,0.239,1.6366,0.0000,0.605,0.070,0.938,0.0000,7.96,1.56,3,10,25,81,79.0086,11.4772,0.6076
80000,2435,0.769,0.408,15.92,29202,23115,784,4252,1993,185640,306872.4,156443.2,0.165,0.461,0.233,0.141,226,21.74,16.75,0.09,0.99,5.76,7.35,0.05,0.80,7.97,7.22,0.00,0.04,0.179,0.208,1514,0.018,0.115,0.866,0.001,0.018,48765,39607,2,0.467,0.173,0.009,208127,0.246,2.064,0.030,10.39,22059,655,0.843,0.127,0.312,4216243,1.03,9.66,0.003,0.494,0.000,3.6,17.9,43.6,118.5,33780,0.129,0.00,0.0016,0.099,383,0.625,0.000,0.729,0.430,3.41,3.88,5.46,0.01,0.002,1.03,1.04,1.04,0.637,0.00117,2.09,8.9982,1254.78,103807.4,140185.7,13.940,17.0466,61.022,230.143,0.857,0.349,50.8,27.291,47.319,272,1026.8,41.46,2.927,33.114,3846.1,20.430,0.131,2.01,10.9693,26710.2,1.2542,0.5905,13.87,1.468,0.373,0.3634,0.0000,0.652,0.091,0.969,0.0000,7.00,0.87,3,13,25,63,23.4815,0.9496,0.5844
90000,3385,0.794,0.419,16.04,109796,78667,2599,12017,15563,336212,1061939.9,581095.9,0.155,0.369,0.291,0.185,125,20.21,18.68,0.25,1.79,4.39,6.56,0.06,0.90,7.52,6.73,0.00,0.00,0.126,0.176,1869,0.017,0.084,0.887,0.001,0.027,287146,254327,12,0.347,0.282,0.010,486220,0.296,2.029,0.034,9.90,122913,652,1.728,0.176,0.293,14090589,1.08,11.90,0.011,0.411,0.000,3.0,13.3,46.3,129.5,41400,0.158,0.00,0.0042,0.079,539,0.810,0.000,0.866,0.621,3.04,3.66,4.56,0.02,0.007,1.06,1.10,1.09,0.818,0.00094,3.84,59.1963,1803.94,88853.2,140185.7,96.623,84.0402,184.174,792.840,0.968,0.275,73.7,82.145,255.051,345,1452.8,49.78,6.143,157.778,3253.9,101.276,0.135,2.00,11.9157,40334.6,1.6168,0.8159,12.23,1.499,0.402,1.6366,0.0000,0.681,0.108,0.947,0.0000,7.02,0.96,2,10,25,67,65.7578,13.2127,0.5684
100000,2877,0.513,0.168,13.05,24962,19625,1247,2446,2152,91851,339250.4,129356.1,0.143,0.547,0.200,0.111,251,10.98,4.28,0.01,0.14,0.07,0.79,0.03,0.52,10.96,4.31,0.00,0.00,0.006,0.059,344,0.136,0.099,0.880,0.000,0.021,49461,43136,1,1.000,0.000,0.007,109527,0.247,1.448,0.011,16.83,21003,746,1.408,0.144,0.168,4003300,1.00,8.85,0.000,0.016,0.000,6.3,11.0,16.0,32.0,31865,0.122,0.00,0.0011,0.140,709,0.503,0.000,0.672,0.518,3.33,2.92,6.30,0.00,0.000,1.00,1.00,1.00,0.508,0.00098,5.69,11.7234,1314.78,91988.2,140185.7,12.828,12.5692,62.478,206.071,0.890,0.308,75.4,28.759,34.675,10,32.1,45.16,1.663,24.182,1126.9,17.058,0.137,2.00,15.0377,43263.5,1.5595,0.6966,11.08,1.001,0.097,0.3634,0.0000,0.544,0.047,0.831,0.0000,6.79,0.63,6,11,16,36,23.9984,1.9530,0.5120
