run,kind,share,held,side,cells,bodies,born_size,hard,open_born,travel,wood,kills,land,surface,bottom,cold,lead,mass,pace,grass,fruit,crown
crown 9,flesh / no tooth / roams / shore,0.021654,False,4,4444222422222222,3668,16,0.0020753,1,16.5,0.00078775,0.65318,0.45638,0,0.54226,0.026718,litter,32,0.696,0.45725,0.00050715,0.0013631
crown 9,mixed / tooth / stays / land,0.020703,False,6,111111114222142222144222144444144444,3507,40,0.30515,0.41667,5.25,0.10501,0.35627,0.96607,0,0.023097,0.078129,grass,73.31,0.464,0.79187,0.0049183,0.010835
crown 9,mixed / no tooth / stays / land,0.01954,False,5,4444444444444444444444444,3310,36,0.080379,0.66667,0,0.0008123,0.25312,0.96858,0.00030211,0.031118,0.027492,grass,72,0.469,0.97261,0,0
crown 9,plant / tooth / stays / land,0.011494,False,7,0411111044222244222214442211444441104444110444444,1947,36,0.38865,0.36111,1.5,0.066078,0.20545,0.97124,0,0.017976,0.077042,grass,73.45,0.464,0.89415,0.0025762,0.010786
crown 9,plant / no tooth / roams / shore,0.0091975,False,4,4444444442242222,1558,22,0.0087297,1.1765,15.5,0.00018255,0.19209,0.34467,0.054557,0.38703,0.060334,litter,32,0.701,0.32908,0.22563,0.21374
crown 9,plant / no tooth / roams / bottom,0.0090854,False,4,4444422442244224,1539,16,0.0072382,1.125,15.75,0,0.16782,0.023392,0,0.97596,0.012995,litter,32,0.699,0.015593,0.0010917,0.00064977
crown 9,plant / tooth / roams / surface,0.0078102,False,7,4422222444200044410004400000440000044000004000000,1323,26,0.11722,1.0833,14.5,3.5877e-08,0.20005,0.013605,0.98639,0,0.012094,algae,26,0.768,0.0029034,0,0
crown 9,mixed / no tooth / roams / land,0.0074501,False,6,222222222222224422244442444442444442,1262,36,0.0018529,0.66667,11.75,8.1432e-06,0.376,0.93423,0,0.065769,0.24881,grass,72,0.466,0.95881,0,0
crown 9,mixed / tooth / stays / shore,0.0071018,False,7,0001111000422200422220442244044444400444440044444,1203,32,0.203,0.58621,5.75,0.099803,0.33748,0.84539,0,0.070657,0.048213,grass,54.01,0.541,0.69877,0.039509,0.083957
crown 9,plant / no tooth / stays / surface,0.0051655,False,7,2222222222222222000000440000444000044400004444000,875,38,0.026031,1.0833,4,2.2948e-08,0.13659,0.022857,0.97714,0,0.0068571,algae,35.98,0.655,0.005389,0,0
crown 9,plant / tooth / roams / shore,0.004953,False,7,4422222444200044410004400000440000044000004000000,839,24,0.13272,0.90909,14.5,0.060065,0.25417,0.30632,0.53516,0.013111,0.028605,algae,26,0.779,0.254,0.13701,0.14541
crown 9,flesh / no tooth / roams / bottom,0.0038431,False,4,2222222224424442,651,16,0.0019694,1,20,2.2756e-05,0.61951,0.0553,0,0.93856,0.029186,litter,32,0.701,0.03839,0.025647,0.0061444
crown 9,mixed / tooth / roams / surface,0.0036424,False,7,2244411224444100004440000044000000200000020000022,617,23,0.12144,1.2,19,0.005161,0.36347,0.04376,0.95624,0,0.024311,algae,23,0.828,0.014903,0,0
crown 9,flesh / tooth / roams / shore,0.0033591,False,6,001111001222002222002222000444000040,569,30,0.18272,0.68,16.5,0.081886,0.63808,0.75044,0,0.14938,0.042179,grass,48,0.574,0.49822,0.072277,0.10018
crown 9,mixed / no tooth / roams / surface,0.0017061,False,7,0044222044402200000000000000000000000000000000000,289,22,0.084098,1.3333,19.5,0.001985,0.36958,0.044983,0.95502,0,0.024221,algae,20,0.871,0.010407,0,0
crown 9,plant / tooth / stays / shore,0.0014345,False,7,1111111111112214411224444122444442244444224444422,243,47,0.12627,0.55814,1.75,0.086651,0.16697,0.84362,0.065844,0.08642,0.0082305,grass,62.17,0.506,0.74452,0.0010414,0.0041152
crown 9,flesh / no tooth / stays / shore,0.0013047,False,5,2222222222224222444244442,221,25,0.020187,0.8,4,8.373e-08,0.5769,0.49321,0,0.50226,0.036199,litter,50,0.565,0.47983,0.0059569,0.0045249
crown 9,plant / no tooth / roams / land,0.0011925,False,5,2222222222244224444444444,202,25,0.0054561,0.8,11.75,0,0.19942,0.96535,0,0.034653,0.25743,grass,50,0.5615,0.96074,0,0
crown 9,flesh / no tooth / stays / bottom,0.0010272,False,4,4442422222222222,174,16,0.0047562,1,1.5,0,0.49709,0,0,1,0.011494,litter,32,0.703,0.0030321,0,0
crown 9,flesh / no tooth / stays / land,0.00039553,False,8,2222222222222222222222222224222222444222244442222444422224444222,67,36,0.12691,0.64706,0.75,2.088e-05,0.62108,0.98507,0,0.014925,0.044776,grass,68.59,0.48,0.91497,0,0
crown 9,flesh / no tooth / roams / land,0.00014168,False,10,2222222222222222222222222222222222222222222444422224444444224444444422444444444244444444424444444444,24,25,0.026823,0.88,17.125,0,0.77774,1,0,0,0.041667,grass,50,0.559,0.99037,0,0
crown 9,flesh / tooth / stays / shore,0.00012988,False,4,4401444044200000,22,20.5,0.1153,0.875,5.75,0.01377,0.59495,0.27273,0,0.72727,0.090909,litter,33.99,0.678,0.13552,0,0
crown 9,plant / tooth / roams / land,0.00012988,False,5,4441144111422214222222222,22,25,0.24651,0.625,11.25,0.15243,0.25746,0.95455,0,0.045455,0.090909,grass,60,0.512,0.77673,0,0
crown 9,flesh / tooth / stays / land,5.9034e-05,False,7,0000002000202200242220011142111114411111141111114,10,36,0.30409,0.36923,3,0.065965,0.72165,1,0,0,0,grass,71.14,0.4715,0.68299,0,0
crown 9,plant / no tooth / roams / crown,4.1324e-05,False,4,2222222224444444,7,16,0,1,19.75,0,0.29094,0,0,0,0,fruit,32,0.706,0.054758,0.94524,1
crown 9,flesh / no tooth / roams / surface,3.5421e-05,False,7,4444444444444444444444440444220004422222222222222,6,45,0,0.88889,25.125,0,0.70313,0,1,0,0,algae,44.71,0.5975,0,0,0
crown 9,flesh / tooth / roams / land,3.5421e-05,False,5,1111114441222222222222222,6,25,0.30435,0.42,16.25,0.092535,0.78059,1,0,0,0.83333,grass,64,0.497,0.51469,0,0
crown 9,mixed / tooth / roams / bottom,2.9517e-05,False,4,0222422244424441,5,16,0.045455,1.2,24.25,0,0.46918,0,0,1,0,litter,32,0.699,0,0,0
crown 9,mixed / no tooth / roams / crown,2.9517e-05,False,5,0220002200224202444024442,5,16,0,1,29.5,0,0.39943,0,0,0,0,fruit,32,0.694,0.0024823,0.99752,1
crown 9,mixed / tooth / stays / bottom,2.3614e-05,False,8,1111111112222211422222210000002100000021444444444444444444444444,4,43,0.19318,0.81159,3.625,0,0.44151,0,0,1,0,litter,49.32,0.5965,0,0,0
crown 9,flesh / tooth / roams / bottom,1.1807e-05,False,5,0000202222240422144411444,2,24,0.125,1.0732,20.625,0,0.61952,0,0,1,0,litter,47,0.577,0,0,0
crown 9,flesh / tooth / stays / bottom,1.1807e-05,False,5,1111144221444204440044400,2,25,0.24,0.575,2.125,0.024142,0.75945,0,0,1,0,litter,52,0.5525,0,0,0
crown 9,plant / tooth / roams / bottom,5.9034e-06,False,5,4000444444442244222142221,1,25,0.08,0.86364,10.5,0,0,0,0,1,0,litter,48,0.569,0,0,0
crown 9,mixed / no tooth / stays / surface,5.9034e-06,False,8,4444444444444444444444444000044440000044400000444400044444444444,1,47,0,1.0638,0,0,0.60728,0,1,0,0,algae,46.45,0.585,0,0,0
crown 10,mixed / tooth / roams / shore,0.15974,True,6,111111114444224444224442222222222222,19328,36,0.21178,0.51613,16,0.084237,0.45327,0.68652,0.0065708,0.063431,0.042063,grass,41.76,0.615,0.60537,0.16136,0.24348
crown 10,mixed / no tooth / stays / bottom,0.13146,False,4,4444444444444444,15906,16,0.0086772,1,1.5,8.2043e-05,0.239,0.036276,0,0.96372,0.0062869,litter,32,0.7,0.017396,0,0
crown 10,mixed / no tooth / stays / shore,0.12516,True,4,4444444444444444,15143,25,0.029018,0.95238,1.25,0.0016876,0.2598,0.37509,0.0028396,0.61368,0.047877,litter,33.88,0.677,0.39379,0.0064854,0.0083867
crown 10,plant / no tooth / stays / shore,0.11549,False,4,4332222242244444,13974,16,0.02532,1.125,0.5,0.0013245,0.08742,0.42135,0.034922,0.54086,0.060469,litter,32,0.693,0.43449,0.001112,0.0028625
crown 10,plant / no tooth / roams / surface,0.075723,False,8,4444444240000442000000220000002200000022000000224000044244444442,9162,32,0.00044218,1.1613,18.25,0,0.066152,0.026086,0.97391,0,0.010587,algae,30.94,0.716,0.010217,0.00011008,0
crown 10,plant / no tooth / stays / bottom,0.069318,False,4,4444444444444444,8387,16,0.0067937,1,0.25,1.0261e-05,0.080485,0.023131,0,0.97663,0.0076309,litter,29,0.722,0.013791,0.0002633,0.00023846
crown 10,mixed / no tooth / roams / shore,0.057954,False,4,2222222242244444,7012,16,0.012708,1,16,0.0010601,0.44932,0.37436,0.0042784,0.61751,0.060183,litter,32,0.697,0.39239,0.0054005,0.0038505
crown 10,plant / no tooth / stays / land,0.042283,False,8,4444444444444444444444444444444444444444444444444444444444444444,5116,49,0.15936,0.4898,0,0.0015535,0.062165,0.97713,0.005473,0.013878,0.040266,grass,73.97,0.461,0.98167,0.0001392,0.0035184
crown 10,mixed / no tooth / roams / bottom,0.041647,False,4,4444422422222222,5039,16,0.0087774,1,16,0.00020145,0.37341,0.036714,0,0.96329,0.012899,litter,32,0.701,0.019976,1.5987e-06,0
crown 10,mixed / tooth / stays / shore,0.029746,False,5,4222422224422114411444444,3599,36,0.25173,0.46875,5.25,0.054711,0.34043,0.80106,0.00027785,0.11976,0.08808,grass,48.32,0.571,0.76586,0.042869,0.078911
crown 10,flesh / no tooth / roams / shore,0.028531,False,4,2222222222224444,3452,16,0.016476,1,17,0.0013859,0.69479,0.4383,0,0.56083,0.022885,litter,32,0.699,0.42196,0.00021588,0.00086906
crown 10,mixed / tooth / stays / land,0.017704,False,6,111111144411244441244441222221222221,2142,49,0.35059,0.34884,4.25,0.064463,0.37083,0.93884,0.00046685,0.038749,0.05042,grass,64.1,0.496,0.84646,0.0042068,0.021942
crown 10,mixed / tooth / roams / land,0.017646,False,7,1111111144444124444412444442224442222222220022222,2135,49,0.30967,0.38095,12,0.088939,0.52984,0.92506,0.0074941,0.04356,0.048244,grass,60.98,0.51,0.73768,0.0090954,0.023888
crown 10,mixed / no tooth / stays / land,0.015637,False,5,4444444444444444444444444,1892,25.5,0.090959,0.8,0,0.0050646,0.17352,0.98996,0,0.010042,0.10359,grass,51.785,0.552,0.96823,0,0
crown 10,plant / no tooth / roams / bottom,0.012538,False,4,4444440442002220,1517,16,0.0087619,1.125,16.5,0,0.17339,0.015821,0,0.98418,0.0039552,litter,28,0.749,0.010097,0.00053542,0
crown 10,flesh / tooth / roams / shore,0.010893,False,4,2222222222214444,1318,36,0.29357,0.48276,15.75,0.079375,0.64399,0.72914,0.0045524,0.11457,0.030349,grass,45.425,0.591,0.51077,0.098054,0.15175
crown 10,flesh / no tooth / roams / bottom,0.010075,False,4,4444444422222222,1219,16,0.0027502,1,14.75,2.2574e-05,0.59665,0.04676,0,0.95324,0.014766,litter,32,0.703,0.043134,0,0
crown 10,plant / no tooth / roams / shore,0.0092154,False,8,2222222200002222000002220000002200000042400004444444444444444444,1115,36,0.0084001,0.9697,14.77,0.0016495,0.1452,0.22063,0.36413,0.39552,0.036771,litter,35.78,0.661,0.25154,0.017985,0.019731
crown 10,flesh / tooth / stays / land,0.0057028,False,7,1111111111111111444112244002222000222222222222222,690,44,0.50025,0.33333,7.25,0.059682,0.65871,0.94348,0,0.03913,0.056522,grass,64.005,0.498,0.77602,0.0046523,0.017391
crown 10,flesh / no tooth / stays / shore,0.0042316,False,5,4444442244423222222222222,512,16,0.0097018,1,5,0.0019905,0.63334,0.52148,0,0.47656,0.0058594,grass,32,0.6935,0.55954,0.00024315,0.0019531
crown 10,plant / no tooth / stays / surface,0.0041159,False,8,4444444244422224000222240000222400000244000000440000000400000044,498,28,0.0026523,1.0714,3.75,0,0.048926,0.026104,0.9739,0,0.0080321,algae,27.95,0.753,0.029034,0,0
crown 10,flesh / no tooth / stays / bottom,0.003992,False,4,2222222222224222,483,16,0.0076289,1,3,0,0.57438,0.0020704,0,0.99793,0.0062112,litter,32,0.704,2.5258e-05,0,0
crown 10,plant / tooth / roams / shore,0.002058,False,7,4444444114444111444422200002220000222200222222222,249,39,0.13987,0.85714,14.5,0.048355,0.23954,0.40562,0.55823,0.02008,0.044177,algae,40.12,0.625,0.39822,0.022225,0.016064
crown 10,plant / tooth / stays / land,0.0018183,False,8,4444444144444441444444414444444124444441244444412244444122244441,220,64,0.17613,0.38596,0,0.02088,0.070081,1,0,0,0.095455,grass,86.5,0.429,0.96308,0,0
crown 10,plant / tooth / stays / shore,0.0015786,False,4,4221222142214441,191,16,0.32121,0.6875,1.75,0.15481,0.23455,0.74869,0.0052356,0.24084,0.10471,grass,46,0.588,0.61906,0.0014044,0.0052356
crown 10,flesh / no tooth / stays / land,0.0015373,False,4,4444444444444444,186,25,0.079709,0.8,0,7.2324e-05,0.48374,0.97312,0,0.026882,0.021505,grass,43.975,0.599,0.92881,0,0
crown 10,mixed / no tooth / roams / land,0.000967,False,7,2444444244444424444442444442224442222222222222222,117,25,0.033927,0.83333,12.5,0.021752,0.38424,1,0,0,0.25641,grass,41.83,0.614,0.92083,0,0
crown 10,plant / no tooth / roams / land,0.00065293,False,7,4444444444444444444444422244422222422222222222222,79,25,0.020101,0.84,11,0.011169,0.16075,1,0,0,0.20253,grass,50,0.55,0.87543,0,0
crown 10,mixed / no tooth / roams / surface,0.00061987,False,6,440000444000444000224000222200222220,75,20,0.0030358,1.1,58.25,0,0.40797,0.013333,0.98667,0,0.013333,algae,19.92,0.883,0.0039047,0,0
crown 10,flesh / tooth / roams / land,0.00053722,False,5,1111144441244422222222222,65,36,0.26299,0.45455,12.5,0.079857,0.64791,0.93846,0,0.061538,0.015385,grass,64.78,0.493,0.69882,0.013807,0
crown 10,flesh / no tooth / roams / land,0.00044631,False,5,2222222222224222222222222,54,25,0.038556,0.95238,12.635,0.0099822,0.73604,1,0,0,0.074074,grass,42,0.614,0.90828,0,0
crown 10,mixed / tooth / roams / bottom,0.0003058,False,7,4444444444444444004440000044000000000000000000000,37,30,0.115,0.96,12.25,5.9793e-05,0.36872,0,0,1,0,litter,39.23,0.63,0.17621,0,0
crown 10,mixed / tooth / stays / bottom,0.0001405,False,8,4444444444444444440044444400044440000044400000442222204412222211,17,48,0.07289,1.0682,3,0.00065302,0.35107,0,0,1,0,litter,64.51,0.496,7.1263e-18,0,0
crown 10,flesh / tooth / stays / shore,0.00013224,False,4,4441444224422200,16,16,0.14583,0.875,5.125,0.001287,0.70694,0.5,0,0.5,0,litter,36,0.665,0.25173,0,0
crown 10,plant / tooth / stays / bottom,0.00010744,False,4,4441444124422222,13,25,0.1134,0.75,0,0,0.16048,0,0,1,0,litter,42,0.61,0,0,0
crown 10,plant / tooth / roams / land,7.4384e-05,False,6,111441144444244444244444222444222244,9,36,0.18182,0.52778,20.25,0.058375,0.12596,1,0,0,0.44444,grass,43.92,0.599,0.88715,0,0
crown 10,flesh / tooth / stays / bottom,7.4384e-05,False,4,4011422142222222,9,17,0.14118,0.8125,3,0.00020806,0.83494,0,0,1,0,litter,36,0.662,0.045443,0,0
crown 10,flesh / tooth / roams / bottom,3.306e-05,False,7,1111111114411111444112144441224442222222222222022,4,20.5,0.24038,1.069,17.375,0.0017292,0.769,0,0,1,0,litter,35,0.6725,0.032621,0,0
crown 10,mixed / no tooth / stays / surface,2.4795e-05,False,5,0004400444023440224402224,3,17,0,1.125,2.3,0,0.36739,0,1,0,0,algae,15.13,1,0,0,0
crown 10,plant / tooth / roams / bottom,1.653e-05,False,6,114440144400144400214000220000222000,2,18.5,0.16216,1.1,18.5,0.1407,0,0,0,1,0,litter,24.095,0.8175,0.071238,0,0
crown 10,plant / tooth / roams / crown,8.2649e-06,False,6,114440044444044444224440222220022200,1,28,0.071429,0.78571,34,0.029079,0,0,0,0,0,fruit,39.82,0.631,0.00012356,0.9708,1
crown 10,mixed / no tooth / stays / crown,8.2649e-06,False,4,0444444420000000,1,16,0,1.75,0.5,0,0.29607,0,0,0,0,grass,16,0.999,0.97239,0.027615,1
crown 10,plant / no tooth / stays / crown,8.2649e-06,False,4,0044004400440024,1,16,0,1.5,3,0,0,0,0,0,0,grass,16,0.999,0.86263,0.13737,1
crown 10,mixed / tooth / roams / crown,8.2649e-06,False,6,110100114400224400224400222200222200,1,36,0.16667,0.6087,50.75,0.0066737,0.45078,0,0,0,0,fruit,28.58,0.748,0,0.98777,1
crown 10,flesh / no tooth / stays / crown,8.2649e-06,False,7,1111111111111101044110004441000442000000000000000,1,49,0.36735,0.26923,3.75,0.018827,0.92367,0,0,0,0,grass,40.81,0.625,0.50292,0.13723,1
crown 10,flesh / tooth / roams / surface,8.2649e-06,False,5,1100010000204402444422444,1,25,0.12,1.0625,11.5,0,0.6671,0,1,0,0,algae,16.93,0.969,0,0,0
crown 10,plant / tooth / roams / surface,8.2649e-06,False,6,111111114411144441144444244442222222,1,36,0.36111,0.30556,11.75,0,0.17995,0,1,0,0,algae,43.6,0.6,0.0013043,0,0
crown 10,flesh / no tooth / roams / surface,8.2649e-06,False,9,444440000444400000444000000440000000440000000400000000200000000220000000420000000,1,22,0,1.3636,22.5,0,0.73874,0,1,0,0,algae,20.7,0.876,0,0,0
crown 11,mixed / no tooth / roams / shore,0.16286,True,4,2222222244444444,13434,16,0.0058441,1,16,0.00054964,0.44299,0.30467,0.0040197,0.68505,0.046226,litter,32,0.7,0.28469,0.0077769,0.0062528
crown 11,mixed / no tooth / stays / bottom,0.11987,False,4,4432422242244444,9888,16,0.0064103,1.25,1.75,1.172e-05,0.19538,0.020024,0,0.97987,0.0031351,litter,31.93,0.701,0.011385,8.5929e-05,0.00010113
crown 11,mixed / no tooth / stays / shore,0.11534,True,4,2222222244424442,9514,16,0.034092,1,1.75,0.0029572,0.23255,0.32836,0.00073576,0.66239,0.027854,litter,32,0.699,0.34444,0.0057889,0.0085138
crown 11,mixed / tooth / roams / shore,0.094872,False,6,111111222221222222422222444444444444,7826,49,0.23831,0.47222,20,0.1043,0.44421,0.67685,0.038973,0.049067,0.048045,grass,43.325,0.603,0.53393,0.18347,0.23511
crown 11,plant / no tooth / stays / shore,0.084725,False,4,4444444444444444,6989,16,0.02545,1.125,0,0.00044298,0.068315,0.38575,0.066533,0.54242,0.025039,grass,32,0.699,0.49029,0.005002,0.005294
crown 11,mixed / tooth / stays / land,0.061062,False,6,111111112222422222444224444444444444,5037,48,0.36577,0.41667,3,0.037458,0.29878,0.96724,0.022037,0.0081398,0.11435,grass,53.3,0.544,0.91291,0.0047887,0.0025809
crown 11,plant / no tooth / stays / bottom,0.059122,False,4,4444444444444444,4877,16,0.0048586,1,0,5.5852e-08,0.058555,0.018864,0,0.98052,0.0036908,litter,30,0.707,0.012552,0.00056205,0.00061513
crown 11,plant / no tooth / roams / surface,0.058383,False,7,4444444444440044440002000000200000022000002220000,4816,24,0.0087553,1.3333,22.75,0.00065747,0.17433,0.039452,0.96055,0,0.01495,algae,23.99,0.809,0.020329,0.00077157,0
crown 11,mixed / tooth / roams / land,0.058201,False,8,1111111111111111112222112222222222222224222224444444444444444444,4801,49,0.33735,0.32653,15.25,0.13036,0.43098,0.95605,0.041866,0,0.048532,grass,52.35,0.549,0.69208,0.023508,0.0020829
crown 11,flesh / no tooth / roams / shore,0.037059,False,4,2222222242224444,3057,16,0.0001204,1,23,0,0.68406,0.36735,0,0.63101,0.0386,litter,32,0.701,0.37676,0.00030306,0.0016356
crown 11,mixed / no tooth / roams / bottom,0.035083,False,4,2222222244424444,2894,16,0.0056578,1.25,16.375,9.8762e-07,0.36236,0.029717,0,0.97028,0.0076019,litter,32,0.701,0.014969,0,0
crown 11,plant / no tooth / stays / land,0.020184,False,7,4444444444444444444444444444444444444444444444444,1665,50,0.090757,0.57143,0,0.0021959,0.05358,0.98559,0.0036036,0.0084084,0.022823,grass,73.54,0.464,0.97968,0.00050425,0.0024024
crown 11,mixed / tooth / stays / shore,0.017178,False,7,1111111111111111222112222222442222244444444444444,1417,49,0.36254,0.41667,4,0.05338,0.33608,0.76994,0.0091743,0.078335,0.042343,grass,53.49,0.544,0.74139,0.069419,0.14255
crown 11,plant / no tooth / roams / shore,0.016281,False,7,4444444444440044440002000000200000022000002220000,1343,23,0.036637,1.1304,16.25,0.0025795,0.15637,0.25763,0.48995,0.24497,0.046165,algae,26,0.772,0.20649,0.01513,0.007446
crown 11,mixed / no tooth / stays / land,0.012959,False,7,4444444444444444444444444444444444444444444444444,1069,36,0.12285,0.66667,0,0.00076772,0.11154,0.97661,0.0065482,0.016838,0.03087,grass,54.36,0.54,0.95278,0,0
crown 11,plant / no tooth / roams / bottom,0.0097224,False,7,4444444444444044444002000000200000022000002220000,802,24,0.021783,1.1304,16.5,0.00061154,0.1372,0.027431,0,0.97257,0.014963,litter,27.88,0.749,0.030841,0,0
crown 11,flesh / no tooth / roams / bottom,0.0097103,False,4,2222222200024444,801,16,0.0014456,1.0667,23.5,0,0.61633,0.022472,0,0.97628,0.0087391,litter,30,0.721,0.018465,0.00062805,0.0012484
crown 11,plant / tooth / stays / shore,0.0040853,False,7,4000000410000044000014422201442224444222444444444,337,36,0.20423,0.72727,4.5,0.092304,0.19824,0.53412,0.068249,0.39763,0.18101,grass,42.3,0.608,0.4577,0,0
crown 11,flesh / no tooth / stays / bottom,0.0039399,False,5,4444442224220222202222222,325,23,0.0014176,1.2,2.75,0,0.51414,0.015385,0,0.98462,0.027692,litter,35.33,0.672,0.024156,0,0
crown 11,plant / tooth / stays / land,0.0034307,False,7,4442211442221144111114411111444111144441114444411,283,49,0.34409,0.34694,0.25,0.028897,0.19737,0.98587,0.014134,0,0.035336,grass,62.3,0.502,0.94155,0.004084,0
crown 11,plant / no tooth / stays / surface,0.0031519,False,7,4444444444444044440002000000200000022000002220000,260,32,0.033684,1.0806,1.75,2.0593e-06,0.14012,0.0038462,0.99615,0,0.0076923,algae,31.145,0.706,0.0047607,0,0
crown 11,flesh / no tooth / stays / shore,0.0023639,False,4,2222222222224422,195,16,0.019638,1,4,0,0.59592,0.21538,0.0051282,0.77949,0.020513,litter,32,0.703,0.16088,3.788e-05,0
crown 11,mixed / no tooth / roams / surface,0.0020002,False,6,222000222200222220440000444444444444,165,26,0.023751,1.1538,27,0.00079658,0.35587,0.024242,0.97576,0,0.054545,algae,25.83,0.782,0.0015881,0,0
crown 11,mixed / no tooth / roams / land,0.0011274,False,6,222244222444224444244444244444244444,93,36,0.078624,0.69565,16,0.0047398,0.38911,0.98925,0,0.010753,0.33333,grass,32,0.687,0.83911,0.065222,0
crown 11,flesh / no tooth / roams / land,0.0010789,False,4,2222222222224442,89,16,0,1,17.5,0,0.70809,0.97753,0,0.022472,0.033708,grass,32,0.702,0.88233,0,0
crown 11,plant / tooth / roams / shore,0.0010547,False,7,1000000200000020000002400000244444422444442244444,87,36,0.2179,0.48571,24.5,0.054298,0.24094,0.3908,0.33333,0.011494,0.045977,grass,34.75,0.672,0.3807,0.2649,0.26437
crown 11,plant / tooth / roams / land,0.0010183,False,7,1111111111111112222211222221422224444444444444444,84,49,0.36439,0.32653,16.75,0.13224,0.23316,1,0,0,0.16667,grass,55.09,0.5365,0.74683,0.037359,0
crown 11,flesh / no tooth / stays / land,0.00070312,False,6,444444444444442444422244422244444444,58,36,0.20227,0.52174,0.625,0.0017709,0.4502,1,0,0,0.10345,grass,46.86,0.5775,0.95103,0,0
crown 11,flesh / tooth / roams / land,0.00054552,False,7,1111111111111112222222222222222222244222244444444,45,49,0.30698,0.36364,21,0.064597,0.68678,0.97778,0,0.022222,0.022222,grass,52.5,0.552,0.67416,0.034627,0
crown 11,mixed / tooth / roams / crown,0.00050915,False,7,1111111111111111122111122221400200444000444444444,42,42,0.24737,0.47222,27.375,0.087355,0.47582,0,0,0,0,fruit,34.525,0.6735,0.20999,0.59974,1
crown 11,plant / no tooth / roams / land,0.00044854,False,4,0000222244444444,37,25,0.038934,1,17,0.002941,0.10442,0.97297,0,0.027027,0.081081,grass,32,0.696,0.82992,0.076209,0
crown 11,flesh / tooth / stays / land,0.00041217,False,7,4411111441111144411114441111222222222222222222222,34,49,0.40833,0.4359,4.875,0.1077,0.70756,1,0,0,0.029412,grass,92.135,0.4135,0.58007,0.008077,0
crown 11,plant / tooth / roams / crown,0.00033944,False,6,111111111111112220422200444200444400,28,36,0.21546,0.47059,32.75,0.045455,0.18739,0,0,0,0,fruit,30.415,0.714,0.087076,0.85661,1
crown 11,flesh / tooth / roams / shore,0.00032731,False,7,1111111111111122222222222222422222444444444444444,27,36,0.26197,0.5,18,0.065102,0.64175,0.44444,0.037037,0.25926,0,grass,41.84,0.614,0.3246,0.21719,0.25926
crown 11,flesh / tooth / roams / crown,0.00018184,False,6,011111011222022222024420444000444000,15,49,0.28687,0.55556,23.25,0.05528,0.70305,0,0,0,0,fruit,38.51,0.641,0.3139,0.4774,1
crown 11,plant / tooth / roams / bottom,0.00014547,False,5,2222222222240024444444441,12,23,0.026403,1.0435,15.875,0.032965,0.18279,0,0,1,0,litter,27.58,0.7525,0.073209,0,0
crown 11,plant / tooth / roams / surface,9.6981e-05,False,5,1111112221222224444400000,8,25,0.19655,0.90244,46.5,0.024184,0.10229,0,1,0,0,algae,21.465,0.86,0.073935,0.063589,0
crown 11,plant / no tooth / roams / crown,9.6981e-05,False,6,440444442444422244422244444444444444,8,36,0,0.72464,23.46,0,0.15328,0,0,0,0,fruit,25.28,0.774,0.066026,0.93397,1
crown 11,mixed / tooth / stays / bottom,8.4859e-05,False,7,1101111110001122000012200004220444422244442224444,7,43,0.13826,0.80556,0,0,0.2571,0,0,1,0,litter,46.07,0.588,0,0,0
crown 11,mixed / no tooth / roams / crown,6.0613e-05,False,6,111111111111111111422222444444444444,5,36,0.14851,0.72727,24.25,0.00054934,0.4163,0,0,0,0,fruit,30.84,0.711,0.14871,0.85028,1
crown 11,flesh / tooth / stays / shore,4.8491e-05,False,7,1101001110200211020021402002142200214422221444422,4,64,0.40249,0.33981,6.625,0.033247,0.66998,0.75,0,0.25,0,grass,97.935,0.402,0.81024,0,0
crown 11,mixed / no tooth / stays / surface,3.6368e-05,False,5,4444442224400244404444444,3,30,0,0.86667,0,0,0.54306,0,1,0,0,algae,28.92,0.742,0,0,0
crown 11,plant / tooth / stays / surface,2.4245e-05,False,7,4114444411220441220004122000442000044000004400000,2,43,0.081395,0.96512,3.5,0.13987,0,0,1,0,0,algae,42.935,0.612,0.019637,0,0
crown 11,mixed / tooth / roams / surface,2.4245e-05,False,8,1111100011111220111122201112222044222220444442204444442044000000,2,64,0.3125,0.40741,14.625,0.00032374,0.27762,0,1,0,0,grass,64.5,0.494,0.87672,0,0
crown 11,plant / tooth / stays / crown,1.2123e-05,False,5,1111111111122214422244444,1,25,0.48,0.36,2,0,0,0,0,0,0,fruit,26.37,0.774,0,1,1
crown 11,flesh / tooth / roams / surface,1.2123e-05,False,8,0000111102001111020022210200222202002222020022222444444440000000,1,64,0.1875,0.86842,14,0,0.75461,0,1,0,0,algae,36.03,0.662,0,0,0
crown 11,mixed / tooth / roams / bottom,1.2123e-05,False,6,400111422221422221444224444444444400,1,36,0.13889,0.59375,22.25,0.006106,0.3605,0,0,1,0,grass,55.65,0.526,0.56732,0,0
crown 11,flesh / no tooth / roams / surface,1.2123e-05,False,6,422244222224222224422244442444400044,1,36,0,0.78788,27.5,0,0.88466,0,1,0,0,algae,29.18,0.74,0,0,0
crown 11,plant / no tooth / stays / crown,1.2123e-05,False,7,1111111111111111111110111111040000004000004400000,1,49,0.55102,0.29032,0,0,0.19566,0,0,0,0,grass,54.54,0.541,0.93303,0.06697,1
