run,kind,lead,bodies,share,mass,pace,crown,grass,fruit,browse,algae,litter,kills
crown 10,flesh / no tooth / roams / surface,algae,1,8.2649e-06,20.7,0.876,0,0,0,0,1,0,0.73874
crown 11,mixed / no tooth / roams / shore,litter,13434,0.16286,32,0.7,0.0062528,0.28469,0.0077769,0.0012307,0.0048551,0.70145,0.44299
crown 11,mixed / no tooth / stays / bottom,litter,9888,0.11987,31.93,0.701,0.00010113,0.011385,8.5929e-05,2.0341e-05,3.4542e-05,0.98847,0.19538
crown 11,mixed / no tooth / stays / shore,litter,9514,0.11534,32,0.699,0.0085138,0.34444,0.0057889,0.0052368,0.0005373,0.64399,0.23255
crown 11,mixed / tooth / roams / shore,grass,7826,0.094872,43.325,0.603,0.23511,0.53393,0.18347,0.21136,0.031288,0.039947,0.44421
crown 11,plant / no tooth / stays / shore,grass,6989,0.084725,32,0.699,0.005294,0.49029,0.005002,0.00061978,0.058836,0.44525,0.068315
crown 11,mixed / tooth / stays / land,grass,5037,0.061062,53.3,0.544,0.0025809,0.91291,0.0047887,0.063533,0.012962,0.0058064,0.29878
crown 11,plant / no tooth / stays / bottom,litter,4877,0.059122,30,0.707,0.00061513,0.012552,0.00056205,7.5374e-08,0,0.98689,0.058555
crown 11,plant / no tooth / roams / surface,algae,4816,0.058383,23.99,0.809,0,0.020329,0.00077157,0.0008002,0.9781,0,0.17433
crown 11,mixed / tooth / roams / land,grass,4801,0.058201,52.35,0.549,0.0020829,0.69208,0.023508,0.25658,0.027603,0.00022887,0.43098
crown 11,flesh / no tooth / roams / shore,litter,3057,0.037059,32,0.701,0.0016356,0.37676,0.00030306,0,0,0.62294,0.68406
crown 11,mixed / no tooth / roams / bottom,litter,2894,0.035083,32,0.701,0,0.014969,0,1.9039e-06,0,0.98503,0.36236
crown 11,plant / no tooth / stays / land,grass,1665,0.020184,73.54,0.464,0.0024024,0.97968,0.00050425,0.0028367,0.0023159,0.014661,0.05358
crown 11,mixed / tooth / stays / shore,grass,1417,0.017178,53.49,0.544,0.14255,0.74139,0.069419,0.094162,0.0056588,0.089369,0.33608
crown 11,plant / no tooth / roams / shore,algae,1343,0.016281,26,0.772,0.007446,0.20649,0.01513,0.0032369,0.51633,0.25882,0.15637
crown 11,mixed / no tooth / stays / land,grass,1069,0.012959,54.36,0.54,0,0.95278,0,0.0012781,0.0084736,0.037472,0.11154
crown 11,plant / no tooth / roams / bottom,litter,802,0.0097224,27.88,0.749,0,0.030841,0,0.00081713,0,0.96834,0.1372
crown 11,flesh / no tooth / roams / bottom,litter,801,0.0097103,30,0.721,0.0012484,0.018465,0.00062805,0,0,0.98091,0.61633
crown 11,plant / tooth / stays / shore,grass,337,0.0040853,42.3,0.608,0,0.4577,0,0.13279,0.054281,0.35523,0.19824
crown 11,flesh / no tooth / stays / bottom,litter,325,0.0039399,35.33,0.672,0,0.024156,0,0,0,0.97584,0.51414
crown 11,plant / tooth / stays / land,grass,283,0.0034307,62.3,0.502,0,0.94155,0.004084,0.03964,0.014726,0,0.19737
crown 11,plant / no tooth / stays / surface,algae,260,0.0031519,31.145,0.706,0,0.0047607,0,2.4012e-06,0.99524,0,0.14012
crown 11,flesh / no tooth / stays / shore,litter,195,0.0023639,32,0.703,0,0.16088,3.788e-05,0,0.010039,0.82905,0.59592
crown 11,mixed / no tooth / roams / surface,algae,165,0.0020002,25.83,0.782,0,0.0015881,0,0.0012413,0.99717,0,0.35587
crown 11,mixed / no tooth / roams / land,grass,93,0.0011274,32,0.687,0,0.83911,0.065222,0.008929,0.0076661,0.079074,0.38911
crown 11,flesh / no tooth / roams / land,grass,89,0.0010789,32,0.702,0,0.88233,0,0,0.014732,0.10294,0.70809
crown 11,plant / tooth / roams / shore,grass,87,0.0010547,34.75,0.672,0.26437,0.3807,0.2649,0.074094,0.27455,0.005758,0.24094
crown 11,plant / tooth / roams / land,grass,84,0.0010183,55.09,0.5365,0,0.74683,0.037359,0.18149,0.034321,0,0.23316
crown 11,flesh / no tooth / stays / land,grass,58,0.00070312,46.86,0.5775,0,0.95103,0,0.0066389,0.00066914,0.041661,0.4502
crown 11,flesh / tooth / roams / land,grass,45,0.00054552,52.5,0.552,0,0.67416,0.034627,0.26988,0.0036295,0.017701,0.68678
crown 11,mixed / tooth / roams / crown,fruit,42,0.00050915,34.525,0.6735,1,0.20999,0.59974,0.17315,0.017118,0,0.47582
crown 11,plant / no tooth / roams / land,grass,37,0.00044854,32,0.696,0,0.82992,0.076209,0.0035106,0.023283,0.067077,0.10442
crown 11,flesh / tooth / stays / land,grass,34,0.00041217,92.135,0.4135,0,0.58007,0.008077,0.41186,0,0,0.70756
crown 11,plant / tooth / roams / crown,fruit,28,0.00033944,30.415,0.714,1,0.087076,0.85661,0.056317,0,0,0.18739
crown 11,flesh / tooth / roams / shore,grass,27,0.00032731,41.84,0.614,0.25926,0.3246,0.21719,0.23354,0,0.22467,0.64175
crown 11,flesh / tooth / roams / crown,fruit,15,0.00018184,38.51,0.641,1,0.3139,0.4774,0.20869,0,0,0.70305
crown 11,plant / tooth / roams / bottom,litter,12,0.00014547,27.58,0.7525,0,0.073209,0,0.044929,0,0.88186,0.18279
crown 11,plant / tooth / roams / surface,algae,8,9.6981e-05,21.465,0.86,0,0.073935,0.063589,0.027265,0.83521,0,0.10229
crown 11,plant / no tooth / roams / crown,fruit,8,9.6981e-05,25.28,0.774,1,0.066026,0.93397,0,0,0,0.15328
crown 11,mixed / tooth / stays / bottom,litter,7,8.4859e-05,46.07,0.588,0,0,0,0,0,1,0.2571
crown 11,mixed / no tooth / roams / crown,fruit,5,6.0613e-05,30.84,0.711,1,0.14871,0.85028,0.0010148,0,0,0.4163
crown 11,flesh / tooth / stays / shore,grass,4,4.8491e-05,97.935,0.402,0,0.81024,0,0.11164,0,0.078116,0.66998
crown 11,mixed / no tooth / stays / surface,algae,3,3.6368e-05,28.92,0.742,0,0,0,0,1,0,0.54306
crown 11,plant / tooth / stays / surface,algae,2,2.4245e-05,42.935,0.612,0,0.019637,0,0.14156,0.8388,0,0
crown 11,mixed / tooth / roams / surface,grass,2,2.4245e-05,64.5,0.494,0,0.87672,0,0.0005136,0.12277,0,0.27762
crown 11,plant / tooth / stays / crown,fruit,1,1.2123e-05,26.37,0.774,1,0,1,0,0,0,0
crown 11,flesh / tooth / roams / surface,algae,1,1.2123e-05,36.03,0.662,0,0,0,0,1,0,0.75461
crown 11,mixed / tooth / roams / bottom,grass,1,1.2123e-05,55.65,0.526,0,0.56732,0,0.013421,0,0.41926,0.3605
crown 11,flesh / no tooth / roams / surface,algae,1,1.2123e-05,29.18,0.74,0,0,0,0,1,0,0.88466
crown 11,plant / no tooth / stays / crown,grass,1,1.2123e-05,54.54,0.541,1,0.93303,0.06697,0,0,0,0.19566
