run,kinds_at,placed_at,travel,kills,top_share,fruit_led,grass_led,both_at,in_crowns,toothed,mass_fruit,pace_fruit,mass_grass,pace_grass,eat_grass,eat_fruit,eat_browse,eat_algae,eat_litter,eat_kills,eat_carrion,steps,pop,pop_land,pop_surface,pop_bottom,pop_crown,fruit_bank,browse_bank,climbs,err
control 9,7.451,4.7451,5.75,0.28294,0.57993,0,0.45461,0,0,0.27166,nan,nan,49.5,0.565,0.18362,0,0.02647,0.1113,0.23701,0.2823,0.1593,100000,9470,4059.5,1426.5,3984,0,0,2270.5,0,4.44e-14
control 10,8.2745,4.6471,4.25,0.2547,0.62815,0,0.33525,0,0,0.2567,nan,nan,44.48,0.594,0.17343,0,0.029187,0.12622,0.25051,0.25465,0.16599,100000,8902,3652.7,1227.5,4021.8,0,0,1909.3,0,6e-14
control 11,7.2549,4.4706,6,0.28421,0.42283,0,0.21379,0,0,0.1571,nan,nan,42.66,0.608,0.18457,0,0.027297,0.12153,0.22934,0.28458,0.15268,100000,9012,3692.6,1255.6,4063.8,0,0,2581.8,0,3.79e-14
crown 9,6.8431,3.0196,6,0.22685,0.55037,0,0.16582,0,0.04264,0.20785,nan,nan,46.9,0.58,0.18385,0.0095001,0.014012,0.094988,0.30042,0.22649,0.17074,100000,10578,3870.2,1237.1,5154.8,315.34,1406.9,1914,1.0323,3.89e-14
crown 10,6.5882,2.8039,4.75,0.27208,0.61914,0,0.19662,0,0.04587,0.20912,nan,nan,45,0.592,0.18781,0.0099375,0.014696,0.12397,0.23909,0.27217,0.15231,100000,9033.6,3604.3,1308.8,3809.4,311.12,1326,1732.8,1.7463,4.37e-14
crown 11,7.2941,3.3333,6.085,0.27426,0.43362,0,0.26996,0,0.029349,0.20958,nan,nan,46.74,0.58,0.18188,0.011667,0.016423,0.15283,0.2096,0.27476,0.15284,100000,7643,2781.2,1478.8,3163,219.92,1087.4,1566.5,0.85734,4.78e-14
