run,bodies,share,in_crowns
crown 9,114,0.00067299,0
crown 9,71,0.00041914,0.12676
crown 9,67,0.00039553,0.014925
crown 9,134,0.00079106,0.052239
crown 9,208,0.0012279,0
crown 9,90,0.00053131,0.055556
crown 9,434,0.0025621,0.0046083
crown 9,146,0.0008619,0
crown 9,107,0.00063167,0.0093458
crown 9,250,0.0014759,0.412
crown 9,107,0.00063167,0
crown 9,103,0.00060805,0
crown 9,116,0.0006848,0.25862
crown 9,106,0.00062576,0.33962
crown 9,3429,0.020243,0.2438
crown 9,186,0.001098,0
crown 9,65,0.00038372,0
crown 9,64,0.00037782,0
crown 9,160,0.00094455,0.0625
crown 9,70,0.00041324,0
crown 9,217,0.001281,0.023041
crown 9,331,0.001954,0.1994
crown 9,81,0.00047818,0.061728
crown 9,105,0.00061986,0
crown 9,219,0.0012929,0
crown 9,101,0.00059625,0
crown 9,60,0.00035421,0
crown 9,86,0.0005077,0.2093
crown 9,115,0.00067889,0
crown 9,287,0.0016943,0
crown 9,98,0.00057854,0
crown 9,256,0.0015113,0
crown 9,136,0.00080287,0.014706
crown 9,84,0.00049589,0.14286
crown 9,435,0.002568,0
crown 9,131,0.00077335,0
crown 9,91,0.00053721,0.23077
crown 9,59,0.0003483,0.11864
crown 9,139,0.00082058,0.13669
crown 9,51,0.00030108,0
crown 9,101,0.00059625,0
crown 9,183,0.0010803,0
crown 9,183,0.0010803,0.29508
crown 9,154,0.00090913,0
crown 9,266,0.0015703,0.14662
crown 9,66,0.00038963,0
crown 9,120,0.00070841,0.058333
crown 9,77,0.00045456,0
crown 9,108,0.00063757,0.0092593
crown 9,57,0.0003365,0
crown 9,124,0.00073203,0.056452
crown 9,168,0.00099178,0.32143
crown 9,107,0.00063167,0.028037
crown 9,141,0.00083238,0
crown 9,73,0.00043095,0
crown 9,245,0.0014463,0.0040816
crown 9,80,0.00047227,0.2
crown 9,94,0.00055492,0
crown 9,66,0.00038963,0
crown 9,138,0.00081467,0.094203
crown 9,52,0.00030698,0.096154
crown 9,110,0.00064938,0
crown 9,93,0.00054902,0
crown 9,118,0.0006966,0
crown 9,157,0.00092684,0
crown 9,55,0.00032469,0
crown 9,192,0.0011335,0.13542
crown 9,145,0.000856,0
crown 9,276,0.0016293,0.36232
crown 9,92,0.00054312,0.46739
crown 9,190,0.0011217,0
crown 9,124,0.00073203,0
crown 9,132,0.00077925,0
crown 9,156,0.00092094,0.35897
crown 9,203,0.0011984,0.42857
crown 9,157,0.00092684,0
crown 9,121,0.00071432,0.033058
crown 9,301,0.0017769,0.033223
crown 9,141,0.00083238,0
crown 9,76,0.00044866,0
crown 9,65,0.00038372,0
crown 9,103,0.00060805,0.058252
crown 9,139,0.00082058,0
crown 9,300,0.001771,0
crown 9,61,0.00036011,0
crown 9,95,0.00056083,0
crown 9,85,0.00050179,0
crown 9,146,0.0008619,0.075342
crown 9,65,0.00038372,0
crown 9,174,0.0010272,0
crown 9,196,0.0011571,0.15816
crown 9,72,0.00042505,0
crown 9,83,0.00048998,0
crown 9,70,0.00041324,0
crown 9,86,0.0005077,0
crown 9,94,0.00055492,0.24468
crown 9,68,0.00040143,0
crown 9,61,0.00036011,0
crown 9,70,0.00041324,0
crown 9,211,0.0012456,0.0047393
crown 9,76,0.00044866,0
crown 9,50,0.00029517,0.42
crown 9,78,0.00046047,0
crown 9,85,0.00050179,0.011765
crown 9,78,0.00046047,0
crown 9,68,0.00040143,0
crown 9,116,0.0006848,0
crown 9,65,0.00038372,0
crown 9,178,0.0010508,0
crown 9,53,0.00031288,0
crown 9,83,0.00048998,0
crown 9,76,0.00044866,0.065789
crown 9,271,0.0015998,0
crown 9,84,0.00049589,0
crown 9,78,0.00046047,0
crown 9,60,0.00035421,0
crown 9,91,0.00053721,0
crown 9,366,0.0021607,0
crown 9,59,0.0003483,0.28814
crown 9,68,0.00040143,0.014706
crown 9,70,0.00041324,0
crown 9,771,0.0045515,0.01297
crown 9,64,0.00037782,0
crown 9,162,0.00095636,0
crown 9,115,0.00067889,0
crown 9,99,0.00058444,0
crown 9,172,0.0010154,0.063953
crown 9,149,0.00087961,0
crown 9,120,0.00070841,0
crown 9,99,0.00058444,0
crown 9,478,0.0028218,0
crown 9,124,0.00073203,0
crown 9,104,0.00061396,0
crown 9,62,0.00036601,0
crown 9,66,0.00038963,0
crown 9,208,0.0012279,0.0048077
crown 9,51,0.00030108,0
crown 9,59,0.0003483,0.61017
crown 9,130,0.00076745,0
crown 9,136,0.00080287,0
crown 9,73,0.00043095,0
crown 9,179,0.0010567,0
crown 9,213,0.0012574,0.15023
crown 9,58,0.0003424,0.086207
crown 9,172,0.0010154,0.046512
crown 9,185,0.0010921,0.048649
crown 9,51,0.00030108,0
crown 9,76,0.00044866,0
crown 9,52,0.00030698,0
crown 9,298,0.0017592,0.0033557
crown 9,57,0.0003365,0
crown 9,67,0.00039553,0
crown 9,58,0.0003424,0
crown 9,53,0.00031288,0
crown 9,79,0.00046637,0
crown 9,64,0.00037782,0
crown 9,221,0.0013047,0
crown 9,83,0.00048998,0
crown 9,116,0.0006848,0
crown 9,866,0.0051124,0.15012
crown 9,59,0.0003483,0
crown 9,54,0.00031879,0
crown 9,64,0.00037782,0
crown 9,165,0.00097407,0
crown 9,78,0.00046047,0.025641
crown 9,1509,0.0089083,0.0013254
crown 9,51,0.00030108,0
crown 9,150,0.00088551,0
crown 9,112,0.00066118,0
crown 9,256,0.0015113,0
crown 9,166,0.00097997,0
crown 9,54,0.00031879,0
crown 9,69,0.00040734,0
crown 9,155,0.00091503,0
crown 9,86,0.0005077,0
crown 9,146,0.0008619,0
crown 9,138,0.00081467,0
crown 9,251,0.0014818,0
crown 9,445,0.002627,0.0067416
crown 9,79,0.00046637,0
crown 9,52,0.00030698,0
crown 9,124,0.00073203,0
crown 9,85,0.00050179,0
crown 9,86,0.0005077,0
crown 9,53,0.00031288,0
crown 9,738,0.0043567,0
crown 9,104,0.00061396,0
crown 9,58,0.0003424,0
crown 9,522,0.0030816,0.011494
crown 9,128,0.00075564,0.16406
crown 9,260,0.0015349,0.038462
crown 9,78,0.00046047,0
crown 9,74,0.00043685,0
crown 9,95,0.00056083,0
crown 9,57,0.0003365,0
crown 9,82,0.00048408,0
crown 9,145,0.000856,0.027586
crown 9,97,0.00057263,0
crown 9,104,0.00061396,0.33654
crown 9,50,0.00029517,0
crown 9,85,0.00050179,0
crown 9,78,0.00046047,0
crown 9,61,0.00036011,0
crown 9,99,0.00058444,0
crown 9,1643,0.0096993,0
crown 9,90,0.00053131,0
crown 9,103,0.00060805,0
crown 9,68,0.00040143,0
crown 9,192,0.0011335,0.30208
crown 9,73,0.00043095,0.09589
crown 9,71,0.00041914,0
crown 9,58,0.0003424,0
crown 9,249,0.00147,0.21687
crown 9,77,0.00045456,0
crown 9,101,0.00059625,0
crown 9,69,0.00040734,0
crown 9,130,0.00076745,0
crown 9,54,0.00031879,0
crown 9,97,0.00057263,0
crown 9,156,0.00092094,0
crown 9,94,0.00055492,0
crown 9,50,0.00029517,0
crown 9,63,0.00037192,0.60317
crown 9,214,0.0012633,0
crown 9,88,0.0005195,0
crown 9,107,0.00063167,0.0093458
crown 9,82,0.00048408,0
crown 9,277,0.0016353,0
crown 9,60,0.00035421,0
crown 9,53,0.00031288,0
crown 9,201,0.0011866,0
crown 9,85,0.00050179,0
crown 9,79,0.00046637,0
crown 9,151,0.00089142,0
crown 9,93,0.00054902,0.010753
crown 9,69,0.00040734,0
crown 9,485,0.0028632,0
crown 9,189,0.0011157,0
crown 9,204,0.0012043,0
crown 9,53,0.00031288,0
crown 9,73,0.00043095,0
crown 9,53,0.00031288,0
crown 9,143,0.00084419,0
crown 9,186,0.001098,0.19355
crown 9,104,0.00061396,0
crown 9,65,0.00038372,0
crown 9,132,0.00077925,0.37121
crown 9,72,0.00042505,0.013889
crown 9,92,0.00054312,0
crown 9,58,0.0003424,0
crown 9,57,0.0003365,0
crown 9,64,0.00037782,0
crown 9,68,0.00040143,0
crown 9,57,0.0003365,0
crown 9,97,0.00057263,0.092784
crown 9,1323,0.0078102,0.0060469
crown 9,92,0.00054312,0
crown 9,78,0.00046047,0
crown 9,122,0.00072022,0
crown 9,56,0.00033059,0
crown 9,192,0.0011335,0
crown 9,187,0.0011039,0
crown 9,113,0.00066709,0.0088496
crown 9,160,0.00094455,0.18125
crown 9,58,0.0003424,0
crown 9,149,0.00087961,0
crown 9,62,0.00036601,0
crown 9,839,0.004953,0
crown 9,78,0.00046047,0
crown 9,125,0.00073793,0
crown 9,88,0.0005195,0
crown 9,137,0.00080877,0
crown 9,206,0.0012161,0
crown 9,122,0.00072022,0
crown 9,81,0.00047818,0
crown 9,52,0.00030698,0
crown 9,220,0.0012988,0
crown 9,100,0.00059034,0.17
crown 9,144,0.00085009,0
crown 9,77,0.00045456,0
crown 9,74,0.00043685,0
crown 9,78,0.00046047,0
crown 9,63,0.00037192,0
crown 9,102,0.00060215,0.019608
crown 9,141,0.00083238,0
crown 9,119,0.00070251,0
crown 9,227,0.0013401,0
crown 9,61,0.00036011,0
crown 9,88,0.0005195,0
crown 9,72,0.00042505,0
crown 9,78,0.00046047,0
crown 9,56,0.00033059,0
crown 9,171,0.0010095,0
crown 9,208,0.0012279,0
crown 9,284,0.0016766,0
crown 9,198,0.0011689,0
crown 9,158,0.00093274,0.018987
crown 9,170,0.0010036,0
crown 9,1154,0.0068126,0
crown 9,77,0.00045456,0
crown 9,134,0.00079106,0
crown 9,59,0.0003483,0.22034
crown 9,914,0.0053957,0
crown 9,84,0.00049589,0
crown 9,87,0.0005136,0
crown 9,58,0.0003424,0
crown 9,99,0.00058444,0
crown 9,51,0.00030108,0
crown 9,59,0.0003483,0
crown 9,103,0.00060805,0
crown 9,161,0.00095045,0
crown 9,53,0.00031288,0
crown 9,269,0.001588,0
crown 9,58,0.0003424,0
crown 9,95,0.00056083,0
crown 9,113,0.00066709,0
crown 9,79,0.00046637,0
crown 9,84,0.00049589,0
crown 9,80,0.00047227,0
crown 9,75,0.00044276,0
crown 9,125,0.00073793,0.08
crown 9,75,0.00044276,0
crown 9,130,0.00076745,0
crown 9,158,0.00093274,0
crown 9,69,0.00040734,0
crown 9,243,0.0014345,0
crown 9,76,0.00044866,0
crown 9,98,0.00057854,0
