seed,kind,share,side,cells,born_size,open_block,travel,spikes,legs_out,leg_motor,sharp,plant,kills,water
9,mixed / no tooth / stays / shore,0.12585765488991296,4,2222222244444444,25.0,0.925672464591213,2.75,0.012669998837614785,0.290073230268511,0.03036594829120093,0.000849203089246536,0.5350798978513569,0.3057826922982949,0.5411484365918866
9,mixed / tooth / roams / land,0.1254407139199766,5,1111122222222222222444444,25.0,0.6031351940754913,13.0,0.32707446498338094,0.0701498629657706,0.006886206219309467,0.0051973433497981385,0.45494534203975395,0.4817219873071072,0.044434077788792346
9,plant / no tooth / stays / bottom,0.1044327408382708,4,4444444444444444,16.0,1.1860970030993558,0.0,0.010016109826994466,1.053792813616306,0.12890637183782036,0.00013678948517930546,0.751022710061678,0.06719392760016774,0.973804020452476
9,plant / no tooth / stays / shore,0.10045351473922902,4,4444444444444444,25.0,0.9335216680658759,0.0,0.019951940581082066,1.4278744629724023,0.1448135380025194,0.0013453955441784843,0.7451974015247937,0.07389225977629234,0.6283404937013034
9,mixed / no tooth / stays / bottom,0.10043888523151195,4,2222222244424444,16.0,1.1563541218516749,2.5,0.0139101303619547,0.25941300706430703,0.0320961784454219,0.00021541769026748851,0.552326377988536,0.2634032865038708,0.9669361299249872
9,mixed / tooth / stays / land,0.08362958086460391,5,1111122222222224422244444,36.0,0.5100995155171426,4.5,0.2057202833901863,0.2242630980495058,0.023290039940801366,0.01011735759758136,0.5613706186405067,0.347979266327913,0.036560832677337535
9,mixed / no tooth / roams / shore,0.07806305317826055,4,2222222244444444,25.0,0.9372806531688034,12.25,0.001686656671664168,0.11853448275862069,0.009661323544060168,4.389933477311895e-06,0.46050072551764376,0.4324847780077714,0.558095952023988
9,plant / no tooth / roams / surface,0.05089605734767025,8,2222222222000022220000224000002242000024440002444444444444444444,35.0,1.1650506658463786,15.25,0.019833285426846797,3.8414774360448405,0.3500483500971985,0.0,0.8880186494453846,0.10781659348037459,0.964070135096292
9,plant / no tooth / stays / land,0.033647867749250236,7,4444444444444444444444444444444444444444444444444,49.0,0.5254329121283556,0.0,0.03804347826086957,0.6141304347826086,0.07115487105605084,0.0,0.7641569562469298,0.0705708709239007,0.019130434782608695
9,mixed / no tooth / roams / bottom,0.03255065467047034,4,2222222244444444,16.0,1.1775530303645585,11.0,0.0044943820224719105,0.1404494382022472,0.014274022420008107,4.232163100810146e-05,0.4873307891020603,0.39125327030922,0.9564044943820225
10,mixed / no tooth / stays / shore,0.15708679092265138,6,444444444444444444444444444444444444,25.0,0.9972814117937505,0.5,0.04157831658523094,0.5396883931040841,0.06146788337504767,0.005656686031763237,0.5721978345767544,0.22434016266983414,0.5585876279155527
10,mixed / no tooth / stays / bottom,0.13750705999913107,4,4444444444444444,20.0,1.3326059485450878,1.0,0.055186940494997366,0.6460242232754081,0.08218035888393577,0.007911224210325253,0.579724856658815,0.17865997751151613,0.9726171669299631
10,plant / no tooth / stays / shore,0.12832544061635603,8,4444444444444444444444444444444444444444444444444444444444444444,30.0,1.0008052467671182,0.0,0.03521047285859384,1.9779934544633788,0.20609060541864657,0.00017773465343405424,0.7406810901076751,0.08847966787461405,0.6045593048188692
10,plant / no tooth / roams / surface,0.07109238099375824,6,444222440000440000466000446000440000,19.0,1.3931474450783978,25.75,0.01711142798940721,2.497249949073131,0.3265938097309741,0.003203578785882405,0.8234083240787277,0.17225347338881367,0.9596659197392544
10,mixed / tooth / roams / shore,0.06934005300430117,6,111111144441244442244442222222222222,36.0,0.5061902761229692,25.25,0.18233082706766918,0.06808688387635756,0.0047936302173177125,0.01842361663567286,0.4827352806923077,0.44784584636896574,0.16854636591478697
10,plant / no tooth / stays / bottom,0.059347438849545985,4,4444444444444444,23.0,1.2245902500708734,0.0,0.017569546120058566,3.3718887262079065,0.2721064200318861,0.004202895496982751,0.7626246699599426,0.05172277530269831,0.9677891654465594
10,plant / no tooth / stays / land,0.05827576718657224,8,4444444444444444444444444444444444444444444444444444444444444444,64.0,0.5147347306210659,0.0,0.052186878727634195,1.1314612326043738,0.10962919441648822,0.0010960011377418551,0.7725739094354984,0.05294131040391003,0.018389662027833
10,mixed / tooth / stays / land,0.05520557269264746,12,110000000000411000000000441000000000444400000000444400000000224400000000222200000000222000000000220000000000000000000000000000000000000000000000,36.0,0.4338566766024334,3.25,0.2193074501573977,0.20828961175236096,0.02052715418161574,0.01693518084394133,0.5609409116877071,0.363391415040221,0.05482686253934942
10,mixed / tooth / roams / land,0.04333029210293841,6,111111144441444444244442222222222222,36.0,0.4136175612342727,24.25,0.1711229946524064,0.01804812834224599,0.0014103187801677893,0.015052502297476823,0.480768597782273,0.4551802356513989,0.07453208556149733
10,mixed / no tooth / roams / bottom,0.031049514127239285,6,222224222224022224002204000044444444,20.0,1.3072090652776367,16.0,0.0480410447761194,1.3125,0.12362439471419392,0.0030221953203457444,0.5194770377178729,0.35515233972873234,0.9776119402985075
10,plant / no tooth / roams / bottom,0.03047023214725348,8,2222000022000000220000002200000044000000444000044444444444444444,26.0,1.2797806616249467,16.75,0.02614068441064639,4.157794676806084,0.36553399306100853,0.0026380795105627954,0.7737070397792492,0.09920747389942025,0.9586501901140685
10,plant / no tooth / roams / shore,0.030339893701756673,6,444222440000440000466000446000440000,26.0,1.1350980455558095,22.75,0.006205250596658711,5.4763723150358,0.4990565205011327,0.00026616168770471604,0.8254302064832034,0.12602865551682146,0.8100238663484487
11,mixed / no tooth / roams / shore,0.19769884942471236,4,2222222244444444,16.0,1.0674447935857503,14.0,0.0020242914979757085,0.06798245614035088,0.00468637236606979,0.0002190948184179642,0.47352588787313954,0.41182225884825485,0.7222784525416104
11,mixed / no tooth / stays / bottom,0.1433494525040298,4,2222222244444444,16.0,1.206209955545528,2.25,0.014113997673516867,0.3756494765412951,0.03992117352514898,0.0005142404255921848,0.5850954576183486,0.24816199902613237,0.9743311360992633
11,mixed / no tooth / stays / shore,0.1077761102773609,4,2222222244444444,16.0,0.9935588476257724,2.5,0.026714801444043323,0.39504899432697266,0.03342550396131968,0.0012680975880575232,0.5804698234946732,0.2370051048759326,0.6777720474471377
11,plant / no tooth / stays / bottom,0.09857150797621032,4,4444444444444444,16.0,1.2094557643975263,0.25,0.010037216645990752,0.6183602120221044,0.06342226040525793,0.0012909144708521648,0.7671334576980954,0.07150031403769834,0.9784594564114131
11,plant / no tooth / roams / surface,0.07457061864265466,7,0000000000220000444000044400000400000000000000000,11.0,1.5299950089265721,23.5,0.007602862254025045,1.9519976147883125,0.14107616549088642,2.1397570233502194e-05,0.8438101413078627,0.15422158539563535,0.9672033392963626
11,plant / no tooth / stays / shore,0.07260296815074203,4,4444444444444444,16.0,1.0933528926491178,0.0,0.00857449088960343,0.2774460266421681,0.025095785048315767,0.0005995916068356239,0.7421902332632492,0.06653375964961158,0.7715510641555657
11,mixed / tooth / roams / land,0.06835640042243343,6,111111144441244442224422222222222222,36.0,0.4164791865421568,19.25,0.17043421694584485,0.2193852658968938,0.021913815609703166,0.013610426100298098,0.5054509068140627,0.43142428390056087,0.05952187347536185
11,mixed / tooth / roams / shore,0.040442443443944195,6,111111114411224442224442222222222222,36.0,0.5472352147813188,15.875,0.19296316657504123,0.13358988455195162,0.010589863106437178,0.021797571727990978,0.4747802880121213,0.4444066418458571,0.21302913688840022
11,mixed / no tooth / roams / bottom,0.030870991051081095,4,2222222244444444,21.0,1.258345677200062,16.93,0.020885848037450486,0.20813827871804105,0.015199962487032332,0.00044630561758467825,0.5111062751816005,0.37921895415616697,0.9643500180050414
12,mixed / no tooth / stays / shore,0.1212548999836142,7,4444444444444444444444444444444444444444444444444,27.5,0.9517846087402869,1.25,0.01756756756756757,0.6707900207900208,0.07516639903350024,0.0010026590646852686,0.5878448856931427,0.20489410607348768,0.6137214137214138
