run,censuses,from,to,every,span,grown_bodies,blocks,grown_age,kind_share,flesh_lo,flesh_hi,light_share,tooth,roam,keep_to_a_place,bodies_for_a_form
seed9,51,50000,100000,1000,50000,114233,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed10,51,50000,100000,1000,50000,114665,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed11,51,50000,100000,1000,50000,108393,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed12,51,50000,100000,1000,50000,79004,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed13,51,50000,100000,1000,50000,75259,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed14,51,50000,100000,1000,50000,82927,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed9,51,50000,100000,1000,50000,136710,hard|muscle|sensor|digestive|leaf|leg,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed10,51,50000,100000,1000,50000,69051,hard|muscle|sensor|digestive|leaf|leg,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed11,51,50000,100000,1000,50000,89955,hard|muscle|sensor|digestive|leaf|leg,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed12,51,50000,100000,1000,50000,79337,hard|muscle|sensor|digestive|leaf|leg,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed13,51,50000,100000,1000,50000,74092,hard|muscle|sensor|digestive|leaf|leg,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
seed14,51,50000,100000,1000,50000,99987,hard|muscle|sensor|digestive|leaf|leg,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
