step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
1000,-60,0,5237,1257.2956,531.53,88.00,1.83,312,2.52,0.215,14.848,0.5008,28.032,0.00,0.0000
1000,-60,1,2495,1250.5506,613.04,644.03,0.93,364,0.37,0.101,16.332,0.9432,38.508,0.00,0.0000
1000,-60,2,2,0.7520,0.00,2.51,22.54,0,9.05,0.490,9.940,0.9826,61.702,0.00,0.0000
1000,-50,0,7092,1585.5723,576.38,95.54,15.06,444,11.86,2.200,10.184,0.3831,52.782,0.00,0.0000
1000,-50,1,1601,956.0348,308.56,498.83,14.14,247,10.58,1.967,10.966,0.7454,91.245,0.00,0.0000
1000,-50,2,5,2.9926,1.05,7.80,29.42,0,12.87,1.481,8.306,0.9488,86.788,0.00,0.0000
1000,-40,0,6338,1303.7308,463.66,63.05,26.41,492,21.32,6.386,6.819,0.3172,111.036,0.00,0.0000
1000,-40,1,1741,1059.6959,414.47,635.55,23.27,288,19.29,5.709,7.777,0.6257,185.623,0.00,0.0000
1000,-40,2,2,0.4513,0.00,2.39,13.17,0,21.68,5.175,5.171,0.4576,120.834,0.00,0.0000
1000,-30,0,4324,1030.2220,324.51,88.11,33.46,321,27.92,10.260,5.138,0.3251,219.603,0.00,0.0000
1000,-30,1,3254,1581.2317,560.35,1520.39,29.60,507,27.20,10.103,5.560,0.4805,310.830,0.00,0.0000
1000,-30,2,599,276.0118,60.24,844.86,34.76,109,28.97,11.020,4.986,0.5966,435.377,0.00,0.0000
1000,-20,0,1820,497.8668,209.73,41.41,55.87,47,33.35,13.796,4.023,0.2970,341.886,0.00,0.0000
1000,-20,1,2521,1266.4766,435.69,1071.09,30.03,283,32.56,13.429,4.305,0.4403,492.341,0.00,0.0000
1000,-20,2,3878,2269.6741,782.32,11057.03,33.07,888,31.74,13.095,4.630,0.7286,739.804,0.00,0.0000
1000,-10,0,1808,409.5019,190.60,24.35,65.26,12,36.98,16.284,3.358,0.2791,453.839,0.00,0.0000
1000,-10,1,2073,1126.1010,503.34,921.12,35.06,39,36.81,16.186,3.393,0.3882,669.096,0.00,0.0000
1000,-10,2,4343,2597.6126,1078.43,15831.14,34.84,899,34.16,14.829,4.250,0.7502,991.709,0.00,0.0000
1000,0,0,1824,420.4383,246.03,31.10,72.11,8,38.85,17.518,2.984,0.2175,429.498,0.00,0.0000
1000,0,1,1740,978.6325,509.96,841.89,40.70,9,38.58,17.318,3.014,0.3685,748.874,0.00,0.0000
1000,0,2,4803,2982.2798,1153.76,15254.13,38.05,866,35.21,15.594,4.113,0.6876,1022.555,0.00,0.0000
1000,10,0,3014,867.9650,312.30,51.73,74.60,68,37.73,16.756,3.207,0.2426,419.276,0.00,0.0000
1000,10,1,2709,1704.1827,591.09,1338.74,44.81,152,37.15,16.386,3.346,0.4104,699.023,0.00,0.0000
1000,10,2,3722,2403.6691,842.05,9754.55,22.85,735,32.18,13.944,5.047,0.6875,819.885,0.00,0.0000
1000,20,0,3994,716.2003,243.59,62.11,62.26,121,32.28,13.502,4.650,0.1906,197.678,0.00,0.0000
1000,20,1,3278,2080.1091,741.20,1560.85,36.39,459,32.29,13.454,4.575,0.4621,499.613,0.00,0.0000
1000,20,2,1173,836.9980,304.99,2055.87,8.26,286,29.29,12.121,5.726,0.6682,583.073,0.00,0.0000
1000,30,0,6744,1452.0794,569.44,85.09,37.43,353,26.43,9.892,6.055,0.2481,156.504,0.00,0.0000
1000,30,1,2310,1485.2334,438.50,1004.21,42.41,442,29.31,11.117,4.844,0.5376,357.032,0.00,0.0000
1000,30,2,220,171.0585,67.96,242.93,71.00,58,26.62,9.556,5.569,0.7052,335.901,0.00,0.0000
1000,40,0,6695,1098.9849,439.90,63.83,28.38,280,19.87,6.114,7.799,0.2641,86.650,0.00,0.0000
1000,40,1,1252,875.7011,320.62,492.05,49.77,236,23.75,7.459,5.916,0.6896,224.322,0.00,0.0000
1000,40,2,223,169.3255,61.62,262.08,65.79,53,23.86,7.756,6.108,0.8089,275.454,0.00,0.0000
1000,50,0,5138,423.3902,287.54,13.83,19.39,41,11.20,2.312,10.936,0.1882,26.657,0.00,0.0000
1000,50,1,567,316.1707,117.74,138.70,53.69,62,17.61,4.010,7.475,0.8436,135.741,0.00,0.0000
1000,50,2,11,6.7901,3.29,13.68,35.34,1,19.14,4.263,6.382,0.9458,172.595,0.00,0.0000
1000,60,0,3853,79.0707,77.14,0.77,11.91,1,2.35,0.233,15.057,0.1138,5.121,0.00,0.0000
