step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,1276,9.12,0.16,0.04,0.15,8.78,0.00,1.06,0.001,8,849557.3,865.2,7,12
10000,1,963,19.93,0.18,0.84,0.74,18.16,0.04,1.04,0.012,61,811978.0,12483.7,2,4
10000,0,115,10.50,0.01,0.02,0.05,10.43,0.00,1.01,0.000,3,92659.4,1151.1,6,115
20000,8,1208,10.02,0.15,0.42,0.18,9.27,0.06,1.04,0.014,8,812628.5,14855.6,11,1
20000,1,636,37.20,1.90,1.78,0.09,33.43,0.22,1.42,0.052,40,807374.9,62696.9,1,3
20000,0,109,13.63,0.43,0.51,0.09,12.60,0.07,1.10,0.018,3,684.8,375.6,8,108
30000,8,1328,8.58,0.11,0.26,0.12,8.09,0.00,1.03,0.002,6,815524.3,2342.6,10,0
30000,1,797,25.18,6.90,1.30,0.13,16.85,0.63,2.99,0.194,62,807170.2,102711.0,4,6
30000,0,115,11.78,1.52,0.45,0.02,9.79,0.12,1.41,0.035,2,817.9,287.2,9,115
40000,8,1533,6.75,0.16,0.06,0.08,6.45,0.01,1.06,0.003,6,815407.2,17.4,9,2
40000,1,790,23.13,3.62,2.14,0.05,17.32,0.46,2.06,0.147,56,808876.4,103806.7,2,0
40000,0,78,12.06,0.28,1.45,0.00,10.33,0.15,1.08,0.026,4,921.2,162.3,7,77
50000,8,1506,6.94,0.07,0.06,0.06,6.75,0.00,1.02,0.000,5,818295.5,26.2,8,0
50000,1,708,27.37,6.99,1.50,0.41,18.47,0.75,2.90,0.227,49,804932.9,104314.0,2,1
50000,0,56,12.59,1.59,0.41,0.18,10.41,0.21,1.45,0.071,3,863.8,211.3,3,56
60000,8,1532,7.13,0.04,0.05,0.20,6.85,0.00,1.02,0.001,5,817815.6,47.7,7,0
60000,1,679,29.14,5.43,1.35,0.03,22.33,0.84,2.50,0.270,49,798751.0,90628.2,3,0
60000,0,79,12.25,1.75,0.73,0.00,9.77,0.14,1.50,0.051,3,903.0,178.2,9,78
70000,8,1588,6.33,0.13,0.03,0.14,6.04,0.00,1.05,0.000,6,817992.0,12.3,7,0
70000,1,803,24.29,4.15,1.48,0.02,18.63,0.61,2.16,0.182,58,793759.8,93738.1,2,0
70000,0,85,11.99,1.42,1.11,0.02,9.44,0.27,1.29,0.059,2,876.2,288.7,6,85
80000,8,1592,6.22,0.06,0.02,0.11,6.03,0.00,1.02,0.001,7,817713.1,4.1,6,0
80000,1,767,20.86,8.15,3.07,0.01,9.63,1.53,3.45,0.449,57,786193.1,134983.7,2,1
80000,0,87,10.41,1.95,0.68,0.00,7.78,0.33,1.62,0.092,3,838.9,630.0,6,87
90000,8,1607,6.07,0.07,0.05,0.14,5.81,0.00,1.03,0.000,7,818656.4,30.2,8,0
90000,1,588,28.80,13.56,3.51,0.27,11.46,1.55,4.83,0.456,41,772490.7,192396.8,2,0
90000,0,82,15.62,2.46,1.50,0.00,11.66,0.26,1.68,0.073,2,969.2,498.2,8,82
100000,8,1606,6.16,0.07,0.05,0.15,5.89,0.01,1.03,0.002,6,813529.2,79.7,7,0
100000,1,620,28.39,12.73,3.64,0.06,11.96,1.63,4.45,0.448,51,739639.2,180826.6,1,0
100000,0,67,13.31,2.34,1.46,0.25,9.25,0.34,1.69,0.090,4,993.5,536.0,5,67
110000,8,1585,6.24,0.15,0.07,0.21,5.81,0.00,1.06,0.000,6,818415.9,35.9,10,0
110000,1,703,28.97,11.92,1.92,0.22,14.91,1.01,4.30,0.312,73,746020.1,153534.9,3,0
