step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,1,704,8.3,0.1,0.3,0.4,7.5,0.0,1.02,16.1,175,239,17.73,0.00,371,299,34
5000,2,391,20.3,0.1,1.3,0.2,18.7,0.0,1.03,8.9,146,179,42.56,0.00,0,385,6
5000,4,293,23.8,0.4,2.6,0.8,20.0,0.1,1.10,7.0,149,260,77.50,0.02,0,286,7
5000,5,8,14.0,0.0,0.8,0.0,13.2,0.0,1.00,15.8,5,1208,92.83,0.00,8,0,0
6000,12,1235,7.1,0.2,0.1,0.5,6.3,0.0,1.05,17.1,306,671,55.88,0.00,1230,0,5
6000,1,577,10.6,0.1,0.2,0.4,9.9,0.0,1.02,13.3,164,167,16.84,0.00,108,445,24
6000,4,302,20.2,0.1,1.8,0.5,17.7,0.1,1.04,10.5,135,223,67.51,0.00,4,297,1
6000,2,231,24.2,0.9,1.4,0.3,21.5,0.0,1.16,6.2,115,133,38.39,0.01,0,231,0
6000,14,32,11.4,0.0,0.0,0.5,10.9,0.0,1.00,10.5,17,96,14.28,0.00,0,31,1
7000,12,1154,7.1,0.2,0.0,0.4,6.4,0.0,1.07,17.3,290,647,52.81,0.00,1154,0,0
7000,1,1124,12.1,0.2,0.5,0.4,11.1,0.0,1.04,12.9,306,154,22.77,0.00,140,967,17
7000,4,113,10.4,0.1,0.9,0.0,9.4,0.0,1.02,16.1,38,269,41.61,0.00,0,112,1
7000,2,40,21.9,1.9,1.2,0.0,18.9,0.0,1.07,8.3,27,366,103.17,0.01,0,40,0
7000,25,22,6.5,0.0,0.0,0.0,6.5,0.0,1.00,21.0,8,864,63.36,0.00,22,0,0
8000,1,1356,11.2,0.2,0.4,0.2,10.4,0.0,1.04,13.7,323,233,36.90,0.00,165,1171,20
8000,12,1144,6.8,0.2,0.0,0.4,6.2,0.0,1.07,17.6,303,700,59.03,0.00,1143,0,1
8000,14,29,8.1,0.0,0.0,0.3,7.7,0.0,1.00,15.6,15,304,47.92,0.00,0,29,0
8000,4,25,18.9,0.0,0.1,0.6,18.2,0.0,1.00,7.8,7,340,94.11,0.00,0,25,0
8000,25,17,7.2,0.0,0.1,0.1,7.1,0.0,1.00,20.7,8,838,58.01,0.00,16,0,1
8000,2,12,13.8,0.0,3.5,0.0,10.2,0.0,1.00,13.8,7,679,132.77,0.00,0,11,1
9000,1,1312,12.0,0.2,0.4,0.3,11.0,0.0,1.06,13.5,346,251,40.48,0.00,222,1072,18
9000,12,1068,7.0,0.2,0.0,0.4,6.4,0.0,1.07,17.3,298,864,73.93,0.00,1063,0,5
9000,34,47,6.2,0.0,0.0,0.1,6.1,0.0,1.00,18.7,16,400,26.59,0.00,45,0,2
9000,4,37,17.9,0.0,1.9,0.4,15.6,0.0,1.00,10.4,15,246,33.07,0.00,0,37,0
9000,25,16,5.1,0.0,0.0,0.0,5.1,0.0,1.00,22.8,3,492,29.67,0.00,16,0,0
9000,14,16,18.4,0.0,1.3,2.3,14.8,0.0,1.00,9.4,12,354,62.57,0.00,0,16,0
10000,12,1169,6.7,0.2,0.0,0.3,6.2,0.0,1.07,17.8,320,679,54.05,0.00,1167,0,2
10000,1,1118,12.3,0.7,0.5,0.4,10.7,0.0,1.15,12.6,319,243,36.27,0.00,99,1001,18
10000,40,128,8.1,0.0,0.5,0.1,7.4,0.0,1.00,16.0,35,176,12.47,0.00,116,4,8
