step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,5918,7.89,0.47,0.16,0.12,7.13,0.04,1.17,0.018,9,2592997.2,15114.2,20,96
10000,1,2148,45.21,3.34,0.78,0.42,40.67,0.08,1.76,0.033,51,3221358.0,8983.9,7,26
10000,0,215,15.92,0.76,0.37,0.03,14.77,0.05,1.20,0.019,3,394466.7,5578.5,13,215
20000,8,6298,7.19,0.40,0.17,0.15,6.48,0.02,1.16,0.007,6,2343867.8,18002.7,34,115
20000,1,2658,31.87,3.67,1.85,1.08,25.26,0.29,2.01,0.087,65,3255093.5,22723.8,12,19
20000,0,217,16.81,2.20,1.35,0.92,12.34,0.23,1.59,0.065,3,2122.1,176.3,21,217
30000,8,6411,6.46,0.21,0.10,0.18,5.97,0.01,1.09,0.002,8,2272546.2,5452.6,32,88
30000,1,2642,33.25,3.88,1.73,0.67,26.98,0.23,2.02,0.073,54,3094655.0,245934.7,9,39
30000,0,284,14.48,1.09,0.58,0.47,12.34,0.04,1.30,0.014,4,2462.6,718.3,23,284
40000,8,6503,6.49,0.24,0.11,0.22,5.91,0.01,1.10,0.003,9,2271885.8,3591.0,38,87
40000,1,2631,33.17,4.61,1.33,0.45,26.78,0.27,2.27,0.074,57,3188593.8,170918.9,9,41
40000,0,237,13.05,0.80,0.34,0.43,11.47,0.03,1.23,0.008,4,2074.0,313.4,21,237
50000,8,6606,6.13,0.25,0.08,0.15,5.64,0.00,1.11,0.001,13,2275706.5,2349.3,42,98
50000,1,2634,32.23,4.69,0.90,0.69,25.96,0.26,2.22,0.087,57,3172274.0,168764.1,8,39
50000,0,272,16.27,3.16,0.47,0.24,12.39,0.17,1.85,0.066,8,2135.1,473.5,27,272
60000,8,6511,5.87,0.19,0.07,0.15,5.47,0.00,1.08,0.001,7,2239621.8,1445.6,38,59
60000,1,2887,29.62,4.08,1.08,0.87,23.59,0.22,2.03,0.075,52,3230682.8,185460.2,13,12
60000,0,281,12.09,1.12,0.36,0.25,10.36,0.04,1.29,0.018,8,2317.5,495.4,29,280
