step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,1,3578,21.7,0.4,0.4,3.0,17.8,0.0,1.09,11.9,955,239,30.48,0.00,2081,1406,91
5000,11,831,10.3,0.2,0.3,0.0,9.9,0.0,1.05,17.6,271,207,16.94,0.00,769,3,59
5000,2,344,9.0,0.2,0.0,0.1,8.7,0.0,1.07,16.2,93,228,17.59,0.01,326,1,17
5000,10,313,21.2,1.0,0.0,0.4,19.8,0.0,1.26,8.4,169,134,30.53,0.09,42,271,0
5000,13,250,50.7,4.7,2.0,2.2,41.8,0.2,1.80,0.7,146,70,34.91,0.02,0,241,9
5000,3,216,61.3,0.1,9.9,2.4,48.9,0.0,1.00,0.5,90,50,27.51,0.00,0,212,4
5000,24,107,39.7,25.1,8.9,0.0,5.7,2.9,7.44,2.0,61,84,5.10,17.59,16,90,1
5000,8,29,7.2,0.0,0.6,0.0,6.6,0.0,1.00,20.5,13,362,24.91,0.00,28,0,1
5000,16,5,13.4,7.4,0.0,0.6,5.4,0.0,3.64,10.8,4,269,51.72,1.66,0,5,0
6000,1,3979,19.1,1.3,0.9,0.9,16.1,0.1,1.29,13.2,1158,266,28.74,0.66,2314,1581,84
6000,11,780,10.7,0.4,0.3,0.0,10.0,0.0,1.11,17.4,273,222,18.49,0.00,717,0,63
6000,10,437,10.2,0.2,0.0,0.2,9.8,0.0,1.07,15.1,142,292,34.62,0.10,42,392,3
6000,13,302,42.6,4.0,0.6,0.4,37.6,0.0,1.82,3.0,165,80,44.17,0.00,0,293,9
6000,2,269,9.4,0.1,0.0,0.1,9.1,0.0,1.02,15.7,90,308,22.66,0.01,256,0,13
6000,3,217,62.4,0.0,9.1,2.3,51.0,0.0,1.00,0.1,84,64,42.40,0.00,0,210,7
6000,33,88,40.1,25.0,8.5,0.1,6.6,3.5,6.42,3.0,62,234,23.51,35.27,6,82,0
6000,8,18,8.7,0.1,0.4,1.2,7.1,0.0,1.02,19.3,9,895,63.46,0.00,18,0,0
7000,1,5170,18.8,1.5,0.6,0.5,16.1,0.1,1.36,13.6,1427,345,34.42,0.68,2815,2210,145
7000,11,664,8.8,0.1,0.3,0.0,8.4,0.0,1.04,18.8,175,257,19.27,0.00,606,4,54
7000,39,536,10.0,0.4,0.0,0.2,9.5,0.0,1.12,15.9,129,196,15.27,0.00,503,4,29
7000,2,526,7.8,0.1,0.0,0.1,7.6,0.0,1.03,18.2,123,419,27.63,0.00,511,1,14
7000,41,293,6.9,0.1,0.0,0.0,6.8,0.0,1.07,20.1,46,346,22.05,0.00,279,3,11
7000,3,219,58.7,0.0,7.1,0.1,51.6,0.0,1.00,0.2,92,67,43.46,0.00,0,215,4
