step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,1,1006,14.5,0.6,1.2,0.2,12.4,0.1,1.17,13.9,333,178,19.89,0.02,597,326,83
5000,2,35,12.6,0.0,0.0,1.8,10.8,0.0,1.00,15.9,11,135,12.31,0.00,29,3,3
6000,1,1185,20.0,1.3,1.0,1.6,16.1,0.1,1.37,11.3,465,208,45.47,0.04,292,865,28
7000,1,1421,16.8,1.2,1.2,1.0,13.4,0.1,1.32,13.0,495,313,55.53,0.02,510,861,50
7000,15,175,10.5,0.0,0.0,0.0,10.5,0.0,1.02,17.1,46,150,12.78,0.00,149,5,21
7000,16,115,9.9,0.0,0.0,0.0,9.9,0.0,1.00,15.1,26,142,11.74,0.00,92,3,20
7000,14,65,13.2,0.0,0.0,0.0,13.2,0.0,1.00,15.1,19,118,11.20,0.00,54,2,9
8000,1,1200,15.5,0.9,1.0,1.8,11.9,0.0,1.27,13.9,396,283,37.52,0.01,260,923,17
8000,27,298,9.6,0.1,0.1,0.8,8.5,0.0,1.04,17.6,77,339,31.29,0.00,235,50,13
8000,15,193,11.8,0.6,0.1,0.0,11.1,0.0,1.18,16.5,65,162,14.43,0.00,158,18,17
8000,16,139,8.1,0.0,0.0,0.0,8.0,0.0,1.00,17.2,36,122,8.85,0.00,122,5,12
8000,14,58,11.3,0.2,0.0,0.0,11.1,0.0,1.07,15.9,15,150,12.88,0.00,52,0,6
9000,1,935,15.0,0.8,1.1,1.6,11.5,0.0,1.23,14.3,324,359,52.65,0.01,250,673,12
9000,27,577,11.3,0.3,0.4,1.2,9.3,0.0,1.09,16.4,148,273,28.62,0.00,312,253,12
9000,15,125,10.2,0.0,0.3,0.1,9.7,0.0,1.01,16.9,34,198,15.86,0.00,116,2,7
9000,16,111,7.0,0.0,0.0,0.2,6.7,0.0,1.00,17.8,25,154,10.27,0.00,97,4,10
9000,14,49,12.0,0.1,0.1,0.0,11.8,0.0,1.02,15.1,17,130,11.61,0.00,45,0,4
