step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,5840,7.85,0.21,0.18,0.22,7.24,0.02,1.06,0.006,9,2581096.0,8904.7,6,9
10000,1,2451,34.25,6.00,2.18,0.57,25.49,0.61,2.55,0.205,64,3162864.0,264597.3,7,10
10000,0,319,19.86,3.17,1.41,0.29,14.99,0.42,1.77,0.122,5,398813.9,7859.1,8,319
20000,8,6284,6.84,0.07,0.10,0.14,6.53,0.00,1.03,0.001,8,2429154.0,3440.5,16,20
20000,1,2563,29.02,6.75,1.46,0.37,20.45,0.46,2.76,0.148,69,3088248.5,485668.2,5,7
20000,0,302,18.55,3.02,0.85,0.52,14.17,0.20,1.79,0.056,4,3076.1,2156.5,11,301
30000,8,5518,8.91,0.71,0.49,0.26,7.45,0.11,1.19,0.033,9,2363984.8,41089.7,24,43
30000,1,2334,33.51,14.12,1.63,0.23,17.53,0.75,4.62,0.244,55,3089225.2,510108.1,7,30
30000,0,280,20.35,5.25,1.77,0.30,13.04,0.50,2.38,0.129,5,2943.2,2874.6,14,278
40000,8,5508,8.70,0.39,0.28,0.24,7.79,0.04,1.11,0.012,9,2513932.8,112611.0,19,39
40000,1,2527,34.19,11.77,1.79,0.49,20.14,0.63,4.12,0.186,60,3040432.2,570340.1,8,20
40000,0,268,13.99,3.16,0.96,0.23,9.63,0.21,1.90,0.052,3,2819.5,1689.4,14,267
50000,8,4773,11.17,1.50,0.93,0.30,8.44,0.18,1.34,0.046,7,2627833.5,246676.1,19,23
50000,1,2453,34.45,13.47,1.77,0.35,18.85,0.71,4.47,0.224,56,3135149.5,532827.8,6,25
50000,0,301,17.38,3.62,1.49,0.62,11.63,0.38,1.86,0.110,4,3072.4,1572.1,17,301
60000,8,5298,9.84,1.17,0.47,0.19,8.01,0.10,1.30,0.029,7,2660059.5,223867.9,19,118
60000,1,2371,38.30,16.44,1.62,0.17,20.06,0.53,5.25,0.164,59,3175738.8,441914.7,8,51
60000,0,258,13.78,3.03,0.69,0.27,9.78,0.20,1.77,0.054,3,3016.4,1130.2,16,255
70000,8,4269,13.26,2.21,0.96,0.29,9.80,0.22,1.54,0.063,11,2668641.2,275494.6,17,94
70000,1,2251,38.35,13.55,1.91,0.59,22.31,0.51,4.50,0.166,55,3157147.5,510915.0,9,39
70000,0,324,14.77,2.03,0.76,0.40,11.58,0.15,1.52,0.046,5,2811.3,1393.7,9,323
80000,8,5190,9.52,0.56,0.16,0.14,8.65,0.02,1.15,0.007,10,2699480.2,259141.4,13,78
80000,1,2050,42.17,11.25,1.55,0.82,28.56,0.50,3.94,0.151,54,3110848.8,504090.1,10,25
80000,0,318,13.09,0.90,0.41,0.23,11.56,0.10,1.22,0.025,7,2406.8,1350.6,12,318
90000,8,5149,9.46,1.07,0.45,0.13,7.80,0.11,1.27,0.029,11,2690841.0,123247.2,17,80
90000,1,2308,37.18,10.06,1.87,0.48,24.77,0.64,3.66,0.203,51,3181658.2,434756.7,9,22
90000,0,324,12.81,1.38,0.39,0.38,10.67,0.12,1.32,0.028,3,2255.1,577.6,14,324
100000,8,5257,9.61,0.96,0.47,0.10,8.08,0.10,1.24,0.026,11,2624761.8,154709.1,20,88
100000,1,2463,33.58,10.86,1.39,0.27,21.07,0.43,3.91,0.150,55,3184718.2,451911.9,12,43
