step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
10000,8,1354,8.45,0.13,0.06,0.10,8.15,0.00,1.05,0.001,5,844177.2,1265.4,3,26
10000,2,853,21.64,1.23,1.29,0.64,18.47,0.27,1.22,0.083,22,819968.2,40108.7,3,27
10000,0,140,13.99,1.50,0.59,0.45,11.45,0.24,1.27,0.079,4,91223.6,1383.6,3,140
20000,8,1330,8.06,0.21,0.16,0.02,7.68,0.03,1.03,0.008,10,817662.3,4355.7,6,13
20000,2,734,26.04,4.28,3.10,0.48,18.18,0.60,1.82,0.151,18,812545.6,50523.2,3,5
20000,0,129,13.02,1.08,0.59,0.00,11.35,0.12,1.22,0.031,2,1126.6,85.8,5,128
30000,8,1391,8.40,0.29,0.23,0.13,7.76,0.04,1.06,0.009,6,811989.1,10709.1,5,0
30000,2,778,23.61,3.51,3.38,0.08,16.65,0.61,1.61,0.154,17,814305.4,160276.1,4,1
30000,0,74,12.68,2.23,1.30,0.05,9.09,0.27,1.40,0.068,2,1313.9,206.5,4,74
40000,8,1442,7.29,0.23,0.31,0.05,6.70,0.05,1.04,0.008,7,813031.1,7648.1,11,9
40000,2,1195,12.56,1.76,1.06,0.19,9.56,0.25,1.42,0.064,24,827706.3,138872.2,5,10
40000,0,89,8.48,0.92,1.10,0.02,6.44,0.25,1.14,0.045,2,1206.7,115.6,9,89
50000,8,1447,7.69,0.09,0.03,0.08,7.49,0.00,1.03,0.001,6,800152.6,4367.3,13,38
50000,2,1133,15.63,1.84,1.41,0.05,12.33,0.24,1.35,0.065,28,841023.1,91622.1,9,32
50000,0,48,9.62,0.04,0.44,0.00,9.15,0.00,1.02,0.000,2,898.5,51.7,9,48
60000,8,1478,7.39,0.12,0.13,0.06,7.09,0.02,1.03,0.004,6,788439.2,3086.9,13,68
60000,2,1122,14.52,1.04,1.52,0.07,11.88,0.14,1.19,0.039,25,854792.4,68238.3,8,69
60000,0,65,10.17,0.48,1.55,0.00,8.14,0.09,1.08,0.031,2,397.8,12.5,9,65
70000,8,1576,7.21,0.05,0.10,0.04,7.02,0.00,1.02,0.000,8,805642.4,2681.1,12,57
70000,2,1277,12.06,0.44,0.43,0.09,11.11,0.05,1.07,0.012,27,825658.6,30711.4,9,34
70000,0,56,7.09,0.00,0.04,0.00,7.05,0.00,1.00,0.000,2,478.5,6.2,9,56
